ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja	Coalition	Brglez, Milan	M	1967
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Gorenak, Vinko	M	1955
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja	Coalition	Brglez, Milan	M	1967
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	SD	Socialni demokrati	Coalition	Muršič, Bojana	F	1971
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja	Coalition	Brglez, Milan	M	1967
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	notMP				Klemenčič, Goran	M	-
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja	Coalition	Brglez, Milan	M	1967
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Tanko, Jože	M	1956
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja	Coalition	Brglez, Milan	M	1967
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Tanko, Jože	M	1956
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja	Coalition	Brglez, Milan	M	1967
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u12	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	Levica	Združena levica	Opposition	Tašner Vatovec, Matej	M	1983
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u13	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja	Coalition	Brglez, Milan	M	1967
