ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SMC	Stranka modernega centra		Cerar, Miro	M	1963
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	notMP				Verbič, Jernej	M	-
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SMC	Stranka modernega centra		Ranc, Danilo Anton	M	1957
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	notMP				Leben, Jure	M	-
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	NSi	Nova Slovenija – Krščanski demokrati	Opposition	Lah, Zvonko	M	1958
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u12	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP				Dobovšek, Bojan	M	1962
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u13	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u14	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SMC	Stranka modernega centra		Zorčič, Igor	M	1978
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u15	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u16	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Krivec, Danijel	M	1965
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u17	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u18	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Hršak, Ivan	M	1957
