text,hs
bom kar začel spoštovane kolegice poslanke in kolegi poslanci gospe in gospodje začenjam izredno sejo državnega zbora ki sem jo sklical na podlagi prvega odstavka člena ter drugega odstavka člena poslovnika državnega zbora obveščen sem da se današnje seje ne morejo udeležiti poslanci ferenc horvath od ure dalje jani prednik in soniboj knežak na sejo sem vabil predstavnike vlade vse prisotne lepo pozdravljam prehajamo na določitev dnevnega reda izredne seje državnega zbora predlog dnevnega reda ste prejeli v sredo julija s sklicem seje ni predlog za širitev o predlogu dnevnega reda bomo odločali v skladu s prvim odstavkom člena poslovnika državnega zbora predlogov za širitev dnevnega reda nisem prejel zboru predlagam da za današnjo sejo določi dnevni red kot ste ga prejeli s sklicem prehajamo na odločanje poslanke in poslance prosim da preverite delovanje glasovalnih naprav glasujemo navzočih je poslank in poslancev za je glasovalo proti nihče za je glasovalo proti nihče ugotavljam da je dnevni red izredne seje zbora določen prehajamo na točko dnevnega reda to je na prvo obranvavo predloga zakona o zagotavljanju sredstev za investicije v slovenski vojski v letih do predlog zakona je v obravnavo zboru predložila vlada v zvezi s tem predlogom zakona je skupina poslank in poslancev s prvopodpisanim dr matejem t vatovcem zahtevala da državni zbor opravi splošno razpravo za dopolnilno obrazložitev predloga zakona dajem besedo predstavniku vlade mag mateju toninu ministru za obrambo izvolite,0 ni sporni govor
spoštovane kolegice in kolegi lepo pozdravljeni zadnje desetletje je bilo za slovensko vojsko težko po tisti zadnji finančni krizi ki se je zgodila leta je prav obrambni sistem bil tisti ki je plačal največjo ceno praktično se je obrambni proračun razpolovil zato je prišel trenutek ko se moramo tako kot je dejal nekdanji načelnik generalštaba general geder odločiti ali slovensko vojsko še želimo ali pa jo kmalu več ne bomo imeli slovenska vojska nujno potrebuje investicije in zato je danes pred vami zakon o zagotavljanju sredstev za investicije v slovenski vojski do leta znotraj vojske in znotraj obrambe so trije pomembni finančni stebri eden je plače druge so misije in operacije in tretja stvar so investicije danes govorimo o tem tretjem stebru o investicijah zato priznam da težko spremljam vse tiste komentarje ki pravijo da bi bilo pametno ta sredstva zagotovit ali dati kamorkoli drugam če to storimo potem to pomeni da ukinemo slovensko vojsko mi danes ne moremo govorit o prerazporejanju sredstev potrebno se je enostavno odločit ali vojsko želimo ali je nočem ker tukaj niso neka dodatna sredstva tukaj so v zakonu zbrana vsa sredstva in nenazadnje govorimo o vojski ki je to državo osamosvojila zaradi katerih je danes slovenija samostojna in neodvisna država govorimo o vojski ki zagotavlja mir in varnost na balkanu zlasti na kosovem zato da je tudi v sloveniji življenje varnejše in boljše govorim o vojski ki vsakodnevno pomaga policiji zagotavljati varnost na naši južni meji ne smemo pozabiti da gre tudi za sile ki vedno ukrepajo ko gre za naravne nesreče pri naravnih nesrečah tudi pomagajo rešujejo ponesrečence ko smo že v sezoni planinarjenja in lepih gora se vojska vedno odzove tudi na naš klic na pomoč ko se v gori zaplezamo ali ponesrečimo vojska je bila aktivna tudi v zadnjem obdobju ko je prišel koronavirus in sicer s transportom z razkuževanjem različnih objektov z vzpostavljanjem premične bolnice role če bi jo potrebovali to pa je realna slika slovenskega obrambnega sistema kot sem dejal uvodoma po tisti prvi krizi sej je zgodil drastičen padec obrambnega proračuna in v zadnjem desetletju se praktično obrambni sektor ni več opomogel v tem grafu lahko zelo enostavno in jasno vidite kakšni so bili obrambni izdatki v preteklosti in kakšni so danes stvari so se od leta drastično poslabševale to pa zgleda graf koliko za obrambne izdatke namenjajo naši zavezniki in kot lahko vidite je slovenija na repu z odstotkom bdp ja ki ga namenjamo za obrambo smo praktično na samem zaključku te lestvice med našimi zavezniki za nami so še belgija španija in luksemburg pa še za te tri države je potrebno reči da vendarle so namenila sredstva za tiste stvari ki jih izpostavljajo kot prioriteto ta graf je še nekoliko bolj žalosten in sicer kaže podatek koliko posamezne vojske posameznih držav namenjajo za investicije tukaj je slovenija s sedmimi dobrimi sedmimi odstotki na repu te lestvice precej neizprosno in tudi nediplomatsko je bilo pregled naše pripravljenosti v krizi in vojni znak za konec razprave in nenazadnje tudi pregled zavezništva ob pregledu naših obrambnih zmogljivosti ugotovljeno je bilo da ne zagotavljamo ustreznih finančnih sredstev za obrambo kar je posledica kritičnega pomanjkanja politične vojne da sloveniji obramba očitno ni pomembna in ne prevzema niti približnega deleža pri zagotavljanju kolektivne obrambe in da je uporabnost slovenske vojske omejena na najbolj nezahtevne naloge ugotovitve so znak za konec razprave izjemno neizprosne in za zaključek naj pokažem še tale graf ki govori o tem da je praktično slovenska vojska v zadnjem desetletju izgubila tisoč pripadnic in pripadnikov zato je potrebno stvari zastaviti bistveno drugače če želimo tudi drugačne rezultate,0 ni sporni govor
hvala lepa prehajamo na predstavitev stališč poslanskih skupin besedo ima poslanska skupina stranke alenke bratušek in marko bandelli izvolite,0 ni sporni govor
spoštovani kolegice in kolegi spoštovani minister temeljni cilj predloga zakona o zagotavljanju sredstev za investicije v slovenski vojski v letih od do in zagotavljanju finančnih sredstev v načrtovanem obsegu in pa načrtovani dinamiki za vzpostavljanje najpomembnejših vojaških zmogljivosti za izpolnjevanje nalog slovenske vojske ter sodelovanje v sistemu kolektivne obrambe republika slovenija tako prevzema tudi sorazmeren del odgovornosti za zagotavljanje nacionalne varnosti v sistemu kolektivne obrambe letni načrt izvajanja investicij bo sprejemala vlada pri čemer mora biti načrt usklajen z državnim programom razvojnih politik in načrtom razvojnih programov z zakonom se bo uredila poraba sredstev v višini milijonov evrov pri čemer bo letna poraba v prvih treh letih in na ravni milijonov evro v nadaljnjih štirih letih pa milijonov evrov na leto obseg sredstev ki je določen na letni ravni je lahko v posameznih letih tudi višji za znesek ki ga zaradi objektivnih okoliščin ni bilo mogoče realizirati v preteklih letih vendar ne sme biti višji od milijonov evrov na leto zakon bo omogočal da se pri zagotavljanju oborožitvenih sistemov in vojaške opreme sklepajo večletne pogodbe s katerimi se prevzemajo obveznosti tudi za daljše obdobje kot se sprejema letni proračun republike slovenije pri čemer pa obveznosti prevzete za posamezno leto ne morejo presegati s tem zakonom določenih letih omejitev predlog podvojitve proračuna za obrambo veliko pove o prioritetah vlade v stranki sab težko verjamemo da obstaja dovolj sredstev ki lahko na eni strani ohranijo močno socialno državo in pospešijo zagon gospodarstva in na drugi strani krepijo proračun za obrambo dejstvo namreč je da naj bi se glede na program stabilnosti za leto dolg sektorja država kot odstotek bdp ja po zmanjšanju na bdp ja v letu povečal na bdp ja v letu prihodnje leto naj bi glede na pomladansko napoved evropske komisije znašal bdp ja epidemija covid je negativno vplivala na makroekonomske in fiskalne obete zato se v poslanski skupini sab upravičeno sprašujemo kako bomo ob pričakovanem javnofinančnem primanjkljaju hkrati zagotovili stabilnosti pokojninskega sistema skrajšali čakalne vrste v zdravstvu ustanovili urad za demografijo in še dvignili izdatke za obrambo v poslanski skupin sab ne zmanjšujemo pomena nacionalno varnostnega sistema a se zdi da bo ob izpraznjeni malhi javnega denarja na račun ukrepov za omilitev posledic koronakrize vse prioritete težko izpeljati zaradi vseh navedenih pomislekov bomo v poslanski skupin sab o zakonu o zagotavljanju sredstev za investicije v slovenski vojski vzdržani,0 ni sporni govor
hvala lepa stališče poslanke skupine demokratične stranke upokojencev slovenije bo predstavil franc jurša izvolite,0 ni sporni govor
predsednik hvala za besedo lep pozdrav vsem v dvorani še posebej delegaciji republike severne makedonije v imenu poslanske skupine desus bi želel najprej čestitati republiki severni makedoniji vsem makedonkam in makedoncem za sporazum z grško vlado o novem imenu države ki pomeni prelomni dogodek za makedonijo v luči približevanja evropski uniji in zvezi nato prespanski sporazum je dokaz da je mogoče doseči dogovor tudi pri najbolj kočljivih bilateralnih vprašanjih slovenija z makedonijo goji in neguje prijateljske odnose na vseh ravneh slovenija je na poti makedonskega približevanja evroatlantskim povezavam prevzela aktivno vlogo z nudenjem politične in strokovne pomoči v okviru približevanja zvezi nato je slovenija prevzela vlogo natovega kontaktnega veleposlaništva kar bo makedoniji olajšalo prizadevanja za pridobitev polnopravnega članstva to bo doprineslo k stabilnosti in večji varnosti v regiji zahodnega balkana ki ima strateški pomen tudi za varnost naše države slovenija aktivno podpira približevalni proces makedonije saj verjame v odprtost in povezovalno vlogo evroatlantskih integracij države članice zveze nato so pomembne partnerice v mednarodni skupnosti ker zavezništvo že dolgo ni več samo vojaško zavezništvo zaradi spreminjajočega se okolja in še vedno prisotnih nepredvidljivih transnacionalnih varnostnih groženj je nujno da so države med seboj povezane na vojaškem in tudi nevojaškem področju sploh na območju ki je narodnostno versko jezikovno in politično tako prepleteno da mu še danes rečemo balkanski sod smodnika prav ta raznolikost pred katero smo v zgodovini ničkolikokrat trepetali danes prispeva k združevanju in napredku saj varna in stabilna regija prinaša mir blaginjo in gospodarsko rast v celotni evropi makedonija v tem procesu ostalim državam v regiji sporoča da so vrata nata odprta tudi za njih slovenija želi biti med prvimi državami ki bodo ratificirale protokol zato v poslanski skupini desus pozdravljamo pobudo za sklic te seje in pričakujemo da bomo danes v državnem zboru z veliko večino podprli pričujoči predlog zakona s tem bomo širše gledano tudi mi prispevali k zagotavljanju varnosti in miru na balkanu želimo si da nam bodo v tem čim prej sledile tudi druge države članice nata v poslanski skupini desus bomo predlog zakona podprli in pričakujemo da bo republika severna makedonija kmalu postala članica zavezništva iskrene čestitke in dobrodošli v zvezo nato,0 ni sporni govor
podpredsednik hvala za besedo lep pozdrav vsem kolegicam in kolegom pred nami je predlog zakona o zagotavljanju sredstev za investicije v slovenski vojski v prihodnjih letih natančneje od do v poslanski skupini desus podpiramo vsakršne napore vlade s katerimi se zagotavljajo investicije ki krepijo našo državo in ki strmijo k boljšemu jutri zagotovo je primerna skrb stranke in poslanske skupine desus bedenje nad investicijami na socialnem in zdravstvenem področju a vendarle se kot državotvorni predstavniki zavedamo da je vsa dolgotrajna odrekanja in zmanjševanja sredstev v tako pomembnem sistemu kot je obrambi enkrat preprosto potrebno presekati časovnica predvidene porabe sredstev v višini milijonov evrov je v predlogu zakona smiselno nerazumljivo na let z investicijami se bodo vzpostavile in zagotovile najpomembnejše vojaške zmogljivosti ki bodo posledično vodile tudi k boljši oceni pripravljenosti slovenske vojske še slednjo se kljub strokovnosti in trdemu delu pripadnikov in pripadnic več kot očitno zadnja leta ravno ne more pohvaliti predlog zakona vključuje tudi pomembno varovalko za zagotavljanje učinkovitega nadzora saj se bomo v državnem zboru enkrat letno seznanili z njegovim izvajanjem in verjamemo da bodo poročila natančna in skrbno pripravljena na dejstvo da so mnogi zastrigli z ušesi že samo ko omenjamo majhna vlaganja ali angažiranja slovenske vojske smo se že privadili na marsikateri seji smo že nasposlušali se o smotrnosti tovrstnih aktivnosti kaj šele o sodelovanju sistema kolektivne obrambe čeprav je bil le ta dosežen z družbenim konsenzom a vendar nam je nerazumljivo kako hitro se lahko pozabi da slovenska vojska s svojimi pripadniki in zmogljivostmi igra zelo pomembno vlogo v vsakodnevnih situacijah kot je reševanje v naših gorah pomembnih nesrečah ali prevozu ranjenih ter novorojenčkov v inkubatorjih kaj šele v primeru naravnih nesreč kot so bile uničujoče poplave in žled nenazadnje ne smemo pozabiti na odgovorno operativno delo ob migrantskem valu v letu in na aktivnosti ki jih izvaja v okviru mednarodnih mirovnih misij investicije v slovensko vojsko so investicije v našo državo kot zrela in suverena država moramo poskrbeti da bo naša vojska primerno opremljena da bo sposobna braniti naše ozemlje in da bo lahko ponosno in odgovorno sodelovala pri zagotavljanju in ohranjanju varnosti nas državljanov in državljank ter miru v svetu morebiti bo modernizacija pripomogla tudi k večjemu interesu mladih po vključitvi v slovensko vojsko in bomo tako sočasno uspeli zajeziti še kadrovsko podhranjenost naše vojske v poslanski skupini desus bomo predlog zakona o zagotavljanju investicij v slovenski vojski v letih do podprli vsa naša prizadevanja v prihodnjih mesecih pa bomo usmerili v realizacijo ostalih koalicijskih dogovorjenih točk ki se nanašajo na pokojninsko zdravstveno področje in katerim poslanci naše poslanske skupine namenjamo še dodatno pozornost hvala,0 ni sporni govor
hvala lepa stališče poslanske skupine slovenske nacionalne stranke bo predstavil zmago jelinčič plemeniti izvolite,0 ni sporni govor
lep dober dan vsem skupaj govori se o milijonih evrov v šestih letih to je pravzaprav malo za vojsko ki jo hočemo urediti je to malo problem je ta da dosedanji ministri za obrambo niso skrbeli za pravilno obdelavo slovenske vojske na zagotavljanje obrambnih sredstev in še posebej zadnji minister gospod erjavec iz desus je naredil ogromno napak največja napaka je bila tista tako imenovana bela knjiga ki na žalost ima pretrd papir da bi jo lahko uporabil za stranišče drugače pa kaj dobrega tam notri ni nič nekonsistentno slabo in nedodelano in žal mi je da se verjetno minister še vedno v določeni meri oslanja na to belo knjigo zato mislim da je potrebno da bi se ta zadeva ponovno pretehtala uredila in da bi se koncept obrambe republike slovenije utemeljil na malo drugačnih osnovah modernih ne pa tistih iz časov nekdanje sfrj recimo ko se govori o oklepni bojni skupini v redu to je verjetno zahteva nato pakta vendar oklepna bojna skupina v taki varianti in v taki obliki kot jo predvideva tudi bela knjiga je neuporabna v sloveniji slovenija bi morala imeti mobilne hitre enote z raketnimi protizračnimi in protioklepnimi izstrelki ceneno zadevo ki jo lahko potem po uporabi kakor se reče zavržeš to je moderni sistem vojskovanja in ta sistem vojskovanja je tisti ki si ga tako zapad kot vzhod najbolj boji to so zadeve hitre mobilne enote ki jih je lahko izvežbati brez problemov in tudi stanejo izredno malo skratka so poceni v okviru tega denarja ki ga je malo je pa smiselno navezati se tudi na sodelovanje s področjem znanstvenega raziskovanja tukaj je lahko veliko področij ki prispevajo k slovenski vojski k njenemu razvoju in na sploh k razvoju te vojske ravno tako tudi na področju infrastrukture zavedati se je treba da vse ceste vse železnice sodijo tudi v domeni vojske kadar gre za transporte določenih vojaških mislim kompozicij ali pa česarkoli drugega brez tega ni in tukaj je treba povezati se vse skupaj obenem pa to tudi predočiti pred nato paktom kakor češ tudi iz tistega segmenta gre določen odstotek k nam in na ta način se bomo lahko približali tistim zahtevanega proračuna za vojsko iz državnega proračuna mislim da tukaj notri bi bilo treba tudi razmisliti o proizvodnji lastni proizvodnji obrambnih sredstev slovenija je nekoč proizvajala ogromno obrambnih sredstev v sodelovanju z ostalimi deli jugoslavije zdaj pa prehajamo do tega da recimo železarna ravne ne vem kaj delajo ne kaj dosti ampak tam so delali najboljše topovske in tankovske cevi na svetu ameriški tank je zdržal šusov naš tank s tem rorom je zdržal šusov vse smo zapravili vse smo uničili vendar se da tudi tukaj odpreti en določen segment da bi se lahko proizvajalo določene zadeve iz področja orožja tudi v sloveniji zakaj lahko hrvaška v sodelovanju s srbijo v sodelovanju s srbijo letno naredi preko milijonov evrov dobička s prodajo določenih posebnih sistemov bi človek rekel mi pa kar nič nas je pa zgleda strah da ne bi kdo kaj rekel da ne bi kdo kaj naredil itn pa predvsem da ne bi kdo kaj dobrega naredil ker v sloveniji je najhujše če narediš nekaj dobrega če pokažeš znanje če pokažeš hotenje pomagati o tem te bodo vsi povozil še posebej pa tale leva kakor pravijo včasih so rekli leva plutka po slovensko reče leva polovica no tukaj je treba tudi narediti en korak naprej in mi absolutno bomo podprli teh milijonov čeprav če to pogledamo je to v šestih letih hudičevo malo če vzamemo po čez je to tam slabo slabo recimo v prvih dveh letih samo milijonov evrov milijonov evrov je pa zopet vprašljivo če bomo znali narediti kšefte oziroma če se bomo znali pravilno pogovarjati s tujci evidenten problem slabega dogovarjanja je helikopter ki ga je kupila država v prejšnjem mandatu gospoda erjavce ki smo ga preplačali za milijonov evrov za milijonov evrov pa nihče ni odgovarjal za to in nihče ne bo odgovarjal zato ker so na določene zadeve zvezane ena z drugo in prijatelj prijatelja ne bo zaklal vrana vrani pač ne izkljuje oči to je žalostno ampak to tako je kupiti moramo transportno letalo upam da bodo pri transportnem pri nakupu transportnega letala sodelovali tisti ki so strokovnjaki s tega področja ne pa kakšni birokrati iz ministrstva ki jih je na ministrstvu tako ali tako precej preveč o številkah koliko jih je preveč ne bom govoril vendar se je treba zavedati da že v tistem sistemu ki programira kaj je treba nabavljati ni nobenega reda če recimo govorimo o potrebah recimo oklepne bojne skupine je treba točno določiti koliko denarja gre za vozila koliko denarja gre za mitraljeze kalibra koliko denarja gre za avtomate in tako naprej tega ni vse je narejeno za to gre toliko in toliko milijonov kaj bomo pa iz tistih milijonov dobili tukaj pa jaz pozivam ministra da ostro pogleda svojim podrejenim pod prste in zahteva eksaktne podatke tudi o tem koliko municije se bo kupovalo za kakšno zadevo zdaj to ni določeno in tukaj se išče malo sem malo tja skratka tukajle je treba vedeti da bo minister imel težko delo ne bo enostavno predvsem ne bo enostavno tisti birokratski stroj premakniti do te mere da bo začel delovati tako kot je treba v zvezi s tem je zanimiva ugotovitev da ima švedska ki je ima močnejšo vojsko pa ima bistveno manjše ministrstvo za obrambo po številu seveda ampak vse klapa poleg tega ima švedska tudi reaktivna letala mi jih nimamo mi imamo najdražji aeroklub to so te pilatusi ki so jim v prejšnjih mandatih podgane požrle inštalacijo električno inštalacijo pri avionih pa tudi noben ni bil kriv nič za to in letečih je pa teh pilatusov malo malo in če pogledamo kaj pilatus zmore vidimo da gre tukajle lahko samo za lahko pešadijsko podporo in nič več sprašujem se ali bomo v zvezi s tem in v okviru tega kupili tudi kakšne protiletalske raketne sisteme če hočemo braniti slovenijo jo najlažje branimo z izstrelki ki ne bodo dovolili udora tujih letal kar se tiše pešadijskega vdora recimo če bi prišlo do tega se jaz ne bojim navkljub slabi oborožitvi so slovenski vojaki dobri izredno dobri bojeviti in imajo radi svojo domovino za razliko od marsikoga tudi tukaj notri kar je žalostno da so tukaj notri pripravljeni ljudje kakšni prodati svojo domovino za kakšne ne vem kakšne blesarije to je prekleto žalostno ampak treba pa je zadevo pripraviti do tega da se vse lepo poštela in da se ve kam kaj paše finance bodo poskušali jih bodo speljati na razne poti v razne privatne interesne sfere in tukaj bo moral minister zelo paziti upam da ima ekipo da bo to zadevo speljala upam tudi da ima ekipo ki bo znala razumeti kakšno lastno proizvodnjo obrambnih sredstev lahko v sloveniji izpeljemo kaj lahko naredimo in pa predvsem da se ne bo denarja metalo kar tako po dolgem in počez za neke birokratske zadeve ali pa za kakšne študije ki nimajo ne repa ne glave kaj šele kakršnekoli koristi mi bomo ta zakon absolutno podprli pa mislim da se bomo pa o točnih razporedih finančnih sredstev še pogovarjali hvala lepa,2 žalitev
hvala lepa stališče poslanske skupine slovenske demokratske stranke bo predstavil jožef lenart izvolite,0 ni sporni govor
