text,leto,mesec,rojstvo,stranka,spol,hs
"spoštovani, kolegice poslanke in kolegi poslanci, gospe in gospodje! začenjam . izredno sejo državnega zbora. obveščen sem, da se današnje seje ne morejo udeležiti naslednji poslanke in poslanci anja bah žibert, felice žiža, brane golubović do . ure, rudi medved do . ure. na sejo sem vabil predstavnika državne volilne komisije ter kandidatko in kandidata za poslansko in poslanca k . točki dnevnega reda, predstavnike vlade k vsem točkam dnevnega reda. vse prisotne lepo pozdravljam! preden preidemo na določitev dnevnega reda prosim, da v sklopu preventivnih ukrepov za preprečitev širitve novega korona virusa predstavniki vlade ter poslanke in poslanci dopolnilno obrazložitev zadev, predstavitve poročila matičnega delovnega telesa in stališč poslanskih skupin predstavite s svojih sedežev in ne izza zagovornice, kot po navadi. prosim tudi, da vsi, ki razpravljate, med razpravo sedite. prehajamo na določitev dnevnega reda . izredne seje državnega zbora. predlog dnevnega reda ste prejeli v ponedeljek, . marca , s sklicem seje. kakšen predlog za širitev? ni. zboru predlagam, da za današnjo sejo določi dnevni red, kot ste ga prejeli s sklicem. prehajamo na odločanje. poslanke in poslance prosim, da preverite delovanje glasovalnih naprav. navzočih je , za , proti nihče. za je glasovalo . nihče proti. ugotavljam, da je dnevni red . izredne seje zbora določen. prehajamo na . točko dnevnega reda, to je na mandatno volilne zadeve. postopkovno, kolega matej vatovec.",2020,04,1978,SMC,M,nesovrazni
"najlepša hvala, predsednik. glede na to, da je poročilo odbora skupaj z dopolnjenim predlogom zakona prišlo pred dobro uro, glede na to, da je bistveno premalo časa oziroma da je tudi obravnava potekala v dveh dneh in se zaključila šele včeraj pozno zvečer in je še nekega prostora za pripravo dodatnih amandmajev, in predvsem zaradi tega, ker je vlada očitno namerno izpustila celo kupico ranljivih skupin iz tega zakona, govorim o študentih, govori o invalidih, samohranilcih, o tem, da bodo nekateri otroci ostali brez toplega obroka, ker niste želeli sprejeti amandmajev glede dodatne subvencije, da ne govorimo o samozaposlenih, kjer je koalicija sprva predlagala amandmaje in jih potem umaknila in jih je s tem v bistvu izključila iz tega zakona, ker člen ni več odprt, vas prosim, da prestavite začetek obravnave . točke te seje še za eno uro, zato da lahko v opoziciji še pri tistih členih, ki so odprti, skušamo popraviti vsaj kakšno stvar, ki se jo še da popraviti. kot rečeno, vse amandmaje opozicije ste včeraj zavrnili, s tem izključili velik del ljudi, ki bi v teh trenutkih tudi potrebovali skrb, tudi potrebovali, da se za njih poskrbi. v bistvu s tem izključujete velik oziroma nek del ljudi, ki živijo v tej državi in v času te epidemije tudi precej trpijo, zaradi tega ste jih namero oziroma pač z vašimi dejanji izključili. mi predlagamo oziroma ne prosim nič več kot za eno dodatno uro, da uspemo pripraviti še nekaj amandmajev. sami ste v obrazložitvah oziroma v ciljih zakona zapisali, da skuša ta zakon čim bolj poskrbeti za ljudi v času epidemije, mislim pa, da dejanski učinek, če sprejmemo tak zakon v tej obliki, ne bo popoln oziroma ne bo v celoti sprejel oziroma dosegel teh ciljev, ki jih sami navajate. predlagam, da se . točka prestavi še za eno uro, zato da lahko v opoziciji pripravimo še tiste amandmaje, kjer je še možno kakšno stvar popraviti. in če je vaš namen, da skušate čim bolj celovito nasloviti vse vidike, ki jih ta kriza prinaša, mislim, da je to popolnoma razumen rok, ki bi nam ga lahko še dali. hvala lepa.",2020,04,1983,Levica,M,nesovrazni
"hvala za predlog. kot ste opazili, sem čas začetka te seje že prestavil za eno uro danes v jutranjih urah. jaz verjamem, da če bi bil res namen ta, da se prestavi mogoče za dve uri, da bi mi že takrat predlagali pa bi zjutraj prestavili na . uro, ampak zdaj sredi seje pa, žal, tega ne bom naredil. dejstvo je, da sem jaz sejo delovnega telesa opazoval, da je tudi na delovnem telesu, ne vem, šest ur potekala razprava v smeri, da bi se morala razprava prestaviti. jaz predlagam, da smo danes kolikor se da učinkoviti. cilj te prestavitve danes za eno uro je bil ta, da si odpočijemo, odpočijete, da si pripravite še dodatno gradivo. jaz mislim, da je bilo več kot dovolj časa za to. še kolega han proceduralno, predvideva, da je enako.",2020,04,1978,SMC,M,nesovrazni
"ja, predsednik, ne vem, koliko si opazil, ampak tri dni se trudim biti dobronameren in razumem vlado v vseh teh situacijah. in razumem, če smo dva dni delali, včeraj do polnoči, zakaj eno uro ne odobriš opoziciji, v tem primeru levici, da lahko še kakšen amandma vloži. ker tako ali tako vemo, kaj se lahko naredi. mi imamo še glasovanje sedajle za mvk. imamo še za potrditev. in meni omogoča, da bom minut pavze naredil. in kaj bomo s tem naredili? ali razumeš? lahko se v vsakem primeru tu nategujemo pa igramo in tako naprej pa bomo vzeli minut pavze pred imenovanjem novega poslanca, kar je seveda bedarija. in eno uro, eno uro, da se še pogleda, se mogoče kakšen amandma vzame, je vsaj malo demokratične norme. jaz ti predlagam, da si ti toliko moder, da mogoče sam odrediš eno uro pavze, da se ne bomo tu igrali in izrabljali poslovniška določila. hvala.",2020,04,1971,SD,M,nesovrazni
"jaz mislim, da sem bil dovolj jasen. jaz sem bil toliko moder, da sem danes zjutraj podaljšal to za eno uro in se čudim zdaj tem predlogom. zakaj se niste potem zjutraj obrnili in predlagali, da bi bili dve uri namesto ene ure? zdaj v tem trenutku, ko smo začeli sejo, se mi zdi pa, da je malo prepozno. tako vam bom povedal, jaz sem pripravljen prestaviti za eno uro, samo če bo za to večina poslancev oziroma če bodo za to vodje poslanskih skupin, ki predstavljajo večino poslancev, potem sem za, če ne, pa ne. ampak jaz predlagam, da pridete s takšnim predlogom do mene. nadaljujemo z . točko dnevnega reda, mandatno volilne zadeve oglašanje iz dvorane proceduralno, kolega vatovec.",2020,04,1978,SMC,M,nesovrazni
"hvala, predsednik. še enkrat, dobronamerno, naša poslanska skupina in vse poslanske skupine opozicije so v zadnjih treh dneh delale sto na uro zato, da pač se uspemo pripravljati na te stvari. se strinjam, da bi lahko načeloma, ne vem, zjutraj vas opozorili na to, ampak glede na to, da že dva dni govorimo o tem, da potrebujemo več časa oziroma od kolegija dalje, mislim, da bi nam lahko šel toliko na roko pa odobril to eno uro brez nekih formalnih problemov. kot tisti, ki vodi sejo, lahko to sam odrediš in ni nobenih zadržkov pri tem. še enkrat ponavljam, vem, da je bila prestavljena že za eno uro, ampak tudi zaradi tega, ker ne bi imeli poročila odbora, če bi začeli ob predvideni uri. to je ena stvar. še enkrat, ostaja še cela vrsta ranljivih skupin v zakonu, ki je nenaslovljena. saj amandmaji se že pišejo, ampak vse, kar mi prosimo, je to, da nam date še eno uro zato, da lahko v miru, natančno in na tak način pripravimo amandmaje, da bodo seveda sprejemljivi in da bodo čim bolj zaobjeli tiste ljudi, ki so sedaj izpuščeni. in govorim še vedno o celi vrsti ranljivih skupin, ki ostaja izključena iz tega zakona. ne gre za neko nagajanje in tako naprej. in če praviš, da boš to eno uro odredil, če se bo strinjala večina, predlagam, da se da ta predlog na glasovanje in bomo na tak način preverili, ali je volja za to. ampak kot rečeno, jaz tukaj ne želim nagajati, ne zavlačujemo te seje, smo tudi že večkrat povedali, da je potrebno razumeti potrebo po nekaterih ukrepih, ampak ta ena ura bi omogočila, da še dodelamo nekatere amandmaje. vse, kar prosimo, je zgolj to, da se za eno uro premakne ta zadeva. ne bo s tem nič kaj drugače na koncu dneva, mogoče bomo končali ob osmih ne ob sedmih, to je pa tudi to.",2020,04,1983,Levica,M,nesovrazni
"jaz mislim, da sem bil dovolj jasen. če bom prejel pobudo vodij poslanskih skupin, ki predstavljajo večino v državnem zboru, bom prestavil za eno uro. do takrat gremo pa na obravnavo . točke. prehajamo na obravnavo ugotovitve mirovanja mandata poslancu francu brezniku zaradi imenovanja za državnega sekretarja na ministrstvu za notranje zadeve. mandatno volilna komisija državnemu zboru predlaga gospod trček, prosim, da mi dovolite, da preberem to, pa boste potem dobil postopkovno. mandatno volilna komisija državnemu zboru predlaga, da se seznani z naslednjim sklepom državni zbor ugotavlja, da je poslanec franc breznik imenovan za državnega sekretarja na ministrstvu za notranje zadeve, zato od današnjega dne ne more opravljati funkcije poslanca državnega zbora, dokler opravlja funkcijo državnega sekretarja. državno volilna komisija je državni zbor že obvestila, katera kandidatka bo v skladu s . členom zakonom o poslancih nadomestila navedenega poslanca. na podlagi tega obvestila bo mandatno volilna komisija pripravila poročilo in zboru predlagala potrditev mandata poslanki, ki bo opravljala funkcijo namesto poslanca franca breznika. državni zbor ugotavlja, da poslancu francu brezniku prenehata tudi naslednji funkciji predsednika odbora za kmetijstvo, gozdarstvo in prehrano in namestnika člana v preiskovalni komisijo o ugotavljanju zlorab v zadevi franc kangler in drugi. bivšemu kolegu poslancu se zahvaljujem za opravljeno poslansko delo in mu želim veliko uspeha pri nadaljnjem delu. kolega trček, postopkovno.",2020,04,1978,SMC,M,nesovrazni
"hvala za besedo, predsedujoči. poglejte, onkraj tega, kar sta povedala matej in matjaž in tudi v luči . člena, dajte predlog vsaj na glasovanje in vsi glasujemo o tem. če nas boste zopet preglasovali, imejte vsak toliko pubičnih predelov, da nas javno preglasujete. to je moj postopkovni predlog. hvala.",2020,04,1969,SD,M,nesovrazni
"jaz mislim, da sem bil dovolj jasen. danes zjutraj smo že prestavili za eno uro. v zvezi s tem ni bilo nikakršne pripombe niti pobude, da prestavim za dve uri, za tri ure. skratka, zdajle po začetku državnega zbora, ko je bilo več kot dovolj časa pa ne pozabimo to, da je bila tudi seja delovnega telesa še za ur prestavljena, mislim, da je bilo več kot dovolj časa, da se amandmaji pripravijo. in zdaj teh vaših manevrov ne morem videti drugače kot, oprostite, nek poizkus zavlačevanja. meni je vseeno, bomo pač tukaj do zgodnjih jutranjih ur. kolega matjaž han.",2020,04,1978,SMC,M,nesovrazni
"samo razjasnil bi rad, predsednik, ker se to že dva dni pojavlja. niti eno uro ni bila seja podaljšana zaradi opozicije. tudi danes zjutraj ne vem, zaradi katerega razloga si podaljšal iz . na . uro. verjetno zaradi socialnih demokratov ne. samo toliko. ta moment nismo in nam ne polagaj v usta, da smo opozicija kriva za to, da dva dni zasedamo. in jaz bom zdaj izklop mikrofona",2020,04,1971,SD,M,nesovrazni
