text,leto,mesec,rojstvo,stranka,spol,hs
"hvala, gospod poslanec. sedaj nadaljujemo. besedo ima gospod jernej vrtovec. pripravite se gospod željko cigler. izvolite.",2020,01,1967,SD,M,nesovrazni
"podpredsednica, hvala za besedo. spoštovana gospa ministrica katič! v zagrebu ste prejšnji teden skupaj z drugimi pravosodnimi ministri izpostavili pomen krepitve skupnih vrednot eu, med njimi je tudi vladavina prava. s tem se je seveda strinjati. zdaj bi pa rad izpostavil, da v kontekst vladavine prava spada tudi . člen ustave republike slovenije. vam je seveda znan. gre za to, da določa, da so sojenja in izreki sodb javni. pred kratkim smo videli, da pa niso vse sodbe temu podvržene oziroma da prihaja, da ne rečem, do nekega skrivanja, namenskega ali narekovanega. govorim o tej odmevni sodni skrivalnici v primeru maročana alija safinija, ki je že bil pravnomočno obsojen za nasilje in rop žensk. ta sodba še vedno ni v celoti dostopna javnosti, pa gre za en rop, se pravi, ne gre za nobene omejitve. tukaj se javnost upravičeno sprašuje, če so ilegalni migranti v teh sodnih postopkih drugače obravnavani kot naši slovenski državljani, zakaj takšen pokroviteljski odnos do teh obsojenih. eksplicitno me zanima kako boste kot ministrica za pravosodje zagotovili dosledno spoštovanje . člena ustave republike slovenije, da bodo sojenja in izreki sodb dejansko javni, se pravi, da ima javnost pravico vpogledati v te sodbe? še enkrat bi rad poudaril, da govorim samo o tej sodbi ropanja slovenskih državljanov, ne o tistem, ko je potem ta ista oseba storila še spolno nasilje nad dvema študentkama. se pravi, ostajamo samo tukaj in tukaj ni, poudarjam, nobenih zakonskih omejitev niti po zakonu o varstvu osebnih podatkov niti po splošni uredbi o varstvu podatkov. se pravi, nobenih omejitev ni, da se taka sodba ne bi javno objavila. to so problematizirali novinarji, problematizirali so tudi pisci v pravni praksi. očitno gre za neko temo, ki je zelo pereča, se pravi, da se krši ta člen ustave in da sama sodišča na nek način preprečujejo objavo teh sodb. zanima me tudi kako boste omogočili, da bodo sodbe, ki imajo podlago v ustavi, vendarle javne? hvala.",2020,01,1975,SDS,M,nesovrazni
"hvala lepa. naslednja bo stališče predstavila gospa nataša sukič, stališče poslanske skupine levica. izvolite.",2020,01,1986,LMŠ,F,nesovrazni
"hvala lepa. končali smo s predstavitvijo stališč poslanskih skupin. prehajamo na razpravo o členih in vloženih amandmajih, ki jo bomo opravili na podlagi pregleda vloženih amandmajev z dne . januarja . najprej je zaprosil za besedo predlagatelj luka mesec. izvolite.",2020,01,1956,SDS,M,nesovrazni
hvala lepa. stališče poslanske skupine stranke alenke bratušek bo predstavil mag. andrej rajh. izvolite.,2020,01,1956,SDS,M,nesovrazni
"hvala lepa, spoštovani podpredsednik. spoštovana ministrica, vem, da nas zapuščate, kar seveda nič ni narobe, boste mi pač naslednjič odgovorili pisno, tako da ni nobenega problema. spoštovani podpredsednik, seveda pa bom kljub temu vprašanje postavil. srečno. z januarjem so se v nekaterih domovih za starejše zvišale cene oskrbe predvsem zaradi obračunavanja in dviga minimalne plače. skupnost socialnih zavodov slovenije je že decembra napovedala, da se bodo cene oskrbnin dvignile za do , ministrstvo te napovedi zanika in ocenjuje, da bo dvig največ , odstoten. ne glede na to, ostaja eno dejstvo cene domov za starejše, ki so že sedaj mnogim nedostopne, so se ali pa se še bodo dvignile. morda se komu dvig mesečne položnice za ali evrov ne zdi veliko, toda za naše starostnike in njihove družine, je to ogromno dodatno breme. povprečna pokojnina v sloveniji znaša evrov in običajno ne zadošča niti za pokrivanje mesečnega plačila doma za starejše. še bolj zaskrbljujoče pa je, da skoraj polovica upokojencev prejema manj kot evrov mesečno in s pokojnino niti ne presega praga revščine. kako naj tak starostnik preživlja dostojno starost? naj finančno bremeni svoje otroke, ki pogosto komaj preživljajo svoje družine, ali naj preprosto hira? to ni življenjsko, ni humano in ni prav. že več kot let se sprašujemo, kdaj bo država uredila sistem dolgotrajne oskrbe, še posebno glede na to, da vlada v proračunu za to ni predvidela sredstev. računsko sodišče je v zadnjem revizijskem poročilu o zagotavljanju dostopnosti storitev socialnega varstva ugotovilo, da vlada v domovih za starejše ni zagotovila enake obravnave, neustrezno pa je bilo tudi načrtovanje novega sistema dolgotrajne oskrbe. če povzamem, sistema dolgotrajne oskrbe ni. institucionalno varstvo starejših je dostopno le delu populacije. finančni pritisk na varovance in njihove družine se veča, slovenska družba pa se pospešeno stara. spoštovana ministrica kdaj bomo na mizo prejeli zakon o dolgotrajni oskrbi? kako bo izboljšal opisano situacijo? kako bo ministrstvo poskrbelo za zmanjšanje finančnega bremena varovancev in njihovih družin za potrebe varstva starostnikov? hvala lepa.",2020,01,1961,SDS,M,nesovrazni
hvala lepa. stališče poslanske skupine desus bo predstavil gospod jurij lep. izvolite.,2020,01,1986,LMŠ,F,nesovrazni
hvala lepa. violeta tomić bo postavila vprašanje ministru za kulturo mag. zoranu pozniču. izvolite.,2020,01,1956,SDS,M,nesovrazni
hvala lepa. želi še kdo repliko? ne. želi še kdo razpravljati pri tem amandmaju? dobro. potem vas prosim za prijavo. prvi dobi besedo miha kordiš. izvolite.,2020,01,1956,SDS,M,nesovrazni
"hvala lepa. poslanec marijan pojbič bo postavil vprašanje ministrici za delo, družino, socialne zadeve in enake možnosti mag. kseniji klampfer. izvolite.",2020,01,1956,SDS,M,nesovrazni
