text,leto,mesec,rojstvo,stranka,spol,hs
"spoštovane kolegice poslanke, kolegi poslanci, gospe in gospodje! kolegi, še pozdravil vas nisem, sem dobil prvo proceduralno",2020,05,1978,SMC,M,nesovrazni
"predsednik, nimamo še kartic, samo jaz jo imam. ne vem zakaj. zdaj so šli iskati kartice, ker smo mislili, da imamo vsi od sd kartice",2020,05,1971,SD,M,nesovrazni
"okej. prekinjam sejo za petnajst minut, da se še to uredi. deset minut. dvanajst pa nadaljujemo. seja je bila prekinjena ob . .",2020,05,1978,SMC,M,nesovrazni
"spoštovani kolegice poslanke, kolegi poslanci, gospe in gospodje! začenjam . izredno sejo državnega zbora. obveščen sem, da se današnje seje ne moreta udeležiti poslanca ferenc horv th in samo bevk od . ure dalje. na sejo sem vabil predstavnike vlade k obema točkama. vse prisotne lepo pozdravljam! prehajamo na določitev dnevnega reda . izredne seje oglašanje iz klopi državnega zbora. predlog dnevnega reda ste prejeli v četrtek, . maja , s sklicem seje. o predlogu dnevnega reda bomo odločali v skladu s prvim odstavkom . člena poslovnika državnega zbora. predloga za širitev dnevnega reda seje nisem prejel. zboru predlagam, da za današnjo sejo določi dnevni red, kot ste ga prejeli s sklicem. preden pa pridemo na odločanje pa je prvo postopkovno kolega kordiš.",2020,05,1978,SMC,M,nesovrazni
"hvala za besedo, predsedujoči. postopkovno v levici predlagamo, da se z dnevnega reda umakne . točko, to je poročilo vlade janeza janše, ki ugotavlja, da vlada janeza janše ni ničesar kriva. govorim seveda o nabavah zaščitne opreme, o vsem, kar se je dogajalo na zavodu za blagovne rezerve. k tej točki je namreč priložen sklep, ki je nezakonit. s tem sklepom vlada janeza janše želi za sokrivega pri zagotavljanju provizij svojim prijateljskem dobaviteljem narediti državni zbor in za te svoje svinjarije, za organiziran kriminal, pridobiti podporo državnega zbora. temu v levico ostro nasprotujemo. na naši strani so tudi postopkovni okviru za to točko. gradivo, torej poročilo in sklep je bilo vloženo v napačno proceduro in pospremljeno, kot že rečeno, s sklepom, ki je protizakonit, je tudi protiustaven, tudi proti poslovniku državnega zbora je bil na odboru za gospodarstvo. provizije pod vlado janeza janše očitno vsakokrati gredo v nebo. tokrat je točka, kjer se te provizije meljejo zaščitna oprema. in namesto, da bi se vlada pokesala za svojo napako, ko je ignorirala vse pozive k neposredni nabavi zaščitne opreme, sedaj provzije brani z lažmi. očitno je, da vladi ni prva prioriteta zaščita zdravja državljank in državljanov, ni prva prioriteta ohranitev državnega proračuna in racionalna raba javnih financ, ampak provizije za dobaviteljske prijatelje. in potem smo lahko poskušali naslednjo sago laži. najprej je ministrstvo za gospodarstvo trdilo, da opreme ne more neposredno uvažati, zato ker nima zakonske podlage. se je izkazalo, da zakonski členi na katere se ministrstvo za gospodarstvo sklicuje v slovenski zakonodaji sploh ne obstajajo, kar je potrdilo tudi računsko sodišče. nato so dejali, da zaščitne opreme ne moremo uvažati neposredno, ker proizvodnja podjetja na kitajskem zahtevajo sto odstotne avanse. ampak zakaj je potem pod vlado janeza janše sto odstotne avanse dobil vsak dobavitelj, če je bil le povezan s pravilno politično stranko? nazadnje provizije vlada janeza janše brani z lažmi, kako država slovenija ni imela kapacitet za izpeljavo neposrednih nabav. ampak vsaka druga država, ki se je teh neposrednih nabav poslužila je za to uporabila svojo diplomatsko mrežo, uspešno bi to lahko storila tudi republika slovenija. iz vseh navedenih razlogov, predsedujoči, mislim, da morate iz dnevnega reda umakniti . točko in umakniti sklep, ki je nelegalen, tudi protiustaven in tudi proti poslovniku državnega zbora.",2020,05,1989,Levica,M,nesovrazni
"spoštovani kolega kordiš, jaz mislim, da vi poznate poslovnik toliko, da veste, da jaz tega ne morem narediti. da je bila ta točka na sklic izredne seje uvrščena na podlagi zahteve skupine poslank in poslancev in nam poslovnik pač ne omogoča, da bi jo umaknili z dnevnega reda na način, kot vi to želite. predlagam pa, glede na to, da verjamem, da se bo tudi v četrtek, ko bomo obravnavali . točko, razprava verjetno precej razplamtela, da se izogibate očitkom o tem, na način, da se koga obtožuje, da je kriminalec in podobno, ker vam ne morem zagotavljati, da boste, če vas bo kdo tožil, zaščiteni pred sodiščem, če se boste posluževali pač takšnega besednjaka. jaz povsem dobronamerno svoboda govora velja, ampak če nekomu rečeš, da je kriminalec in da krade se moraš zavedati tudi vsem konsekvenc, ki jih bo morda tisti potegnil za seboj. kolega kordiš, ima prvi besedo.",2020,05,1978,SMC,M,nesovrazni
"hvala za besedo, predsedujoči. očitno v tej državi lahko počneš vse, če obvladuješ sodnijo in policijsko vertikalo. ni naključje, da je vlada janeza janše za eno izmed svojih prioritet ravno obvladovanje policijske vertikale postavila morda, kar na prvo mesto. najprej so zamenjali prvega moža na policiji s svojim človekom, nato so enako naredili na mestu prvega kriminalista in pohod po represivnih aparatih, zaključili z menjavo vodje nacionalnega preiskovalnega urada. sočasno je sodišče ugotovilo, da lahko janez janša po twitterju žali novinarke s kurbami pa je to popolnoma nekaj razsvetljenskega očitno sedaj pa predsedujoči",2020,05,1989,Levica,M,nesovrazni
dajte ne zlorabljati proceduralnega predloga.,2020,05,1978,SMC,M,nesovrazni
"predsedujoči, meni grozite pred pregonom, zato ker namenski odločitvi vlade janeza janše za provizije za prijateljska podjetja rečete pod to, kar je organizirani kriminal. predsedujoči, nesprejemljivo. enako kot je nesprejemljiva . točka dnevnega reda za današnjo sejo in sklep. vemo kdo je pritiskal na zavod za blagovne rezerve. omenja se imena tudi poslancev slovenske demokratske stranke, omenjena je alenka jeraj",2020,05,1989,Levica,M,nesovrazni
kakšen je vaš proceduralni predlog?,2020,05,1978,SMC,M,nesovrazni
