text,leto,mesec,sent
"ravno nasprotno, gospod nemec, zelo lepo ste me razveselil! to bo odlična priložnost, tako kot ste sami rekli vam samo vaše besede vrnem , da vsakdo, ki si želi uvažati ilegalne migrante v slovenijo, naj to sam plača in jih povabi k sebi domov in bodite vi prvi in naredite to z zgledom. ko boste to naredili, bomo pa verjeli tudi v vaše besede. kar pa se ostalega tiče, pa samo tole. prej sem že pojasnil, res bi nas morale ene stvari skrbeti. prvo, mene osebno skrbi, zakaj zadnjič, ko sem, recimo, odgovarjal na tiste vaše zafrkancije o vremenu, ko ste vodili sejo, ste mi šestkrat skočili v besedo. tako ste bili živčni, ker ste vedeli, da imam prav. kajne? in to je problem. drugi del tista slika, nesrečna če je ustrezna ali ni ustrezna, pokazal sem jo v dobri veri, ker je na tisoč mestih v internetu, pa sem verjel, da je prava. nič hudega, tudi če ni, gospe in gospodje, kajti kolega je pa pravi che guevara kajne? tisto, kar bi nas moralo skrbeti je pa dejstvo, gospod nemec, tisto bi nas moralo skrbeti, da je celotno vodstvo republike slovenije domnevam z vami vred, čeprav vas osebno ni bilo, so bili pa zanesljivo vaši voditelji sedelo v stožicah pod sliko množičnega morilca, ki je ksenofob, ki je bil rasist, ki je bil dokazano homofoben in ki je dokazano množični morilec za vsaj , po pisanju na internetu in po objavljenih pričevanjih ljudi gre dejstvo, da je pač zagrešil umore celo osebno. z njegovimi enotami pa menda, da je šlo za nekaj čez tisoč ljudi. če pod takim človekom sedite vsi skupaj, bi to moralo vse nas pa zelo skrbeti, veste. zelo skrbeti! potem tudi ni čudno, če se daje prednost tujcem pred svojimi ljudmi s strani takih oseb.",2019,01,neutral
"gospod poslanec, saj razumete, da če začnete najavo, kršil bom poslovnik, da ...",2019,01,negative
"hvala lepa. gospod poslanec, imate besedo za dopolnitev. izvolite.",2019,01,neutral
"hvala lepa, gospod poslanec. želi besedo kdo od ministrov? ne. gospod poslanec, imate proceduralni predlog? ja. izvolite.",2019,01,neutral
"hvala, gospod poslanec! gospod predsednik vlade, izvolite.",2019,01,neutral
"hvala lepa. dober večer še enkrat! vse skupaj postaja vedno bolj jasno, da ne migracije ne referendum nista glavno vprašanje oziroma glavna agenda. glavno vprašanje je vprašanje kredibilnosti. problem je argumentacija, ki smo ji priča že kar nekaj časa. meni se zdi, da sem v parlamentu že kar nekaj let, pa sem šele slabega pol leta. slišali smo serijsko klanje, posilstva, uriniranje po posteljah, garje, nalezljive bolezni potem so kar naenkrat bili vmešani še naši ubogi invalidi, otroci, upokojenci. če smo že pri nasilju, mogoče malo statistike, pa ne iz policijske statistike, ampak raziskave. v sloveniji v okviru nasilnih dejanj prevladuje družinsko nasilje iz ljubosumja ali maščevanja. nasilje v družini doživi slovencev, od tega žensk, največ je psihičnega, je fizičnega, je ekonomskega in je spolnega nasilja in to v okviru družin. z veseljem poslušam argumente, tudi s te strani večkrat posveti sonce in ne moremo vseh metati v isti koš, ampak povprečje pa danes ni ravno spodbudno. slišali smo kar nekaj dejstev, na katerih je bil predlog referenduma danes argumentiran, ampak ko jih malo preveriš, zamajejo kredibilnost. nekaj te zamajane kredibilnosti so izpostavili že moji kolegi, enega bi pa dodal še sam. če pogledamo naše severne sosede, ki so odstopile od tako imenovanega globalnega sporazuma, recimo madžarsko je obdelal kolega kordiš, imajo pač druge notranje težave in nimajo težav z migranti, imajo pa težave s svojimi delavci, imajo težave z romi, imajo težave z brezdomci. vemo, da je v italiji trenutna politika dokaj nenaklonjena migrantom, ampak hkrati pa deluje v italiji evangeličanska skupnost, ki je vzpostavila zračni most z državami, kjer ljudje bežijo zaradi takšnih ali drugačnih razlogov, in jih z odprtimi rokami sprejmejo v svojo družbo in jim pomagajo do tega, da postanejo italijani in da nekaj doprinesejo družbi. me je pa zbodla na začetku ena zadeva, ki jo je predlagatelj izpostavil, namreč gospo e. s., ker jo poznamo samo po inicialkah, in je bila obsojena, ker je to je pa preverjeno zdajle na shodu skrajne desnice poniževalno, torej s sovražnim namenom, govorila o verski doktrini. ni bila torej obsojena zaradi vsebine, ampak zaradi namena. in kazen v višini nekaj evrov je prisodilo, ne boste verjeli, avstrijsko sodišče, torej sodišče države, ki ni pristopila h globalnemu sporazumu. torej ta sporazum ne more neposredno vplivati na tisto, kar ste ves čas trdili. sodbo pa je potrdilo tudi evropsko sodišče za človekove pravice. avstrija, še enkrat, ni pristopila h globalnemu sporazumu. ne gre torej za cenzuro nasprotnih mnenj, daleč od tega, vsak mora imeti pravico povedati, kar misli, ampak gre za navajanje neresnic z namenom, in to poniževalnim ali pa slabšalnim. če je pa ta neresnica zavestna, potem pa tukaj ni vprašanje samo politične odgovornosti, ampak je treba to gledati še malce širše. hvala lepa.",2019,01,negative
hvala lepa. naslednji ima besedo predlagatelj. izvolite.,2019,01,neutral
"najlepša hvala, spoštovani poslanec. kot sem se podučila na ministrstvu oziroma kot so me podučili sodelavci, bi bilo za uvedbo prometne ureditve, to je vožnja desno ob rdeči luči na semaforju, treba v zakonu o pravilih cestnega prometa predpisati pravila ravnanja udeležencev cestnega prometa ob takšnih situacijah. potrebna je sprememba zakona in tudi sama podpiram idejo, ki ste jo dali na mizo, če lahko tako rečem. na ministrstvu za infrastrukturo smo že začeli s pripravo sprememb zakona o pravilih cestnega prometa. ni to edina stvar, ki bi jo v tem zakonu spremenili, tako da težko zdaj kratkoročno napovem, da bo to rešitev ampak vsekakor je naš cilj, da bi ta zakon oziroma nekaj sprememb v tem zakonu sprejeli v letošnjem letu. ali ta predlog stoodstotno v zakonu bo ali ne, bo odvisno samo od analize, ki bo na mizi, predvsem z vidika varnosti. to bo moje vodilo pri spremembah zakona. stoodstotne zagotovitve, da to bo vključeno v spremembo zakona, vam ne morem dati, dala pa sem vam besedo, da se s tem na ministrstvu ukvarjamo, da jaz osebno takšno rešitev podpiram. seveda pa želim imeti na mizi argumente za in mogoče tudi proti, preden se za takšno stvar odločimo.",2019,01,neutral
"hvala. samo opozorila bi vas na . člen za red na seji državnega zbora skrbi predsedujoči in bi vas tudi prosila, da če nekdo žali, tudi če je naš poslanec, da ga opozorite ali pa mu odvzamete besedo, ne pa, da potem nekdo komentira, saj ste vi tudi tako govorili. ne dovolim, da me žali in mi govori, da sovražim ne vem koga in tako naprej.",2019,01,neutral
"hvala lepa. predlog odloka je obravnaval odbor za izobraževanje, znanost, šport in mladino kot matično delovno telo. za predstavitev poročila odbora dajem besedo predsedniku mag. branislavu rajiću. izvolite.",2019,01,neutral
