text,leto,mesec,rojstvo,stranka,spol,sent
"hvala, gospa poslanka. gospod minister, izvolite.",2020,01,1967,SD,M,neutral
"spoštovana podpredsednica, predstavnika vlade in državnega sveta, poslanke in poslanci! osnovna ideja ureditve zakona o tonaži je zagotoviti konkurenčne pogoje in privabljanje tujih naložb na področju mednarodnega pomorskega prometa in tako ohraniti status naše države kot pomorske države. v zakonodajnem postopku smo v poslanski skupini smc vseskozi opozarjali na nekatere sporne rešitve, predvsem pa želeli pojasnila predlagatelja, to je ministrstvo za finance, a jih nismo dobili. zato nas odločitev državnega sveta, da izglasuje odložilni veto in zakon vrne parlamentu v ponovno potrditev, ne čudi. zakon o tonaži pravnim osebam, ki poslujejo z ladjami v mednarodni plovbi, omogoča izbiro in drugačno določanje pravne davčne osnove za plačilo davka od sicer splošne sheme davka od dohodkov pravnih oseb. ladjarji lahko tako izbirajo in praviloma se odločajo za vstop v sistem davka na tonažo, saj je po tej shemi njihova davčna obveznost nižja. ker razlika med obema višinama davčnih variant predstavlja državno pomoč, mora to odobriti evropska komisija. prvo desetletno obdobje je bilo odobreno v času od leta do , zakon, ki je pa danes v obravnavi, to odboje podaljšuje še za let. na seji odbora za finance smo želeli nedvoumna in jasna pojasnila, kakšne bi bile posledice v primeru, da se to podaljšanje ne potrdi. in šele v tej zadnji fazi, tako rekoč tik pred dvanajsto, je bilo pojasnjeno, da v kolikor podaljšanje sheme, ki je že bila odobrena s strani evropske komisije, ne bo implementirano tudi v naši zakonodaji, torej s to današnjo novelo zakona, bodo ladjarji vseeno upravičeni do obračunavanja davka na tonažo, torej do ugodnejše davčne obravnave, saj jim je bil predhodno priznan vstop v ta sistem, vendar jim bo s tem omogočena oblika davčne pomoči, ki bo z vidika relacije republika slovenija evropska unija nezakonita. zato državi grozi, da bo zaradi te nedovoljene državne pomoči deležna finančnih sankcij eu. nesporno je, da sta gospodarski družbi, ki bosta koristili ugodnosti po tem zakonu, davčna dolžnika. bojimo se, da bo s tem omogočen celo prenos upravljanja ladij na lastniško povezane družbe kot dodaten možen manever za izogibanje plačilu davka. od finančne uprave zato pričakujemo, da se bo maksimalno angažirala in uporabila vse vzvode za poplačilo tega davčnega dolga. prav tako smo v smc opozorili na neupoštevane pripombe fakultete za pomorstvo in srednje pomorske šole, ki sta opozorili, da zakon poslabšuje položaj in pogoje za praktično usposabljanje študentov in dijakov. veseli nas, da so vsi pristojni resorji hitro prisluhnili naši pobudi in se sestali s predstavniki omenjenih institucij s ciljem, da se rešitev tudi najde. od pristojnih resorjev pa zato tudi v prihodnje pričakujem bolj aktivno politiko, da bodo prisluhnili argumentom stroke in ukrepali, da bo shema bolj ugodna za izobraževalni sistem in za kasnejše zaposlitve bodočih pomorščakov. po naši oceni bi bilo smiselno razmisliti tudi o omejitvi trajanja osnovnega zakona o tonaži, da se njegova veljavnost omeji s trajanjem odobrene sheme državne pomoči, torej do konca leta . vse našteto nas je vodilo k ponovnemu premisleku glede podpore temu zakonu. poslanci stranke modernega centra se zavedamo, da nam je mandat podelilo ljudstvo, zato da odgovorno ravnamo z državo, kar vključuje tudi racionalno porabo njenih financ. hvala.",2020,01,1969,SMC,F,neutral
"spoštovana predsedujoča, hvala za dano besedo. glede na odsotnost ministra za finance predlagam, da mi minister v dneh odgovori na vprašanje pisno. ministru bi rad zastavil vprašanje v zvezi z ustanovitvijo demografskega sklada. dejstvo je, da zakon o slovenskem državnem holdingu predvideva preoblikovanje kapitalske družbe v demografski sklad že ob koncu leta . danes je začetek leta , slovenija še nima demografskega sklada, ki bi bil tako za obstoječe kot za bodoče upokojence več kot potreben. minister za finance mi je na enako vprašanje odgovarjal že pred enim letom. odgovoril je, da bo koalicija naredila vse v smeri, da bo ta demografski sklad zaživel čim prej. dejstvo je, da ta vlada, ta koalicija do danes ni bila sposobna narediti demografskega sklada, s čimer se dela škoda predvsem za vse obstoječe in pa bodoče upokojence. ministra za finance še enkrat pozivam oziroma ga sprašujem kateri so razlogi, da slovenija še vedno nima demografskega sklada? kdaj bo po njegovem mnenju ta demografski sklad v sloveniji ustanovljen? hvala.",2020,01,1972,SDS,M,neutral
"hvala za besedo. čeprav ob grozi, ki jo poslušam, bi človek dejansko najraje obmolknil, ker takšnemu teatru absurda pa zlepa nisem bila priča, ampak jasno, ko sem na tapeti teme, ki te slej kot prej pripeljejo do beguncev oziroma migrantov, ko je taka agonija proti njim ves čas, je to čudovit milje za to, da se razcvetličijo spet raznorazni sovražni govor tukaj v državnem zboru in da se prodaja megla, zakaj so ti zakoni, ki so tukaj pred nami na mizi, pravzaprav potrebni, čeprav sem jasno danes dokazala in pokazala, da seveda niso potrebni, ker mi ustrezno zakonodajo že imamo. ne mi reči, da leta slovenija nima ustrezne zakonodaje, ki bi preprečila delovanja neke paravojaške formacije na učinkovit način, če bi le hotela. to se ja morate hecati! leta so se pojavili, vsi smo gledali fotografije, kako se urijo na pohorju v gozdovih neka formacija z uniformami tam dobesedno hara s puškami, se šopiri, sedaj napoveduje jasno, glasno in javno lov na ljudi. in mi se tukaj sprenevedamo. zakaj se sprenevedamo, sem tudi povedala, zato ker če ti nisi ukrepal na podlagi tega, kar ti zakoni že danes omogočajo, potem morate izvesti slepilni manever. to je en razlog. ta slepilni manever je sedaj, kot da neka boljša zakonodaja, ki bo pa sedaj naenkrat razrešila problem varde, ampak sem prej jasno povedana, na koga je naperjena ta zakonodaja. seveda je tako veselo zapeljana, da bo na koncu sankcionirala tiste protestnike, ki bodo mogoče imeli proteste za čistejše okolje, za čistejšo kolpo ali bodo protestirali proti rezilni žici ali nekaj. v glavnem, vse boste dali na isti imenovalec. vardistom se pa na koncu koncev ne bo nič zgodilo. ti ljudje paradirajo ob meji v uniformah z imitacijo nekih kalašnikov v roki in tako dalje. ne mi reči, da policija, ko zagleda takšno formacijo, nima pooblastil, da ukrepa. samo ne mi, prosim, takšnih stvari prodajati oziroma prodajati takšnih stvari slovenski javnosti, no! ker to pa je višek. glejte, če si ti za glavnega varnostnega svetovalca izbereš nekoga, ki je bi direktor sove in ki je pred tem prikrival podatke, v prejšnjih mandatih, o obstoju ekstremističnih skupin, potem, oprostite, ne moreš pričakovati drugega kot takšne absurdne predloge, ki kaj počnejo? kazensko dejanje spremenijo v prekršek, tisto, kar bi morala biti zaporna kazen, se spremeni v globo. to naj bi zdaj zaustavilo vardo? mislim, če bo pa to zaustavilo vardo, potem pa ne vem. pazite, kaj počne še varda? ne samo, da paradira v maskirnih uniformah pa z nekimi lesenimi ali pa pravimi puškami v rokah, celo z letalom nadzira občasno mejo. celo krši naš zračni prostor tudi tukaj očitno ta država nima pravnih podlag, da bi ukrepala. ja pa jaz ne vem, v kakšni državi mi potem živimo in kaj se pravzaprav gremo! konec koncev, če so bile zadeve tako urgentne in resne, kot vi zdaj hočete to prikazovati varda se je pojavila leta . vlada je svoje delo vendarle nastopila pred slabim letom in pol. leto in pol ste rabili, da ste zdaj neko urgenco začeli izvajati, kaj vse rabite. kot da nimate dovolj že paralizatorjev, imsi lovilcev, dronov, ni da ni, česa nimate, kakšnih pooblastil niste že dobili, ampak vi bi še več pooblastil. jasno sem pokazala, kakšna je logika, kje se v resnici začne dogajati fašizacija družbe v uradih, z zakoni, ki so tako napisani, ki omogočajo krepitev represije na takšne načine, kot smo jih priča. prej sem lepo pokazala na primeru znanega zgodovinskega primera, ki je, oprostite, svet plačal ceno, celoten svet je plačal ceno v obliki milijonov človeških žrtev. do takšnih stvari na koncu pripelje. včeraj smo tukaj obeleževali spomin na holokavst in vsi se tukaj pridušamo v en glas, kako se to ne sme nikoli in nikdar več ponoviti. vsi, levi, desni, vsi tukaj se strinjamo, da se to ne sme ponoviti, ampak to se ponavlja, nam pred očmi! s tem ko smo si nove dežurne krivce izbrali, in to so pač zdaj ta trenutek begunci, ki, jim nekateri pravijo, da so to neki bleferji in ekonomski migranti in ne vem kaj vse. v resnici, kaj pa lahko pričakujemo od neke vlade, ki je sedaj sicer odstopila, ki ni naredila nič, da bi to sramoto, ki jo je prejšnja vlada postavila na našo mejo, se pravi rezilno žico, da bi se raje s tem ukvarjala, da bi takšne popolnoma antihumane ukrepe in to sramoto, dobesedno zgodovinsko sramoto, ki se je bodo sramovali naši zanamci čez let ali pa čez , enostavno odstranila. ne. mi bi še več pooblastil, še več represije in sprenevedali bi se, da mi nimamo dovolj zakonskih podlag, da lahko ustavimo neko vardo, ki se gladko nam smeji v obraz. njihov šerif je sicer za zapahi, ker naj bi poskušal rušiti ustavno ureditev, ampak njegovi soldati veselo paradirajo in eni tukaj celo pravijo, kako so v pomoč. ja, potem pa dajmo, vsak od nas se bo oblekel v maskirno uniformo, si nabavil orožje in vsak se bo postavil pred svoj prag, če smo tako ogroženi pred hordami, ki prihajajo ne vem od kod, in nas bodo zarazili z raznimi nalezljivimi boleznimi in ne vem š čim vse nas bodo zarazile horde, ki prihajajo. mislim, to je resnično taka ne, res! tukaj bi človek pravzaprav lahko samo še obmolknil. ker to je pa resna groza. istočasno, ko vidite, kaj se je dogajalo v nacistični nemčiji, boste zdaj podobne metode uvajali v imenu česa? v imenu humanosti ali česa drugega v resnici? tako poglejte, to je taka sramota, da se bom na tej točki ustavila in ni več vredno komentirati, pa če me stokrat zdajle z replikami tule tolče kdorkoli. hvala lepa.",2020,01,1962,Levica,F,neutral
"več denarja ne pomeni, da imamo zdravstveni sistem boljši. sem povedal primer, da imamo v zadnjih desetih letih v zzzs milijardo evrov več denarja, pa imamo zdravstveni sistem slabši. potrebujemo boljšo organizacijo v zdravstvenem sistemu. ta zzzs, kateremu namenjate in ga častite, da bo uredil zdravstveni sistem če ga do sedaj ni, ga tudi naprej ne bo. kljub milijonom evrov denarja več. glede več javnega. tudi sam podpiram javno zdravstvo, ne pa državno zdravstvo. zdravstvo, kakšnega želite imeti, je državno, organizirano s strani države. in je razlika med javnim in državnim zdravstvom. in tudi zasebniki.hvala bogu, da imamo določene zasebnike, ki rešujejo dolge čakalne vrste in dobe. hvala bogu, da jih imamo, kajti brez tega bi umirali ljudje res na cesti, kot govorite, da nekje drugje. ki pa sploh ne.",2020,01,1985,NSi,M,neutral
"hvala lepa. lahko nadaljujemo? želite dopolniti vprašanje? izvolite, imate besedo.",2020,01,1956,SDS,M,neutral
"hvala lepa za besedo. spoštovani minister za izobraževanje in znanost! slovenke in slovenci se radi veselimo uspehov naših športnikov. vsake toliko časa v kateri izmed športnih panog poskrbimo za evforijo, ki se ji radi pridružimo tudi politiki. dejstvo je namreč, da takšni dogodki povežejo slovence. to so trenutki, ko se pozablja na to, kdo je kdo, iz katere politične stranke izhajamo, in to so trenutki, ko se zavemo, kako lepo bi lahko bilo, če bi tako enotno nastopali povsod in vedno. zavedam se, da je to iluzija, ki je verjetno nikoli ne bo mogoče doseči, pa vendar, slovenski športniki v nas vedno znova izvabljajo drugo plat. in ta plat, priznajmo si, je veliko bolj človeška, v končni fazi tudi bližje našim volivkam in volivcem, kot pa plat politikov v kravatah. prav zato, spoštovani in spoštovane, danes nosim navijaški šal namesto kravate. tudi zato, ker bi želel spomniti na to, da slovenski šport ni samo takrat, ko se dosegajo uspehi, ampak tudi takrat, ko šport, športni objekti in športniki potrebujejo našo pomoč v smislu financiranja. kot primer bi rad navedel prenovo zahodne tribune ljudskega vrta v mariboru in celotno obnovo in prenovo stadiona za bežigradom. problem je namreč v tem, da se taki objekti gradijo za dolgoletna obdobja javne uporabe, pri čemer jih ne bi smeli opredeljevati ozko, le v interesu ene športne panoge. kot bivšemu profesionalnemu nogometašu mi seveda zelo godi, da se denar namenja za prenovo in izgradnjo objektov, namenjenih nogometu. pa vendar, so tudi drugi športi in drugi športni objekti. zakaj vedno pozabljamo na ostale športe in tudi društva, ki bi v takšnih objektih z nekaj več vložka gotovo našla svoj prostor? zakaj se na nogometnih stadionih ne gradijo atletske steze? zakaj niso prirejeni tudi tako, da bi se na njih lahko izvajala atletika v celoti? smo res tako bogati, da za vsako panogo zgradimo svoj objekt? mislim, da ne. seveda država takšnih objektov v veliki meri ne financira, lahko pa bi z različnimi finančnimi spodbudami pritegnili investitorje v takšni obliki, da razmislijo širše in pomislijo tudi na ostale športne panoge. moje vprašanje se glasi ali država ob izgradnji in prenovi športnih objektov že namenja kakšna finančna sredstva, ki spodbujajo širjenje namembnosti objekta? če ne, je na mestu pobuda, da se o tem razmisli. zanima me tudi kakšne ukrepe v zvezi s tem načrtujete? hvala lepa.",2020,01,1965,SMC,M,positive
"hvala. ne glede na to, da sem premierju postavljal vprašanje, ki je na nek način že uperjeno v prihodnji mandat, mislim, da je dobro, da se še znotraj tega mandata o vprašanju davka na nepremičnine in na sploh davkov na premoženje pogovorimo. kot sem rekel, vlade že več kot deset let te davke pripravljajo, podlage zanje so urejene, od zakona o množičnem vrednotenju nepremičnin, opravljeni so bili strokovni posveti, stroka se načeloma z njimi strinja. k njemu nas pozivajo tudi mednarodne inštitucije, kot sta amf in oecd. po vseh mednarodnih kazalcih se po davkih na premoženje uvrščamo na rep evrope, kar ima dve posledici. prvo je, da se premoženje v sloveniji koncentrira, kljub temu da je neenakost, če jo merimo po neenakosti po dohodkih, majhna, je neenakost po premoženju velika. kot sem prej povedal, zgornjih si lasti skoraj premoženja, zgornja desetinka najbogatejšega odstotka kar milijard evrov premoženja. ker so ti ljudje nezadostno obdavčeni, nam zmanjkuje denarja za ključne razvojne projekte, od poprave pokojnin, modernizacije železnic, dolgotrajne oskrbe, priprave na razvojni in zeleni preboj. da bi lahko vse te projekte uresničili, se moramo pogovoriti o uvedbi pravičnih davkov na nepremičnine, pravičnih davkov na premoženje, ki bodo bolj obremenili tiste, ki imajo več, tako kot je bilo to zapisano tudi v obstoječi koalicijski pogodbi in lahko bi državni zbor postavil jasne smernice naslednji vladi, da to razvojno prioriteto tudi izvede. zato vas prosim, da uvrstite to vprašanje na dnevni red državnega zbora.",2020,01,1987,Levica,M,neutral
"hvala za besedo in hvala za vprašanje. naj uvodoma pojasnim, da so bile vse rešitve v zadnji noveli zpiz g pripravljene premišljeno, usklajeno med socialnimi partnerji ter oblikovane na način, ki ne bo poslabšal finančne vzdržnosti pokojninske blagajne do te mere, da bi bilo navsezadnje ogroženo izplačevanje pravic iz sistema tako sedanjih kot tudi prihodnjih upravičencev. v zvezi z določitvijo višjega odmernega odstotka tudi za posameznike, ki so se že upokojili, izpostavljamo, da položaj upokojencev ne moremo enačiti s položajem zavarovancev. treba je namreč upoštevati, da so se posamezniki, ki so se že upokojili, upokojili pod drugačnimi pogoji, kot se bodo upokojevali prihodnji zavarovanci. upokojitveni pogoji so bili blažji ali pa se je v pokojninsko osnovo štelo krajše obdobje, zaradi česar so bile pokojninske osnove ugodnejše in posledično tako višje pokojnine. izpostavila bi rada, da se posamezniki pravilo upokojujejo v skladu s pravili, ki so veljali na dan upokojevanja, kar pomeni, da se tako pogoji za upokojitev kot tudi sama višina pokojnine določijo po pravilih, ki veljajo v času nastanka zavarovalnega rizika. pokojninski sistem pa je dolgoročen sistem, ki se mora prilagajati družbenoekonomskim okoliščinam. zakonodajalec ne samo da lahko, temveč mora zakonodajo prilagajati tem okoliščinam. v vašem vprašanju posebej izpostavljate moške, ki so se upokojili v preteklih dveh letih z odmernimi odstotki v višini , . v zvezi s tem bi rada poudarila, da so bili deležni in tudi bodo v prihodnje, če bo do njih prišlo izrednih uskladitev v zadnjih letih, čeprav niso nosili bremena neusklajevanja pokojnin v leti , tako imenovanih varčevalnih ukrepov, pa se jim kljub temu izredno usklajujejo pokojnine. glede na to, da obstajajo različne skupine zavarovancev, na katere bi zvišanje odmernih odstotkov ter uskladitve pokojnin lahko imele negativen vpliv, bo na ministrstvu pripravljena analiza uživalcev pokojnin in višine njihovih pokojnin, pri čemer bo mogoče primerjati vplive zakonodaje, ki je veljala v določenem obdobju, na višino odmerjenih pokojnin. v tej analizi bo ključnega pomena pridobiti prav podatke o morebitnem manj ugodnem položaju posameznih skupin upokojevalcev na račun zakonskih pogojev, ki so veljali v določenem času. če se bo ugotovilo, da so bile posamezne kategorije uživalcev starostnih pokojnin nesorazmerno prikrajšane, bo na tej podlagi mogoče pripraviti ukrepe. hvala lepa.",2020,01,"-
",,F,neutral
"hvala lepa za besedo. spoštovane kolegice poslanke, kolegi poslanci, spoštovani minister! vse več je ljudi, ki imajo težave pri izbiri osebnega zdravnika. ob že tako majhnem številu razpoložljivih osebnih zdravnikov se situacija še dodatno poslabša za paciente ob upokojitvah oziroma odhodih družinskih zdravnikov na druga delovna mesta. na to problematiko je pred kratkim opozorila tudi zastopnica pacientovih pravic v ljubljani gospa duša hlade zore, ki poziva k takojšnjemu ukrepanju. opozarja, da ljudje, ki ostanejo brez osebnega zdravnika, ne dobijo napotnic, ne dobijo bolniških listov in receptov za zdravila. naj ponazorim problematiko na primeru ljubljane, kjer se je od leta število ljudi, ki imajo izbranega osebnega zdravnika v ljubljanskem zdravstvenem domu, povečalo za več kot tisoč. poleg vedno večjega števila prebivalcev ljubljane je med pacientov zdravstvenega doma ljubljana še okoli tisoč ljudi, ki so v ljubljani zaposleni. vse to pomeni, da lahko ljudje, ki so v ljubljani, ostanejo brez svojega izbranega osebnega zdravnika, novega izberejo le med koncesionarji. navajam sicer podatke za ljubljano, vendar sem prepričan, da je stanje podobno tudi drugod, predvsem tam, kjer se število prebivalcev povečuje, in v krajih, ki so cilj vsakodnevnih delovnih migracij. dodatno omejitev sprejemanja novih pacientov predstavlja tudi znižanje normativa obremenjenosti oziroma glavarinskega količnika. naj poudarim, da ima zdravstveno varstvo v ljubljani združeno pod okriljem zdravstvenega doma ljubljana z razvejano mrežo zdravstvenih domov svoj namen. kvaliteto zdravstvene oskrbe občanom zagotavlja predvsem z zagotavljanjem široke ponudbe zdravstvenih storitev na enem mestu, česar samostojni koncesionarji ne morejo ponuditi. kot opozarja direktor zdravstvenega doma ljubljana rudi dolšak, se bo v naslednjih nekaj letih predvsem zaradi sprememb normativov povpraševanje po zdravnikih povečalo za . to je posebej očitno prav v ljubljani, ki zagotavlja zdravstvene storitve za širšo regijo, pri tem pa trpi tudi kvaliteta in dostopnost zdravstvenih storitev predvsem za ljubljančanke in ljubljančane. zanje med drugim ni ustrezno urejena sekundarna zdravstvena oskrba, čakalne vrste pa so ravno tukaj najdaljše. lepo bi prosil, da se to upošteva pri nadaljnjem ukrepanju. v luči opisane problematike bi vas, spoštovani minister, želel vprašati, najprej ali ste s to problematiko seznanjeni? potem pa me zanima kakšne ukrepe ministrstvo pripravlja za ureditev razmer in zagotovitev ustrezno dostopne zdravstvene oskrbe? kako bo ministrstvo pristopilo k reševanju razmer na področju zdravstvene oskrbe v ljubljani in drugod, kjer zaradi izvajanja zdravstvenih storitev za širšo regijo trpi dostopnost do zdravstvenih storitev?",2020,01,1978,SD,M,neutral
