text,leto,mesec,sent
"dr. mitja horvat, izvolite, imate besedo.",2018,01,neutral
hvala lepa. gospod jožef horvat bo predstavil stališče poslanske skupine nove slovenije krščanskih demokratov. izvolite.,2018,01,neutral
"hvala lepa za besedo. bom šla nekoliko dlje nazaj, pa niti ni tako zelo dlje glede na to, da danes razprave s strani koalicijskih poslancev praktično ni. naj se najprej ustavim pri levici. včasih se lahko smejemo njihovim razpravam, včasih pa ti ideološki pogledi že presegajo zdrav razum, in takrat se tudi jaz odločim, da neke stvari povem, in če ne drugega opozorim državljanke in državljane, kaj tovrstna ideologija prinaša. prinaša dežnik groze, pod katero živijo v severni koreji, prinaša razmere, ki jih živijo v severni koreji, kjer otroci hodijo v šole in na poti srečajo trupla, kjer odhajajo v šole podhranjeni in ne vedo, če se bodo vrnili živi domov, a ko pridejo domov, pogledajo k sosedom in tam vidijo prazno stanovanje, ker so ljudi odpeljali bogve kam. kadar gredo stvari predaleč v tej ideologiji in klicanju komunizma, blizu temu je bil tudi poslanec desusa, takrat menim, da je treba reči bobu bob. v sistemih, kot sta severna koreja in venezuela, je ta režim preprijet v vsako molekulo. žal tudi v sloveniji nekaterih teh molekul še vedno nismo razgradili. čas je, da se s tako terminologijo konča. uvodoma sem poslušala predstavnika ministrstva, vlade gospoda božiča, ki ga cenim v smislu, da je eden redkih, ki vsaj razpravlja, ko gre za različne predloge, drugače imamo po navadi tam molčeče predstavnike vlade, on se vsaj odziva. vendar pa mislim, da ga je malo spodneslo, ko je izjavil, da gre v tem primeru za ad hoc predlog vlade, kajti če je kaj v tej državi ad hoc, potem je ta vlada, kajti vodi jo stranka, ki je ad hoc nastala mesec dni pred volitvami. brez izkušenj, brez pravega programa in zato tudi rešitve, ki jih prinaša, niso dobre. niso dobre. ampak saj ni treba, da vam to govorim jaz, to vam sicer govorijo državljanke in državljani. če hodite na teren, vam dnevno povedo, s čim vse v tej državi niso zadovoljni. mi predlagamo konkretne ukrepe. zmotilo me je tudi stališče vodje poslanske skupine socialnih demokratov gospoda hana, ki je izjavil pozdravljamo tovrstne razprave, potrebne so tovrstne razprave, njihovi stoli pa so prazni, ene razprave niso bili sposobni sestaviti. in to je stranka, ki mislim, da se bori za to, da bi na prihodnjih volitvah prevzela vodenje te države. upam, da državljanke in državljani to gledajo. prav tako je nekorektna, vsaj nekorektna, predvsem pa neresnična njegova izjava, češ da slovenska demokratska stranka tovrstne predloge vlaga v zakonsko proceduro sedaj, ko smo tik pred volitvami. oprostite, jaz od te vlade pričakujem, da bo še kaj naredila do volitev. vsi drugi govorijo o volitvah, samo slovenska demokratska stranka vlaga predloge zakonov. tukaj prosim, da tega ne govorite in da pogledate, koliko konkretnih predlogov na račun izboljšanja stanja vseh delavcev v tej državi, pa tudi drugih, je slovenska demokratska stranka vložila v proceduro. v tem primeru vsaj preko . in zdaj naj se konkretno lotim predloga zakona, kajti o tem danes pravzaprav govorimo premalo. slovenski delavec z minimalno plačo je obdavčen, kar se tiče neto plače, dohodninsko . delavec s povprečno plačo, in to bom poudarila zakaj? ker je bilo prej govora o tako imenovanih povprečnih plačah. obdavčen je za neto plačo , spoštovani. . to je jasno tudi iz našega predloga zakona. in zdaj smo pri socialni državi. slovenija je socialna država, ampak mi odgovorite ali smo pravična socialna država? prej je že kolega marko pogačnik, ki je danes predlagatelj in mislim, da zelo strokovno argumentira naš predlog v vseh pogledih, jasno povedal, da se danes ljudje sprašujejo, ali se v tej državi splača delati. ali se splača zjutraj vstati, peljati jokajočega otroka ob pol v vrtec, ga tam pustiti do zadnjega, da se vrne domov, in potem seveda še iskati način, kako in kaj dati v lonec. po navadi s povprečno plačo, spoštovani, tako imenovani srednji razred, ki ga ta vlada najbolj tepe, res ga najbolj tepe, praktično na nek način najtežje živi. ne govorim, da so socialni transferji previsoki, ne. govorim, da so te plače preslabe. naš predlog z razbremenitvijo, z znižanjem davčne obremenitve pripomore vsaj kanček. nekdo bo rekel, saj ni veliko ja, za nekoga evrov ni veliko, za nekoga pa to predstavlja marsikaj. mislim, da celo, kolegica iva, več kot teden dni hrane. prav tako naš predlog ne govori samo o izboljšanju stanja delavcev, ampak tudi o tako imenovanih kmečkih družinah, če lahko temu tako rečem, kjer predlagamo znižanje, oziroma ko se določa katastrski dohodek, da se lestvica dvigne z na evrov. , veste, praktično težko govorite o tem, da je to nek prihodek, ki pomeni res preživetje in ne vem kakšno dodano vrednost. tudi to je predlog v tem zakonu, ampak seveda se ga ne želi izpostavljati preveč, kajti pri nas so res tisti ljudje, ki s svojim žuljem nekaj naredijo, po navadi porinjeni ob stran. rekli ste, kje vzeti. milijardi večji prihodki. zdaj boste rekli, ja pa saj, pa tudi če boste zdaj rekli milijardi, to je pavšalno, lahko boste rekli, točni znesek pa bo nekoliko nižji. ampak veste, problem je, kam gresta ti milijardi. če boste vprašali povprečnega slovenca na cesti, ali je prav, da iz davkoplačevalskih denarnic, iz denarnic državljank in državljanov, teh, ki sem jih prej omenjala eni so na minimalcu, eni ne dosegajo niti minimalne plače, ker je njihovo delovno mesto tako nizko sistematizirano, ali pa tisti, ki delajo za povprečno plačo, pa zaradi odstopanja ne dobijo socialnih transferjev in živijo ravno tako slabo ali si želijo večjo plačo, ali je za njih pomembno, da se na primer v kulturi da milijone evrov nekomu, ki spremeni ime, vzame ime politika, potem pa se slika nag in za to dobi milijone evrov. pa mi povejte, kje je tukaj zdrav razum?! res mi povejte, kje je tukaj zdrav razum, predvsem pa, kje je tukaj kulturna dodana vrednost. ne, seveda, plačuje se norčevanje iz politika, ki ga hočete na vsak način diskreditirati. kot drugo ali je res potrebna na tak način dokapitalizacija sdh pa dutb ali je treba tam narediti red pa prihraniti ta denar pa ga nameniti slovenskim delavcem in slovenskim kmetom? mene boste težko prepričali, da temu ni tako in da je bila ta dokapitalizacija upravičena ob tem, da se nič ne spremeni! kar se tiče nove ljubljanske banke, vam tako govorijo drugi, kaj počnete. skratka, ne govoriti o tem, da ni denarja, ne govoriti o tem, da slovenska demokratska stranka vlaga populistične zakone brez podlage. oglašanje iz dvorane ne se smejati temu, gospa. jaz se temu ne bi smejala. vi imate plačo, nekdo drug pa, veste, za teh evrov ne ve, kako naprej. pojdite pogledat zdravstvene domove. marsikdaj so polni ljudi ne zaradi bolezni, ampak zaradi socialne stiske, ki posledično privede do tega, da so ob svoje zdravje. tudi to je začaran krog. tukaj imamo konkreten predlog, povedali smo izračun, povedali smo, kje se da vzeti, povedali smo vam, da spite, kar se tiče črpanja evropskih sredstev. prav tako so bili izpostavljeni davčni dolgovi, ampak ne jih izterjati na ta način, da pridete do pridnega podjetnika, ampak morda politično najbolj ne ustreza vaši opciji in potem inšpekcija nanj pritiska, češ, nekaj pa vam bodo našli, za vas je boljše, da naredite samoprijavo. in ljudje se v obupu in zato da imajo mir samoprijavijo! oglašanje iz dvorane to se dogaja. ne odkimavati, to se dogaja! na teren pojdite, spoštovani. na teren pojdite, pa vam bodo ljudje povedali. in to so ljudje, ki imajo več zaposlenih. to ni pošten način pobiranja davkov. tako se z državljankami in državljani, s temi, ki ustvarjajo v tej državi, pač ne počne. davke in davčne dolžnike je treba pridobiti oziroma poskrbeti za dolgove na pošten način in pri tistih, ki jih utajijo. in ne iskati luknje tam, kjer ljudje pošteno delajo in potem naredijo samoprijavo iz strahu in da imajo mir. v slovenski demokratski stranki predlagamo, da dobi tisti s povprečno plačo okoli evrov večjo neto plačo oziroma da se pozna, kar se tiče dohodninskega razreda, za odstotni točki in se to potem pozna vsakemu v denarnici. ne govorite državljankam in državljanom, da nam gre dobro. ne govorite, da je gospodarska rast in da sije sonce. to boste lahko govorili takrat, ko boste sprejeli tovrstne ukrepe, ki bodo dejansko v njihove denarnice prinesli evre. ni veliko, je pa pomembno za tiste, ki so na robu preživetja.",2018,01,neutral
"hvala. zelo sem vesel, kadar kdo uporabi zelo gromoglasne besede, kot je recimo osebna integriteta. dr. brglez, osebna integriteta nekoga, ki je na funkciji, najbrž zahteva tudi sprejemanje odgovornosti. in ko je ta parlament pod vašim vodstvom protiustavno, očitno protiustavno in protizakonito jemal mandat enemu od poslancev, sem vas opozoril, da je to v očitnem nasprotju z že sprejetimi odločbami slovenskega ustavnega sodišča in evropskega sodišča za človekove pravice in sem tudi prebral te judikate. in takrat ste vi izjavili, da če bo res prišlo do kakšnih posledic, boste za to prevzeli odgovornost. to se pravi, če govorite o osebni integriteti, prevzemite odgovornost in odstopite že enkrat, takoj! potem ste upravičeni in imate neko integriteto govoriti o osebni integriteti, če pa tega ni, je pa to politikantstvo najslabše vrste. zdaj pa drugo, ko pa govorite o humanizmu. glejte, begunstvo seveda ni kar tako, če nekdo pobegne potem je vsakdo, ki se skriva pred prevarano ženo, upravičen do statusa azilanta in bo deležen vse podpore te vlade, po tej vaši logiki, ki ste jo zdaj razvili. se pravi, izpolnjen mora biti en povsem drugačen pogoj dejansko mora biti ogroženo njegovo življenje in osebna integriteta v državi, od koder prihaja. s tem da po mednarodnem pravu, to sami dobro veste, ima potem pravico zaprositi za azil v prvi varni državi. če pa se on odloči in gre naprej, pa to ni več azilantstvo, to je potem tisto, čemur se je vedno reklo azilni šoping in se je, mimogrede, tudi kazensko preganjalo v evropski zakonodaji, potem si je pa po intervenciji iz berlina pri gospe merkel celotna evropska unija vzela kar pravico, da krši svoje lastne pravne akte in da iznenada svojih lastnih pravnih predpisov, ki so zavezujoči in veljalo tudi ta hip, ne izvaja več in temu je žal podlegla tudi vlada republike slovenije. če želite govoriti o pravu in pravnem redu, potem je pač to treba gledati kot celoto. in ko govorite o človekovih pravicah in zaščiti jaz govorim tudi o človekovih pravicah in zaščiti, samo je treba upoštevati oboje tiste, ki prihajajo in seveda tiste, ki tu živijo. in vedno bom zagovarjal, da je slovenija dom vseh državljank in državljanov, tistih, ki tu živimo. in vsakdo, ki ima svoj dom, ima pravico odločiti. kdo k njemu pride, ne pa da nekdo to kar vsili pa še zaračuna zraven. to je zdajle trenutno logika evropske unije in tudi slovenske vlade, konkretno v primeru ahmada shamieha nihče nikogar ni nič vprašal, to se kar tako. če boste vprašali ljudi, bodo vsi rekli, oprostite, tisti, ki vstopi nezakonito, ga je treba poslati, od koder je prišel. pika. razen seveda, če bi bilo res ogroženo njegovo življenje, ampak ali je na hrvaškem ogroženo življenje ahmada shamieha? slovenci plačujejo, da gredo na hrvaško, tukaj gre pa samo za to da bi ga na stroške davkoplačevalcev prepeljali na hrvaško, ki bi potem skladno s pravnimi normami naprej odločala o njegovi usodi, pa se iz tega dela nepopisen cirkus in bi rad vedel, zakaj, pa pri tem se, mimogrede, seveda še grobo krši zakone. in ne govoriti, da se ni kršilo zakonov. rekli ste, individualna krivda pa poglejmo citat, sporočilo za javnost vlade republike slovenije, citat dr. cerarja, ki se je po proučitvi vseh pravnih in drugimi okoliščin tega primera odločil ustaviti postopek za vrnitev na hrvaško. on? pa čakajte, no! ta postopek je bil pravnomočen, bil je izvršljiv in bil je dokončen, v tistem trenutku o tem ni bilo najmanjšega dvoma, peljalo ga je ministrstvo za notranje zadeve, ministrica za notranje zadeve je ravnala do konca korektno. to so potrdile vse sodne instance, ne samo v sloveniji, vključno z ustavnim sodiščem in vrhovnim sodiščem, ampak celo evropsko sodišče za človekove pravice. zdaj se iz tega dela neka štrena seveda, ker pri nas lahko narediš na pravnem področju karkoli, ampak to samo kaže na nepravnost te države. ampak to tistega trenutka in tistega ravnanja v ničemer ne spremeni, pravnoformalno gledano, in to bi vi morali vedeti. saj verjetno veste, zato pa zdajle tudi rajši klepetate, kot da bi to poslušali, in to zelo veliko pove.",2018,01,negative
hvala lepa. mag. marko pogačnik bo predstavil stališče poslanske skupine slovenske demokratske stranke. izvolite.,2018,01,neutral
"glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti pa . za je glasovalo . proti . ugotavljam, da je zbor sklep sprejel, zato je postopek obravnave predloga deklaracije končan. s tem zaključujem . točko dnevnega reda. prekinjam . sejo državnega zbora, ki jo bomo nadaljevali jutri ob . uri.",2018,01,neutral
"najlepša hvala za besedo, spoštovani predsednik. spoštovani predsednik vlade, člani vlade, spoštovane poslanke in poslanci! kar se postopka tiče, tudi jaz pogrešam nekaj drobnih stvari, tako da lahko kar se očitkov, ki so bili izrečeni glede samega postopka, zdaj na tem mestu seveda izrazim svoje začudenje, da če se toliko govori danes o odločbah ministrstva za notranje zadeve in cele vrste sodišč, da v gradivu za današnjo sejo nimamo nobenega od teh dokumentov. med gradivom imamo samo ustavo in zakone, kar verjetno ni gradivo ravno za to sejo, ker gre za splošno veljavne akte, ki zavezujejo vse. vse kar vidim med temi stvarmi, je pojasnilo mnz v primeru ahmada shamieha z dne . . in www.vlada.si, sporočilo za javnost na katero mislim, da so se sedajle pravkar sklicevali in pa sporočilo sta z dne . . , sirski begunec za sedaj ostaja v državi, o njegovi usodi bo odločala vlada, zbirno, pripravila tjaša doljak. to je vse, kar imamo za današnjo sejo in se mučimo. in seveda je predsednik vlade, kot je sam lepo tudi povedal in seveda tukaj odločno zavračam očitke, ki jih je vodja poslanske skupine slovenske demokratske stranke izrekel, da predsednik vlade ne odgovarja. saj z razpravo smo pravzaprav šele dobro začeli in če kdo, potem seveda zagotovo gospod tanko ve, da se predsednik vlade oglaša takrat ko šteje to za primerno in potrebno. očitno je ocenil, da v tem času, kolikor je do sedaj trajala razprava, še ni bilo zadosti razlogov, da bi odgovarjal na tisto, zaradi česar imamo danes sejo o ustavni obtožbi. širitev na razna druga vprašanja, ki jih seveda redno pri tovrstnih sejah postavlja tudi spoštovana poslanka irgl, je nekaj, česar smo tudi vajeni. in jaz verjamem, da bo takrat ko bo predsednik vlade štel to za primerno, na ta vprašanja tudi odgovoril. bi pa prosil spoštovanega kolega tanka, da nas ne ovira pri našem delu in da neha postavljati postopkovna vprašanja, zato da bomo lahko opravili vsaj pretežen del razprave poslancev in bomo seveda potem temu primerno lahko tudi ocenjevali tovrstne predloge. mislim, da je bil preuranjen v tem delu in da niti približno še nismo prišli tako daleč v razpravi, da bi kogarkoli pozivali, zaradi tega ker gre za izredno sejo državnega zbora, ne pa kakršnekoli vrste postopek, kjer bi bil kdorkoli tukaj dolžan odgovarjati na kakršnakoli izključen mikrofon",2018,01,neutral
"hvala lepa. besedo dajem predlagatelju predloga deklaracije janku vebru za uvodno predstavitev stališča do predloga matičnega delovnega telesa. izvolite, gospod janko veber.",2018,01,neutral
hvala lepa. sledi predstavitev stališč poslanskih skupin. gospod luka mesec bo predstavil stališče poslanske skupine levica. izvolite.,2018,01,neutral
"hvala lepa, spoštovani gospod predsednik. spoštovani predstavniki vlade, spoštovani kolegice in kolegi! ujma je naravni pojav, torej je pojav v naravi, ki povzroča, povzroči veliko škodo. imamo zelo različne vrste ujm. in pozdravljam današnjo razpravo, kjer tudi sam pričakujem, da bi tukaj moralo grmeti, morale bi udarjati strele, seveda z besedami. besede bi morale grmeti in besede bi morale biti strele, ker naše edino orodje v tej dvorani so besede, je govor, je razprava. obžalujem, da je vlada, vsaj tako ocenjujem, s čim manj energije zavrnila ta predlog zakona. moja razprava bo šla v širši smeri, ne bom se osredotočil samo na vremensko ujmo, ki je bila med . in . decembrom lansko leto, ampak širše. zakaj? ker pomembnih vprašanj tukaj enostavno nimamo rešenih. ne kažem s prstom samo na to vlado, ampak na vse vlade, ki bi dejansko to vprašanje že morale rešiti. mi smo v teh dneh dobili pomemben dokument, strategijo razvoja slovenije , ki ga je sprejela vlada. moto te strategije je slovenija, država kakovostnega življenja za vse. nekatere zadeve so dobro napisane, seveda smo lahko tudi do kakšnega poglavja kritični. najprej pohvalim, so dobro zapisane. če bi želeli uresničiti to, kar je tam zapisano, potem bi morala ta vlada že zdaj, v tem mandatu ukrepati in iti po smereh te strategije. zakaj? ker slovenija bo že jutri. to je bližnja prihodnost. in premalo razmišljamo srednjeročno in dolgoročno. premalo. in tudi premalo se zavedamo, da imamo podnebne spremembe, ki povzročajo vse pogostejše in vse bolj katastrofalne ujme. ker je dr. mitja horvat nekako dovolil, da se v tej razpravi dotaknemo tudi prostovoljnih gasilcev, bom razpravo nadaljeval na tem področju. res je, prostovoljni gasilci so tisti, ki najbolj razumejo, kaj pomeni ljubezen do bližnjega in ljubezen do narave, ker so tisti, ki rešujejo človeška življenja in premoženje. čeprav je regija, iz katere prihajam, najmanj razvita regija kar se pa gasilstva tiče, pa lahko rečem, da smo zelo razviti. ko je bilo prekmurje leta priključeno matici sloveniji, in kot so ljudje takrat rekli, da je nastopila svoboda, takrat so se začela masovno ustanavljati tudi prostovoljna gasilska društva. in najbolj sem vesel, da danes mladi želijo biti člani prostovoljnih gasilskih društev, da želijo biti člani operativnih enot in da pomeni mladim biti gasilec, da je to statusni simbol. zdaj pa poglejmo, kako ta vlada gleda na gasilce. seveda, vsakdo jim čestita, se jim gre prikloniti, se slika, ker je to za piar predsednika vlade ali ministra zelo prikladno. in potem jim obrne hrbet in gre. in ko je veliko gasilcev na kupu, pride ministrica, ki bi nekako morala biti zaščitnica prostovoljnih in drugih gasilcev, in pravi status vseh prostovoljcev, ki so vključeni v gasilstvu, želimo izboljšati s spremembo zakona o gasilstvu. to je bilo . februarja lansko leto. sem pogledal, kje je zdaj ta zakon o gasilstvu če dobro vidim, dobro berem, potem se je nekje ustavil v javni obravnavi, ker so združenja občin, skupnosti občin pozvale občine, ki so pri prostovoljnem gasilstvu zelo pomembne, da dajo svoje pripombe. in zdaj smo na koncu mandata, mandat je praktično zaključen in izgleda, da iz tega zakona o gasilstvu ne bo nič. ostale bodo samo fotografije premiera, ministrov, ministric s prostovoljnimi gasilci. gospe in gospodje, to je premalo. to je delanje norca iz prostovoljstva, na katerega je pa slovenija res lahko ponosna. zaključujem s tem, da napovedujem, da bo nova slovenija, verjetno že danes, vložila zahtevo za sklic nujne seje pristojnih odborov, kjer bomo govorili o suši kako se ubraniti pred sušo, ki je prav tako tudi ujma. hvala lepa.",2018,01,neutral
