text,leto,mesec,sent
"besedo ima predstavnica vlade, državna sekretarka na ministrstvu za zdravje gospa nina pirnat.",2017,01,neutral
"hvala lepa, predsednik za besedo. jaz sem zdaj še enkrat temeljito pogledal poslovnik in sem pogledal tudi pristojnosti predsednika državnega zbora republike slovenije. res je, da vi sklicujete seje državnega zbora ter jih tudi vodite. pogledal sem tudi to, da lahko prekinete sejo, ampak ker ste prvi med enakimi, bi bilo korektno in pošteno do nas, poslank in poslancev, da nam poveste, zakaj ste prekinili sejo za skoraj dve uri. to bi bilo korektno in pošteno. jaz vedno bolj dobivam občutek, če nekdo zasede tisti stol tam zgoraj, da potem izgubi neko določeno razsodnost pri takšnih zadevah. in vas lepo prosim, gospod predsednik, upam, da smo toliko vredni, da nas informirate, zakaj ste to naredili.",2017,01,neutral
"hvala lepa. besedo ima gospod marijan pojbič, pripravi naj se gospa vesna vervega. izvolite, gospod pojbič.",2017,01,neutral
"hvala lepa. vlada se zaveda, da kljub temu da uspešno vlečemo državo iz kriznih razmer, kot veste, so kazalci dobri, kljub temu da sprejemamo socialne ukrepe, da je vedno večja zaposlenost, vedno več ljudi lahko dela, imamo še vedno takšne, ki zaslužijo malo. tudi po naši oceni je to problem. ampak ko govorimo o minimalni plači, moramo reči, da je slovenska minimalna plača med višjimi v okviru evropskih držav po uradnih statistikah. in seveda se trudimo, da bi jo še zvišali. letos jo bomo tudi, ampak naj najprej povem, kar je zelo pomembno. pri zviševanju minimalne plače je vedno treba upoštevati tudi učinek na gospodarstvo, se pravi tudi druge zadeve in druge deležnike. zakon pravi, da se lahko znesek minimalne plače enkrat letno uskladi najmanj z rastjo cen življenjskih potrebščin, to bomo zagotovo naredili tudi letos pri čemer pa bi se lahko minimalna plača povečala tudi glede na kriterij, kot so gibanje plač, gospodarske razmere oziroma gospodarska rast in, tretjič, gibanje zaposlenosti. vse to mora biti upoštevano. če pogledamo te kriterije, vidimo, da so pri vseh kriterijih pozitivni trendi. imamo , odstotno rast plač za obdobje januar november glede na enako obdobje predhodnega leta, imamo , odstotno gospodarsko rast za obdobje januar september glede na enako obdobje lanskega leta in imamo , odstotno rast zaposlenosti glede na isto obdobje lanskega leta. na seji ekonomsko socialnega sveta je zato ministrica za delo že napovedala, da bomo povišali minimalno plačo. najprej jo bomo uskladili z rastjo življenjskih stroškov, to je prvi ukrep. potem pa jo bomo zvišali skupaj za , , kar pomeni, da bo za leto znašala , evra. predloga niso podprli ne sindikati, ki si želijo več, ne gospodarstvo, ki ostro nasprotuje temu ukrepu. končni predlog za uskladitev minimalne plače in za to povečanje , upošteva vse te kriterije, ki sem jih povedal pri tem pa je pomembno, da rast minimalne plače ne prehiteva rasti povprečne plače, to je , . z dvigom minimalne plače v enakem odstotku, kot je zrasla povprečna plača, bomo zagotovili ohranitev razmerja med minimalno in povprečno plačo, hkrati pa bomo s tem tudi prispevali k izboljšanju socialnega položaja zaposlenih z najnižjimi dohodki. naj tu še rečem, da smo glede minimalne plače že v letu sprejeli zelo pomemben ukrep. takrat smo odločili, da se trije dodatki, to je dodatek za nočno delo, za praznike in za nedelje, ne upoštevajo več v minimalno plačo, kar je bil tudi socialni ukrep v korist delavcev. moramo pa reči nekaj, da strokovnjaki ugotavljajo, če pride do prekomernega povišanja minimalne plače, lahko to tudi ogrozi delovna mesta, saj se v takem primeru lahko zmanjšuje zaposlenost in ima to lahko tudi druge negativne učinke na gospodarstvo, torej na izvoz konkurenčnosti in na gospodarsko rast. zato mora vlada tu odgovorno, in tako bo ravnala tudi ministrica, tehtati med vsemi temi dejavniki, ki smo jih vzeli v obzir. ampak poudarjam, gremo v to povišanje minimalne plače, v uskladitev in povišanje seveda pa v meri, ki omogoča neko vzdržnost na strani delovanja sistemov, kot je gospodarstvo in tudi sociala. in tudi to ne drži, naša dohodninska mini reforma, torej tisto, kar je bilo v okviru prestrukturiranja davkov storjenega lansko leto, je ravno tistim z nižjimi dohodki prinesla olajšave na dohodninski lestvici. tudi tu je vlada uvedla ta ukrep. poudarjam pa, da najboljši socialni ukrep za mene osebno in verjamem, da mnogi delijo moje mnenje je zagotoviti več dela. in če bo gospodarstvo uspešno, če bomo konkurenčni, kar smo, vedno bolj, vsak mesec bo še več zaposlenosti. vemo, da smo zaposlili tisoč mladih v zadnjih dveh letih na novo. vemo, da se je zaposlenost bistveno povečala tudi med mladimi, za samo med mladimi. vemo, da je nezaposlenost po šestih letih padla pod tisoč. to je tisto, kar je najbolj pomembno, da ne bomo več samo s socialnimi transferji pomagali ljudem, ampak s tem, da jim omogočimo človeka dostojno delo in tako tudi življenje. seveda pa tudi ukrepamo, kot sem rekel, na področju minimalne plače v korist tistih, ki jim moramo pomagati, ker so resnično nekako na dnu, da tako rečem. in s tem bo vlada nadaljevala. izklop mikrofona",2017,01,neutral
"gospod ivan škodnik, imate besedo, da zahtevate dopolnitev odgovora.",2017,01,neutral
"spoštovani predsednik, cenjeni poslanke in poslanci! s predlaganimi rešitvami se želi odpraviti podnormiranost veljavnega zakona o nadzoru državne meje, saj ste s postavitvijo tehničnih ovir posega v ustavno pravico lastnine ni pa predvideno, da bi se subjektom zagotovila ustrezna odškodnina ali bi se jim omejila lastninska pravica s služnostjo. ministrstvo za notranje zadeve in vlada se je za ureditev tega področja zavzela že takoj ob začetku postavljanja začasnih tehničnih ovir, torej novembra , da se zagotovi ustrezno nadomestilo zaradi postavitve začasnih tehničnih ovir oziroma zagotovi oprostitev plačila dela koncesijske dajatve koncesionarjem, torej ribičem in lovcem. tako predlog zakona sedaj določa upravičenost do nadomestila lastniku ali posestniku, ki uporablja zemljišče, in postopek uveljavljanja nadomestila, če je za opravljanje nalog nadzora državne meje potrebna uporaba zemljišč omejitev lastninske pravice s služnostjo v javno korist in postopek, če je za opravljanje nalog nadzora državne meje potrebna trajnejša in nepretrgana uporaba zemljišč, ki traja dlje kot mesecev evidenco nadomestil in služnosti v javno korist, s sankcijo za poseganje v tehnična in druga sredstva ali onemogočenje njihove uporabe, namestitve in drugih sredstev ter uskladitev z ministrstvom, pristojnim za okolje, za redno usklajevanje zaradi izvajanja gospodarskih javnih služb, urejanja voda in državnega monitoringa obveznost policije, da v sodelovanju z ministrstvom, pristojnim za okolje, pripravi načrt in pridobi oceno vplivov namestitve začasnih tehničnih ovir na naravo in predvidi tudi že posamezne omilitvene ukrepe, ki so nujni za ohranjanje biotske raznolikosti in ohranjanje narave. določena je pravna podlaga in postopek, s katerim bodo koncesionarji, torej lovske in ribiške družine, upravičeni do oprostitve plačila dela koncesijske dajatve. s ciljem učinkovitejšega delovanja policije pri nadzoru državne meje in uskladitve z drugimi predpisi se določa celovita in jasnejša ureditev tehničnih sredstev za nadzor državne meje. tehnična sredstva za fotografiranje, video in avdiosnemanje, sredstva za identifikacijo oseb, vozil in predmetov, pri čemer so upoštevane nove tehnologije, na primer abc vrata. jasno bo določen tudi sistem za avtomatsko prepoznavo registrskih tablic, ki je že sedaj nameščen na nekaterih mejnih prehodih. spreminjajo se pristojnosti upravnega organa za carinske zadeve na mejnih prehodih, na katerih se carinski nadzor ne izvaja več. spreminja se standard pri izvajanju izravnalnih ukrepov in na ta način poenoti terminologijo pravil standardov z zakonom o nalogah in pooblastilih policije. namesto utemeljene verjetnosti bo sedaj standard če je glede na okoliščine mogoče pričakovati . v okviru izvajanja izravnalnih ukrepov bo mogoče v nekaterih primerih odstraniti carinsko oznako že pred prihodom pooblaščenih uradnih oseb, pristojnega organa za carinske zadeve na kraj izvajanja postopka, s čimer se bodo policijski postopki v teh primerih skrajšali. zakonik o schengenskih mejah je delno spremenil tudi obveznost kapitana ladje glede poročanja podatkov o potnikih in posadki, zato je treba spremeniti tudi določbe zakona o nadzoru državne meje, v katerih so predpisane sankcije za kršitve navedenih obveznosti. zaradi uskladitve terminologije, ki se uporablja v pomorskem zakoniku, je zamenjan tudi izraz ladja z izrazom plovilo, saj plovilo predstavlja širši pojem in gre za vsa sredstva, s katerimi je mogoče pluti po morju, ki so tudi krajša od metrov. odpravlja se soglasje ministrstva, pristojnega za promet, v primeru ustanovitve začasnega mejnega prehoda na vojaškem letališču cerklje ob krki. jasno se določa, da ima zadržana oseba vse pravice pridržane osebe, določene v zakonu, ki ureja naloge in pooblastila policije. predlog zakona je bil obravnavan na odboru za notranje zadeve, javno upravo in lokalno samoupravo ter komisiji državnega sveta za državno ureditev, kjer je zakon dobil podporo. hkrati pa predlagamo tudi, da se tretja obravnava navedenega zakona opravi na isti seji. hvala.",2017,01,neutral
"hvala. da, novelacija odloka se že pripravlja in predvidevamo, da bo noveliran odlok za mestni občino celje po sprejemu tudi na občinskem svetu javno objavljen za javno obravnavo. imam pa v drugem delu torej, ko država občino prisili, da nekaj izvede, nekaj težav. v mojem poznavanju delovanja občine bi morala občina storiti vse za izboljšanje kvalitete okolja svojih prebivalcev. pri tem je moje mnenje, da država ne bi se posluževala prisile, je pa ta del predmet razprave, in sicer pripravljamo zakon o varstvu okolja in razmišljamo o morebitnih ukrepih, vendar konkretnega odgovora danes še ne morem podati. hvala.",2017,01,neutral
besedo ima gospa maruša škopac. pripravita naj se gospa jelka godec in gospod marijan pojbič.,2017,01,neutral
"hvala lepa. gospod breznik, zahtevate dopolnitev odgovora? izvolite.",2017,01,neutral
"gospod benedikt kopmajer, imate besedo. izvolite.",2017,01,neutral
