text,leto,mesec,sent
hvala lepa. besedo ima gospa iva dimic.,2016,01,neutral
"hvala za besedo, predsednik. lep pozdrav še enkrat vsem v dvorani! že na seji odbora za zdravstvo sem rekla, da se mi zdi, da samo ministrstvo za zdravje potrebuje zdravnika, pa je čisto vseeno, ali gre za koncesionarja ali pa za zdravnika iz javne dejavnosti. zakaj tako mislim? danes je že bilo večkrat omenjeno, bom še enkrat omenila, pa mislim, da bi še lahko dvakrat, trikrat pa bo ministrstvo ponovno enako ravnalo. pri pravilniku o nujni medicinski pomoči smo se srečali s tem, da je državni zbor sprejel priporočila, da je treba pred objavo tega pravilnika v uradnem listu o tem seznaniti odbor za zdravstvo. seveda se to ni zgodilo, ministrstvo poslalo pravilnik v objavo v uradni list, šele nekaj dni kasneje nam je poslalo pravilnik na naše klopi. in moram reči, da sem tudi pričakovala, da bo glede tega reagiral vsaj predsednik odbora za zdravstvo pa nič. ministrica se v medijih, vsem nam je dobro znano, še kako rada hvali in razlaga, kako je naš zdravstveni sistem dober in kaj vse je že bilo v njenemu letu in pol trajajočemu mandatu napravljeno. pa če pogledamo, v državni zbor smo na klopi dobi pravilnik o nujni medicinski pomoči, dve spremembi zakonov in zakon o investicijah v javne zavode, ki pa je po našem mnenju tudi diskriminatoren, na kar smo tudi na sami seji opozorili. da smo pričakovali vsi reformo ali, bom rekla, spremembo zdravstvenega sistema, je nam vsem jasno ampak jasno nam je tudi to, da smo jo pričakovali zaman. seveda smo pričakovali, da se bo ministrica najprej lotila določitve javne mreže, o kateri je danes precej govora, da bo ministrstvo določilo standarde in normative, da bo pripravilo nek program učinkovitega zmanjševanja čakalnih vrst, spremembo pri vodenju javnih zavodov, finančno vzdržen sistem in da se bo lotilo tudi zakonodaje na področju dolgotrajne oskrbe. vse to čakamo zaman in še kar čakamo. jaz vsaj upam, da ta analiza, ki jo je dalo ministrstvo pripraviti nekim tujim strokovnjakom in zanjo plačalo tisoč evrov, ni pokazala, da so najbolj pereča tema na področju zdravstva koncesije in da je zato treba takoj pristopiti k spremembi zakona o zdravstveni dejavnosti. tukaj bi rada še enkrat, čeprav sem že v svojem stališču poudarila, da je mnenje stroke, da je to poglavje koncesij v zakonu o zdravstveni dejavnosti dobro urejeno. stroka pravi, da bi bilo zakonodajo treba le izvajati in seveda spoštovati. ministrstvo pa je mnenja, da če pride do kakšne kršitve, da je treba takoj spremeniti zakonodajo, ne da bi se opravil nek nadzor. in ko sem že prej omenjala tole slavno analizo zdravstvenega sistema v sloveniji, moram reči, da ne razumemta analiza zdravstvenega sistema je bila naročena s strani ministrstva v juniju . junij . resolucija o nacionalnem planu je bila prvič predstavljena junija , dana v javno razpravo do avgusta v mesecu decembru pa nam je bila dostavljena na naše poslanske klopi .. naj še enkrat spomnim, da je bila analiza naročena junija in nam prvič predstavljena januarja . ampak v analizi piše na podlagi rezultatov analize zdravstvenega sistema je nastala resolucija o nacionalnem planu zdravstvenega varstva . če kdo to v tej dvorani razume, prosim, če se lahko dobimo po končani seji, da mi to razložite, kako je lahko prišlo do take situacije. še malo bom ostala pri tej analizi. mene bi zelo zanimalo, če bi lahko izvedeli, kakšne podatke je ministrstvo poslalo tem tujim strokovnjakom za ocenjevanje našega zdravstvenega sistema, na podlagi katerega je bila ta analiza slovenskega zdravstva pripravljena. sliši se oziroma, bom rekla v narekovajih, govori se, da so bili tej komisiji poslani napačni podatki. mislim, da bi bilo treba te podatke preveriti in izvedeti, kdo je sodeloval v tej delovni skupini, ki so pripravljali ter pošiljali te podatke v tujino. moram reči, da nimam zaupanja v ministrstvo in se bojim, da jim tudi težko zaupamo, če samo pogledamo primer, ki ga je ugotovilo računsko sodišče novembra lanskega leta, ko se strokovne službe ministrstva za zdravje pri pripravi nekega enostavnega obrazca za vodenje medicinske opreme niso mogle poenotiti glede vsebine tega obrazca zato so raje prenehale zbirati te podatke o medicinski opremi. kot sem že rekla, to ni moja pogruntavščina, to je v zapisniku računskega sodišča. če se pri takih malenkostih strokovni sodelavci ministrstva ne morete poenotiti, je vprašanje, kaj je s kakšnimi resnejšimi podatki. zanimivo bi bilo tudi vedeti, kdo vse je bil imenovan v to delovno skupino za pripravo zakona o zdravstveni dejavnosti in zakaj glede na . člen zakona o zdravniški službi s strani zdravniške zbornice ni bilo njihovega predstavnika. še več, zbornica trdi, da s tem, da se pripravlja sprememba zakona o zdravstveni dejavnosti, sploh ni bilo seznanjena. in ko je danes iz zvrst koalicije prihajalo kar tako na pamet, vam bom prebrala dopis zdravniške zbornice z dne . . , s katerim zahtevajo umik predloga zakona o zdravstveni dejavnosti iz javne razprave. pravijo zdravniška zbornica slovenije podaja najostrejši protest nad predlogom zakona o zdravstveni dejavnosti, ki ga je ministrstvo za zdravje posredovalo, predstavilo . septembra in zahteva, da ministrica predlog umakne iz javne razprave. zbornica zaključuje to pismo in pravi zbornica najostreje kritizira tudi postopek sprejemanje zakona, saj ministrstvo v izrecnem nasprotju z . členom zakona o zdravniški službi zbornici ni omogočilo nikakršnega sodelovanja v postopku oblikovanja besedila predloga pravzaprav zbornica z dejstvom, da ministrstvo pripravlja spremembo zakona, sploh ni bila seznanjena. to je pismo z dne . oktobra ministrstvu za zdravje. v zvezi s tem bi rada prebrala še, kaj pa meni vlada oziroma njeno mnenje k predlogu naših priporočil v zvezi z izpolnjevanjem tega . člena zakona o zdravniški službi. vlada pravi, da je treba upoštevati, da je vlada republike slovenije regulatoren organ, ki oblikuje in udejanji politiko v zdravstvu, ter ima pravico in tudi obveznost oblikovati delovno gradivo in pri tem upoštevati splošne koristi ter slediti tudi zastavljenim političnim ciljem. zato je nujno in legitimno, da se pri pripravi strateških dokumentov osnovni koncepti oblikujejo v okviru vlade republike slovenije, šele nato pa se posredujejo v mnenje ostalim deležnikom. dobro, če je takšno tolmačenje vlade, potem pa ministrstvo sprašujem, zakaj pa ste pri sklepu o pripravi novega zakona o zdravstvenem varstvu in zdravstvenem zavarovanju v to delovno komisijo imenovali tudi predstavnika zavoda za zdravstveno zavarovanje in mislim, da tudi predstavnika nacionalnega inštituta? pa naj veljajo povsod enaki vatli. na ustno poslansko vprašanje moje kolegice jelke je ministrica . oktobra v zvezi s tem predlogom sprememb zakona o zdravstveni dejavnosti dejala, da je ključni namen sprememb tega zakona, da se odpravijo anomalije. takole jih je naštela urediti je treba nekontrolirano prodajo koncesij, ker da se na terenu dogaja, ko gre na primer koncesionar v pokoj, se koncesija neuradno prenese brez soglasja na nekoga drugega in se za to zaračuna renta. v zvezi s tem me je na odboru zanimalo, ali ima ministrstvo mogoče kakšen podatek, koliko je bilo na primer prodaj teh koncesij v zadnjih petih letih, da ministrstvo lahko trdi, da je to razlog za spremembo te zakonodaje. ministrstvo se je po besedah ministrice za spremembo zakona odločilo tudi iz tega stališča, da naj bi se koncesije podeljevale na javnem razpisu, in sicer z namenom, da koncesionarji dopolnjujejo javno mrežo javne zdravstvene službe. to se mi zdi pa najbolj smešno od vsega. zakaj? danes smo že večkrat slišali, še vedno nimamo pripravljene mreže javne zdravstvene službe. ne vem, ali se malo hecate iz nas, ali nas hočete tako kot kolega zorman prepričevati, da imamo javno mrežo na primarni ravni za neke družinske zdravnike in tako naprej. mreže še vedno ni! ministrstvo s tem, ko tako grobo posega v koncesije, tudi trdi, da se bodo s tem zmanjšale čakalne vrste. in moram reči, da tudi tega ne razumem. vidim, da se spoštovane gospe iz ministrstva spogledujeta, ampak to imamo tukaj zabeleženo iz seje. zelo me zanima, na podlagi kakšne analize je ministrstvo oziroma mogoče sama ministrica prišla do tega zaključka? stroka, bom še enkrat ponovila, je tu drugačnega mnenja sicer bom pa rekla, da smo nekako vajeni, da ministrstvo spregleda stroko ali pa je rajši sploh ne upošteva. pa kljub temu bom povedala, kaj pa meni stroka v zvezi s spremembo tega zakona o zdravstveni dejavnosti. po mnenju stroke predlog uničuje koncesionarstvo kot del javne zdravstvene mreže. noben zdravnik namreč ne bo več želel zaprositi za koncesijo zaradi visokega finančnega vložka, to smo že tudi danes slišali. in preden posameznik lahko zaprosi za koncesijo, mora, nam je vsem znano, izpolnjevati številne pogoje, zagotoviti mora ustrezne prostore, opremo in tudi kader. iz podatkov slovenskega združenja zdravnikov in zobozdravnikov na primer zobozdravnik s koncesijo investira povprečno tisoč evrov, družinski zdravnik tisoč evrov, zdravnik specialist pa tisoč evrov, preden zaprosi za podelitev koncesije. tisoč evrov, preden zaprosi za koncesijo! pa naj povzamem še naslednje številke. skupno so vsi delujoči koncesionarji vložili v ta zdravstveni sistem, se pravi v osnovna sredstva in za delo, več kot milijonov evrov v vsem tem času. in za ta sredstva se je marsikdo, da ne bom rekla večina teh koncesionarjev, tudi zadolžil. in poudarjam, ta sredstva so vložena v javno zdravstvo. torej bi lahko na podlagi tega, ko se zdaj tako otepate teh koncesij, rekla, da se s to potezo, se pravi s spremembo zakona o zdravstveni dejavnosti država ali ministrstvo odreka nadaljnjemu vlaganju v osnovna sredstva s strani koncesionarjev. mislim pa, da je to vlaganje še kako dobrodošlo, vsaj glede na razpoložljiva sredstva, ki jih ima ministrstvo na razpolago v proračunu in glede na to, da ima zdravstvo že zelo zastarelo medicinsko opremo. zanima me seveda, če se bodo predstavnice ministrstva ob koncu še kaj oglasile , ali ministrstvo meni, da bodo koncesionarji glede na krajši čas podeljene koncesije še pripravljeni toliko vlagati v svoje prostore in opremo, se bodo pripravljeni zadolževati? s strani koalicije sem danes slišala, da ja. me prav zanima, kdo od vas bi bil tak junak, da bi se zadolžil za tisoč evrov za deset oziroma petnajst let. polovica jih niti vrniti ne bi moglo v tem času. ne smemo pozabiti, da se ta zakon dotika okoli tisoč ustanov s koncesijo, v katerih je zaposlenih okoli tisoč zdravnikov. in večina teh koncesionarjev ima status samostojnega podjetnika oziroma d. o. o. ter plačujejo od pozitivnega poslovanja davek na dobiček. koncesionarji niso v rdečih številkah, kot je marsikateri naš javni zavod, in nimajo izgub. predlog prinaša tudi s finančnega vidika negativne učinke na proračun. v zvezi s tem me zanima, ali je ministrstvo pripravilo kakšno evidenco oziroma izračun negativnih finančnih posledic? in sicer primeru, da se ta zakon sprejme, ali pač mislite, da je to naloga finančnega ministrstva, pa ste to pustili vnemar. v slovenski demokratski stranki smo mnenja, da bo ta sprememba zakona vsekakor prinesla konec konkurence v slovenskem zdravstvu. ne smemo pozabiti, da bodo najbolj prizadeti bolniki. ne smemo pozabiti, da se s spremembo te zakonodaje, tega zakona zelo na široko odpirajo vrata iskanju zdravstvenih storitev v tujini. če bolnik ne bo prišel na vrsto v našem javnem zdravstvu ali pri koncesionarjih znano nam, je kako dolge so čakalne vrste bo zato, da bo pač prišel do zdravnika, šel k zasebniku in to plačal iz lastnega žepa če je pa malo bolj iznajdljiv, bo šel k svojemu zdravniku po napotnico in bo odšel na zdravljenje v tujino. v tem primeru bo račun sprva poravnal sam nato pa mu bo to kril zavod za zdravstveno zavarovanje slovenije v višini , razliko pa pač zavarovalnica vzajemna ali kjer je pač zavarovan. vam bom povedala primer. gospa ni prišla pri nas na vrsto, sploh da bi se vpisala v čakalno vrsto za operacijo krčnih žil, pa je šla . decembra v dobrno na pregled, kamor hodi nek zdravnik iz italije . januarja, v roku enega meseca je bila gospa operirana, uspešno operirana. poravnala je račun, ji bo vrnil zavod za zdravstveno zavarovanje slovenije, pa vzajemna. in to, dragi kolegi in kolegice iz koalicije, to bo po novem konkurenca, s katero se bomo srečevali. denar bo tekel v tujino, kot sem že rekla, namesto da bi storitve približali bolniku in s tem tudi poskrbeli, da bo njihov in naš denar ostal doma. na odboru sem v zvezi s tem tudi vprašala ministrico, ali ima pripravljeno kakšno analizo zmanjševanja čakalnih dob in povečanega odhoda bolnikov na zdravljenje v tujino. verjetno ste o predlogu teh sprememb na ministrstvu pomislili tudi na spreminjanje obstoječih pogodb za nazaj. jaz zdaj vsaj upam, da ste, da veste, kaj to pomeni. v mislih imam določen in nedoločen čas. in če boste na koncu podali kakršnikoli odgovor, me še enkrat zanima, ali po mnenju ministrstva za državljana oziroma za bolnika pomeni ta sprememba zakona o zdravstveni dejavnosti poslabšanje ali izboljšanje? koliko pripomb je prejelo ministrstvo s strani koga ter v kakšni meri so bile oziroma bodo te pripombe upoštevane? ali bodo samo evidentirane, tako kot vemo, da se je zgodilo pri pravilniku. opozorila bi še na to, na . člen zakona o zdravstveni dejavnosti, ki določa, da zdravstveno dejavnost kot javno službo pod enakimi pogoji upravljajo javni zdravstveni zavodi ter druge pravne in fizične osebe na podlagi koncesije. in ta vaš predlog sprememb tega ne omogoča. tukaj me zanima, kakšno je razmišljanje ministrstva? tukaj bi rada opozorila tudi kolege iz koalicije, da bo posledica uveljavitve tega zakona nedvomno povzročila odhod, prvič, zdravnikov v tujino. naši zdravniki v tujini so zelo cenjeni, imajo možnost napredovanja, lahko delajo na boljši opremi in so tudi boljše plačani. in v zvezi s tem me tudi zanima, ali ima mogoče ministrstvo o tem kakšne podatke oziroma kako pa o tem razmišljate? naj povem, da sem na matičnem odboru vsa ta vprašanja zastavila tudi ministrici za zdravje in da na nobeno od teh vprašanj nisem dobila odgovora. zato mi ne zamerite, končala bom tako, kot sem začela. mislim, da ministrstvo za zdravje samo potrebuje zdravnika. hvala.",2016,01,neutral
"hvala. kar smo poslušali v stališčih poslanskih skupin, na eni strani naklonjenost tem priporočilom, ki niso nič tako strašnega, kot pravi gospod kolega iz smc, da strašimo. nič ne strašimo, priporočila so čisto normalna. tako, kot je bilo že rečeno na odboru, so v bistvu nekje v izvajanju, tako da to ni nobeno strašenje. naslednja stvar je podpora koncesijam oziroma koncesionarjem, ki so del javnega zdravstva. jaz moram reči predstavniku združene levice in tudi sd v enem delu, kolega kordiš, se bo za ušesa prejel, ampak, ljubi bog, kaj pa to govorite, je pa za adijo. jaz bi rekla takole. poglejte si najprej, kaj so zasebniki, kaj so koncesionarji, kaj so zdravniki v javnem oziroma v zdravstvenih domovih. potem pa govorite o koncesionarjih kot o zasebnikih, ki vam jemljejo denar, ki vam jemljejo bolnike, ki vam jemljejo ne vem kaj vse. najbolje je, da ukinemo vso zasebno lastnino, v ustavno napišemo zasebne lastnine več v sloveniji ni, imamo vse javno. zdaj bi pa nekaj vprašala. verjetno gospod kordiš še ni bil v življenju pri zdravniku in bi vprašala tudi, če državljane vprašate, koliko jih sploh ve, da hodijo h koncesionarju. eni sploh ne vedo, da hodijo h koncesionarju, zato ker ne plačajo nič pri tistih osnovnih zadevah, seveda kar je več in tako naprej. koncesionarji so del javnega zdravstva. tam, kjer zdravstveni dom ali pa neki okoliš ne more zagotoviti dodatnega zdravnika, ne vem, družinskega zdravnika, recimo, pa se ugotovi potreba, se lahko razpiše koncesija. in če vi zdaj rečete, da s koncesionarjem ne pomagamo bolnikom, gospod kordiš, jaz vas sploh ne razumem. če se ugotovi potreba po družinskem zdravniku v nekem območju, ker ga javni zavod ne more zagotoviti, javno zdravstvo, in se ga s koncesijo dobi, to pomeni, da toliko in toliko bolnikov je oskrbljenih, ker drugače ne bi bili. seveda je koncesionar tisti, ki je zasebnik, ker vloži zasebni kapital, ker si s svojim kapitalom nabavi vso opremo in tako naprej, ampak je del javne mreže in ni zasebnik. ko vi pridete koncesionarju, ne boste že, ko boste rekli dober dan, plačali, tako kot boste pri zasebniku, da vas samo pogleda o daleč in že plačate, ampak je zadeva čisto drugače narejena. dajte ločiti. vse zasebno ukiniti! potem smo res tam ali kdaj. najbolj, da revolucijo izvedete in vse zasebno ukinite, potem bomo pa čakali v vrsti v zdravstvenih domovih, da bomo prišli na obravnavo, v nekaterih področjih. kolegica iz sd, ki je prej govorila, je rekla, da je slovenska demokratska stranka izsilila to točko. nič je nismo izsilili. točno smo dali v proceduro. jaz ne vem, edino, če je kdo iz naše strani na predsednika državnega zbora pritiskal, da je to dal na sejo. nismo izsili, to je demokratični proces. dali smo v proceduro zadevo. pravilnik o nujni medicinski pomoči je bil samo pravilnik, ki ga niti ne sprejemamo v državnem zboru, ni zakon pa smo ga trikrat obravnavali kot osnutek na odboru in enkrat na državnem zboru, torej na tej seji. ni bilo nobenih pripomb. celo še več, na seji državnega zbora smo sprejeli priporočila za ministrstvo in je bil pravilnik, in to v osnutku. danes, ko pa je zakon o zdravstveni dejavnosti v osnutku, je pa izsiljeno, je pritisk, je ne vem kaj vse, pa je samo ena obravnava. mislim, da take besede, da izsiljujemo, dajte se izogibati teh besed, ker to ni izsiljeno, to je čisto normalna procedura. tudi sd, tudi ne vem desus lahko dal v proceduro neka priporočila, zakon, karkoli. tukaj si ne dovolim kot predlagatelj točke govoriti, da sem zadevo izsilila. potem tudi glede tega, da zavajamo, da nič, kar navajamo, ni res. zakon o zdravstveni dejavnosti v svojem . členu piše, da se . člen spremeni tako, da se glasi koncesija se podeli za obdobje do let. jaz nisem nič drugega govorila kot to. kje sem zavajala?! kaj pomeni za obdobje let? zakaj določati to trajanje? in da govori, da je treba narediti za določen čas. mi tega v bistvu sploh ne potrebujemo. zakon o javno zasebnem partnerstvu vam v . členu piše, trajanje razmerij, podeljevanje koncesij in tako naprej. tudi po direktivah evropske unije, ni primerno oziroma ni priporočljivo, da se v zakon napiše trajanje podelitve koncesije, ampak da se to zapiše v koncesijski akt. in še enkrat, zakon o javno zasebnem partnerstvu, imate, . člen, si lahko preberete, kaj piše o trajanju in podeljevanju koncesij, da se koncesije podelijo za določen čas. zakaj so se zdaj podeljevale za nedoločen čas, naj pa tisti, revizija ministrstva za zdravstvo ali tiste službe, ki so za to pristojen, ugotovijo in te anomalije se odpravijo. da koncesionarji ne delajo dobro, nekateri, je tudi marsikomu jasno in je treba tukaj zadeve sanirati. ali ste naredili kaj od tega?! je kdo sploh naredil revizijo, revizijsko poročilo sedanjih koncesij? verjetno nihče, ker če bi, potem bi to revizijsko poročilo dobili. tako pa v bistvu kar vsi povprek, tudi jaz lahko rečem, da vsi povprek govorimo, kako nekateri ne delajo dobro, kako je bilo, podeljene so bile koncesije in tako naprej, nihče pa ni naredil te revizije. zato bi bilo primerno, da ministrstvo za zdravstvo naredi revizijo trenutnega stanja koncesij. zakaj so bile za nedoločen čas podeljene, če vam lepo piše v . členu zakon o javno zasebnem partnerstvu, da je treba skleniti za določen čas. tudi drugi odstavek . člena zakona o javno zasebnem partnerstvu določa še stabilnost in varnost naložbe, torej da je določitev roka, kako dolgo naj bo koncesija, tudi odvisna od stabilnosti, varnosti in učinkovitosti, torej varnostnega financiranja. tako da je treba v bistvu pogledati, kako dolgo naj bodo neke koncesije podeljene, ker ne smejo biti za določen čas. katera so tista leta, ki so primerna, verjetno ni za vsakega let, lahko je več ali manj. zapisati to v zakon v bistvu pomeni neko nefleksibilnost, večjo fleksibilnost bi to pomenilo, če bi to zapisali v koncesijski akt. to so recimo tudi naše pripombe. naslednja stvar, je revizija, torej to, kar sem že govorila, revizija obstoječih razmerij. v predlogu zakona o zdravstveni dejavnosti, v . členu, se določa, da se koncesijske pogodbe, ki so bile sklenjene pred uveljavitvijo tega zakona in veljajo tudi po uveljavitvi, v mesecih uskladijo z določbami zakona. torej da se izvede revizija obstoječih razmerij, ampak revizija še ne pomeni, da se zadeve spremenijo. do kakšnih sprememb bo prišlo po teh revizijah, ali imate kje kakšne obrazložitve, kaj boste naredili s tistimi koncesionarji, ki imajo pogodbe sklenjene v nasprotju z zakonom, tako zakonom o zdravstveni dejavnosti kot tudi zakonom o javno zasebnem partnerstvu. treba pa je opozoriti še nekaj. zakon o javno zasebnem partnerstvu v svojih določbah, prehodnih določbah ni predvidel uskladitev koncesij s spremembami zakona. enako velja tudi, če se spremeni zakon o gospodarskih javnih službah ter denimo zakon o negospodarskih javnih službah. zadeva je v bistvu kar logična, ker v bistvu sprememba koncesijske pogodbe je nekako enostranski poseg v zakonu. bi prosila s strani ministrstva za zdravstvo, da pove, kaj se bo zgodilo po reviziji obstoječih razmerij koncesionarjev. na kakšen način bodo reševali tiste, kjer se bo ugotovilo, da ni v skladu z zakonom? to je prva zadeva. druga zadeva. kako boste določali, zakaj ste določali letni rok kar za vse koncesionarje, ne glede na to, na katerem področju delajo? namreč menimo, da gre za zelo nefleksibilno določilo in da bi bilo bolje, da se to določi v koncesijskem aktu. pa še ena zadeva je. v četrtem odstavku . člena v predlogu zakona o zdravstveni dejavnosti se določa, da se koncesija lahko podeli pravni osebi le pod pogojem, da je edini ali večinski lastnik pravne osebe odgovorni nosilec zdravstvene dejavnosti, in da koncesija preneha, če se ti pogoji spremenijo. v drugem odstavku . člena pa se določa, da se koncesija na primarni ravni zdravstvene dejavnosti lahko podeli le fizični osebi. ta določila so v nasprotju z ustavo republike slovenije, ki v prvem odstavku . člena zagotavlja svobodo gospodarske pobude, kar med drugim tudi pomeni, da lahko pravni subjekt svobodno izbira pravno organizacijsko obliko, v sklopu katere bo deloval. tako da me zanima, od kod v bistvu to določilo, da se podeli točno določena pravna oblika mora biti, da lahko dobi koncesijo? ja, to je nekako vprašanje za vlado in pa tudi pripombe vsem tistim, ki ste govorili o tem, da je samo osnutek pa da v bistvu se nagibate k temu oziroma vaše razmišljanje, da so koncesionarji čisti zasebniki.",2016,01,neutral
"hvala lepa. besedo ima dr. dragan matić, pripravi naj se gospod marko ferluga.",2016,01,neutral
"govorimo danes o . členu amandmaja poslanske skupine nove slovenije. tudi predhodniki je malce zašel iz tega ampak sem mislila, da bom vas pustila, da poveste o temu amandmaju ampak zdaj pa se mi zdi, da predstavljate zgolj poročilo oziroma stališče poslanske skupine. tako, da lepo prosim, če se opredelite na . člen ter amandma poslanske skupine nsi. pa brez zamere.",2016,01,neutral
predlog zakona je obravnaval odbor za kulturo kot matično delovno telo. za predstavitev poročila odbora dajem besedo predsedniku dr. draganu matiću.,2016,01,neutral
"hvala lepa. besedo dajem ministrici za izobraževanje, znanost in šport dr. maji makovec brenčič.",2016,01,neutral
"besedo ima mag. aleksander kavčič, pripravita naj se gospod branko zorman in gospod igor zorčič.",2016,01,neutral
"gospod predsednik, hvala za besedo. spoštovane kolegice in kolegi! odbor za kulturo je na . redni seji . januarja obravnaval predlog zakona o spremembah in dopolnitvah zakona o vračanju protipravno odstranjenih predmetov kulturne dediščine, ki ga je državnemu zboru v obravnavo predložila vlada. predloženi zakon je z vidika njegove skladnosti z ustavo in pravnim sistemom ter zakonodajno tehničnega vidika proučila zakonodajna pravne služba. njihova predstavnica je ob predstavitvi slednjega povedala, da amandmaji koalicijskih poslanskih skupin sledijo njihovemu mnenju. svoje mnenje je podala tudi komisija državnega sveta za kulturo, znanost, šolstvo in šport, ki je v svojem mnenju predlog zakona podprla. v poslovniškem roku so amandmaje vložile poslanske skupine smc, desus in sd. ministrica za kulturo mag. julijana bizjak mlakar je povedala, da je cilj sprejemanja zakona zagotovitev popolne skladnosti zakona o vračanju protipravno odstranjenih predmetov kulturne dediščine z direktivo eu. pojasnila je, da sprememba zakona sledi načelu varovanja kulturne dediščine in glede na vsebino direktive omogoča višjo stopnjo varovanja nacionalnega bogastva ob morebitnem protipravnem odstranjevanju z ozemlja republike slovenije in drugih držav članic. odbor je brez razprave sprejel amandmaje koalicijskih polanskih skupin. v skladu s . členom poslovnika državnega zbora je glasoval še o členih predloga zakona in jih prav tako sprejel. glede na sprejete amandmaje je na podlagi prvega odstavka . člena poslovnika državnega zbora pripravljeno besedilo dopolnjenega predloga zakona, v katerega so vključeni sprejeti amandmaji. hvala.",2016,01,neutral
"hvala lepa. spoštovani predsednik, poslanke, poslanci in ostali prisotni! dne . marca je bila sprejeta prenovljena direktiva evropske unije o vračanju predmetov kulturne dediščine, ki so bili protipravno odstranjeni z ozemlja držav članic. direktivo je bilo treba prenesti v pravni red republike slovenije. direktiva , ki je urejala to področje pred prenovo, je bila v pravni red republike slovenije prenesena z zakonom o vračanju protipravno odstavljenih predmetov kulturne dediščine v letu in pravilnikom o zvrsteh protipravno odstranjenih predmetov kulturne dediščine iz leta . pri spremljanju izvajanja doslej veljavne direktive je bilo ugotovljeno, da se postopki vračanja ne izvajajo dovolj uspešno in da je število uspešno izvedenih postopkov mogoče zvišati z ustreznimi spremembami. direktiva ne podpira postopkov vračanja vsega nacionalnega bogastva v posameznih državah članicah. te ugotavljajo, da enotne zvrsti in finančni pragi niso sprejemljivo merilo za določanje nacionalnega bogastva, za katero se lahko vlagajo zahtevki za vračanje. enoletni rok za vlaganje zahtevkov je bil občutno prekratek in je nekatere države prikrajšal za uspešno izvedbo postopka. pogosto je bila uspešna izvedba postopka in denarnega nadomestila onemogočena tudi zaradi neopredeljene dolžne skrbnosti, zaradi česar so posestniki dokazovali, da so predmet pridobili v dobri veri. komunikacija med komisijo in državami članicami ni bila dovolj hitra in sprotna. v navedenih problemih so se slednje s komisijo uskladile glede sprememb, ki so vodile k prenovi direktive, tako da je državam članicam omogočeno varovati lastno nacionalno bogastvo, skladno z notranjo zakonodajo, ter sprožati postopke in uveljavljati zahtevke v razumnih rokih in učinkovito. prenovljena direktiva se s predlagano novelo zakona v celoti prenaša v pravni red republike slovenije. zakon nima posledic za lokalne skupnosti ali civilno družbo. uporablja se izključno za posamezne primere protipravnega pridobivanja predmetov kulturne dediščine fizičnih ali pravnih oseb. gradivo je bilo objavljeno na spletnih straneh e demokracija in na spletni strani ministrstva za kulturo do določenega roka. na predlog zakona ni bilo prejetih odzivov javnosti. republika slovenija s spremembo direktive uvaja v svoj pravni red spremembo veljavnega zakona v členih, ki se nanašajo na navedeno direktivo. sprememba zakona sledi načelu varovanja kulturne dediščine in glede na vsebino direktive omogoča višjo stopnjo varovanja nacionalnega bogastva ob morebitnem protipravnem odstranjevanju z ozemlja republike slovenije in drugih držav članic. tako novela zakona podrobneje ureja določila v zvezi z nacionalnim bogastvom. rok za vlaganje zahtevka se podaljšuje z enega na tri leta od datuma, ko država izve za lokacijo predmeta. rok za preverbo, ali je predmet vračanja predmet kulturne dediščine, pa se podaljšuje z dveh na šest mesecev. navedeno podaljšanje omogoča učinkovito izvedbo postopka. doslej veljavni roki so se pri preverbi in vlaganju zahtevkov namreč pokazali, kot sem že povedala, kot prekratki, saj zahtevnejši primeri potrebujejo daljše obdobje preverjanja in zbiranja dokazov. novela tudi podrobneje opredeli dolžne skrbnosti. posedovanje predmeta v dobri veri se razširi s podrobnejšo navedbo ravnanja z dolžno skrbnostjo. takšna določba zavezuje lastnike oziroma posestnike predmetov k odgovornemu ravnanju pri preverjanju izvora, ki je bilo doslej zelo šibko opredeljeno in podprto. osrednji organi držav članic po novem med seboj komunicirajo po modulu informacijskega sistem imi za notranji trg, ki je posebej prilagojen predmetom kulturne dediščine. to omogoča hitrejšo in sprotnejšo komunikacijo v nasprotju z dosedanjim pisnim obveščanjem. direktiva državam članicam nalaga, da njihovi pristojni organi uporabijo sistem imi. z novelo zakona se podaljšuje obdobje poročanja o uporabi direktive s treh na pet let. komunikacija v sistemu imi omogoča državam članicam sprotno spremljanje stanja in postopkov, zaradi česar je odboje poročanja smiselno podaljšati na pet let. hvala lepa.",2016,01,neutral
