text,leto,mesec,sent
hvala lepa tudi z moje strani vsem lep pozdrav jaz bi se oglasil zlasti v tistem delu ki se nanaša na področje zunanjih zadev kjer je bilo postavljeno tudi vprašanje kakšne so bile aktivnosti ministrstva za zunanje zadeve v zvezi s to problematiko najprej moram povedati da smo mi že septembra na neformalnem srečanju ministrov za zunanje zadeve v luksemburgu opozorili na problematiko migracij zlasti na problematiko migracij na tako imenovani balkanski poti moram reči da je bilo vloženega veliko truda da so sploh dali to temo na dnevni red in sicer na pobudo avstrijskega ministra in pa seveda na podlagi naše pobude takrat je bilo stališče da migracijska kriza na balkanski poti ni evropski problem ampak da gre zlasti za problem držav v katerih poteka ta pot in da je problem v tem da te države nimajo nekih zgodovinskih izkušenj z migracijami dejansko to tudi drži če pogledamo države nekdanje jugoslavije in potem države kot so v poljska slovaška češka in madžarska mi nimamo kakšnih zgodovinskih izkušenj kar se tiče migracij vendar je bila potem glede na to da se število ni zmanjševalo uspešna naša pobuda da se opravi srečanje ministrov za zunanje in notranje zadeve v mesecu oktobru z ministri za zunanje in notranje zadeve balkana moram reči da se je pa prepoznalo da migracije postajajo resen problem ne samo za države ki se jih te migracije dotaknejo to se pravi na balkanski poti ampak da je to dejansko problematika ki se dotika celotne evropske unije glavna dejavnost ministrov za zunanje zadeve evropske unije je bila zlasti na vprašanju situacije v siriji in pa v iraku vemo da so te migracije sprožile nekatere varnostne krize zlasti nestabilnost v siriji od leta potem v libiji kjer je prišlo do razpada državne oblasti in institucij takrat se je začel migracijski val krepiti iz libije proti siciliji zato je bila potem lansirana operacija evropske unije ki se zdaj izvaja pod imenom sofia kar se torej tiče ministrov za zunanje zadeve je bil ves napor zlasti vložen v to kako najti neko politično rešitev kar se tiče sirije in iraka naj povem da je bila v zvezi s tem tudi decembra tukaj je pomembno vlogo odigrala tudi evropska unija resolucija varnostnega sveta št ki določa političen proces na kakšen način bi se našla politična rešitev za sirijo po tej resoluciji naj bi se v šestih mesecih vzpostavila prehodna sirska vlada v osemnajstih mesecih pa naj bi izvedli v siriji parlamentarne volitve ravno danes se v z richu pogovarjata ameriški državni sekretar kerry in ruski zunanji minister lavrov glede sestanka ki naj bi bil januarja v ženevi kamor naj bi prišla tudi opozicija in kjer bi pod okriljem organizacije združenih narodov začeli ta političen proces to se pravi da se vzpostavi prehodna vlada in da se v mesecih izvedejo parlamentarne volitve ob tem moram opozoriti da se je tudi situacija v afganistanu izjemno zaostrila vi veste da smo do nekaj mesecev nazaj mislili da je natova operacija kar se tiče afganistana uspešna v zadnjih mesecih pa ugotavljamo da ta operacija še ni zaključena da so se napetosti v afganistanu povečale da talibani zopet prevzemajo pobudo in da afganistanske varnostne sile ne morejo samostojno zagotavljati miru v afganistanu to seveda tudi povzroča migracijski val iz afganistana morda nekaj besed o tem gre zlasti za mlade fante pripadnike afganistanskih varnostnih sil ki zapustijo te sile zaradi groženj talibanov da se bodo maščevali njihovim družinam in zato dezertirajo ne morejo pa ostati v afganistanu ker jih pa uradne afganistanske oblasti preganjajo zaradi dezerterstva zato se število teh mladih afganistancev tudi v migracijskem valu povečuje moram povedati da je bil v zvezi s tem močno pričakovan dogovor med evropsko unijo in turčijo veste da so bile tam sprejete nekatere odločitve od tega da bi se pospešila vizumska liberalizacija vendar moram reči da bo ta proces izjemno zahteven ker določene članice evropske unije niso preveč navdušene nad vizno liberalizacijo in bo to tudi predmet še dokaj napornih razprav bistven problem zakaj dogovor med eu in turčijo ne daje rezultatov pa je da evropska unija še vedno ni poslala ali pa nakazala finančnih sredstev ki jih je obljubila šlo je za tri milijarde evrov ki jih naj bi turčija dobila za to da bi zadrževala te migrante na svojem ozemlju preko taborišč kar se tiče slovenije moram reči da je oblikovana tako imenovana iniciativa predsednika vlade mira cerarja ki je bila naslovljena in poslana vsem voditeljem to se pravi vsem predsednikom vlad evropske unije in tudi predsednikom vlad na balkanski poti tukaj mislim na hrvaško srbijo in pa makedonijo in pa seveda tudi predsedniku komisije jeanu claudu junckerju v zvezi s tem sem imel s strani predsednika vlade nalogo da predstavim to pobudo grškemu zunanjemu ministru makedonskemu zunanjemu ministru in srbskemu zunanjemu ministru pri srbiji moram reči da je ta obisk potekal včeraj da sem se poleg zunanjega ministra dačića srečal tudi s predsednikom vlade vučićem in da je bila ta pobuda s strani slovenije tam zelo dobro sprejeta opozoril sem da lahko pričakujemo da bo avstrija sprejela določene sklepe in da je zaradi tega potrebno da tudi ostale države ustrezno odreagiramo da ne bi prišlo do domino efekta kot vidite je danes srbija že začela izvajati nekatere ukrepe na svoji meji tisti ki ste prebrali in pregledali medije pa lahko tudi vidite da so tudi na makedonsko grški meji izvedeni določeni ukrepi v ponedeljek sem imel pogovore z grškim zunanjim ministrom kjer sem mu predstavil to iniciativo predsednika vlade v tej iniciativi predsednik vlade poziva da je treba realizirati sklepe decembrskega zasedanja evropskega sveta ki se nanašajo na grčijo vi veste da je bil eden od pomembnih sklepov da je treba okrepiti frontex da je treba izpostaviti obalno stražo da je treba dodatno finančno pomagati grčiji ker vemo v kakšni finančni situaciji se nahaja grčija z makedonskim zunanjim ministrom sva se pa tudi dogovorila in podpira pobudo predsednika vlade da je treba sprejeti določene ostrejše ukrepe na grško makedonski meji tako da kar se tiče tega zunanjepolitičnega vidika je bistveno to da tukaj ne gre za problem slovenije ne gre samo za slovenijo mi smo dejansko na sredi te migrantske poti in seveda bi bilo pretenciozno pričakovati da lahko slovenija reši nek globalen problem pri migracijah iz afganistana sirije iraka in severne afrike vidimo da je veliko število migrantov tudi iz maroka in alžirije ne gre za pojav kjer bi lahko samo slovenija s svojimi ukrepi razrešila ta problem seveda je tukaj bistvena koordinacija vseh držav problem je v tem da evropska unija kot celota komisija in ostali nima neke celovite politike do tega problema migracij zlasti na balkanski poti vemo da smo imeli podoben problem kar se tiče sredozemske migracijske poti s tem ko je bila lansirana operacija eu navfor in sicer operacija sofija lahko vidimo da je bistveno zmanjšano število migrantov ki prihajajo po sredozemski poti res pa je da se je povečal pritisk na tako imenovani balkanski poti kar se tiče ukrepov ki naj bi jih sprejela avstrijska vlada jaz tukaj pričakujem da bo bolj konkretna ministrica za notranje zadeve ki bo pač povedala na kakšen način se bomo soočali s to situacijo vendar kot rečeno je jutri seja vlade na podlagi uradnega sporočila iz dunaja bo seveda vlada tudi ustrezno odreagirala ker je vlada ves čas na poziciji da bomo sprejemali enake ali pa podobne ukrepe kot avstrija zato da bomo pač zaščitili naš nacionalni interes nacionalni interes slovenije pa je da ne postanemo žep še enkrat bi rad povedal da imamo mi prošenj za azil tam nekje in da ne moremo primerjati situacije v nemčiji ali avstriji kjer je število teh prošenj za azil bistveno všije seveda pa lahko povzročajo določene ukrepe ki jih je sprejela avstrija ali pa ki jih bo sprejela nemčija kar lahko hitro spremeni to sliko zato je vlada tudi pripravljena s svojimi ukrepi da ne bi prišlo do takšne situacije zaenkrat toliko z moje strani,2016,01,neutral
hvala gospa predsedujoča spoštovani kolegice in kolegi šestič se že danes sestajamo tukaj na isto temo šestič razpravljamo o istih ukrepih da bi s skupnimi silami podpirali delovanje vlade republike slovenije občasno dobivam občutek da bi predlagatelji ki so že petič isti prav želeli da bi begunska in migrantska kriza ki je ne po naši krivdi pljusknila v evropo slovenijo kar se da najbolj prizadela to me zelo skrbi skrbi me zato ker se nekateri očitno ne zavedate da je situacija resna in to do te mere da bi morali kljub svetonazorskim razlikam stopiti skupaj saj če si smem sposoditi besede pokojnega dr jožeta pučnika gre za slovenijo za našo državo ki letos praznuje letnico svojega obstoja gre za državo ki smo si jo izbojevali v obeh svetovnih vojnah in naši vojni za slovenijo ob teh razpravah pa se mi zdi da predlagateljem ne gre za našo državo ne za njeno suverenost gre jim za populizem in cenene politične točke to je zaskrbljujoče in nevarno begunska in migrantska kriza se ni zgodila zaradi slovenije slovenija je bila vanjo potisnjena predvsem zaradi svoje geografske lege in predvsem zaradi tega ker je slovenija na balkanski poti ena od članic schengenskega območja slovenija ima tako veliko odgovornost v tej odgovornosti kot kaže ostaja sama zato vlada republike slovenije išče rešitve a kot sami vidite skupnih rešitev evropske unije ni ni pa jih zaradi več razlogov prvi je da evropska unija ni bila pripravljena na tak val prihoda beguncev in migrantov na njeno območje zato se v začetku ni pravilno odzivala kot je včasih za evropsko unijo ustaljena praksa je kljub temu da smo članice bruseljske institucije opozarjale da je nujno kaj storiti s problemom veliko časa odlašala ga namerno spregledala in sicer z logiko da se bo uredil sam od sebe in tu se je zmotila a ko je to spoznala je bilo zamujenih že preveč mesecev drugi razlog zakaj evropska unija ne more najti skupnih rešitev je pomanjkanje politične volje in odsotnost iskanja skupnih interesov nekatere članice tako že dolgo podpirajo iskanje skupne rešitve s figo v žepu to ni evropsko obnašanje in evropska unija žal v vsem tem času ni naredila ničesar za to da bi zaščitila svojo zunanjo mejo tretji razlog ki ga želim izpostaviti je da evropska unija ni mogla najti skupne rešitve tudi zaradi svojih zgodovinskih izkušenj z izsiljevanjem medtem ko smo določene države opozarjale da je nujno zaščititi zunanjo mejo evropske unije in da poudarim ta meja se ne začne v sloveniji so druge države mirno gledale kako se na terenu nič ne spremeni evropska unija ni bila sposobna svojih članic prepričati v to da je treba stanje urediti ter da je takšno kot je na dolgi rok nevzdržno slovenija je v bruslju vseskozi opozarjala da begunski in migrantski tok sam od sebe ne bo usahnil naš predsednik vlade je poudarjal da grozi evropski uniji če ne najde skupne rešitve fragmentacija in morda celo razpad danes to ponavljajo tudi številni drugi državniki a zgodilo se ni in se ne zgodi nič četrti razlog zakaj evropska unija ni sposobna odreagirati na krizo je dejstvo da gospodarske krize na evropski celini še nismo premagali gospodarska kriza ki je evropo močno prizadela je pustila številne rane takrat so države ugotovile da si moraš v težavah pomagati sam da evropska unija nima vzvodov za hitro pomoč predvsem pa da bruselj ne more rešiti težav ki smo si jih nakopali doma in začel se je val domin ko smo namesto skupnih celostnih rešitev iskali parcialne tiste ki so prizadele le določeno državo tako je val odpiranja ki se je začel s padcem berlinskega zidu pojenjal nadomestil pa ga je val zapiranja in iskanja lastnih koristi četudi na račun drugih evropska unija je danes let po izbruhu krize še vedno ranjena in išče odgovore a išče jih v napačnem kontekstu zapiranje in ponovno ustvarjanje mej med državami evropske unije ni odgovor odgovor na skupne probleme kar begunska in migrantska kriza nedvomno je je skupna akcija in to akcija na zunanji meji evropske unije in še enkrat naj poudarim da to ni slovenska meja s hrvaško če evropska unija ne bo pohitela kaže vse v smer da bodo države začele same postavljati meje ko bodo pa železne zavese ponovno padle jih bo težko dvigniti hitro smo namreč pozabili da smo za dvig železne zavese potrebovali let in ker zase in za svoje otroke nočem ponovno biti obdan z železno zaveso moramo iskati skupne rešitve in slovenska vlada in državni zbor to počneta končno evropska unija je bila utemeljena na štirih svoboščinah prostem pretoku ljudi blaga storitev in kapitala danes pa tudi znanja če ena od teh pade pade evropska unija kot jo poznamo morda se bomo vrnili nazaj v čas euroskleroze v leta ampak vprašajmo se če je to tisto kar si želimo je to tisto kar smo obljubili našim sodržavljankam in sodržavljanom evropske unije ne ni evropska unija je bila ustvarjena zato da bi krepila njihovo blaginjo s padcem katerekoli od teh svoboščin pa bo padla evropska unija ne samo na izpitu iz zagotavljanja blaginje ampak tudi na izpitu iz relevantnosti mednarodnih skupnosti profesor romano prodi je v dokumentarnem filmu de president dejal da je zanj označevanje evropske unije kot nerelevantne žaljivo a dejstvo je da se v mednarodni skupnosti prav zaradi neodgovora na begunsko in migrantsko krizo pojavlja za evropsko unijo ta oznaka vse pogosteje in temu se moramo upreti eu ne sme postati nerelevanten akter v mednarodnih odnosih ampak mora prav s skupnimi rešitvami postati vse bolj relevanten to si želim se pa bojim da bo s parcialnimi politikami držav članic to nemogoče a vrnimo se h gradivu ki ste ga predlagatelji predložili za sklic te izredne seje vlada je na vaše predloge odgovorila in to smelo pa tudi pojasnila katere ukrepe je vse prevzela in katere še prevzema kot rečeno slovenijo je ta kriza prizadela a ne po njeni krivdi a ne glede na to moramo storiti vse da okrepimo in ohranimo vse aktivnosti da slovenija ostane aktivni člen združene evrope pri tem pa se je treba zavedati omejitev ki jih slovenija kot mala država ima prvič slovenija ne more pristati da bi postala hot spot kot tudi ne more pristati da bi prevzemala večje breme kot ga lahko prevzame slovenija mora zato delovati aktivno in mora dosegati soglasje v tem da je treba zadevo urejati na ravni evropske unije ne pozabimo da vlada republike slovenije to vseskozi dela predvsem pa delajo to predsednik vlade in pristojna ministrica ter državni sekretar ki so dnevno v stiku z vsemi relevantnimi akterji na tem področju drugič slovenija je že postavila ograjo s ciljem usmerjanja toka migrantov če bo potrebno bo slovenija svoje aktivnosti še podeseterila a tega ne more storiti sama od sebe ker nima ne kadrovskih ne finančnih virov zato je nujno tok beguncev in migrantov ustaviti pri izvoru ne pa sredi poti slovenija je sredi poti in sredi poti težko narediš karkoli velikega a ne glede na to slovenija išče rešitve in je proaktivna tako na dvostranski kot multilateralni ravni tretjič predlagatelji ki že petič predlagate izredne seje se občasno obnašate kot da je slovenija velesila kot da zmore vse kot da lahko spreminja geopolitiko upravlja svetovno politiko predvsem pa lahko odloča o tem kam bo šel in kam ne tok migrantov a svet se ne vrti okoli vas pa tudi nas ne pravniki bi rekli da nepoznavanje prava škodi sam pa bi dejal da nepoznavanje mednarodnih odnosov in mednarodne skupnosti škodi in ogroža še bolj zatorej predlagam da pri svojih razpravah niste demagoški ampak dialoški izobrazimo se krepimo znanje in poznavanje predvsem pa poiščimo skupne rešitve vlada republike slovenije jih predlaga vsak dan namesto da kličemo vlado na odgovornost v državni zbor jo podprimo pri iskanju rešitev ceneno iskanje političnih točk v teh časih nestabilnosti je slabo ne za koalicijo ali opozicijo za državo glede v oziroma višegrajske četverice bilo je kar nekaj zamujenih priložnosti od leta da bi slovenija intenzivneje sodelovala z v razlogov za to ne želim navajati kot tudi ne iskati krivcev a ta vlada je intenzivirala dialog z državami v dvostransko in mnogostransko vsi smo namreč na isti ladji in nihče ne želi da se ta ladja prevrne zato je sodelovanje več kot nujno pa ne samo sodelovanje ampak intenziviranje odnosov mi sodelujemo z v ker to hočemo in ker nas k temu zavezuje lani sprejeta deklaracija o zunanji politiki nekdanje države habsburškega kulturnega kroga so namreč naše naravne zaveznice in z njimi mora biti sodelovanje vedno na karseda visoki ravni kot vem vlada na tem področju dela več kot aktivno ne pozabite da se v petek sestane na skupni seji z madžarsko vlado naj končan pozivam vse vas cenjeni kolegi in kolegice da nehamo s temi brezplodnimi sejami in podpremo prizadevanja vlade da nas ohrani v središču evropske unije ter da podpremo prizadevanja vlade da najdemo skupno evropsko rešitev brez te bodo zadeve veliko težje življenje za naše sodržavljane in sodržavljanke pa slabše predvsem pa bomo zapravili vse kar so naši dedje in očetje zgradili v zadnjih letih evropa in evropska unija morata obstati a predpogoj za to je da države začnejo begunsko in migrantsko krizo reševati zares in skupaj ter ne vsaka po svoje verjamem da to še zmoremo kot tudi verjamem da bosta slovenska vlada in ta državni zbor naredila vse da bomo to na koncu tudi dosegli hvala,2016,01,negative
hvala lepa k temu ni kaj dodati pravi ministrica nadaljevali bi z gospodom jožetom horvatom ki bo postavil poslansko vprašanje ministru za infrastrukturo dr petru gašperšiču,2016,01,neutral
hvala lepa besedo ima gospod jožef horvat pripravi naj se dr l szl g ncz,2016,01,neutral
hvala lepa za besedo spoštovani predsednik spoštovani kolegice kolegi seveda se pridružujem vsem tistim ki ostro zavračate takšno vrsto diskusije z namenom političnega obračunavanja da bi se pridobivale cenene poudarjam cenene politične točke pogovarjamo se o migrantski krizi pogovarjamo se o ljudeh ki zapuščajo svoje domove ki puščajo vse kar tam imajo in se predajajo nepredvidljivi nemalokrat črni temni prihodnosti bojim se da se ta migracijska kriza prerašča v eno težjo večjo humanitarno krizo širših dimenzij za katero ne vemo kako se bo v končni fazi zaključila poglejmo malo nazaj kje je žarišče te krize žarišče te krize so države kot sta irak in sirija vprašajmo se zakaj ljudje odhajajo iz teh držav ali si resnično tega želijo ali so v to primorani ali jim je to edina rešitev ki jim je še ostala da zapustijo svoja rodna ognjišča če hočete tudi svoje bližnje ali pa se skupaj s svojimi bližnjimi odpravijo in gredo po svetu jaz si ne bi želel zapustiti svojega domovanja svoje domovine ampak ko sem pa prisiljen vpričo razmer ko nimam druge možnosti in mi ostaja ta edina se pač tudi te bilke oklenem vprašajmo se še kaj drugega kdo je zakuhal situacijo kdo je destabiliziral to območje mislim da pogled preko atlantika pove vse kar pa je bistveno dajmo se vprašati dajmo se poenotiti in dajmo najti rešitev kako to zadevo rešiti kako zopet povrniti stabilnost mir in vse ostalo kar so te države imele oziroma bi ta območja morala imeti gašenje požara se začne pri žarišču samega požara valovi begunske krize pa niso žarišče to je samo posledica in nepredvidljive usode teh ljudi so samo posledica tega kar je bilo napak postorjenega na območju sirije iraka verjetno bi še kakšno državo lahko naštel recimo libijo spoštovane kolegice spoštovani kolegi evropska unija sigurno ni bila pripravljena na tako velik na tako predimenzioniran izziv kot je prisotna migracijska begunska kriza zato je še enkrat več treba strniti vrste združiti moči stopiti skupaj če se smem zelo plastično izraziti in poiskati skupne rešitve rešitve za vse nas če to ni mogoče pa se razidimo ampak v isti sapi se sprašujem govorim v kontekstu evropske unije zakaj bi se morali raziti ali več ne verjamemo v to evropo ali ne verjamemo v evropo ki je nastala kot pluralna multikulturna demokratična in na temeljih antifašizma temelječa skupnost več držav ki so si različne ki so si drugačne pa vendarle imajo neke skupne interese in zagotovo so ti interesi spoštovanje človekovih pravic še zdaleč ne da bi bila begunska kriza majhen trivialni problem še kako velik je ampak ravno ko naletiš na težave ko naletiš na probleme se vidi kako si močan oziroma kako si trden da jih rešiš in se na podlagi rešitev še močnejši in še boljši dvigneš in zaživiš nov dan apeliram na vse spoštovane kolegice in spoštovani kolegi ki imate oziroma imamo karkoli pri tem soupravljanju države da ne strašiti ljudi ne sejati panike ne ustvarjati plodnih tal za ekspanzijo in razvoj militantnih sil ki sejejo sovraštvo in strah med ljudmi ne dajati možnosti da se ponovi zgodba let prejšnjega stoletja ki je imela naslutene razsežnosti združevati in ne razdruževati naj bo naš moto dajmo se obnašati dajmo reševati nastalo situacijo nastale probleme če želite odgovorno humano človeško predvsem pa dostojanstveno v interesu vseh migrantov ki jim je treba zagotoviti osnovne človekove pravice in njihovo dostojanstvo pa imejmo seveda tudi v mislih varnost osnovne življenjske pogoje in dostojanstvo predvsem naših državljanov in državljank verjamem da če imamo na eni strani en vidik na drugi pa drugi vidik da znamo biti toliko predvidljivi da znamo biti toliko empatični in uresničiti oba dva cilja jaz mislim da smo to dolžni kar je v interesu vseh nas in evropske unije kot širše skupnosti tudi narediti hvala lepa,2016,01,neutral
hvala lepa moram reči da me ta razprava malo žalosti ker ni prinesla nekih resnih odgovorov na problem in je tako na trenutke celo dolgočasna zakaj res je da tisti trenutek ko se začnemo pogovarjati o kvotah nastane problem oziroma nekje zvoni alarm mi se lahko danes pogovarjamo kakšne kvote hočemo imeti koliko hočemo spoštovati slovence oziroma produkcijo slovenske glasbe in imeti nek odnos do nekoga bla bla bla ter tukaj razglabljamo kako je to dobro kako bo to rešilo svet ampak poslušalci imajo eno stvar ki se ji reče gumb off on in če on tega noče poslušati bo ugasnil pa imamo lahko kvot in ne vem kaj še vse lahko predpišemo je pa še en drug problem ki ga vidim to je približno tako jaz hočem da pripeljem vodo od mene do predsednika in naredim en rov oziroma cev pripeljem ki je približno premera ker rečem da mu hočem dati veliko vode in to slovenske vode ki je čista zdrava in ne vem kakšna še vse bom predpisal da mora biti ta cev široka namesto centimetrov kar centimetrov da bo ja veliko vode dobil predsednik samo problem je ker jaz nimam izvira vode meni je čisto vseeno koliko volumna teh cevi predpišem če pa jaz nimam razen če smo rekli da bomo poslušali tisto kar smo že slišali in zato sem predlagal v svojem amandmaju zelo preprosto da dajmo kvote ampak dajmo tudi stimulirati produkcijo če ni produkcije potem na drugi strani ne bo tistega kar bi mi radi poslušali pa še rečemo da dajmo novo glasbo od mladih in tako naprej včasih v prejšnjem sistemu so bili mladi do let jaz sem predlagal let združena levica je že dvignila na let to je neverjetno kaj počnemo izmišljujemo si nove formule kako bi rešili ta svet slovenski jezik slovensko besedo in slovensko glasbo ter s tem tudi glasbene ustvarjalce veliko sreče ampak včeraj je moral programski svet ugotoviti da je ministrstvo predlagalo nekaj kar niti ni resno testiralo in zato hvala bogu je razum koalicije da je hitro popravil svoj amandma in so zmanjšali s na ter še podaljšali čas da bodo kaj te produkcije spravili noter ali me razumete ker te produkcije ni dovolj in na koncu bo nastal problem jaz sem lahko prijazen do vseh slovenskih izvajalcev ampak na koncu bodo imeli korist samo stari ne mladi kot nekateri mislijo ti bodo imeli lepe denarce lepe žepe pa si jih bodo fino napolnili slovenski mediji ki so predpisani in morajo zakonito delati svoje po črki zakona bodo pa manj poslušani upam da se tega zavedate ker na koncu ljudje izberejo tisto kar želijo in bodo poslušali komercialne danes imamo že na internetu programske sheme sploh ne rabim več radia poslušati enostavno prižgem tisto kar meni paše ministrica danes bo to sprejeto upam da boste naredili ob enem letu osorej resno analizo in da boste ugotovili učinke tega ter jih tudi predstavili kaj ste dosegli s tem ker bo potrebna pa ne zato ker bi bilo to narobe s strani ministrstva ali pa da bi razumeli da vas zdaj obsojam daleč od tega ampak da boste predlagali korektiv mogoče napačno danes sprejetega priznajte kdaj pa kdaj tudi da se je na napakah treba učiti in ne brezglavo samo zato da bomo nacionalnemu egu zadostili drveti v stvari ki na koncu ne rodijo dobrih rezultatov hvala,2016,01,neutral
hvala za besedo gospa podpredsednica lepo pozdravljeni vsi v dvorani strinjam se da je zdravstveni sistem v sloveniji tudi zaradi spreminjajoče zastavljenih sprememb nujno potreben prenove vendar pri prenovi mora biti zelo jasen cilj kam in kaj si želimo vsi si želimo prav gotovo ohraniti javno zdravstvo dostopno vsem državljanom ne glede na gmotni položaj ljudi vsi državljani moramo imeti enako dober in pravočasen dostop do zdravstvenih storitev zavedati se moramo da se zaradi povečanja deleža starejšega prebivalstva in različnih spremljajočih bolezni boljšega preživetja večje zdravstvene osveščenosti ljudi slovenski zdravstveni sistem sooča z vse večjimi potrebami in pričakovanji tukaj bi se rada dotaknila košarice zdravstvenih storitev jaz mislim da bi morali to košarico tudi dopolniti dopolniti s storitvami iz preventivnega vidika in sicer tukaj vidim zgodnjo obravnavo otrok z motnjami v razvoju ki potrebujejo že kot dojenčki redno obravnavo strokovnjakov ne samo enkrat na mesec pač pa pogosteje mislim da bodo tudi določene motnje in težave omiljene če ne povsem odpravljene potem vidim nadalje starajoče starajočo družbo ki se srečuje z različnimi boleznimi kot so demenca parkinsona bolezen alcheimerjeva bolezen kot spremljam po medijih pravijo strokovnjaki da se lahko te bolezni tudi odkrijejo z določenimi posegi kot na primer rengentskimi slikami možganov ki zgodaj ugotovijo motnje na kognitivnem področju če bi poleg presejevalnih testov kot so zora svit in dora vključili tudi v košarico teh zdravstvenih storitev recimo rentgensko slikanje možganov dovolj zgodaj sem prepričana da bi marsikatero to hudo bolezen omejili ali odpravili saj pravimo da je še tako dobra preventiva dosti boljša kot kurativa ki je tudi draga v zadnjem času se vsi srečujemo tudi z veliko razburjen kar se tiče področja koncesij res je da so se v preteklosti dogajale določene nepravilnosti koncesionarji so nenazadnje del javne mreže so dopolnitev javnim zdravstvenim zavodom in delo opravljajo dobro in tudi pacienti so z njimi zadovoljni vedno pa se najdejo tudi izjeme ki iščejo zakonske luknje izigravajo zdravstveno zakonodajo tukaj menim da je potrebna kontrola zakonitosti in take anomalije ugotoviti in odpraviti vemo da imajo koncesionarji zelo zelo veliko kontrol zdravstvene zavarovalnice davčne inšpekcije delovne inšpekcije in tako naprej menim da take anomalije in nepravilnosti lahko zelo hitro ugotovijo in ukrepajo tako javni zavodi kot koncesionarji so pri posamezni zdravstveni storitvah omejeni na primer pri ginekologu ima pacientka pravico do ultrazvoka na leto dvakrat recimo bom rekla če gre in zahteva večkrat mora doplačati medtem ko v javnem zavodu velikokrat ni tako tam pač ima kolikokrat ima ni potrebno plačati je pa res da ste pa oboji izenačeni v pravica pri koncesionarju je torej tretji pregled plačljiv v javnem zavodu pa ne zato bi se morale ovrednotiti nove vse nove storitve ki veljajo že od leta menimo da moramo imeti pravico do izbire in kvalitetne zdravstvene storitve ali v javnem ali pravico pri koncesionarju torej podpiram ministrstvo ki ne odpravlja koncesij pač pa vzpostavlja red na tem področju dobro bi bilo tudi doreči kaj takrat ko koncesionar izpolni normo iz osnovnega zdravstvenega zavarovanja in več strani zdravstvenega zavarovanja ne dobi plačilo menim da bi se bilo mogoče tukaj ozreti v sosednjo avstrijo kjer koncesionarji niso omejeni pri delu koliko delajo toliko pač dobijo plačano s strani zdravstvenega zavarovanja s tem bi se tudi pri nas morda odpravile čakalne vrste ker nekateri izpolnijo normo ki jo plača zavarovalnica že v novembru potem delajo še samoplačniško ali pa gredo na dopust naj zaključim z željo da nam novi zakon o zdravstveni dejavnosti prinese red v celotnem zdravstvu zadovoljstvo vseh nas tako pacientov kot tudi tisti ki nam nudijo zdravstveno oskrbo in ne bodo vedno predmet kritik čeprav svoje delo opravljajo dobro in kvalitetno hvala,2016,01,neutral
hvala lepa besedo dajem ministru za gospodarski razvoj in tehnologijo gospodu zdravku počivalšku za odgovor,2016,01,neutral
hvala lepa k besedi se je prijavil minister za zunanje zadeve gospod karl erjavec izvolite beseda je vaša,2016,01,neutral
najlepša hvala gospod predsednik pred kratkim je bila v vseh medijih zgodbo o bobu leta ki ga je dobil gospod boscarol to je lahko rečem eden izmed pionirjev ultralahkega letalstva v svetu zanimivost ki pa v tem trenutku prihaja ravno iz agencije torej z ministrstva za infrastrukturo pa je da v tej agenciji delajo ljudje birokrati ki ne razumejo ultralahkih letal ne razumejo varnosti letenja in nekako prejudicirajo svoje odločitve dogaja se to da v razvoju ultralahkih letal so si tudi lastniki teh avionov vgradili v ta ultralahka letala dodatno varnostno opremo in zaradi tega se je teža teh letal morda povečala za do kilogramov sedaj so ti nadzorniki tako birokratski da ne pustijo niti letov ali pa izpitnih letov in problematizirajo težo samega pilota naj povem da v svetu letalstva veljajo neki standard kilogramov mislim pa da nihče od vas ni nikoli prišel na letališče kjer bi vas stehtali in kjer bi vam rekli da vi imate več kot kilogramov in ne morete na avion zaradi česa to govorim govorim o varnostnih faktorjih v aviaciji in pred seboj imam tudi dokumente o številnih ultralahkih letalih kjer je ta varnostni faktor standard plus g obremenitve minus in plus kjer je nekaj ton varnostni faktor za en takšen avion zaradi dveh birokratov pa imamo mi celo vrsto ultralahkih avionov ki so prizemljeni nimajo dovoljenja za letenje in vsi lastniki teh avionov sedaj registrirajo v sosednjih državah kjer tega problema ni največkrat v avstriji na češkem v nemčiji še nobena letalska nesreča z ultralahkim letalom se ni zgodila ali vsaj ni identificirana ki bila posledica nekaj kilogramov večje teže drug problem ki bo nastopil bo po vsej verjetnosti nastopil tudi v prihodnje ko bo naš nekdanji ali pa sedanji aktualni svetovni prvak v letenju z ultralahkimi letali gospod lenarčič po vsej verjetnosti moral svoj avion ponovno registrirati v tujini in od tam avion potuje z registrsko oznako za naslednji let ki ga bo postavljal to je nek let okoli sveta bo ta avion moral biti zaradi naše birokratske miselnosti nekako postavljen mislim da je poslansko vprašanje na mestu verjamem da je ta razprava pomembna v državnem zboru ne gre samo za razvoj ultralahkega letala ampak za primat ali bo slovenija tudi neka država ultralahkih letal ali bo to vplivalo tudi na gospodarsko rast na turizem in tako naprej torej gre za lahko rečemo zelo pomembno vprašanje gre pa tudi za vprašanje birokratske miselnosti torej predvsem debirokratizacije te države primer agencije in delovanja agencije ravno kaže na eno takšno neizbrisano birokratsko miselnost hvala za podporo pri tem poslanskem vprašanju,2016,01,neutral
