text,sent
urejena okolica,positive
piko na i pa temu mini naselju daje zunanja ureditev lokacija je dobro osvetljena in tudi nekoliko dvignjena v neposredni bližini je grosuplje ki velja za dokaj elitno lokacijo kjer živi veliko vplivnih ljudi v grosuplju so seveda tudi ustanove ki jih mlade družine še kako potrebujejo  trgovine vrtci šole banka in podobno po drugi strani je naselje z avtocesto odlično povezano z ljubljano,positive
stanovanja namenjena predvsem družinam,positive
posamezna enota je idealna za bivanje štiričlanske družine stanovanja so zaradi velikega števila oken dobro osvetljena v mansardi so še frčade kar zmanjšuje prostorske izgube zelo iznajdljivi pa si bodo lahko tudi uredili prostor na podstrešju,positive
stanovanja bo mogoče prevzeti konec prihodnjega meseca stanovanjska enota z najmanjšim pripadajočim zemljiščem 185 kvadratnih metrov stane 195 tisoč evrov oziroma 1 200 74 evra na kvadratni meter vsak kvadratni meter zemljišča nad 185 kvadratnih metrov pa je dodatno vrednoten po 100 evrov,positive
med uporabniki interneta je barack obama precej bolj priljubljen od ostalih kandidatov za predsednika zda,positive
volilna kampanja se je že zdavnaj razširila tudi na internet čeprav pojavljanje na tem mediju še ni ključnega pomena če bi bilo bi najbrž za zmagovalca že lahko razglasili baracka obamo,positive
na facebooku za obamo več uporabnikov kot za clintonovo in mccaina skupaj,positive
aplikacija pages na facebooku omogoča izražanje podpore osebnostim dogodkom krajem in podobno ter tudi politikom med katerimi po številu podpornikov močno vodi demokratski kandidat za predsednika zda barack obama ki ima več kot 755 tisoč podpornikov,positive
druga demokratska kandidatka hillary clinton ima le 144 tisoč podpornikov čeprav sta v javnomnenjskih raziskavah z obamo skoraj izenačena,neutral
republikanski kandidat john mccain ki si je nasprotno kot prej omenjena kandidaturo na pravih volitvah že zagotovil ima dobrih 107 tisoč podpornikov in je za obema demokratoma,neutral
obama prvi tudi na youtubu,positive
stanje je podobno tudi na youtubu ki je za volitve pripravilo stran youchoose 08 na videe štaba baracka obame se je naročilo skoraj 43 tisoč uporabnikov na videe clintonove dobrih 12 tisoč in na mccainove videe 4000 to pomeni da je vsak ki se naroči obveščen ko uporabnik doda nov video,neutral
v sloveniji še dolgčas,negative
spletni mediji so polni vsebine o ameriških volitvah medtem ko ob pregledu spletnih strani slovenskih političnih strank niti ni čutiti da se bližajo državnozborske volitve te bodo 8 oktobra ameriške predsedniške pa 4 novembra,negative
podjetniku in enemu najbogatejših slovencev igorju akrapoviču so menda grozili z ubojem družine če izsiljevalcem ne bo izročil 200 tisoč evrov,negative
beti barbič 31letna vojakinja iz okolice slovenj gradca naj bi po telefonu grozila slovenskemu podjetniku igorju akrapoviču in zahtevala plačilo 200 tisoč evrov poroča večer,negative
foto urban štebljaj,neutral
podjetnik iz ivančne gorice akrapovič se je na policiste obrnil že konec februarja ko je menda prejemal klice ženske in moškega klicatelja sta mu grozila da bodo ubili njegovo družino če jim ne izroči 200 tisoč evrov tarča pa naj bi bila predvsem otroka,negative
ljubljanski kriminalisti so zato menda v minulih dneh na štajerskem opravili pet hišnih preiskav zaradi suma storitve kaznivega dejanja izsiljevanja včeraj dopoldne pa naj bi k preiskovalni sodnici mariborskega okrožnega sodišča pripeljali 31 letno vojakinjo 670 poveljniško logističnega bataljona beti barbič,negative
ta naj bi vojaško službo opravljala zadnja štiri leta kdo naj bi bil moški policisti še ne vedo saj ga barbičeva ne želi izdati akrapovič zadeve ne komentira in ne daje podrobnosti molčeči pa so tudi na mariborski policijski upravi,neutral
projekcije rezultatov volitev ki so se zaključile ob 15 uri kažejo da je največ glasov zbral kandidat stranke ljudstvo svobode silvio berlusconi,neutral
foto afp2008,neutral
