text,leto,mesec,sent
hvala lepa gremo naprej po vrsti mateja udovč bo postavila vprašanje ministrici za infrastrukturo mag alenki bratušek izvolite,2019,01,neutral
hvala lepa besedo ima janja sluga pripravi naj se dr anže logar izvolite,2019,01,neutral
hvala lepa gospod poslanec imate besedo za postopkovni predlog,2019,01,neutral
gospod poslanec imate besedo za obrazložitev zahteve za dopolnitev odgovora izvolite,2019,01,neutral
hvala gospod državni sekretar pristojno matično telo je odbor za finance zato dajem besedo predsedniku gospodu robertu polnarju izvolite,2019,01,neutral
hvala gospod poslanec za vašo obrazložitev s tem spoštovane poslanke spoštovani poslanci prehajamo na glasovanje glasujemo navzočih je poslank in poslancev za je glasovalo proti za je glasovalo proti ugotavljam da zbor predlaganega sklepa ni sprejel zato je postopek o predlogu obtožbe končan s tem zaključujem to točko dnevnega reda prehajamo na točko dnevnega reda to so mandatno volilne zadeve prehajamo na obravnavo predloga za izvolitev varuha človekovih pravic predsednik republike slovenije borut pahor je januarja predlagal državnemu zboru da za varuha človekovih pravic izvoli gospoda petra svetino besedo dajem generalni sekretarki v uradu predsednika republike slovenije gospe nataši kovač za dopolnilno obrazložitev predloga izvolite,2019,01,neutral
hvala lepa spoštovana gospa poslanka vesel sem da se strinjate z mojo oceno da si vsi želimo živeti v državi kjer bo policija imela pooblastila da bo lahko preganjala organiziran kriminal mislim da ni enega slovenca in slovenke ki bi drugače mislil kot sem v tem intervjuju tudi povedal res je razlika med migracijami iz leta in je v tem da posamezniki in organizirane kriminalne združbe vodijo tihotapske kanale preko slovenije in pravzaprav na področju policijskih uprav novo mesto in koper so policisti in policistke najbolj učinkoviti z različnimi operativnimi metodami moram povedati da je policija prilagodila tako taktiko kot metodiko svojega dela tukaj lahko povem da je pravzaprav uspešna moram povedati tudi tako kot vedno da slovenska policija obvladuje razmere na meji z republiko hrvaško na tako imenovani schengenski meji in pravzaprav deluje v skladu s standardom ki ga policija ima ob varovanju schengenske meje kar nekaj tehničnih sredstev uporablja pri temu pa ne želim pravzaprav o teh stvareh toliko na glas govoriti ker verjamem da bomo tudi na seji komisije za nadzor obveščevalnih in varnostnih služb te stvari še toliko bolj pojasnili za tistimi štirimi stenami ker smo to pravzaprav tudi dolžni narediti moram povedati tukaj da še vedno na slovenski južni meji sodeluje poleg slovenske policije tudi slovenska vojska kjer je v skupnem nadzoru nad državno mejo v teh nalogah še vedno zraven moram se tudi spet s tega mesta zahvaliti ministrstvu za obrambo in slovenski vojski za te opravljene naloge ki jih počnejo na južni meji moram tudi povedati da pomanjkanje policistov ki ga imamo zaradi obsega nalog rešuje policija na ta način da iz tistih uprav ki so manj izpostavljene daje na naloge varovanja meje svoje policistke in policiste predvsem pa je vlada prepoznala da ob zaključku ob podpisu stavkovnega sporazuma ko smo končali stavko tudi ureja denarna sredstva oziroma sredstva ki so namenjena za poseben projekt varovanja schengenske meje tudi tukaj gre potem za boljše pogoje za delo policistov ne nazadnje tudi za njihovo finančno vrednotenje že prej sem govoril da manjka skoraj tisoč policistov zaradi različnih razlogov tudi nevlaganja v sistem notranje varnosti in si tukaj želim da nadaljujemo z opremljanjem policije v skladu z resolucijo do leta kjer so stvari jasno zapisane kaj in na kakšen način je treba policijska sredstva tudi kupiti mislim da je še eno pomembno vprašanje ki je pred nami to da bomo se morali ravno v državnem zboru v tej dvorani pogovoriti o tem kakšna pooblastila lahko policija ima posebej na področju preiskovanja komunikacijskih kanalov sodobnih komunikacijskih kanalov digitalnih komunikacijskih kanalov kajti sedanja zakonodaja tega ne dovoljuje zato je treba iskati dokaze tam kjer je pravzaprav pristojnost policije dovoljena in kjer so pravila jasno zapisana hvala lepa,2019,01,neutral
hvala spoštovana podpredsednica spoštovani poslanec mogoče bi malce širše orisala takoj ko sem prišla na ministrstvo sem bila že ob primopredaji seznanjena da je prejšnje vodstvo pripravljalo kadrovske standarde in normative za delo strokovnih delavcev in pravosodnih policistov v upravi republike slovenije za izvrševanje kazenskih sankcij to smo v zelo kratkem času takrat uskladili s predstavniki obeh sindikatov posodobili in tudi sprejeli objavili na podlagi tega so bili potem izdani še drugi pravilniki vsi zavodi morajo vsa svoja področja temu prilagoditi v določenem času in glede na nastalo situacijo smo zagotovo takoj k temu pristopili in to tudi prednostno obravnavajo kar se mi zdi še dodaten napredek k temu je da bodo še v večji meri prisluhnili tudi stroki se pravi tudi samim pravosodnim policistom ko bodo predlagali posamezne določene izboljšave glede na situacijo ki jo sami opazijo v posameznem zavodu se pravi v posameznem zaporu drugo veliko področje se mi zdi kar je s strani vlade tudi prisotnega kolega za javno upravo tudi ministra za finance ne nazadnje tudi predsednika vlade da smo dobili dodatne kvote verjamem da boste poslanci poslanke potrdili zakon o izvrševanju proračuna republike slovenije tako da so nam na podlagi lanskih kvot dodelili še dodatna najmanj za pravosodne policiste ter seveda tudi za upravo za probacijo glede na to je trenutno na ursiks zaposlitvenih postopkov za javnih uslužbencev pravosodnih policistov in tudi ostalih strokovnih sodelavcev ki so prav tako potrebni za opravljanje dela v zaporih in tudi za probacijo da bomo nekako to zaokrožili in šli v boljše stanje kajti ob vsem kar je bilo v tem času tudi v javnosti predstavljeno je bilo ugotovljeno da tema dogodkoma ni toliko botrovala sama oprema temveč predvsem človeški faktor da se pravosodni policisti zaradi pomanjkanja zelo preobremenjeni z delom in zaradi tega prihaja tudi do takšnih napak ki se pravzaprav ne bi smele zgoditi kar se tiče samega kopra veste da imamo novo vodstvo in dala sem jim nekoliko časa da prevetrijo vse notranje postopke in da jih potem v drugi polovici februarja tudi obiščemo da nam predstavijo vse kar so v tem času naredili poročilo tako o tem kaj se je zgodilo v kopru kot tudi v vseh ostalih zavodih kakšno je stanje smo obravnavali že na vladi jaz sem generalnega direktorja tudi zadolžila da skupaj z vsemi sodelavci pripravi nek akcijski načrt vlaganj in osnovna ocena samo za informatiko se pravi za nadzorstvene kamere in neko drugo potrebno opremo je da je potrebno vlaganje v letošnjem letu v višini tisoč plus vsako leto še tisoč za vzdrževanje in posodabljanje zdaj pričakujem da bodo v najkrajšem možnem času za vsak posamezni zapor pripravili akcijski načrt katere so prioritete glede vlaganj da bomo šli skupaj čez to verjamem da bomo v okviru našega proračuna kjer smo imeli že tudi zagotovljena sredstva za dodatne zaposlitve našli tudi sredstva za to kajti tudi v preteklem letu tako kot v letih pred mano je ministrstvo za pravosodje na koncu leta odstopilo sredstva potrebna tudi drugim pravosodnim deležnikom oziroma gradnikom glede same varnostne situacije ki so jo že preverili po vseh zaporih ocenjujejo da je ustrezna seveda se zavedamo da lahko do neprijetnih dogodkov žal vedno prihaja ker tam so pač obsojenci priporniki tudi glede števila zapolnjenosti zaporov so situacije zelo kritične ta situacija ne bo izboljšana dokler v sloveniji ne bomo imeli novih zaporov glede tudi na to v kakšnem stanju so obstoječi objekti vendar ocenjujejo da nekih večjih sprememb ni potrebno bodo pa te spremembe pripravili v zelo zelo kratkem času poleg tistega kar so sami že predlagali kar se tiče pa samega strokovnega usposabljanja tudi tukaj je že prišla pobuda mogoče o tem da bi to strokovno usposabljanje nekako skrajšali vendar so tukaj stroka in predstavniki sindikata enotnega mnenja da to usposabljanje mora biti zelo dobro da morajo biti pravosodni policisti primerno pripravljeni in usposobljeni za izvrševanje svojih nalog tako da tukaj zaenkrat ne načrtujemo nekih sprememb v zelo kratkem času glede na to kaj bodo pa pravosodni policisti povedali ob podajanju predlogov za izboljšanje varnostne situacije pa verjamem da bomo v sodelovanju s predstavniki obeh sindikatov izboljšali tudi samo nadgradnjo usposabljanja predvsem v tem da ni samo začetno usposabljanje ampak da se potem skozi leta kar se je sedaj zaradi kadrovske problematike zaradi preobremenjenosti nekako tudi opuščalo vsakoletno in vsakomesečno izvajalo,2019,01,neutral
dobro jutro dober dan vsem skupaj zakaj nova slovenija predlaga ustanovitev parlamentarne preiskave o dutb oziroma slabi banki najprej splošni okvir davkoplačevalci smo leta že drugič v samostojni sloveniji dokapitalizirali banke tokrat je bila prenosna vrednost oziroma finančni vložek znaten večmilijardni in v zameno kot posledica te bančne luknje je potem bila politična odločitev da se ustanovi tako imenovano slabo banko družbo za upravljanje terjatev bank kamor se prenesejo vse slabe terjatve iz državnih bank imeli smo banke nova ljubljanska banka dutb abanka in potem kasneje še probanka in factor banka se pravi da se te slabe terjatve slabi krediti prenesejo v upravljanje na slabo banko ter da se jih potem s temi terjatvami skuša na slabi banki optimizirati in uspešno potem tudi naprej v nadaljevanju prodati ta zakonska odločba oziroma zakon je bil sprejet v državnem zboru oktobra potem je marca nastala družba za upravljanje terjatev bank slaba banka ključna naloga dutb piše v zakonu je pomagati pri prestrukturiranju bank sistemskega pomena ki so se znašle v hudih solventnih in likvidnostnih težavah torej zaradi tega smo mi ustanovili slabo banko pa malce številk o čem se pogovarjamo nominalna vrednost terjatev prenesenih z nove ljubljanske banke je znašala milijarde evrov nominalna vrednost terjatev prenesenih z nkbm je znašala milijarde evrov kar je skupno naneslo milijarde evrov od abanke banke celje pa je dutb terjatve prevzela konec leta dutb je torej po odločitvi vlade prav tako odkupila terjatve probanke in factor banke sedaj pa pozor skupna bruto vrednost prenesenih slabih terjatev na dutb je znašala milijarde evrov milijarde evrov s tem zneskom upravlja družba za upravljanje terjatev bank s temi terjatvami v tej višini sama prenosna vrednost pa je bila milijona evrov čemu smo pa priča od ustanovitve dutb naprej vsak dan smo priča skoraj dnevno aferam aferam na slabi banki aferam v zvezi z upravljanjem terjatev bank z nepremičninami z rednim poslovanjem s podjetji ki jih v stečaje pošilja dutb in to od začetka od ustanovitve naprej od leta naprej štirje ključni razlogi zakaj smo se odločili za preiskavo zakaj je prav da državni zbor preiskuje družbo za upravljanje terjatev bank to je bila namreč politična odločitev v tem parlamentu smo sprejeli to odločitev vlada kot skupščina je bila tista ki redno nadzira in nastavlja ključne kadre na dutb prvi razlog obstaja sum da so bile na dutb in v letu prenesene tudi dobre terjatve terjatve ki nikakor niso spadale na slabo banko posledica te odločitve je bilo kar nekaj stečajev dobrih podjetij naj vam navedem en primer primer avtotehne ki je bila potem po dobri ceni naprej prodana ali pa primer enega komunikacijskega podjetja na katerega je prišel nekoč lobist od enega drugega podjetja z željo da bo uredil prodajo tega podjetja po dobri ceni seveda da bo lastnik dobro zaslužil v nadaljevanju se lastnik seveda s tem ni strinjal ker je hotel biti še naprej lastnik tega komunikacijskega podjetja ta ista oseba je potem čez nekaj mesecev dobila službo kot izvršni direktor na slabi banki ena izmed njegovih prvih nalog a veste kaj je bila je bila ta da je dutb v stečaj poslal to komunikacijsko podjetje v stečaj je poslal in iskali so na dutb potem nove kupce na koncu je ustavno sodišče šele po letih muk in trpljenja odločilo da to podjetje ni bilo vredno da gre v stečaj ni bilo vredno da gre na dutb kdo nosi tukaj odgovornost gospe in gospodje v tem primeru na primer ki ga moramo raziskati drugi razlog upravljanje s terjatvami in nepremičninami ter redno poslovanje nepremičnine priča smo te dni še nerešeni aferi logatec kli logatec iz zgodbe ko je dutb iskal novega lastnika je to zemljišče prodal posredniku za evrov na kvadratni meter po kolikšni ceni je ta posrednik potem prodal zemljišče končnemu kupcu po evrov zaslužek na kvadratni meter je bil samo v devetih minutah od podpisa ene in druge pogodbe evrov a je to pošteno a je to normalno poslovanje v tej državi ni zato moramo preiskati delovanje slabe banke odločitev vlade leta da se factor banka in probanka priključita dutb je imela tudi finančne posledice milijonov evrov ampak bolj kot finančne posledice je bilo pri tej zgodbi nekaj drugega in sicer to da smo s tem na dutb na slabi banki dobili tudi te iste kadre ki so bili prej zaposleni na factor banki in probanki ti isti ljudje so bili samo premeščeni na druga delovna mesta na slabo banko ti isti ljudje ki so dajali slabe kredite morda kopali bančno luknjo v okviru rednega poslovanja factor banke in probanke o rednem poslovanju še to kako so vrednotene slabe terjatve kako potekajo interne revizije kdo jih vrednoti od slabe banke zahtevamo odgovore na kakšen način potekajo vrednotenja na kakšen način poteka nadzor in kdo so ključni odločevalci kdo so ključni ljudje ki upravljajo razmere na slabi banki medsebojne razmere zaposlenih te dni je predsednik vlade dobil pismo razočaranih zaposlenih tako rekoč sindikata da so razmere nemogoče in da se ne da delati ampak pozor oni upravljajo s milijardami evri terjatev in prihaja do takšnih nesoglasij da smo priča anonimkam dogodkom medsebojnega nerazumevanja ali se spomnite leta ko je bila ključna afera v slabi banki plače iz tistega obdobja obstajajo posnetki ki jih je tudi en slovenski medij objavil kako se upravni odbor dutb med sabo dogovarja kako bi zaobšli zakonodajo pazite to kako bi zaobšli zakonodajo da bi si dvignili plače da bi upravičili tisoč evrov visoko plačo če so oni tuhtali kako bi zaobšli zakonodajo pri plačah kar je zelo sporno kako mora boleti ko se pogovarjajo med seboj kako bi zaobšli zakonodajo da bi lahko prvotni originalni dolžniki postali končni lastniki in to je tretji ključni razlog kajti dogaja se nam to so indici da originalni prvotni dolžniki zaradi katerih so bile terjatve prenesene na slabo banko postajajo končni lastniki nazaj lastniki teh podjetij oziroma teh terjatev kar ni v skladu z zakonodajo vam povem primer zadnjič sem ga poskušal povedati tudi predsedniku vlade v sloveniji imamo podjetje ki je bilo zadolženo za okrog milijonov evrov nič ni vračalo terjatve so bile prenesene na slabo banko na slabi banki so se odločili da bodo te terjatve prodali od tega podjetja skupaj s še štirimi drugimi podjetji to je tisti paket veste elan ach polzela pa adria ob tem da se ne ve ali so morda ponudniki za druga podjetja imeli boljša izhodišča nudili boljše pogoje več denarja zaradi tega ker je bila odločitev nekaterih da bomo to prodali v paketu zakaj zaradi tega da se zakrije ključno tega dolžnika dolžnika milijonov evrov in glej ga glej nek ameriški sklad je te terjatve kupil že sama prenosna vrednost z nove ljubljanske banke na dutb je bila okrog s popustom seveda popusta lepo potem je v nadaljevanju dutb to odprodal še za okrog popusta potem pride pa neki ruski sklad ki od tega ameriškega sklada kupi te terjatve od tega podjetja v nadaljevanju spet pride znana ruska banka ki nekemu slovenskemu podjetju ki združuje iste lastnike ki so bili prej lastniki tega podjetja ponudi nekaj milijonov evrov denarja da lahko nazaj odkupijo to podjetje in so spet lastniki to se nam dogaja vmes so zelo zaslužili poceni so na tak način nazaj prišli do svojega podjetja ki so ga prej izčrpali in mi davkoplačevalci bomo še naprej sanirali bančni sistem seveda če bomo to dopustili zaradi tega je ena izmed nalog te preiskovalne komisije tudi ta da prepreči morebitne lumparije v bodoče kajti gre za iste ljudi za iste kriminalce ki samo kolobarijo iz dneva v dan ali pa iz leta v leto na istih položajih četrti pomemben razlog za ustanovitev te preiskovalne komisije pa je ali denar preko tujih skladov ki imajo sedeže v davčnih oazah prihaja nazaj v slovenijo in preko družbe za upravljanje terjatev bank slabe banke kupujejo terjatve to je ključno vprašanje sicer jaz ne morem drugače argumentirati početja teh skladov ko na funkcijah upravljanja s temi podjetji ki so jih kupili pustijo iste ljudi ki so podjetja poslali v prisilne poravnave v stečaje in jih tako zadolžili glede denarja ki je šel iz slovenije v obdobju tranzicije ali pa v zadnjih letih v davčne oaze torej obstajajo indici da se preko slabe banke vrača nazaj v republiko slovenijo in poceni kupujejo premoženje to so štirje ključni razlogi začetek dela preiskovalne komisije bo februar zakaj ta datum zaradi tega ker so se od tega presečnega datuma naprej začele diskusije pogovori znotraj javnega prostora o tem da je potrebna ustanovitev slabe banke lahko bi bil presečni datum sama ustanovitev slabe banke ampak to ne bi bilo dovolj temeljito tudi računsko sodišče je delovanje slabe banke revidiralo že prej od leta kljub temu da takrat še ni bila ustanovljena takrat so prišli prvi pozivi tudi s strani evropske komisije da je treba ustanoviti posebno banko ki se bo ukvarjala s slabimi terjatvami ključen končni namen parlamentarne preiskave pa je torej podati odgovor na vprašanje ali normativna ureditev in dejansko sprejemanje odločitev z vplivom na delovanje dutb ki je bila ustanovljena izključno z namenom prenosa slabih terjatev iz slovenskih bank kot enega izmed ključnih elementov sanacije razmer v slovenskem bančnem sistemu odpirata sistemska tveganja za javna sredstva in posledično celoten finančni sistem republike slovenije vesel sem spoštovane kolegice in kolegi podpore vseh poslanskih skupin poslank in poslancev se vas je podpisalo pod to zahtevo kar se je zgodilo prvič v republiki sloveniji zaradi tega verjamem v ta iskreni namen da preiščemo delovanje družbe za upravljanje terjatev bank da nepravilnosti kaznujemo da bodo ljudje kazensko in odškodninsko odgovarjali ti dogodki na slabi banki se nam niso dogajali včeraj se nam dogajajo danes stvari se dnevno dogajajo slaba banka dnevno posluje zato še en končni poziv in sicer ne samo poslankam in poslancem ampak vsem gledalkam in gledalcem ki spremljajo delo poslancev če kdo karkoli ve o delovanju slabe banke je soočen z nepravilnostmi ga vabim da prenese informacije da priča o teh dogodkih to bo zelo pomagalo preiskovalni komisiji ko se bo soočala s težavami najlepša hvala,2019,01,negative
hvala gospod perič če je poskus sprejetja odločbe ustavnega sodišča v zakonsko materijo za vas ideološka izpraznjenost potem imate v problem in ne mi predlagatelji in če je za vas poskus vzpostavitve zakonitega stanja na podlagi odločbe ustavnega sodišča poskus kulturnega boja potem imate vi problem ne mi in če želite bolje izkoristiti čas predlagam da se obrnete na predsednika vlade in na večino ministrov ter državnih sekretarjev ki tukaj sedijo in jih vprašate kaj počnejo na zadnjih sejah vlade razen kadrovskih imenovanj in določanja kdo bo šel kam na potovanje in poleg sprejetja rebalansa proračunov koliko zakonov ste sprejeli na sejah vlade dva tri spoštovani gospod perič bolje izkoriščen čas z veseljem predlagajte zakon skličite nujno sejo apelirajte na vlado naj dela ne pa gledati v sds in reči da nič ne delamo ker če sds ne bi nič delal bi seja trajala točno dva dni kar se pa tiče odgovora gospoda šarca pa sedaj ne vem ali je to govoril v vlogi predsednika vlade ali v vlogi nekoga drugega ki ga je izvajal pred tem ko je bil predsednik vlade in verjetno se njemu nikoli ni zgodil lapsus v prejšnji vlogi ampak tudi ko se mu je zgodil lapsus so se mu verjetno smejali jaz se opravičujem za svoj lapsus ja imam tri majhne otroke cel vikend smo gledali ice age in smo se smejali lapsus je bil narejen pa verjamem da se nobenemu predsedniku vlade nobenemu ministru državnemu sekretarju ali poslancu od danes naprej ne bo več zgodil omenili ste odškodnine izbrisanim ja zato da bi ujeli rok ja tam ste se pobrigali da ste nekaj naredili tukaj pa ste načrtno naredili nekaj delali nevestno da nekaj ne bi naredili zakaj zaradi ideologije ker ne želite da se uresniči sodba ustavnega sodišča in jaz sem danes pričakoval vaš odgovor v kateri smeri ste naložili ministru za izobraževanje da bo šel zakonski predlog ampak danes berem da ste naročili ali pa nenaročili ali pa si je minister sam izboril štiri variante rešitve ene odločbe ustavnega sodišča spoštovani gospod predsednik vlade jaz sem govoril o mnenju na naš predlog zakona prebral sem pa tudi mnenje zakonodajno pravne službe na vladni zakon in naš zakon morda ni idealen kar je tukaj tudi zakonodajno pravna služba napisala ampak še enkrat naš zakon je šel v smeri odpravljanja ugotovljenega neskladja z drugim odstavkom člena ko je bil zofvi na mizi ste imeli škarje in platno in bi se odločili in v tem členu ki je edini merodajen za izpolnitev za izpolnitev odločbe ustavnega sodišča tekom parlamentarne procedure naredili tudi svojo rešitev in mi bi jo podprli če bi šla v smeri tega kar je zapisalo ustavno sodišče za zaključek spoštovani gospod predsednik vlade če je eno ločeno mnenje ustavne sodnice bolj pomembno kot večinsko mnenje ustavnih sodnikov potem predlagam tudi če bo danes glasovanje za in proti da ugotovite da niti ni taka manjšina ampak da njihovo mnenje šteje in ja čestitke k sestavi vlade vem da je bil to vaš zelo goreč cilj kajti tudi iz koalicijskih usklajevanj je bilo rečeno sestava vlade za vsako ceno tako vam to pa res čestitam resnično mislim kajti morda so imeli v belgiji srečo z nesestavo vlade ampak v sloveniji imamo toliko odprtih vprašanj da rabimo nekoga da udari po mizi mi smo upali da boste pri tem našem zakonu in pri tej odločbi ustavnega sodišča udarili po mizi ampak ne raje ste se umaknili hvala,2019,01,negative
