text,leto,mesec,sent
"hvala lepa za vaše vprašanje. govoril sem o teh podatkih, ki sem jih imel na voljo. za čakalne dobe in te zadeve nam je seveda vsem znano. vem, da ste tudi vložili predlog zakona na to temo, ki pa po mojem mnenju ne rešuje teh vprašanj. če ste omenili, da je zdravniška zbornica negirala moje trditve, se tudi spominjate, da smo potem podali odgovor in je bilo zajeto drugačno časovno obdobje, ker podatki jasno kažejo, da se je število zaposlenih povečalo, zdravniška zbornica je pa vzela drugo obdobje. ne glede na to bo ta problem čakalnih dob, ki je vsesplošen, ni samo na eni stvari, je pa treba jasno povedati, da ta problem čakalnih dob imamo tudi zato, recimo pri operaciji nožnega palca je tako, da je v novem mestu čakalna doba en dan, vendar se ljudje ne odločajo, ker želijo iti v klinični center. veliko se bo dalo narediti tudi z drugačno organizacijo. ljudje imajo možnost izbrati tudi drugo ustanovo pri določenih operacijah. to je problem, ki ga je treba reševati na organizacijski ravni oziroma ljudem jasno povedati, da gredo lahko tudi v drugo ustanovo in bodo prej na vrsti. v javnosti je bil prikazan recimo primer letne čakalne dobe za operacijo nožnega palca. ja, ampak ta gospa, ki čaka, ki je zdaj dobila čakalno dobo let, ima možnost iti tudi v drugo ustanovo, ne v tisto, kamor želi, mislim da je v mariboru čakalna doba dni, v novem mestu pa en dan. in to lahko prenesemo tudi na druga področja v zdravstvu. tako da ni vse čisto tako. vendar glede na to, da sem danes tudi podal odstopno izjavo, če mi dovolite, bom povedal, da je to vprašanje danes nekoliko, kako bi rekel, zastarelo. če ste me hoteli napasti spet zaradi zdravstva, potem vam povem, da se bo s tem morala ukvarjati druga vlada, katera koli že bo. tako da se vam zahvaljujem za vsa vaša dosedanja vprašanja. zaključujem s tem, da stanje v zdravstvu ni čisto takšno, kot ga predstavljate. so organizacijski problemi. bi pa povedal tudi to, da vaš zakon vodi v privatizacijo zdravstva, kajti organizacijsko se da marsikaj drugače rešiti in popoldne so kapacitete prazne. vendar zdravniki delajo tudi popoldne na drugih lokacijah. to je eden izmed problemov. hvala.",2020,01,neutral
"hvala, gospa poslanka. o vašem predlogu bomo glasovali v sredo. s tem prehajamo na vprašanje gospoda luke meseca. povezano pa je z zaščito živali. gospa ministrica, izvolite.",2020,01,neutral
"saj pravim, kar se nas tiče, gre očitno samo za tehnikalijo. mi, kot rečeno, občinam že sofinanciramo za rjavega medveda. samo da imamo prave podlage in bomo to zadevo izpeljali.",2020,01,neutral
"hvala lepa. s tem smo končali s predstavitvijo stališč poslanskih skupin. ponovno odločanje o zakonu bomo v skladu s časovnim potekom seje zbora opravili danes v okviru glasovanj, in sicer pol ure po prekinjeni . točki dnevnega reda. s tem prekinjam to točko dnevnega reda. prehajamo na . točko dnevnega reda druga obravnava predloga zakona o spremembah in dopolnitvah zakona o delavcih v državnih organih. predlog zakona je v obravnavo državnemu zboru predložila skupina poslank in poslancev s prvopodpisano matejo udovč, zato za dopolnilno obrazložitev predloga zakona dajem besedo predstavnici predlagatelja gospe mateji udovč. izvolite.",2020,01,neutral
"hvala lepa. za obrazložitev mnenja dajem besedo predstavnici vlade gospe nataliji kovač jereb, državni sekretarki na ministrstvu za finance. izvolite.",2020,01,neutral
"hvala. gentrifikacija je v bistvu preslikava razkoraka med bogatimi in revnimi v prostor. jaz sem, že ko sem odgovarjal na vprašanje poslanca m derndorferja in rajića glede ograjevanja sosesk, jasno povedal, že v tistem odgovoru, da čeprav formalno tega ne morem prepovedati, mislim, da ni primerno za našo družbo, da se take soseske gradijo. imamo pa pri nas v bistvu srečo v nesreči v tem, da je glede na to, da imamo visoko stopnjo lastniških stanovanj, tudi ko pride do tega procesa, učinek v resnici manjši, kot v recimo zahodnem svetu izklop mikrofona",2020,01,neutral
"spoštovani poslanec, imeli ste priložnost, da obrazložite svoj glas in niste imeli pravice, da vodite diskusije z drugimi. in to ste naredili. jaz želim spoštovane in spoštovani, da se poslovniška določila ne zlorabljajo. to je moja prošnja, če se pa to še ponovi, bo pa zahteva. ali gremo lahko na glasovanje? glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da zakon ni bil sprejet. s tem zaključujem to točko dnevnega reda. nadaljujemo s prekinjeno . točko dnevnega reda, to je tretja obravnava predloga zakona o spremembah zakona o višini povračil stroškov v zvezi z delom in nekaterih drugih prejemkov v okviru rednega postopka. ker v drugi obravnavi amandmaji k dopolnjenemu predlogu zakona niso bili vloženi, prehajamo na odločanje o predlogu zakona. obveščam vas, da me zakonodajno pravna služba oziroma vlada nista opozorili, da bi bil zaradi amandmajev, sprejetih na matičnem delovnem telesu, predlog zakona neusklajen. glasujemo. navzočih je poslank in poslancev, za je glasovalo . za je glasovalo . proti nihče. ugotavljam, da je zakon sprejet. s tem zaključujem to točko dnevnega reda. nadaljujemo s prekinjeno . točko dnevnega reda, to je prva obravnava predloga zakona o dopolnitvah zakona o nadzoru državne meje. prehajamo na odločanje o naslednjem predlogu sklepa predlog zakona o dopolnitvah zakona o nadzoru državne meje je primeren za nadaljnjo obravnavo. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da je zbor sklep sprejel. predlog zakona bo dodeljen v obravnavo odboru za notranje zadeve, javno upravo in lokalno samoupravo kot matičnemu delovnemu telesu. s tem zaključujem to točko dnevnega reda. nadaljujemo s prekinjeno . točko dnevnega reda, to je prva obravnava predloga zakona o spremembah in dopolnitvah zakona o varstvu javnega reda in miru. prehajamo na odločanje o naslednjem predlogu sklepa predlog zakona o spremembah in dopolnitvah zakona o varstvu javnega reda in miru je primeren za nadaljnjo obravnavo. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da je zbor sklep sprejel. predlog zakona bo dodeljen v obravnavo odboru za notranje zadeve, javno upravo in lokalno samoupravo kot matičnemu delovnemu telesu. s tem zaključujem tudi to točko dnevnega reda. nadaljujemo s prekinjeno . točko dnevnega reda, to je tretja obravnava predloga zakona o spremembah in dopolnitvah zakona o tajnih podatkih v okviru rednega postopka. ker v drugi obravnavi amandmaji k dopolnjenemu predloga zakona niso bili vloženi, prehajamo na odločanje o predlogu zakona. obveščam vas, da me zakonodajno pravna služba oziroma vlada nista opozorili, da bi bil zaradi amandmajev, sprejetih na matičnem delovnem telesu, predlog zakona neusklajen. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da je zakon sprejet. s tem zaključujem to točko dnevnega reda. nadaljujemo s prekinjeno . točko dnevnega reda, to je predlog resolucije o nacionalnem programu o strateških usmeritvah razvoja slovenskega kmetijstva in živilstva naša hrana, podeželje in naravni viri po letu . ker amandmaji k dopolnjenemu predlogu resolucije niso bili vloženi, prehajamo na odločanju o predlogu resolucije. obveščam vas, da me zakonodajno pravna služba oziroma vlada nista opozorili, da bi bil zaradi amandmajev, sprejetih na matičnem delovnem telesu, predlog resolucije neusklajen. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da je resolucija sprejeta. s tem zaključujem to točko dnevnega reda. nadaljujemo s prekinjeno . točko dnevnega reda, to so vprašanja poslank in poslancev. glasovanje bomo opravili na podlagi pregleda predlogov sklepov poslank in poslancev za razpravo o odgovorih predsednika vlade, ministric in ministrov z dne . januarja , ki je objavljen na e klopi. prehajamo na odločanje o predlogih sklepov. obveščam vas, da bo v primeru sprejetja katerega izmed predlaganih sklepov na seji državnega zborav razpravi o odgovorih sodeloval predsednik vlade, minister oziroma ministrica, ki opravlja tekoče posle. prvi predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru predsednika vlade gospoda marjana šarca na poslansko vprašanje gospoda luke mesca v zvezi z uvedbo pravičnega nepremičninskega davka. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da sklep ni sprejet. spoštovani poslanke, poslanci, nočem vas motiti, sprašujem, ali gremo še na kakšno pavzo. oglašanje iz dvorane najlepša hvala za pozornost. drugi predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru predsednika vlade gospoda marjana šarca na poslansko vprašanje gospe ive dimic v zvezi z zaskrbljujočim stanjem v javnem zdravstvenem sistemu. glasujemo.navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da je sklep sprejet. tretji predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru predsednika vlade gospoda marjana šarca na poslansko vprašanje gospoda dušana šiška v zvezi s komisijo za preprečevanje korupcije. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da sklep ni sprejet. četrti predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru ministrice za kmetijstvo, gozdarstvo in prehrano dr. aleksandre pivec na poslansko vprašanje gospe lidije ivanuša v zvezi z oporečno hrano in slabim delovanjem uprave za varno hrano, veterinarstvo in varstvo rastlin. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . sklep ni sprejet. peti predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru ministrice za kmetijstvo, gozdarstvo in prehrano dr. aleksandre pivec na poslansko vprašanje gospoda luke mesca v zvezi z zaščito živali. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da predlog sklepa ni sprejet. državni zbor bo na naslednji seji opravil razpravo o odgovoru ministrice za kmetijstvo, gozdarstvo in prehrano dr. aleksandre pivec na poslansko vprašanje gospoda franca breznika v zvezi s socialnim statusom starejšega kmečkega prebivalstva. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da sklep ni sprejet. sedmi predlog sklepa državni zbor bo na naslednji seji opravil razpravo o odgovoru ministra za gospodarski razvoj in tehnologijo gospoda zdravka počivalška na poslansko vprašanje gospe violete tomić v zvezi z odgovornostjo za škodljivo privatizacijo adria airways. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . sklep ni sprejet. osmi predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru ministrice za pravosodje gospe andreje katič na poslansko vprašanje gospe alenke jeraj v zvezi z gradnjo ženskega zapora na igu in moškega zapora v ljubljani. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . predlog sklepa ni sprejet. deveti predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru ministra za izobraževanje, znanost in šport dr. jerneja pikala na poslansko vprašanje gospoda blaža pavlina v zvezi z neprimernim božičnim voščilom. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . sklep ni sprejet. deseti predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru ministra za kulturo mag. zorana pozniča in ministra za okolje in prostor gospoda simona zajca na poslansko vprašanje gospe nataše sukič v zvezi z ljubljanskim kolizejem, rušenjem spomenikov nepremične kulture dediščine in razraščajočo se gentrifikacijo. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . sklep ni sprejet. prehajamo na enajsti predlog sklepa državni zbor bo na naslednji seji opravil razpravo o odgovoru ministrice za pravosodje gospe andreje katič na poslansko vprašanje mag. dejana kaloha v zvezi z javnostjo sodb. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . sklep ni sprejet. dvanajsti predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru ministra za zdravje gospoda aleša šabedra na poslansko vprašanje gospoda jožefa horvata v zvezi z izvajanjem in učinkih zakona o interventnih ukrepih za zagotovitev finančne stabilnosti javnih zdravstvenih zavodov, katerih ustanovitelj je republika slovenija. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . sklep ni sprejet. trinajsti predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru ministrice za infrastrukturo mag. alenke bratušek na poslansko vprašanje gospoda francija kepe v zvezi z realizacijo načrtov sanacije državnih cest. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . sklep ni sprejet. štirinajsti predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru ministra za okolje in prostor gospoda simona zajca na poslansko vprašanje janija ivanuše v zvezi z agencijo republike slovenije za okolje. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . sklep ni sprejet. petnajsti predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru ministra za notranje zadeve gospoda boštjana poklukarja na poslansko vprašanje anje bah žibert v zvezi s postopki obiskov policije na domovih državljanov. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . sklep ni sprejet. šestnajsti predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru ministrice za infrastrukturo mag. alenke bratušek in ministra za okolje in prostor gospoda simona zajca na poslansko vprašanje mag. karmen furman v zvezi z okoljevarstvenimi soglasji in vplivom na izvedbo infrastrukturnih projektov. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . sklep ni sprejet. sedemnajsti predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru ministrice za delo, družino, socialne zadeve in enake možnosti mag. ksenije klampfer na poslansko vprašanje gospoda aleksandra reberška v zvezi s povzročanjem novih krivic in nesorazmerij z uveljavitvijo novele zakona o pokojninskem in invalidskem zavarovanju. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . sklep ni sprejet. osemnajsti sklep državni zbor bo na naslednji seji opravil razpravo o odgovoru ministra za kulturo mag. zorana pozniča na poslansko vprašanje gospe violete tomić v zvezi s spornim kadrovanjem na področju kulture, ki ga pokriva ministrstvo, s katerim upravljajo socialni demokrati. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da sklep ni sprejet. devetnajsti predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru ministra za javno upravo rudija medveda na poslansko vprašanje franca breznika v zvezi s tehnologijo g. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da sklep ni sprejet. dvajseti predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru ministra za gospodarski razvoj in tehnologijo gospoda zdravka počivalška na poslansko vprašanje gospoda borisa doblekarja v zvezi s problematiko absurdno visokih ter s prekrškom nesorazmernih glob, ki so jim izpostavljeni podjetniki. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da sklep ni sprejet. enaindvajseti predlog sklepa državni zbor bo na naslednji seji opravil razpravo o odgovoru ministra za okolje in prostor gospoda simona zajca na poslansko vprašanje gospoda boštjana koražije v zvezi z meddržavnima strateškima projektoma frisco in frisco za območje reke drave in drugimi načrtovanimi protipoplavnimi ukrepi za območje reke drave. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da sklep ni sprejet. dvaindvajseti predlog sklepa državni zbor bo na naslednji seji opravil razpravo o odgovoru ministrice za infrastrukturo mag. alenke bratušek na poslansko vprašanje željka ciglerja v zvezi s prenizko uporabnino za tire slovenske železniške infrastrukture in sočasnim financiranjem povečevanja kapacitet železnice za tovorni tranzit iz državnega proračuna. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da sklep ni sprejet. triindvajseti predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru ministra za okolje in prostor gospoda simona zajca in ministra za izobraževanje, znanost in šport gospoda dr. jerneja pikala na poslansko vprašanje žana mahniča v zvezi z ureditvijo šolskih prevozov na območjih napada volkov. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da sklep ni sprejet. štiriindvajseti predlog državni zbor bo na naslednji seji opravil razpravo o odgovoru ministra za okolje in prostor gospoda simona zajca na poslansko vprašanje gospoda boštjana koražije v zvezi z zavarovanjem večstanovanjskih stavb. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da sklep ni sprejet. petindvajseti predlog sklepa državni zbor bo na naslednji seji opravil razpravo o odgovoru ministrice za pravosodje gospe andreje katič na poslansko vprašanje gospe violete tomić v zvezi s sramotno razveljavitvijo sodbe zoper poveljnika domobrancev in sodelavca okupatorjev generala leona rupnika. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da sklep ni sprejet. s tem zaključujem to točko dnevnega reda. spoštovane poslanke in poslanci, zaključujem tudi . sejo državnega zbora. lep večer naprej.",2020,01,neutral
"hvala lepa. o vašem predlogu bo državni zbor odločil v sredo, . januarja , v okviru glasovanj. mag. andrej rajh bo postavil vprašanje ministru za izobraževanje, znanost in šport dr. jerneju pikalu. izvolite.",2020,01,neutral
"spoštovane poslanke, spoštovani poslanci, gospe in gospodje! nadaljujemo s prekinjeno . točko dnevnega reda, to je s tretjo obravnavo predloga zakona o spremembah in dopolnitvah zakona o zdravstvenem varstvu in zdravstvenem zavarovanju v okviru rednega postopka. vložen je uskladitveni amandma, ker je vlada opozorila, da je po končani tretji obravnavi potreben zaradi sprejetih amandmajev. zanima me, če želi predstavnik predlagatelja predstaviti uskladitveni amandma. ne želi. želi o uskladitvenem amandmaju besedo predstavnik vlade? ne želi. želi mogoče kdo besedo v imenu poslanskih skupin? ne. želi kdo razpravljati v lastnem imenu? ne. s tem ugotavljam, da ne bo razprave in prehajamo na odločanje o uskladitvenem amandmaju predlagatelja k ., . in . členu. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti nihče. za je glasovalo . proti nihče. ugotavljam, da je bil uskladitveni amandma sprejet. to nam omogoča, da prehajamo na odločanje o predlogu zakona v celoti. kdo želi spregovoriti v imenu poslanskih skupin? gospod luka mesec, izvolite.",2020,01,neutral
"hvala, gospod predsednik. gospod poslanec, izvolite.",2020,01,neutral
