text,leto,mesec,sent
gospod igor zorčič izvolite imate besedo pripravi naj se gospod franc breznik,2018,01,neutral
imam pravico o postopkovnem predlogu da opravimo o tem razpravo spet ena izmed dobesedno kartelnih dogovorov ne more drugega biti nemški upokojenci ki imajo vsaj dvakrat večje pokojnine avstrijski približno enako plačujejo plin za ogrevanje govorimo o utekočinjenem naftnem plinu v tem trenutku evra na liter slovenski upokojenci ali pa mlade družine ki živijo v teh stanovanjih pa približno evra na liter skoraj dvakrat dražji plin za ogrevanje plačujemo v sloveniji kot v avstriji ali nemčiji v nemčiji je v tem trenutku cena evra na liter to je tipičen primer monopola iz preteklosti in tipičen primer kjer ena agencija ne deluje to je tipičen primer kar vam zdaj dokazujem nista vidva kriva oprostita ministra ampak trenutno zatečeno stanje in vas opozarjam na tipičen primer ali bomo sprostili kar je pa prepovedano nek avstrijski dobavitelj ne more voziti v slovenijo ker se tudi na te derivate plačujejo določene dajatve in potem bi v bistvu bili oropani teh dajatev ljudje v sloveniji so dobesedno žrtve in talci kartelnih dogovorov dobaviteljev utekočinjenega naftnega plina to je tipičen primer ki sem ga raziskoval in odkril upam spoštovani minister za gospodarstvo da boste na vladi to odprli da boste agencijo opozorili da na tem področju moramo vsaj za naslednjo kurilno sezono pripraviti neke ukrepe spustiti v slovenijo neko tujo konkurenco da ta monopol razbijemo enako kolegica ki se ukvarja z zdravili na vseh področjih ugotavljamo neke združbe ljudi ki so si priborili dobesedno držijo ljudi sredi srednje evrope kot talce kolegica eva irgl je enkrat odprla temo revščine tudi pri ogrevanju marsikateri starejši človek danes dobesedno zmrzuje v stanovanju ker nima sredstev da bi si pošteno ogrel stanovanje tudi marsikatere mlajše družine in tu je ponujena roka če imamo vsaj malo socialnega čuta da z gospodarskimi ukrepi takšno revščino dobesedno izrinemo iz slovenskega prostora ker ni potrebna ali si predstavljate približno polovico cenejše stroške ogrevanja za večino slovenskih družin in to ravno v najbolj oddaljenih predelih kjer nimajo možnosti priklopa na plinovodni sistem republike slovenije najlepša hvala,2018,01,negative
hvala lepa za besedo predmet tega predloga obtožbe predsednika vlade pred ustavnim sodiščem so pač razmere v vladi ko se spelje nek postopek na ministrstvu za notranje zadeve v celoti in z upoštevanjem vseh odločb sodnih instanc domačih in tujih vključno z ustavnim sodiščem in potem se zgodi pač intervencija predsednika vlade s katero se je dvakrat javno pohvalil da je posredoval oziroma da je zaustavil postopek deportacije omenjenega migranta shamieha tu se pravzaprav postavlja vprašanje predvsem skladnosti ravnanja z zakonodajo tudi skladnosti ravnanja s pristojnostmi ki jih ima predsednik vlade tu se tudi postavlja vprašanje o načelu najbrž tudi delitve oblasti če je tako lahkotno možno posegati v take postopke pa tudi kakšne druge potem najbrž lahko predsednik vlade spremeni katerokoli odločitev sodišča dokončno odločitev sodišča vrhovnega sodišča tako pristojnost si je v tem primeru tem konkretnem primeru vzel in kar zadeva moj pogled na razmere na situacijo na to kar spremljamo že ne vem od leta naprej od takrat sem poslanec je to evidentno da je šlo za prekoračitev pooblastil kršenje ustave in kršenja zakonov zanimivo je da predsednik vlade pravzaprav se sploh ne trudi da bi obranil svojo vlogo oziroma svoje ravnanje se sploh ne trudi ur in pol že traja razprava celo več in z enim stavkom razen z uvodnim nastopom ki ga je imel ni pravzaprav posegel v razpravo poslancev in nič odgovoril ne na stališče poslanskih skupin ne v razpravi poslancev kljub pozivom drugo zdi se mi izjemno problematično da se toliko zagovarja tega migranta shamieha ki nima pač izpolnjenih pogojev za bivanje in delo v republiki sloveniji od naših državljanov se zahteva da imajo registrirano obrt da izdajajo račune da vodijo vezano knjigo računov ali da poslujejo z blagajno očitno ta gospod lahko dela na črno ker ne izdaja računov ni predmet obravnave na fursu in tako naprej poleg tega da njegovo vzdrževanje mesečno stane po ugotovitvah računskega sodišča tisoč evrov še na črno dela zdaj naj mi pa nekdo razloži zakaj osebam kot je ta migrant dopuščamo bom rekel tako ravnanje in tako življenje svojim državljanom ki so pa v mnogo težji situaciji pa tega ne dopustimo furs če koga dobi pri delu na črno izpelje postopek izda odločbo predpiše visoke kazni in tako naprej ob tem da ima ta migrant zagotovljene bivanjske pogoje da ima zagotovljeno ne vem zdravstveno oskrbo da ne plačuje nobenih storitev da so mu dani najmanj trije obroki hrane na dan in tako naprej ta migrant je v sloveniji v bistveno boljšem stanju kot katerikoli tisti slovenec ki se je znašel na cesti in je postal po domače rečeno klošar tistemu ne zagotavlja republika slovenija predsednik vlade najbrž niti enega toplega obroka na dan ta ima tri ne zagotavlja mu toplega prenočišča ta ga ima ne omogoča mu in ne dela dela na črno ta lahko in tako naprej tu govorimo o teh bom rekel očitnih razlikah med ravnanjem vlade do svojih državljanov in do pač ljudi ki so ilegalni migranti ne razumem zakaj se tega ne da na hrvaško ali hrvaška ni varna država evo sprašujem predsednika vlade ali po njegovem mnenju hrvaška ni varna država razumel bi deportacijo ilegalnega migranta v državo ki ni varna država ampak hrvaška je varna država tako kot slovenija in tu je našel predsednik vlade nek razlog nek namišljen razlog da je posegel v to deportacijo in preprečil prepeljavo tega migranta v varno državo zakaj je tako avstrija ni imela nobenih zadržkov da ga ne bi vrnila nazaj zakaj ima slovenija zadržke da ga da hrvatom pa naj ti speljejo postopek ki ga morajo po teh pravilih in tako naprej in tako naprej mene moti tudi vsa ta razprava o politizaciji in o kvaliteti tega našega predloga predsednik državnega zbora ki je član smc je to točko uvrstil na dnevni red seje brez enega samega zadržka ni dal v presojo nobeni pravni službi v državnem zboru ki bi predlagala kakšno korekcijo ali popravek nobeni ni zavrnil zadeve ki smo jo vložili to se pravi izpolnjuje tehnično vse pogoje in kljub temu se poslancem stranke predsednika državnega zbora ki je največja stranka v državnem zboru in tudi največja koalicijska stranka dopusti razpravo o tem ali je predlog dober in primeren ali ne predlog sds izpolnjuje vse pogoje za obravnavo v obliki kot je vložen nič mu ne manjka nobene zahteve ni bilo dane za kakršnokoli dopolnitev in tako naprej in vsi tisti ki govorite o ne vem politizaciji pa o vseh drugih zadevah ali vi ne politizirate vi politizirate in če že nam očitate da ravnamo politično pa ne vem predvolilno dajmo točko dati iz političnega prostora dol odločimo da gre zadeva na ustavno sodišče in naj kolegi gospoda cerarja ustavni pravniki odločijo o tem ali je ta naš predlog ustavno primeren ali ni primeren ali si zasluži naša zadeva obravnavo na ustavnem sodišču ustavno sodišče to lahko zavrže tako kot lahko kakšno drugo zadevo in ali pravzaprav je treba predsednika vlade zaradi takega ravnanja kot si ga je privoščil penalizirati jaz mislim da je problem predvsem v tem da v največji vladni stranki ne glede na to kakšno podporo ste mu izrazili predsedniku vlade je strah pred tako odločitvijo ustavnih sodnikov je strah in kar zadeva mene jaz ne podpiram nobenih takih nedopustnih posegov v zakonitost v postopke ki tečejo sploh pa ne s pozicije moči tako kot je to uporabil predsednik vlade vi nam očitate mnogokrat da komentiramo ali pa damo na dnevni red razpravo o odprtih sodnih postopkih vi ste sposobni ustaviti končan pravnomočno končan postopek in to na nezakonit in tudi na neustaven način z zlorabo pooblastil in jaz predlagam da v koaliciji najdete moč podprete predlog da ga pošljemo tja kamor sodi hvala lepa,2018,01,negative
hvala za besedo spoštovani sekretar s sodelavko kolegice in kolegi pravzaprav bi vlada republike slovenije in predvsem na ministrstvu za finance morali biti čarovniki pa imeti čarobno palico da bi vse potrebe vse kar se zdaj v tem trenutku dogaja na eni strani višje plače v javnem sektorju višje pokojnine znižanja davkov to zdaj če samo nekako zaokrožimo pravzaprav ne gre skupaj lahko je prestrukturiranje lahko so na nek način premiki med davki ne moremo pa se tako pogovarjati oziroma ne moremo normalno razmišljati vsekakor lahko ocenimo da takega predloga v stranki modernega centra ne moremo podpreti izpada dohodnine v višini milijonov evrov ni mogoče kar nadomestiti javnofinančni položaj ne daje možnosti za znižanje dohodnine brez hkratnih ukrepov na prihodkovni in odhodkovni strani teh ukrepov s strani poslancev sds ni bilo predlaganih tako so predlagali amandmaje ki so razporejali odhodke državnega proračuna v višini skoraj milijonov evrov glede na to da je proračun vezan na skoraj zakonskih obveznosti predlogi niso bili izvedljivi proračun je treba uravnotežiti teh kršitev teh kršitev poslanci sds niso predlagali tako pomeni da je takšen zakon kršitev ustave in fiskalnega pravila ker ni mogoče nadomestiti izpada proračunskih prihodkov v višini milijonov prav tako ne bomo v poslanski skupini stranke modernega centra pristajali na to da se ponavljajo napake iz obdobja ko je takratna vlada z davčno politiko prispevala k pregrevanju gospodarstva slovensko gospodarstvo se še v tem trenutku ne pregreva in se na podlagi sedanjih ukrepov ekonomske politike v letu ne bo pregrevalo zaradi tega je treba nadaljevati zastavljeno pot ustvarjanja presežkov za slabe čase in pripraviti slovenijo na morebitno bodočo krizo s takimi populističnimi ukrepi pa tega ne delamo je pa potrebno povedati da vlada z ukrepi krepi konkurenčnost poslovnega okolja s čimer na eni strani vpliva na vzdržno gospodarsko rast in povečanje globalne konkurenčnosti slovenije na drugi pa zagotavlja javnofinančno konsolidacijo s postopnim strukturnim uravnoteženjem javnih financ glede spodbujanja potrošnje je potrebno omeniti da smo k temu pristopili z mini davčno reformo v letu ki je tudi omogočala dvig dodatne splošne olajšave za evrov ter z izvzetjem dela plače za poslovno uspešnost iz davčne osnove dohodka iz delovnega razmerja ter nekoliko spremembo dohodninske lestvice za zaposlene nad kratnikom povprečne plače prav tako smo spodbudili potrošnjo z ukrepi novega davčnega paketa ki je bil sprejet novembra v državnem zboru tako rešitve novega zakona o dohodnini omogočajo višje dohodke selektivnim skupinam sprememba načina določanja dodatne splošne olajšave omogoča določenim davčnim zavezancem podpovprečne plače povečanje neto plače prav tako zvišanje posebne olajšave za dijake in študente poveča njihove neto zaslužke vse to bo pozitivno vplivalo na potrošnjo brez tega da bi sploh ogrozilo javne finance sprejetje predloga sprememb zakona o dohodnini od sds bi pomenilo kršitev ustave ker ni nobenih ukrepov na drugi strani da bi uravnotežili strukturni proračun vlada in koalicija je v tem mandatu šla v smeri razbremenitve dela tako je za milijonov manj prihodkov iz dohodnine zaradi sprejetja mini davčne reforme ter dodatno milijonov zaradi sprejetih ukrepov v novembru vendar pa je vlada povečala obremenitev kapitala ter zdravju in okolju škodljivih izdelkov ter tako nadomestila izpad dohodnine prav tako je izvedla konsolidacijo javnih financ z omejevanjem javne porabe tako so proračunski odhodki v deležu bdp v za več kot bdp nižji kot so bili v letu zaradi vsega navedenega v smc spremembe zakona o dohodnini ne bomo podprli hvala,2018,01,neutral
spoštovane kolegice poslanke in kolegi poslanci gospe in gospodje nadaljujemo s prekinjeno sejo zbora prehajamo na glasovanje zbora o predlogih odločitev poslanke in poslance prosim da preverite delovanje glasovalnih naprav nadaljujemo s prekinjeno točko dnevnega reda to je s prvo obravnavo predloga zakona o spremembah zakona o dohodnini prehajamo na odločanje o naslednjem predlogu sklepa predlog zakona o spremembah zakona o dohodnini je primeren za nadaljnjo obravnavo obrazložitev glasu v imenu poslanske skupine slovenske demokratske stranke mag marko pogačnik,2018,01,neutral
hvala ministrici za odgovor mislim da je nekatere stvari lepo povzela ampak še vedno se nismo dotaknili bistva jaz sem ravno opozoril na to da na papirju vse velja v tem sistemu sami ste povedali da je izdanih več kot tisoč nekih dovoljenj ampak težave se nam dogajajo ravno v teh mejnih primerih ko objekt ni zavezan monitoringu ni zavezan po direktivi seveso dobil je sicer okoljevarstveno dovoljenje ki ni bilo po tistem rigoroznem postopku gre pa za obrate ki imajo zelo nevarne snovi v primeru odlaganja ali nekega predelovanja so pa vedno pod to mejo monitoringa ki se dotika večjih industrijskih objektov ki imajo te stvari urejene če boste pogledali v zadnjem obdobju v sloveniji na teh objektih ki imajo predpisan monitoring ki imajo v bistvu vse pogoje iz direktive seveso izpolnjene nismo imeli nekih izrednih dogodkov zato sem jaz opozoril ali ste mogoče preverili ali je naša zakonodaja predvsem na teh mejnih zadevah res ustrezna kajti v letu se je dogajalo preveč takih neljubih dogodkov ki jih vi sicer na papirju imate rešene v praksi pa povzročajo težave druga težava ki se pojavlja pri tem je ali so inšpekcijske službe v takih primerih ustrezno odreagirale oziroma ali je ta nadzor dovolj uspešen kajti ko se nekdo izogne nekim pogojem ki jih predpisuje neka direktiva je v bistvu v nekem boljšem položaju tudi vizavi nekega drugega industrijskega objekta ki je bil zaradi svojih gabaritov števila zaposlenih in količine nekih snovi zavezan nekemu poročanju tukaj imamo mi po mojem mnenju težavo in zato tudi to vprašanje,2018,01,neutral
besedo ima poslanska skupina slovenske demokratske stranke zanjo gospod danijel krivec,2018,01,negative
ja hvala lepa za besedo jaz to razpravo današnjo jemljem kot nekakšen predvolilni vložek sicer na neko temo ki je aktualna v vseh državah zahodne evrope tiče se namreč te migrantske politike bojazni pred migranti in jaz povsem razumem da se sds v svoji maniri nekako oklepa nekih trditev ki v slogu nekakšne radikalne desne retorike pravzaprav vnaša nek strah med ljudi da se tukaj dogaja nekaj kar lahko ogrozi naš način življenja pa vendar moram na tem mestu opozoriti da je slovenija zaenkrat varna država da to kar očitajo kolega grims največkrat mislim da to dela celo tedensko kot predsednik komisije za nadzor obveščevalnih in varnostnih služb da pravzaprav sklicuje nekakšne tiskovne konference govori o neki migrantski politiki a moramo vedeti da na koncu koncev ta migrantska politika in migrantsko dogajanje ki je prizadelo slovenijo je nekaj kar je za nami je res da smo še vedno priča določenim ilegalnim prestopom ampak temu smo priča že zadnjih let torej ta razprava danes ni razprava pravzaprav o tej obtožbi za katero smo slišali in se tudi prepričali da je popolnoma neutemeljena tako s pravnega kot političnega vidika da je pomanjkljiva ampak gre za neko razpravo ki je neko predvolilno soočenje volitve so čez mesecev in kolega grims želi ljudi prepričati da se on in njegova stranka borita za slovenijo da pa vlada mira cerarja vse po spisku iz bližnjega vzhoda spušča v republiko slovenijo in da ti tu ostajajo to seveda ni res dobro vemo da tisti migranti ki so prišli leta v republiko slovenijo da so potem tudi šli naprej in ne pozabimo kolega grims na to sem vas že enkrat opozoril pa niste imeli nobenega prepričljivega odgovora vi v vsej tej svoji multikulti agoniji kot jo dostikrat plasirate v tem državnem zboru pozabljate da je prav vaša vlada v preteklosti na veliko odpirala vrata migrantom sicer ne ilegalnim migrantom delavcem pa vendarle nedolgo nazaj je bil dan migrantov izpostavljen je bil podatek da prav leta to so posledice vašega vladanja je prišlo v slovenijo tisoč migrantov zato me dostikrat čudi ta retorika s katero se vi obračate predvsem na vaše volivce ko želite to vlado predstaviti kot ne vem zelo širokodušno do vseh tistih ki si želijo v slovenijo pa nam morda lahko celo škodijo torej tukaj ste zelo neiskreni predvsem do teh svojih volivcev ki jih želite prepričati da skrbite za nek javni interes pa morda pozabljate kaj ste delali v času svoje vlade kar me moti pri razpravi o tem gospodu shamiehu je to da sta tako desnica kot del levice nekako zlorabili to njegovo zgodbo po eni strani levica se je želela nekako vključiti na način ki pač po zakonih te države ne gre z nekakšno akcijo tudi poslancev državnega zbora pa vsi vemo da o usodi tega gospoda odločajo ministrstvo za notranje zadeve lahko tudi vlada sodišča vemo tudi kako so odločila na drugi strani se v to zgodbo vključuje desnica ki je tega gospoda tudi po medijih na odmevih in podobno žalila kar mislim da tudi ni prav in je pravzaprav njegovo usodo nekako izkoristila za nekakšno prilivanje olja na ogenj dejstvo je to si moramo pogledati v oči si naliti čistega vina da državni zbor v tej zadevi nima nobenih pristojnosti mi smo zakon o mednarodni zaščiti zakon o tujcih že sprejeli te zakone pa potem izvršujejo drugi organi in ne državni zbor in vse kar je ostalo očitno nekaterim politikantom v tej hiši je to da ste sprožili postopek ustavne obtožbe in ta pomemben institut banalizirali za takšno zadevo ki očitno ne bo dobila podpore niti pri torej ta ustavna obtožba ne bo dobila podpore niti pri novi sloveniji je pa res moteče to da po tem ko je en takšen akt vložen v ta državni zbor ki je verjetno pač tudi po ustavni pravni teoriji eden najpomembnejših oziroma ta predlog da nimamo danes veliko poslancev sds da ne govorim o tem da tudi poslancev levice že dolgo nisem videl danes v državnem zboru verjamem da nihče od njih ni šel tudi obiskat tega gospoda niti v bolnico niti kam drugam torej več kot očitno je da so njegovo ime ali pa da ste njegovo ime spoštovani kolegi z leve z desne zlorabili za namene te vaše promocije pred naslednjimi volitvami jaz seveda ustavne obtožbe ne bom niti pod razno podprl ne pristanem tudi na ta argument ki je bil izpostavljen ja dajte podpreti pa bodo že pravniki na ustavnem sodišču odločali o tem veste če je temu tako potem bi že podpora temu ustavnemu aktu pomenila podporo tudi ustavni obtožbi podporo njeni vsebini seveda ker se s vsebino ne moremo strinjati jaz se ne strinjam in je seveda ne bom podprl bi pa želel še nekaj izpostaviti kolega grims predlagam da podobnih aktov pa tudi drugih ne utemeljujete na lažeh prej ste konkretno povedali da ta vlada davkoplačevalcem jemlje denar in vsakemu ilegalnemu migrantu izroči tisoč evrov to so vaše besede to je laž ki mislim da ni dostojna tega državnega zbora če pa govorite resnico pa predlagam da še zdajle prinesete ta dokument ki bo tele vaše besede potrdil hvala lepa,2018,01,negative
hvala lepa gospa ministrica milojka kolar celarc izvolite,2018,01,neutral
hvala za besedo spoštovani predsednik predstavniki predstavnice ministrstva za izobraževanje kolegice in kolegi nov zakon o izobraževanju odraslih ki ga imamo danes na poslanskih klopeh čeprav na videz obstranskega pomena je eden pomembnejših zakonov na področju vzgoje in izobraževanja ki ga sprejemamo v tem mandatu po dvajsetih letih zakon dokončno vzpostavlja javno službo in javno mrežo organizacij na področju izobraževanja odraslih gre za pomembno če ne najpomembnejšo rešitev novega zakona ki je predolgo časa obstala zgolj kot mrtvo določilo na papirju čeprav krovni zakon na področju vzgoje in izobraževanja že od leta naprej določa da opravljanje javne službe na področju izobraževanja odraslih ureja zakon nov zakon pa seveda ni pomemben samo zaradi vzpostavitve javne službe zagotavljanja stabilnega in predvidljivega financiranja temveč predstavlja pomemben odziv države na spreminjajoče se družbene okoliščine in naraščajoče trende ki ustvarjajo nove izzive a hkrati tudi priložnosti spoznanje da izobraževanje ki se konča v mladosti ne zadošča več niti posamezniku niti družbi kot celoti je razlog za vedno večji pomen vseživljenjskega učenja zamisel o učenju ki traja vse življenje je izrazitejša kot kadarkoli prej aktualne raziskave o spretnosti odraslih pa nas opozarjajo na prednosti in pomanjkljivosti vzpostavljenega sistema izobraževanja odraslih slovenija mora narediti še več na področju izobraževanja in usposabljanja starejših pri vseživljenjskem učenju ter tudi pri izboljšanju veščin delovno aktivnega prebivalstva predlagani zakon predstavlja trdno osnovo za doseganje teh ciljev na seji matičnega delovnega telesa je bil o vsebini predloga zakona dosežen relativno visok konsenz s predlogom današnjega amandmaja k členu zakona pa smo z namenom doseganja čim večje kakovosti pri izvajanju neformalnih izobraževalnih programov uspeli na ustrezen način zamejiti minimalna znanja in delovne izkušnje izobraževalcev v programih ki se bodo določali z vsakokratnim javnim razpisom ocenjujemo da je smiseln tudi predlagan amandma poslanske skupine levica saj so posamezne pravice udeležencev izobraževanja odraslih in ostalih udeležencev na različnih stopnjah izobraževanja ter pogoji do njihove upravičenosti zamejeni s področnimi zakoni in ni potrebe da se to ponavlja tudi v zakonu o izobraževanju odraslih odnos družbe do vseživljenjskega učenja se bo izboljševal samo če bodo njegove koristi oprijemljive za čim širši krog ljudi in če se bodo odpravljale ovire za vstop vanj zakonu pri doseganju tega želimo srečno pot v poslanski skupini smc pa bomo seveda podprli oba predlagana vložena amandmaja k dopolnjenemu predlogu zakona in seveda zakon v celoti hvala,2018,01,neutral
