text,leto,mesec,sent
besedo ima minister za infrastrukturo dr peter gašperšič izvolite,2017,01,neutral
hvala lepa za besedo gospod predsedujoči ker korupcija ne zadeva samo področja zdravstva ampak lahko sega prav na vsa področja je dobro vedeti kakšen je položaj slovenije na tem področju namreč po indeksu zaznave korupcije je bila slovenija v letu ko je bila prvič vključena v raziskavo ocenjena z kar pomeni da tedaj korupcije praktično ni bilo možno zaslediti že v letu je bila slovenija devet mest nižje v naslednjih letih pa se je vztrajno uvrščala slabo in dosegla dno v letu ko je padla na mesto med uvrščenimi državami po zadnjih podatkih je po indeksu zaznave korupcije slovenija na mestu zaznava korupcije pa je odvisna od gospodarskega in socialnega položaja prebivalstva ter od povečanega nezaupanja v demokracijo državo in v državne institucije tudi po raziskavi eurobarometra je slovenija v primerjavi s celotno evropsko unijo nadpovprečno izpostavljena korupcijskim tveganjem to naj bi v veliki meri izhajalo iz vpliva politike na gospodarstvo in na poslovno kulturo tako je anketirancev iz slovenije menilo da je korupcija posledica pretesne povezanosti politike in gospodarstva v celotni evropski uniji je bilo takšnih vprašanih anketiranih pa je menilo da je mogoče poslovni uspeh doseči le s pomočjo zvez in poznanstev v evropski uniji kot celoti je bilo takih vprašanih torej polovico manj te zaznave prebivalcev vplivajo tudi na ugled slovenije gospodarstva in družbe v celoti in s tem tudi na gospodarski in družbeni razvoj slovenije prav je da se korupcija odkriva preprečuje in kaznuje kadar le ta obstaja odgovornost vlade in poslancev je zagotovo preprečiti sistemsko korupcijo in vzpostaviti javne sisteme na osnovi katerih v javnih družbenih sistemih preprečimo možne konflikte interesov ki spodbujajo korupcijska tveganja tako bi se moralo v bolnišnicah in zdravstvenih domovih poskrbeti za odpravo korupcijskih tveganj ki jih predstavljajo javna naročila podkupovanje oziroma nedovoljeno sprejemanje daril preskakovanje čakalnih vrst neupoštevanje nasprotij interesov in korupcijska tveganja v povezavi z uporabo medicinskotehničnih pripomočkov in s predpisovanjem ter uporabo zdravil podobno so ministrstva in organi v svoji sestavi izpostavljeni korupcijskim tveganjem nedovoljenega prejemanja daril korupcije pri javnih naročilih in korupcije pri vodenju postopkov to še posebej velja za finančno gospodarsko in infrastrukturno ministrstvo pa tudi za ministrstvo za zdravje in nekatera druga ministrstva marca je komisija za preprečevanje korupcije opozorila na ugotovljena korupcijska tveganja v slovenskem zdravstvenem sistemu komisija je na podlagi pregleda in analize obširne dokumentacije ter podatkov ugotovila da prepletanje javnega in zasebnega interesa v zdravstvu oziroma obstoj okoliščin ko nekateri zdravniki hkrati delajo v javnem in v zasebnem zdravstvu že sam po sebi predstavlja precejšnje sistemsko korupcijsko tveganje ustvarja pa tudi povečana tveganja za nastanek nasprotja interesov komisija je ministrstvu za zdravje tedaj priporočila da vzpostavi ustrezne mehanizme ki bi take konflikte interesov oziroma resna tveganja prevlade zasebnega interesa nad javnim preprečevali žal ministrstvo za zdravje tega priporočila k predlogu novele zakona o zdravstveni dejavnosti in v sporazumu s fides ni upoštevalo saj je ministrica klonila pred zasebnimi interesi sindikata zdravnikov nadalje je komisija v sistemskem načelnem mnenju o tveganjih v zdravstvu zapisala da je dodatno delo v javnem sektorju zaposlenih zdravnikov ki ne pridobijo zakonsko zahtevanih dovoljenj za takšno delo problematično in da gre celo za sistemski problem ki ni obvladan nadzor na tem področju se namreč sploh ne vrši ali pa ni učinkovit je ugotavljala komisija komisija je marca posebej izpostavila tudi področje čakalnih vrst kot področje z visokim korupcijskim tveganjem ki ni ustrezno obvladano s podobnimi poročili in ugotovitvami računskega sodišča in komisije za preprečevanje korupcije v prejšnji sestavi je bila javnost seznanjena že pred leti verjetno se spomnite šlo je za poročilo glede preskakovanja čakalnih vrst v univerzitetnem kliničnem centru v ljubljani in v valdoltri kljub preiskavam ni znano da bi se kateremu zdravniku ki je bil vpleten v korupcijo karkoli zgodilo čeprav nadzorni organi ugotavljajo pogoste kršitve čakalnih vrst v javnih zavodih sistem še vedno omogoča tudi nekaznovano preskakovanje teh vrst iz nezdravstvenih razlogov komisija za preprečevanje korupcije ponovno ugotavlja da javni zavodi tveganj povezanih s čakalnimi vrstami niso zaznavali in jih posledično tudi niso ustrezno obravnavali v tem delu se je ministrstvo sicer nekoliko angažiralo vendar bodo korupcijska tveganja preskakovanja čakalnih vrst ostala dokler se ne bo povsem razmejila javno od zasebne zdravstvene dejavnosti zdravniki bi se namreč morali odločiti ali bodo delali v javni zdravstveni mreži ali pa le izven koncesije pa bi se moralo podeljevati le izjemoma ker to še ni storjeno in ker ministrstvo tega tudi ni predlagalo v predlogu novele zakona o zdravstveni dejavnosti bo če se predlog novele ne bo spremenil še vedno omogočena korupcija tudi pri preskakovanju čakalnih vrst prav tako bo možna zloraba javnih sredstev in pacientov za večje zaslužke zdravnikov zasebnikov tako imenovanih dvoživk v svojih popoldanskih zdravstvenih podjetjih podoben konflikt interesov vnaša profitnost v sicer nepridobitni javni zdravstveni sistem ki se običajno pokaže v varčevanju na primer pri laboratorijskih preiskavah na račun pacientov ki tega seveda ne znajo zaznati kar pa gre običajno v škodo zdravja ljudi zaradi prepozno odkritih resnih obolenj v izogib korupcijskim tveganjem bi se moralo še bolj aktivno pristopiti tudi k centralizaciji in informatizaciji javnega naročanja v javnem zdravstvu divja privatizacija in komercializacija zdravstvene dejavnosti in zdravstvenega zavarovanja so škodile kakovosti pravičnosti financiranja in dostopnosti zdravstvenega sistema s tem pa večini prebivalstva apetiti po privatizaciji javne zdravstvene infrastrukture kažejo da je veliko denarja v rokah posameznikov ki bi želeli poceni priti do javnih zdravstvenih domov in bolnišnic med najbolj nevarnimi pa je korupcija državnega aparata in seveda sistemska korupcija kjer gre za koristim elit prilagojeno na primer pomanjkljivo zakonodajo ki omogoča vrsto priložnosti da posamezniki ali skupine svoje lastne interese postavijo pred interese skupnosti ali države uničenje javne zdravstvene kulturne socialne šolske in druge javne infrastrukture v korist zasebnih interesov bi dolgoročno oškodovalo prebivalce za dostopne in kakovostne javne storitve kar bi imelo dolgoročno negativne družbene posledice če pogledamo izkupiček obsodb za številna ugotovljena korupcijska dejanja v družbi in zdravstvu se verjetno lahko strinjamo da je primerov preprečevanja in sodnih epilogov zanemarljivo malo tudi primerov odkrivanja je premalo če se želijo zmanjšati korupcijska tveganja v zdravstvu je treba storiti bistveno več kot doslej na vseh nivojih zdravstvenega sistema pri tem pa ima ministrstvo za zdravje najbolj pomembno vlogo kot prvo pa bi moralo odpraviti korupcijska tveganja v sedanjem predlogu novele zakona o zdravstveni dejavnosti ki se bo sicer tudi zaradi ureditve koncesij v zasebnem in ne v javnem interesu znašel na spisku pomanjkljivih zakonov ki tudi omogočajo korupcijo hvala lepa,2017,01,neutral
gospod podpredsednik hvala za besedo spoštovani kolegice in kolegi spoštovani gostje v tretji obravnavi imamo pred seboj predlog zakona o pomoči za reševanje in prestrukturiranje gospodarskih družb in zadrug v težavah namen tega zakona je omogočiti družbam in zadrugam v težavah ki imajo pomembno sistemsko vlogo pri razvoju države regije ali sektorja in omogočajo dolgoročne sposobnosti preživetja na trgu ohranitev delovnih mest pridobljenega znanja ter ob aktivnem sorazmernem sodelovanju tržnih deležnikov pomoč družbam in zadrugam v težavah se dodeluje izjemoma v skladu z načeli gospodarnosti preglednosti nujnosti za zagotavljanje gospodarske in socialne kohezije naj povem da mala ali srednje velika družba ali zadruga ki je kot mala ali srednje velika opredeljena v prilogi uredbe komisije eu št z dne junija o razglasitvi nekaterih vrst pomoči za združljive z notranjim trgom pri uporabi členov in pogodbe zakon opredeljuje reševanje in prestrukturiranje po tem zakonu torej opredeljuje za pomoč v času priprave programa prestrukturiranja družbe ali zadruge pomoč za izvajanje programa prestrukturiranja oblike pomoči ki so zanimive za reševanje in prestrukturiranje po tem zakonu so navedene v členu in opredeljujejo kredite subvencije poroštva in kapitalske naložbe člen tega zakona opredeljuje višino pomoči za reševanje in prestrukturiranje ki je omejena z najnižjo vsoto ki posamezni družbi ali zadrugi v težavah zagotavlja dolgoročnost sposobnost in preživetje na trgu naj povem da v slovenski demokratski stranki že v obeh branjih temu zakonu nismo nasprotovali sami imamo drugačen pogled na reševanje gospodarstva vidimo predvsem reševanje v okviru spodbudne davčne politike v slovenski demokratski stranki se zavedamo da moramo težiti k zmanjševanju birokratskih ovir in spodbudnemu tudi vzgojno izobraževalnemu sistemu ki bo dal neko podlago gospodarskim družbam posameznikom ali tudi zadrugam na nivoju naše države lahko rečem da je takšen zakon kot je ta pred nami nek zadnji člen v ostalih domačih nalogah ki jih moramo narediti v slovenskem gospodarskem prostoru da bomo postali bolj konkurenčno poslovno okolje kot sem povedal že na začetku in v vseh fazah sprejemanja tega zakona slovenska demokratska stranka pri pomembnih gospodarskih zakonih največkrat ne nasprotuje v zakonu ki je pred nami ki ima tudi nekaj ovir je bilo vedno v takšnih zakonih tudi v preteklosti ugotovljeno da so dobivale nekatere družbe velike gospodarske pomoči s temi gospodarskimi pomočmi največkrat niso naredile ničesar in niso naredile nekega preboja na trgu niso postale boljši izvoznik in največkrat so tudi končale v različnih stečajnih postopkih naj povem na koncu da ta zakon prinaša nekatere novosti ta novost o kateri so tudi moji predhodniki govorili o enkratni pomoči torej enkrat in nikoli več daje neko zavezo ravno zaradi tega sprejetju tega zakona ne bomo nasprotovali najlepša hvala,2017,01,neutral
spoštovani predsednik hvala za besedo kolegice in kolegi skupina poslancev s prvopodpisanim jožetom tankom je v državni zbor ponovno vložila zakon ki je bil vložen že decembra ter februarja tokrat je vložila člen novega zakona o bančništvu zban predlagana določitev člena zakona o bančništvu kot je napisana je težavna bančna tajnost da se ukine za banke ki so prejele državno pomoč pomeni da bi lahko vsakdo videl vse transakcije in vse račune v banki ki je dobila državno pomoč če je namen poslabšati poslovanje v državnih bankah je to pravi mehanizem pravna država deluje na način da je za naznanitev kaznivega dejanja in vložitev ovadbe pri pristojnih organih pravica in dolžnost vsakega posameznika torej tudi poslancev da v primeru če izvejo za okoliščine ki lahko pomenijo razloge za sum storitve kaznivega dejanja vložijo ovadbo pri pristojnih organih za vložitev ovadbe zadošča da prijavitelj izkaže razloge za sum storitve kaznivega dejanja pristojni organi pa v nadaljevanju z upoštevanjem procesnih pravil in preiskovalnih pristojnosti ugotavljajo ali so ti razlogi utemeljeni ali ne tako ni mogoče pritrditi stališču da je za delo preiskovalnih komisij državnega zbora republike slovenije nujno razkritje zaupnih podatkov da bi se lahko preverile okoliščine glede domnevnih kaznivih dejanj nosilcev javnih pooblastil vsekakor pa ima preiskovalna komisija že zakonske podlage da dobi podatke preko sodišča za namene preiskave zakon o parlamentarni preiskavi je napisan da določa varstvo tajnosti pisem ter drugih občil ter nedotakljivost človekove zasebnosti v postopku parlamentarne preiskave so pa posegi na podlagi odločbe ustavnega sodišča v posameznikovo svobodo dopustni če so v skladu z načelom sorazmernosti tako da določilo zakona o parlamentarni preiskavi omogoča pridobivanje tudi zaupnih podatkov zban je namreč določil določbo dolžnost varovanja zaupnih podatkov v členu zakona tako v tretji točki člena zban določa da mora banka posredovati zaupne podatke če te podatke pisno zahteva komisija za preprečevanje korupcije ali če jih zaradi izvedbe predkazenskega ali kazenskega postopka pisno zahteva sodišče državno tožilstvo ali policija razen v primerih ko za posredovanje zaupnih podatkov zakon izrecno določa odredbo preiskovalnega sodnika tako je zakon o bančništvu zban v tretji točki člena uzakonil obseg dostopa do zaupnih podatkov na način da se organom odkrivanja in pregona vedno zagotovi njihova neposredna in hitra pridobitev so pa banke tudi na podlagi tega člena oproščene dolžnosti varovanja zaupnih podatkov ko drugi zakon določa pristojnost posameznega organa ali subjektom da pridobi zaupne podatke za namene izvajanja svojih zakonskih pristojnosti zato je tudi na podlagi zakona o bančništvu zban mogoče razumeti da preiskovalna komisija pridobi podatke o postopkih ki jih določa zakon o parlamentarni preiskavi tako je način podatkov na podlagi zakona o parlamentarni preiskavi v skladu členom ustave ki določa pravico do sodnega varstva temu rešitve ki so zapisane v predlogu novele ne sledijo glede na prejšnja dva poskusa je dodana dikcija da bi bila odpravljena zaupnost podatkov ob rednem ali prisilnem prenehanju banke težko razumemo tudi ta predlog redno prenehanje banke pomeni da se to izvede na podlagi odločitve na skupščini banke vendar ta banka vseeno redno in v celoti izpolni vse svoje pogodbene obveznosti do strank težko ugotavljamo javni interes če ni bil nihče oškodovan dejavnost se namreč prenaša na novega prevzemnika in vse obveznosti se servisirajo redno tako da ne razumemo zakaj se predlaga poseganje v banke ki niso imele težav in so prenehale zaradi poslovnih odločitev lastnika v poslanski skupini smc bomo zaradi vsega navedenega proti temu da je zakon o dopolnitvi zakona o bančništvu primeren za nadaljnjo obravnavo,2017,01,neutral
besedo ima gospod tomaž gantar v imenu poslanske skupine demokratične stranke upokojencev slovenije izvolite,2017,01,neutral
obrazložitev glasu v lastnem imenu ima gospod matjaž hanžek,2017,01,neutral
hvala lepa zaključujem splošno razpravo o predlogu sklepa da je predlog zakona primeren za nadaljnjo obravnavo bomo v skladu s časovnim potekom seje zbora odločali jutri januarja v okviru glasovanj s tem prekinjam točko dnevnega reda prehajamo na točko dnevnega reda obravnava predloga priporočila v zvezi s poplačilom nadomestila rimskokatoliški cerkvi iz naslova dolgotrajnosti denacionalizacijskih postopkov in ostalih njihovih terjatev predlog priporočila je v obravnavo zboru predložila skupina štirih poslank in poslancev s prvopodpisano mag alenko bratušek v zvezi s tem predlogom priporočila je skupina enajstih poslank in poslancev s prvopodpisano mag alenko bratušek zahtevala da državni zbor opravi splošno razpravo odbor za pravosodje kot matično delovno telo predlaga državnemu zboru sprejem sklepa da predlog priporočila ni primeren za nadaljnjo obravnavo besedo dajem podpredsednici odbora gospe kseniji korenjak kramar za dopolnilno obrazložitev predloga sklepa izvolite,2017,01,neutral
spoštovani predsedujoči spoštovane poslanke spoštovani poslanci vlada republike slovenije je že maja sprejela mnenje o predlogu novele zakona o lokalni samoupravi s katerim je podprla predlog zakona predlog je bil sicer v razpravi v državnem zboru preoblikovan tako zdaj vsebuje dve ključni rešitvi prva zakon uvaja institut odpoklica župana saj je njegov temeljni cilj in namen krepitev integritete občinskih funkcionarjev in zagotovitev politične odgovornosti in druga določa kriterije za podelitev statusa reprezentativnosti za združenja mestnih občin zakonodajno pravna služba državnega zbora je glede celotnega paketa tako imenovane volilne zakonodaje pa tudi zls s izrazila določene pomisleke ter glede novele instituta odpoklica župana poudarila da ta spada na področje volilnega prava kar narekuje posebno tenkočutnost pri normativnem urejanju stališča službe so bila v mnogočem identična stališčem vlade republike slovenije glede predložene novele zakona o lokalni samoupravi ugotavljamo da ima konkretna rešitev glede instituta odpoklica župana zadosti varovalnih mehanizmov da do zlorabe tega instrumenta v praksi ne bo prihajalo hkrati velja poudariti da vlada podpira dopolnitev a člena zakona o lokalni samoupravi s katero se bo status reprezentativnosti podelil tudi združenju več kot polovice mestnih občin saj je namen te določbe upoštevanje položaja in specifične vloge mestnih občin s to rešitvijo bo državni zbor hkrati sledil odločbi ustavnega sodišča republike slovenije iz novembra hvala lepa,2017,01,neutral
najlepša hvala spoštovani predsednik spoštovana ministrica z ekipo spoštovani poslanke in poslanci do zadnjega trenutka sem verjel da bomo to kar se je zdelo sicer malo smešno in je slabšalno označeval tudi dr trček v razpravi na matičnem delovnem telesu argumentirano razpravo pričakoval sem da bo na vse dileme ki so se postavile v razpravi tako v javni koliko je bilo mogoče kot tudi na današnji seji ministrica odgovorila čakal sem in čakal in ura pri vladi je kazala vztrajam na tem da je treba argumentirano razpravljati in postavljena so bila prava vprašanja pričakoval sem da bomo prišli do pravih odgovorov verjel sem da se bo resno spoštovalo in upoštevalo vsaj argumentirano v odprtem procesu napore ki jih je vložil predsednik državnega zbora v to da bi tekst zakona izboljšali v omejenem času ki so ga imeli te razprave nisem doživel razprava ni bila svobodna je bila omejena ni bilo mogoče soočiti argumentov in odgovoriti na temeljna vprašanja do zadnjega trenutka sem verjel da bo do tega prišlo vendar ni tako moram žal z grenkobo v srcu ugotoviti da zaradi tega da ni bil spoštovan demokratičen proces tega zakona ne glede na to kakšni amandmaji so bili sprejeti in kateri predlogi amandmajev so bili ignorirani ne morem sprejeti še zlasti pa me k temu preprečuje odnos ki ga ima slovenska demokratska stranka ko razlagamo razloge za svoje odločitve najlepša hvala,2017,01,neutral
najlepša hvala za besedo spoštovane poslanke spoštovani poslanci kot je bilo že v današnji razpravi večkrat povedano že dvakrat do sedaj smo sanirali bančni sistem državljanke in državljani prav vsak izmed nas je dal za sanacijo bančnega sistema približno tisoč evrov in seveda imajo državljanke in državljani zato pravico vedeti kam so ta sredstva šla in kako so bila porabljena oziroma kako se je z njimi upravljalo imamo torej večmilijardno luknjo bojim se da bo prišlo še do kakšne če bomo delali na takšen način in če ne bomo zahtevali kot državni zbor da se transparentno lahko pogleda v dokumente banke slovenije in ostalih bank mi smo v slovenski demokratski stranki do sedaj že večkrat želeli novelirati zakon o bančništvu in vedno v podobnih vsebinskih točkah gre za transparentnost postopkov v prejšnjem mandatu je preiskovalno komisijo v zvezi z bančnim kriminalom in bančno luknjo vodil kolega mag pogačnik in je imel precejšnje težave s svojo komisijo zaradi tega ker ni imel dostopa do določene dokumentacije ki pa je bila nujno potrebna zato da lahko svoje delo opravi strokovno in odgovorno ampak banka slovenije ni želela zagotoviti te dokumentacije sprenevedali so se na vseh nivojih in tudi ko smo želeli to uzakoniti se pravi da bi dejansko nekako na nek način banke prisilili da spoštujejo zakonodajo in potem dejansko imamo mi vpogled v to dokumentacijo je bila koalicija vedno proti tudi v prejšnjem primeru novelacije zakona o bančništvu je koalicija vedno ko govorimo o transparentnosti glasovala proti nadzorni organi oziroma nadzorniki ki bi morali skrbeti za to da bi ugotavljali nepravilnosti ki so se zgodile v bančnem sistemu svojega dela niso opravili in so zato soodgovorni za to bančno luknjo ampak spoštovani kolegice in kolegi do sedaj v tej državi praktično nihče še ni odgovarjal za to izjemno bančno luknjo in za ta rop slovenskih državljank in državljanov mislim da se je do sedaj zgodil samo en primer ko je bil nekdo obsojen še to ne pravnomočno bojim se da bo prišlo do oprostilne sodbe toliko smo mi bili sposobni narediti na tem področju se mi zdi da gre pri večini predlogov ki prihaja s strani ministrstva za pravosodje zgolj za piar vozijo se nekam na islandijo ampak implementirajo dobrih praks pa ne že zdavnaj so pozaprli ljudi na islandiji ki so oškodovali njihovo državo kaj pa pri nas pri nas se pa samo pogovarjamo o tem ko damo predlog da če že organi pregona predvsem pa sodniki in tožilci ne naredijo svojega dela da lahko to opravljajo še neki nadzorni organi v državnem zboru ste pa proti policija je do sedaj če se ne motim podala kazenske ovadbe za skupno okoli milijonov evrov milijonov evrov ampak vedno znova se zatakne pri sodiščih in tožilcih pri sodnikih in tožilcih in ko se predlaga da se bi ustanovilo posebno specializirano sodišče ki bi se ukvarjalo samo s tem vprašanjem ker je pač največjega družbenega pomena glede na to da so bile državljanke in državljani opeharjeni v tem smislu in bi moralo biti vsem mam v interesu da se to nekako sanira in popravi in da nekdo pač sprejme odgovornost za to nastalo bančno luknjo ste proti čeprav takrat ko pa preiskovalna komisija ki je je odlično vodil v tem mandatu dr anže logar predlaga sklep identičen se pravi da se ustanovi to sodišče posebno preiskovalno sodišče pa vsi v koaliciji glasujete za jaz ne razumem kaj se je zgodilo v tem umesnem času ali ste imeli kakšne klice ne vem od kje da je treba koga ščititi jaz imam tak občutek ne glasujete za zakone ki govorijo o transparentnosti tudi za tega ne vem ali boste ali ne mogoče bo kolega verbič potem več povedal ne vem ne vem kako boste glasovali jaz si želim da bi ta zakon ki ga danes noveliramo podprli ker to je dobro tudi za vas tudi če gledamo samo politično da ne govorimo o odgovornosti ta je pa ključna če bi vi bili odgovorna stranka ki ste največja v državi bi danes ta zakon podprli brez premisleka brez enega samega premisleka tukaj gre samo zato da lahko preiskovalne komisije ki se ukvarjajo s to težko tematiko pridejo do pomembnih in zahtevanih podatkov to jim je treba omogočiti poglejte logarjeva komisija bi svoje delo lahko še bolj intenzivirala na začetku če bi že prej dobila dokumentacijo s strani določenih bank ampak jih ni smela zaradi sodišč ker je sodišče reklo ne no potem so pa končno po sedmih mesecih prišli do dokumentacije in so opravili veličastno delo upam da boste podprli to novelo zakona hvala,2017,01,negative
