text,leto,mesec,sent
hvala za besedo zdaj pri predlogih kot je ta pred nami je treba najprej pogledati kakšno je stanje v državi in to stanje ne bi moglo biti bolj zgovorno mi imamo trenutno polovico upokojencev ki prejema tako majhne pokojnine da jim ne omogočajo niti minimalne eksistence mi imamo eno tretjino pokojnin financiranih iz proračuna ker je v proračunski blagajni premalo denarja mi imamo tisoč ljudi v temu trenutku ki v zdravstvu čaka v vrstah da pridejo do zdravnika da lahko pozdravijo svoje težave to je stanje stanje je da tako pokojninska kot zdravstvena blagajna sta podhranjeni sta prazni in ne moreta zagotavljati ne moreta omogočiti potreb tistim ki njihovo pomoč potrebujejo predlog ki je pred nami pa v bistvu precej enostavno zmanjša prilive v te dve blagajni za dodatno milijardo oziroma vseh sredstev to pomeni nič drugega kot nadaljnjo upadanje kakovosti zdravstva nadaljnjo nižanje pokojnin nadaljnjo praznjenje državne blagajne strinjam se z vami gospod tonin denar ne raste na drevesih absolutno to je prva zadeva ki jo je treba ob tem povedati in to je glavni razlog zakaj v združeni levici ne moremo niti pod razno takšnega predloga podpreti zdaj druga stvar ki jo je treba povedati so pa ti miti o ustvarjanju novih delovnih mest in gospodarski rasti ki naj bi jih ta predlog prinesel če ne bi bili površni bi si lahko pogledali nekaj podatkov za slovenijo recimo banka slovenije je leta izdala poročilo ki sem ga že prej omenjal ki zelo jasno pove kakšni so multiplikatorji in sicer pove naslednje če se državna potrošnja dvigne za bdp ja se pravi če bi zbrali bdp ja davkov več in to investirali oziroma bi država porabila bi to pomenilo dvig zasebne potrošnje dvig investicij in dvig bdp ja na drugi strani ker je treba seveda ta denar zbrati bi povečanje davkov pomenilo da se bdp zaradi tega zniža za privatna potrošnja za in investicije za se pravi povsod bi bili s takšnim ukrepom na zeleni veji obratno pa če pa slikamo kakšen bo učinek znižanja davkov bo pa verjetno privatna potrošnja se dvignila zelo malo kar tudi ta multiplikator kaže in nekako se bo zelo malo to poznalo na bdp ju to je konec koncev tudi povedal nekdanji razvojni minister prve janševe vlade jože p damijan ki je v bistvu v petkovi prilogi financ opisal razvoj svoje misli v zadnjih letih in je povedal zelo jasno da se je motil pri učinkovitosti davkov pri spodbujanju gospodarstva opozorilni znak za konec razprave citiram eksperiment zujf in zniževanje davka na dobiček naj bi prinesel gospodarsko rast ampak sledilo je nasprotno preobrat iz trenda dveletne rasti v novo recesijo in veliko povečanje luknje v proračunu izklop mikrofona,2016,01,neutral
želi še kdo razpravljati ja pardon pardon najprej ima besedo gospa iva dimic,2016,01,neutral
spoštovane kolegice poslanke in kolegi poslanci gospe in gospodje začenjam z nadaljevanjem seje državnega zbora obveščen sem da se današnje seje ne morejo udeležiti naslednje poslanke in poslanci gospa ljudmila novak od do ure gospa irena grošelj košnik mag tanja cink od ure dalje dr jasna murgel od ure dalje violeta tomić do ure gospod žan mahnič mag anže logar mag andrej šircelj mag branislav rajić mag matej tonin gospod bojan podkrajšek gospod marijan pojbič gospod simon zajc gospod igor zorčič do ure in gospod ivan prelog do ure vse prisotne lepo pozdravljam preden preidemo na točko dnevnega reda dovolite da na kratko nagovorim državni zbor spoštovane državljanke in državljani poslanke in poslanci pridigamo o upanju stoječ na kosteh preteklosti te sila neprijetne a pomenljive besede ruandskega škofa johna rucyahana v naše življenje prinašajo še kako pomembno in potrebno zavedanje o najhujših zablodah človeštva hkrati pa pričajo o naši vztrajajoči nezmožnosti dojemanja preteklih napak danes mineva natanko let odkar so junaki rdeče armade vkorakali v nacistično koncentracijsko taborišče auschwitz ki ga je z namenom uresničitve svoje morilske utopije končne rešitve zgradil tretji rajh zgolj v tej tovarni smrti je življenje na najbolj grozovite in človeku nepredstavljive načine izgubilo več kot milijon taboriščnikov večina judov pa tudi pripadnikov drugih narodnosti in etnij med drugim tisoč slovenk in slovencev za jude je auschwitz postal največje pokopališče v zgodovini njihovega ljudstva a to je pokopališče brez grobov brez gomil nagrobnih kamnov in posmrtnih ostankov ostal je bridek spomin na preteklost in srh zbujajoč opomin za prihodnost osvoboditev auschwitza sama po sebi seveda ni pomenila konca druge svetovne vojne a je predstavljala simbolično rušenje temeljev ideologije uničenja in razčlovečenja ki je napajala nacistični stroj spopad nepredstavljivih zgodovinskih razsežnosti namreč ni bil temeljen na grožnji bodočemu agresorju ne ta spopad je slonel in se poskušal legitimirati na ideji ideji ki je pripadnike človeštva razdelila na večvredne in nevredne na nadljudi in neljudi nacistično ideologijo je hranilo njeno okrutno operacionalizacijo pa opravičevalo vzpostavljanje strahu pred grešnimi kozli ki jim je bila pripisana odgovornost za sleherno krivico za sleherno napako kot kvazipravičniško rešitev za vzpostavljen imaginarni problem so krvniki izbrali politiko skrbno usmerjenega trpljenja in iztrebljanja politiko katere destruktivnost nezanesljivost in neizgorljivost je ubesedil šele raphael lemkin tekom morije se je rodil genocid spoštovane spoštovani danes obeležujemo mednarodni dan spomina na žrtve holokavsta ki so ga članice mednarodne skupnosti pred leti razglasile pod okriljem organizacije združenih narodov obeležujemo dan spomina na genocid katerega cilje je bilo dokončno uničenje judovskega ljudstva v evropi spominjanje če parafraziram italijanskega filozofa giorgia agambena daje novo možnost preteklosti s spominjanjem postane udejanjena preteklost nepopolna in odprta za tisto česar ni bilo spominjanje ni to kar se je zgodilo niti to česar ni bilo temveč gre za odpiranje možnosti da postanega oba tako izvršeno kot neizvršeno spet mogoče v našem mističnem dojemanju tragedije holokavsta smo že ničkolikokrat izrekli besede nikoli več a jih le malokdaj udejanjili ko je bilo to res potrebno v kot britev oster opomin nas režejo pričevanja tistih ki so razčlovečenje holokavsta morali pretrpeti sami a tudi njihovi glasovi bodo nekoč obmolknili komu in zakaj bomo slehernega januarja nikoli več pridigali takrat dovolite mi da zato zaključim s krutim odlomkom iz dela noč nekdanjega judovskega taboriščnika glasnika miru sprave in človekovega dostojanstva ter prejemnika nobelove nagrade za mir elia wiesla moj brezizrazni sosed je spregovoril ne pusti se zavesti hitler je bil popolnoma jasen uničil bo vse jude še preden odbije ura vzrojil sem zakaj ti je mar kaj je dejal želiš da ga imamo za preroka njegove hladne oči so bolščale vame nazadnje je potrto dejal več vere imam v hitlerja kot v kogarkoli drugega le on je judovskemu ljudstvu držal dano obljubo vse obljube spoštovane spoštovani naša pridiga ni dovolj zgolj mi smo tisti ki lahko preprečimo da spominjanje ne izzveni v prazno štejejo naše obljube ne le v besedah marveč zlasti v dejanjih hvala prehajamo na točko dnevnega reda to je na drugo obravnavo predloga zakona o pogrebni dejavnosti ter upravljanju pokopališč redni postopek predlog zakona je v obravnavo državnemu zboru predložil poslanec gospod jani m derndorfer v zvezi s tem predlogom zakona odbor za gospodarstvo predlaga državnemu zboru sprejetje sklepa da predlog zakona ni primeren za nadaljnjo obravnavo besedo dajem predsednici odbora gospe andreji potočnik za dopolnilno obrazložitev predloga sklepa,2016,01,negative
hvala lepa odgovor bo podala ministrica gospa marija milojka kolar celarc,2016,01,neutral
hvala lepa predsednik spoštovani kolegice in kolegi vsem dober dan pred seboj imamo predlog zakona za katerega smo v poslanski skupini desus na seji odbora za gospodarstvo sklenili da ni primeren za nadaljnjo obravnavo na začetku velja pripomniti da področje pogrebne in pokopališke dejavnosti v zadnjih treh desetletjih na zakonodajnem področju ni doživelo bistvenih sprememb zakon o pokopališki in pogrebni dejavnosti ter o urejanju pokopališč ki je bil sprejet še v prejšnji družbeni ureditvi leta enostavno ne ustreza več njegove pomanjkljive in mestoma zastarele rešitve so omogočile različne razlage kar je botrovalo povsem različnim ureditvam pogrebne in pokopališke dejavnosti po občinah številni poskusi urejanja tega področja v zadnjem desetletju so pokazali da imajo deležniki včasih celo diametralno nasprotna stališča združenja in skupnosti občin želijo da bi se pogrebna dejavnost opredelila kot občinska gospodarska javna služba obrtno podjetniška zbornica pa po drugi strani želi razmejiti njen javni in tržni del saj se boji uzakonitve monopola ki bi uničil konkurenco prav tako imamo na eni strani sklep prejšnje vlade glede ločnice med javnim in tržnim segmentom na drugi strani pa je ustavno sodišče zavzelo stališče da določitev pokopališke in pogrebne dejavnosti za obvezno gospodarsko javno službo ni v neskladju z ustavo vsekakor pa je rdeča nit obeh pristopov k urejanju problematike lahko ugotovitev računskega sodišča da v občinah na tem področju vlada velika zmeda občine področje urejajo na različne načine razlike pa so tudi v cenah storitev in vsemu temu v poslanski skupini desus nasprotujemo glavni pomislek ki smo ga ob obravnavi predloga zakona imeli je bil da je za restavriranje tako zastarelega zakona in ob tako različnih interesih potrebno preprosto povedano več časa za usklajevanje in dogovor zavedamo se da je področje zahtevno in da terja poglobljeno razpravo z vsemi zainteresiranimi zato ne želimo hitrega sprejetja zakona za katerega bi se lahko zelo hitro izkazala potreba po noveliranju vendar pa je na tem mestu treba priznati da ima predlog zakona tudi številne dobre nastavke in da je na seji odbora sprožil koristno kresanje mnenj ki bodo vsekakor prišla prav pri usklajevanju novega zakona ki ga pripravlja vlada poleg tega pa je ostalo pri predlogu kolega m derndorferja odprtih še nekaj pomembnih vprašanj ki jih ni bilo mogoče rešiti le z amandmiranjem dejstvo je tudi da tega ob pripombah zakonodajno pravne službe ni storil niti sam predlagatelj za zaključek v poslanski skupini desus smo vsekakor mnenja da je čas da se stari zakon pokoplje še nekaj truda bo potrebnega za uskladitev odprtih vprašanj poiskati skupni imenovalec in po treh desetletjih končno celovito urediti področje pogrebne in pokopališke dejavnosti seveda pa ostaja v prvi vrsti zavedanje da moramo državljankam in državljanom zagotoviti predvsem dostojen sloves od bližnjih hvala,2016,01,neutral
besedo ima gospod jože tanko pripravi naj se predstavnik vlade,2016,01,neutral
hvala že sami ste spoštovani poslanec navedli da vodotoki so na žalost včasih prepolni in poplavljajo večino leta pa so pravzaprav prazni in je ta pretok pod nivojem ki zagotavlja življenje v vodotoku to navajam predvsem zaradi tega ker podobna težava se nam pojavlja pri izdaji soglasij za gradnjo malih hidroelektrarn v postopku je sprememba te uredbe gre za zagotavljanje minimalnega pretoka minimalni pretok pa je pravzaprav tisti ki omogoča življenje v tej neokrnjeni naravi kjer se običajno ti objekti gradijo ne glede na zaščitena območja gre tudi dejansko za zagotavljanje življenjskih možnosti organizmom ki živijo v vodi ta druga zadeva ki se nanaša na to zagotavljanje zadrževanja vod po eni strani da torej mi kot občani kot ljudje ki živimo na podeželju z zbiranjem deževnice seveda lahko dvakrat delamo koristno delo po eni strani v času večjih nalivov zadržimo to vodo v času suše pa jo uporabljamo za namakanje za kmetijstvo si bomo zdaj znotraj priprave teh projektov in znotraj študij prizadevali za povečanje možnosti izgradnje mokrih zadrževalnikov torej zadrževalnikov ki se segajo višje od osnovnega vodotoka ki se ukvarja s poplavami ti zadrževalniki imajo na same kmetijske površine manj vpliva torej so odmaknjeni od teh obdelovalnih površin v času suše pa bi prav gotovo lahko zagotavljali potrebno vodo za namakanje hvala,2016,01,neutral
gospa ljudmila novak imate besedo da zahtevate dopolnitev odgovora,2016,01,neutral
spoštovani gospod predsednik spoštovani ministrici in minister spoštovani poslanke in poslanci danes ponovno v državnem zboru razpravljamo o reševanju migracijske problematike kot sem že večkrat v imenu poslanske skupine desus povedal poslanke in poslanci poslanske skupine desus ostro zavračamo vsakršno politično obračunavanje na račun situacije v kateri se je znašla slovenija in nasprotujemo takšnim zahtevam za izredne seje državnega zbora vendarle smo v času ko bi vsi morali stopiti skupaj in v iskanju najboljših rešitev predvsem sodelovati tudi ob tej zahtevi pobudniki seje ponavljajo da ne želijo s takšnimi zahtevami deliti in strašiti že tako prestrašenih ljudi da si predvsem želijo sodelovanja s koalicijo a že na seji matičnega delovnega telesa je bilo tudi tokrat videti da temu ni tako predlagatelji so med drugim ponavljali da se bodo zaradi pomoči beguncem znižali tudi socialni transferi pokojnine in tako dalje tukaj moram poudariti da je skrb za varno starost državljanov še vedno temeljna odgovornost države kar pomeni da država mora in bo v prvi vrsti poskrbela za svoje državljane zato je ves strah odveč predlagatelji naj se raje vprašajo koliko davkoplačevalce stanejo nepotrebni referendumi katerih neformalni pobudnici roko na srce sta ravno vaši stranki v poslanski skupini desus se dobro zavedamo s kakšnimi težavami se lahko sooči slovenija če ne bi prišlo do usklajene in enotne politike evropske unije pri reševanju begunske oziroma migrantske problematike gre namreč za res veliko število ljudi ki so prišli na območje s milijoni prebivalcev vendar pa smo prepričani da gre kljub visokemu številu za obvladljiv izziv ki se ga da rešiti z ustreznimi politikami prepričani smo da se mora evropa na krizo odzvati predvsem humano dostojanstveno in odgovorno prepoznati mora da se svet sooča z več kompleksnimi humanitarnimi krizami hkrati tako v siriji iraku libiji somaliji afganistanu in nigeriji dejstvo je da prav vsi niso begunci da ti ljudje niso registrirani je pa tudi dejstvo da skoraj vsi potrebujejo neko obliko pomoči veliko jih potrebuje mednarodno zaščito nekateri potrebujejo dostop do trga delovne sile nekateri si želijo pridružiti sorodnikom ki so že v evropi med migranti pa so tudi otroci in mladoletniki brez spremstva vsem pa je skupno da bežijo pred konflikti in revščino slovenija vseskozi opozarja da je treba več pozornosti posvetiti preprečevanju migraciji skozi poglobljeno sodelovanje z državami izvora predvsem pa je ključnega pomena da evropska unija in njene članice okrepijo boj proti terorizmu ter okrepijo prizadevanja za reševanje in preprečevanje kriz ki so ključni ustvarjalec begunskih in migracijskih tokov pa še nekaj o grožnjah in sicer glede padca schengna o tem je bilo veliko govora že v uvodnih predstavitvah pobudnikov te seje drži da se schengenska ureditev zaradi migracijske krize sooča z velikimi izzivi in da je postalo jasno da trenutna ureditev ni bila pripravljena na soočenje s tako velikimi migracijskimi pritiski a tukaj moramo biti jasni da slovenija v komunikaciji z državami članicami in institucijami evropske unije vedno jasno izpostavlja da je nujna razprava o prihodnosti schengena in nikakor ne pristajamo na tezo ogroženosti njegovega obstoja prav tako kategorično zavračamo idejo o tako imenovanem mini schengnu saj bi s tem bistveno posegli v pravico do prostega pretoka oseb takšni ukrepi morajo biti zgolj začasni in proporcionalni slovenija tako ostaja zagovornica tesnega povezovanja z evropsko unijo in se aktivno zavzema za ohranitev pridobljenih koristi ki jih prinaša za države članstvo v evropski uniji pri vsem tem pa je potreben skupen evropski pristop k reševanju izzivov kot je migrantska kriza v zadnjih dneh smo bili seznanjeni z ravnanjem avstrijskih mejnih organov ki so posledica spreminjajoče se politike do migrantov v nemčiji zato med nemčijo avstrijo in seveda slovenijo vseskozi potekajo intenzivni pogovori vse tri države si prizadevajo da bi se tudi republika hrvaška držala dogovorov pri sprejemu migrantov in njihove obravnave s čimer bi bistveno upočasnili in učinkoviteje nadzirali migrantske tokove naj zaključim kot se je izkazalo je slovenija prva država v evropski uniji ki tujce evidentira in jim izdaja odločbe o dovolitvi za zadrževanje kot posledico postopka vračanja zato ne prihaja do spontanih vstopov v republiko slovenijo in kar je najpomembnejše ne prihaja do razpršitve beguncev in migrantov po ozemlju slovenije na tej točki ne bi izgubljal besed o izvajanju zakonodaje v primeru grčije in hrvaške ki se na poti migrantov nahajata pred slovenijo v poslanski skupini desus smo glede na navedeno prepričani da se vlada republike slovenije ustrezno odziva na trenutne migracijske tokove in zato na matičnem delovnem telesu nismo podprli priporočil sds in nsi seveda pa so vsi nadaljnji koraki odvisni predvsem od sodelovanja z republiko hrvaško ki žal ne sprejema skupnih dogovorov glede obvladovanja migracijske krize in sodelovanja z avstrijo in nemčijo kot ciljno državo mnogih migrantov kot je že poudarila ministrica za notranje zadeve da če bo prišlo do enostranskih odločitev avstrije in nemčije pa se bo morala tudi slovenija temu primerno ustrezno odzvati in ukrepati hvala,2016,01,neutral
hvala lepa mag dušan verbič bo postavil poslansko vprašanje ministrstvu za gospodarski razvoj in tehnologijo gospodu zdravku počivavšku izvolite beseda je vaša,2016,01,neutral
