text,sent
evropska komisija mora narediti analizo vzrokov rasti cen hrane menita kmetijski minister jarc in njegov francoski kolega,neutral
bo evropska komisija analizirala vzroke rasti cen hrane,neutral
evropska komisija bi morala narediti analizo vzrokov in posledic rasti cen hrane po posameznih sektorjih sta po današnjem srečanju v ljubljani povedala minister za kmetijstvo iztok jarc in njegov francoski kolega michel barnier sicer imata po njunih besedah slovenija in francija podobna stališča glede skupne kmetijske politike in podobne pomisleke glede reforme vina poudarila sta pomen dobrega sodelovanja med državama tudi na področju kmetijstva v času predsedovanja eu prihodnje leto,neutral
med možnimi ukrepi eu je barnier omenil obnovo zemlje v prahi gre za štiri milijone hektarjev zemlje obnova bi omogočila večjo proizvodnjo in s tem znižanje cen o tem bo evropska komisija odločala septembra možen ukrep so tudi dodatne kvote na področju mleka je dejal,neutral
zakaj cene hrane naraščajo,neutral
strinjala sva se da bi morala evropska komisija narediti analizo vzrokov po posameznih sektorjih in analizo posledic takšnega dogajanja je barnier odgovoril na vprašanje kaj lahko eu naredi za umiritev cen hrane izpostavil je visoke stroške za pridelovalce mesa oz perutnine in dejal da bi bilo treba uravnotežiti posledice po barnierjevem mnenju gre za trajnejše poviševanje cen in je treba najti ustrezne odgovore,neutral
kmetijski minister iztok jarc meni da je treba odpreti razpravo o visokih cenah hrane tudi na evropski ravni,neutral
tudi jarc meni da treba odpreti razpravo o visokih cenah hrane tudi na evropski ravni sicer je kot pravi težko napovedati ali se bodo napovedi o rasti cen v prihodnje uresničile bo pa ministrstvo v vsakem primeru pozorno spremljalo dogajanje in poskušalo ustrezno reagirati,neutral
podobne usmeritve slovenije in francije,neutral
jarc je dejal da imata francija in slovenija precej podobna stališča na skupno kmetijsko politiko za slovenijo je stabilnost v tem sektorju zelo pomembna in osebno mislim da ravno skupna kmetijska politika daje kmetijstvu tisto potrebno dolgoročno stabilnost in možnost da dobro konkurira je povedal jarc,neutral
po barnierjevem mnenju je treba najti ustrezne odgovore za povišanje cen hrane,neutral
vesel sem da sva z ministrom jarcem ugotovila da so usmeritve francije in slovenije tudi po letu 2013 ko bomo skupno kmetijsko politiko obnavljali zelo podobne je povedal barnier sicer je pritrdil jarčevemu mnenju da je srečanje pomembno saj da morata državi krepiti odnose v strateškem trenutku v času prihajajočega predsedovanja slovenije eu ki bo nato predsedovanje predala franciji,neutral
spregovorila tudi o vinski reformi in o dokončanju reforme sladkorja državi se po besedah francoskega ministra pri vinski reformi strinjata da v njej ni jasno dorečeno vprašanje dosladkanje vina pa tudi da so številke pri opustitvi vinogradov previsoke državi si želita ohraniti identiteto vina je še dejal barnier,neutral
vilo prešeren je na dražbi ministrstva za obrambo kupilo nepremičninsko podjetje condor real s sedežem v lescah,neutral
nepremičninsko podjetje condor real s sedežem v lescah je za vilo ponudilo največ izmed štirih ponudnikov in sicer 1 95 milijona evrov kar je za 50000 evrov več od izklicne cene zastopnica podjetja ki je povezano z lastnikom sportine bahtiarom bajrovičem janja jenšterle je po dražbi povedala da vilo kupujejo zase da jo bodo obnovili ter da bodo v njej s skladu z zahtevami izvajali gostinsko dejavnost,neutral
po sklenitvi pogodbe bo novi lastnik vile prešeren posredno postal bajrovič ki je tudi že lastnik hotela ribno,neutral
jenšterletova je poudarila da vile prešeren ne bodo prodali naprej temveč so jo kupili v lastne namene glede na namembnost ki je za vilo določena z občinskimi akti in glede na omejitve ki jih objekt ob blejskem jezeru ima jo bodo uredili za gostinsko dejavnost ta je bila v vili vse do lanskega novembra ko je ministrstvo za obrambo razdrlo pogodbo z dotedanjim najemnikom pod katerim je bila vila prešeren uveljavljen gostinski objekt na izredni lokaciji z dobro hrano in postrežbo,positive
boljši časi za vilo,positive
kaže da se blejskim vilam vendarle obeta lepša prihodnost poleg vile prešern naj bi bila v kratkem prenovljena tudi riklijeva vila saj je projekt prenove njenega lastnika marka omana blejska občina nedavno podprla okoljevarstveniki pa so s pritožbami dosegli da se bo ograja ki obdaja vilo rog znižala in bo omogočala dostop do jezera ter pogled nanj,positive
zadnjega pol leta je vila ki je potrebna celovite prenove samevala in še naprej propadala na ministrstvu za obrambo so še preden so se odločili za prodajo vile razmišljali tudi o možnosti da bi bila vila objekt zaprtega tipa nato je ministrstvo predvidelo da bo vilo obnovilo in jo prodalo vendar je kasneje ugotovilo da bi bila obnova predraga in neizvedljiva do začetka prihodnjega leta ko bi vilo uporabljali za namene predsedovanja eu zato se je odločilo vilo prej prodati,neutral
prodaja vile prešeren je med blejci zbudila strah da se bo ponovila zgodba z vilo rog okrog katere je novi lastnik igor lah postavil ograjo in tako domačinom ter obiskovalcem preprečil dostop do blejskega jezera dodatno bojazen je zbujalo dejstvo da se za vilo prešeren zanima tudi lah,neutral
občina zadovoljna s prodajo,positive
vendar je največji interes za vilo na današnji dražbi izkazalo podjetje condor real ki je bil zanjo pripravljen odšteti največ po sklenitvi pogodbe v prihodnjem mesecu dni bo novi lastnik vile prešeren posredno postal bajrovič ki je tudi že lastnik hotela ribno in vile viktorije ter 40 odstotni lastnik hotela krim,neutral
čeprav je blejska občina imela predkupno pravico se zaradi pomanjkanja sredstev za nakup vile prešeren ni mogla potegovati je pa blejski župan janez fajfar vesel da je vila vendarle dobila novega lastnika ki obljublja čimprejšnjo celovito prenovo in uporabo objekta v turistične namene,neutral
luka koper bo morala zrušiti most čez rižano in odstraniti začasno parkirišče je odločilo okoljsko ministrstvo,negative
luka bo morala odstraniti nasuto površino ob školjčni sipini kjer je uredila začasno parkirišče,negative
ministrstvo za okolje in prostor je kot neutemeljene zavrnilo pritožbe luke koper na inšpekcijske odločbe ki se nanašajo na školjčno sipino v ankaranu in tam parkirane avtomobile so povedali na ministrstvu luka bo morala zrušiti tudi most čez reko rižano ki ga je postavila že pred leti in odstraniti nasuto površino ob školjčni sipini kjer je uredila začasno parkirišče,negative
v luki koper pravijo da bodo odločbe upoštevali da pa imajo pomisleke glede interpretacije zakonskih določil zato zadevo še preučujejo,neutral
