ljubljanska borza zabeležila padec tečajev,neutral
tudi trgovanje na ljubljanski borzi se je danes končalo s padcem tečaji delnic so se glede na ponedeljek v povprečju nekoliko znižali med pomembnejšimi pa so se najbolj pocenile delnice telekoma slovenije gorenja in krke indeksa sbi top in ljsex sta se znižala za   oz   odstotka,neutral
borzni vlagatelji so opravili za slabih   milijona evrov poslov največ zanimanja so pokazali za delnice krke s katerimi so sklenili za nekaj manj kot   milijona evrov poslov enotni tečaj teh delnic se je sicer znižal za   odstotka na   evra,neutral
težave v španiji,neutral
kot je znano je španska centralna banka čez vikend prevzela nadzor nad hranilnico cajasur ki je utrpela velike izgube predvsem zaradi velike izpostavljenosti nepremičninskemu sektorju centralna banka je banko uradno prevzela zaradi velikih izgub in ker se ta ni želela združiti z drugo banko to je bila sicer že druga španska banka ki jo je morala država rešiti,neutral
že včeraj je mednarodni denarni sklad izdal ostro opozorilo španiji težav je veliko od slabo urejenega trga dela nepremičninskega balona fiskalnega primanjkljaja do zunanje zadolženosti slabe gospodarske rasti in nekonkurenčnosti je španiji očital sklad,neutral
nekdanji hčerinski družbi sct ki ju je odkupil boris tancar ne moreta zbrati dovolj sredstev za plače zato je vodstvo sprožilo stečajni postopek družbi sta delali pretežno za sct,negative
družbi centralgrad in vg konstrukcije ki sta v lasti borisa tancarja in sta pogodbeno najeti kooperantski družbi sct nimata denarja za izplačilo plač  zaposlenim zato je vodstvo predlagalo začetek stečajnega postopka poročajo današnje finance,negative
družbi sta bili nekdaj hčerinski družbi sct potem pa ju je od sct odkupil boris tancar od takrat naprej pa sta še vedno delali izključno na gradbiščih sct kot je za časnik povedal tancar jim sct vedno redno plačuje svoje obveznosti vendar zaradi starih zadev ne morejo zbrati od  do  evrov za plače zato je stečaj neizbežen tancar je še zagotovil da te stare obveznosti ne pomenijo plačilo kredita za lasnski prevzem družbe,negative
delavci so včeraj stavkali nekatere skrbi tudi to da imajo pogodbe sklenjene še z sct ne pa z novo družbo ki jo je po prevzemu ustanovil tancar zato se bojijo da bodo v primeru stečaja ostali brez vseh pravic tancar pa naj bi jim zagotovil da so taki prehodi s podjetja na podjetje pravno veljavni in ni z njimi nič narobe,negative
družba centralgrad je imela že v drugi polovici aprila težave z izplačilom plač saj so nam takrat pisali zaskrbljeni delavci vendar od pristojnih nismo uspeli dobiti odgovora v sct pa so takrat dejali da je centralgrad le pogodbeno najeto podjetje in da zato za plače tam niso odgovorni,negative
nekdanjemu šefu istrabenza se lahko smeji na skupščini istrabenza ki je globoko zadolžen so ga večji lastniki namreč oprali vsakršne krivde za nastale razmere proti njemu ne bodo vložili odškodninske tožbe prav tako niso napovedali novih revizij njegovega poslovanja,negative
delničarji istrabenza so upravi in nadzornemu svetu za leto  podelili razrešnico,neutral
