text,leto,mesec,sent
hvala lepa besedo ima poslanec aljaž kovačič izvolite,2019,01,neutral
hvala lepa spoštovani gospod poslanec podobno je urejeno tudi na ministrstvu za notranje zadeve oziroma v policiji v skladu s členu zakona o verski svobodi policistkam in policistom ki to želijo država zagotovi versko in duhovno oskrbo v okoliščinah kjer je uresničevanje verske svobode oteženo sprejet je tudi pravilnik o organizaciji in načinu verske oskrbe v policiji predvsem pa slovenska policija sodeluje pri verskih obredih ko so podani pogoji iz prvega odstavka člena zakona o organiziranosti in delu v policiji in sicer kadar policija v soglasju s svojci izvede pogrebne slovesnosti za policista ki je pri opravljanju operativnega ali drugega nevarnega dela izgubil življenje ob predpostavki da na željo svojcev pogrebna slovesnost oziroma pokop umrlega opravi tudi z verskim obredom iz enakega namena policija sodeluje pri glavnem verskem obredu tako imenovani maši za policiste kjer se policistom ki so izgubili življenje pri opravljanju svojega dela izraža spomin na umrle in pieteta pri teh oblikah sodelovanja policija sodeluje s policisti v policijskih uniformah moram še enkrat povedati da so pravila v slovenski policiji oziroma na ministrstvu za notranje zadeve o teh stvareh jasne hvala,2019,01,neutral
preden nadaljujemo dovolite da preberem naslednje obrazložitev glasu ni polemika naslavljanje prepričevanje pozivanje ter postavljanje vprašanj prosim da se v bodoče obrazložitev ne zlorablja s tem spoštovane poslanke spoštovani poslanci prehajamo na glasovanje oglašanje iz dvorane spoštovane poslanke spoštovani poslanci odpiram začetek za prijavo za listo za obrazložitev glasu kot posameznega poslanca ali poslanke gospa žibert imate glas v imenu poslanske skupine izvolite,2019,01,neutral
hvala lepa za besedo gospod predsednik spoštovani minister za notranje zadeve gospod poklukar jaz se bom dotaknil neke teme v poslanskem vprašanju s katero so se name že večkrat pred časom in tudi še sedaj obrnili državljanke in državljani oziroma bolje rečeno občanke in občani kajti problematika pomanjkanja policistov oziroma kadrovski manko se predvsem pozna po samem terenu ne toliko v pisarnah po vsej verjetnosti v občinah kjer so bila po policijskih postajah opravljena zmanjšanja policistov kriminalistov dežurnih policistov in tudi nekje po državi tudi patrulj nekatere so bile ukinjene nekatere zmanjšane tukaj potem občani občutijo to pomanjkanje ni vedno to da bi občani ali pa uporabniki policijskih storitev le kritizirali policijo ampak je problematika ker je premalo policistov in enostavno to občutijo tako da se vodje policijskih okolišev ne ukvarjajo več toliko s samo preventivo niso toliko v stiku z ljudmi kot so bili pred tem o vsem tem stanju kakršno pač je bi tudi želel slišati od vas ki ga verjetno zelo dobro poznate zavedam se da ste neko stanje podedovali kot nov minister in da se trudite da boste vzpostavili sistem do takšne mere da bo ustrezal vsem nam v sloveniji vprašal bi vas kakšno je trenutno stanje v policiji z vašega vidika kot ministra po posameznih policijskih upravah in po posameznih policijskih postajah po sloveniji hvala lepa,2019,01,neutral
spoštovani predsedujoči poslanke poslanci spoštovani gospod breznik hvala za vprašanje tudi jaz moram najprej pojasniti da ministrstvo za gospodarski razvoj in tehnologijo ni pristojno za cene avtoplina kot tudi ni pristojno za cene utekočinjenega plina za ogrevanje v republiki sloveniji vlada republike slovenije ureja kontrolo nad cenami blaga in storitev na območju republike slovenije na podlagi zakona o kontroli cen za katerega je sicer pristojno ministrstvo za gospodarski razvoj in tehnologijo trenutno so v republiki sloveniji na podlagi zakona o kontroli cen regulirane le še cene določenih učbenikov ter cene neosvinčenega oktanskega bencina in dizla razen na bencinskih servisih avtocest in hitrih cest kjer se cene teh dveh naftnih derivatov od oblikujejo prosto na trgu glede na vaše navedbe pa oceno da naj avk te zadeve prouči moram povedati da pričakujem da bomo tudi na osnovi vašega vprašanja dosegli da bo avk preveril te vaše trditve ministrstvo in vlada ne določa cen utekočinjenega naftnega plina se pa strinjam da je treba konkurenčnost na tem področju pregledati tudi s strani agencije za varstvo konkurence hvala,2019,01,neutral
dober večer predsedujoči predsednik spoštovani prisotni od takrat ko smo v sloveniji pa dobro tudi širše deležni teh migracijskih valov od takrat naprej tudi pogosteje govorimo o tihotapcih z ljudmi če na nek način stvari pojmujemo s pravim imenom potem je ta beseda tihotapci gotovo premila in moramo kar lepo reči kriminalci ali gre za posameznike največkrat gre za kriminalne združbe minister vi ste lepo povedali pred dnevi da nočete živeti v državi kjer policija ne more ukrepati proti organiziranemu kriminalu mislim da se pod to podpišemo praktično vsi državljanke in državljani mene pa zanima kako je to v realnosti namreč moje poslansko vprašanje gre k temu da na primer v sloveniji smo nekako v zadnjem letu ujeli okoli oseb ki so nezakonito tihotapile ljudi kriminalce se pravi medtem ko sosedje hrvatje so nekako kazensko ovadili okoli ljudi pri njih se je to povečalo v primerjavi s prejšnjim letom za okoli odstotkov tudi v sloveniji gre nekako verjetno za iste odstotke me pa zanima glede na primerjavo s hrvaško ki daje ogromno denarja v zadnjem času za dodatno opremo za te obmejne policiste pa tudi širše ko gre za varovanje meje kako je to urejeno v sloveniji se pravi ali policisti dobivajo novo opremo na kakšen način opravite selekcijo kaj je tisto čemur dajete prioriteto hvala za začetek,2019,01,neutral
hvala lepa preden nadaljujemo razpravo ko bo imel prvi besedo gospod baković dajem besedo za proceduralni predlog gospodu kramarju,2019,01,neutral
hvala lepa mag andrej rajh bo predstavil stališče poslanske skupine stranke alenke bratušek izvoli,2019,01,neutral
hvala lepa za besedo spoštovane kolegice in kolegi predlog zakona o nekaterih koncesijskih pogodbah ureja pravila glede sklepanja koncesijskih pogodb za gradnje in storitve katerih vrednost je enaka ali presega prag milijonov tisoč evrov osnovni problem predloga tega zakona je v tem da podeljevanje koncesij zasebnikom obravnava kot neko neproblematično kot neko neizvršeno dejstvo ampak samo podeljevanje koncesij ni nič drugega kot prikrita privatizacija tej pa ne bom povedal nič novega v levici ostro in brezkompromisno nasprotujemo problem oziroma proces privatizacije prek sklepanja javno zasebnih partnerstev se je v sloveniji začel že konec let tukaj so prednjačile predvsem občine ki so prek koncesij privatizirale eno kopico javnih in komunalnih storitev zaradi domnevno večje učinkovitosti zasebnikov so potem občine privatizirale svoje čistilne naprave kjer je absolutno šampion na tem področju maribor leta je gradnjo in upravljanje svoje čistilne naprave zaupal avstrijskim in francoskim multinacionalkam od takrat pa mariborčani plačujete šampionske zneske na položnicah pa podoben primer je z javnim prevozom to je tudi škoda v mariboru z zasebniki so občine nadomestile nekoč javne službe vzdrževanje cest razsvetljave gospodarjenje z odpadki dimnikarske storitve itn žal pa so se koncesije zažrle tudi v šolstvo osnovnošolstvo v visokošolstvo srednješolstvo in v zdravstvo ampak ta trend ni značilen samo za slovenijo tudi v tujini so se rezultati podeljevanja koncesij izkazali za porazne v nemčiji so po letu v mestih prevzeli v preteklosti sicer privatizirana javna oskrbovalna omrežja ker drugače ni šlo vodovode električna plinovodna omrežja leta pa je raziskovalna skupina psiru pripravila eno primerjalno študijo učinkovitosti upravljanja storitev v okviru javno zasebnih partnerstev in je prišla do zanimivih zaključkov prvič projekti javno zasebnih partnerstev so predvsem dolgotrajni povprečno trajanje samo pogajanj med državo in zasebnikom glede pogodbe znaša navadno mesecev drugič dvakrat dražji so glede financiranja od javnih projektov in tretjič njihova družbena učinkovitost je manjša tako kar se tiče cene storitev kot z vidika same dostopnosti že ob sprejemanju evropske direktive ki se prenaša v zakon o nekaterih koncesijskih pogodbah je v letih in v evropskem parlamentu in svetu ter širši javnosti potekala burna razprava o področju same veljavnosti direktive področje veljavnosti zakona ki je pred nami pa ni jasno in enoznačno opredeljeno na kar je opozorila tudi zakonodajno pravna služba v uvodu in obrazložitvah je denimo navedeno da se zakon ne bo uporabljal za podelitev koncesij za izvajanje javne službe oziroma druge dejavnosti za katere področni zakon zaradi varovanja javnega interesa izrecno predpisuje izdajo upravne odločbe iz samih členov zakona te omejitve ni mogoče razbrati predlog zakona po nareku direktive sicer ne predpisuje obveznega izdajanja koncesij na področju svoje veljavnosti vendar pa vzpostavlja pogoje za enoten evropski trg koncesionarjev no tukaj pa pridemo do resnega problema v sloveniji se tako gradi teren na katerem se bodo za koncesije poleg domačih družb bistveno lažje potegovale tuje večje družbe in multinacionalke posledice bi lahko bile ravno nasprotne od pričakovanih zakon naj bi tako olajšal dostop do koncesij za mikro mala in za srednja podjetja ampak roko na srce manjša podjetja bodo v postopkih za dodelitev koncesij težko konkurirala nekih velikim tujim podjetjem pri podeljevanju koncesij velikim podjetjem je v nezavidljiv položaj postavljen tudi koncedent torej občina oziroma država kateri veliko podjetje v nasprotju z javnim interesom zlahka začne samovoljno narekovati samopogoje sklepanja koncesijske pogodbe predlog zakona namesto rešitev prinaša zlasti nove nejasnosti in potencialne probleme zato mu bomo v levici nasprotovali hvala lepa,2019,01,neutral
hvala gospod predsednik prehajamo na stališča poslanskih skupin prvi imate besedo gospod jani ivanuša v imenu poslanske skupine slovenske nacionalne stranke izvolite,2019,01,neutral
hvala gospod poslanec gospa ministrica izvolite,2019,01,neutral
