text,leto,mesec,sent
hvala lepa gospod poslanec imate besedo za postopkovni predlog izvolite,2020,01,neutral
hvala za besedo vsem še enkrat prav lep pozdrav se zavedate kakšen absurd je da potem ko se v vladajoči koaliciji hiteli izražati podporo popolnoma nepotrebnemu z mnogih vidikov pa absurdnemu zakonu ki je uperjen proti tistim lastnim državljanom ki bi se poskušali organizirati in zaščititi sami sebe čeprav je pravica do samoobrambe neodtujljiva človekova pravica zdaj ko gre za predlog po katerem bi zaostrili politiko do tujcev do tistih tujcev ki grobo zlorabljajo pravico do azila napovedujete da tega ne boste podprli na samem odboru ste podrli vse člene se pravi o tem naj ne bi danes več niti odločali ob tem ko je predlog ki je bil pred vami popolnoma razumen bil je izjemno upravičen in je odraz realnega stanja prej smo ogromno povedali o rdeči niti ki jo je propadla vlada marjana šarca vlekla ves čas svojega obstoja to je da preprosto ni bila sposobna poskrbeti za varnost slovenskih državljank in državljanov za zaščito slovenske meje in pa za blaginjo ljudi kajti treba se je zavedati da slovenski davkoplačevalci vse to kar vlada počne še kako drago plačujemo vlada sploh nima svojega denarja da ne bi kdo rekel da je to državni denar ali pa to je vladni denar ne to je denar slovenskih davkoplačevalcev to je tisti denar ko ti levičar poseže v žep in ti potegne denarnico ven in jo izprazni in potem moraš biti še zadovoljen če en majhen kovanček nazaj dobiš to je politika levičarjev edino kar je dobrega je to da se vse to dogaja pozimi ker je zima edini letni čas ko vidiš levičarja ko ima roko tudi v lastnem žepu danes pravzaprav ne bomo odločali o tistem o čemer bi morali odločali bomo samo o tistem o čemer v normalni državi kjer bi spoštovali lastne državljanke in državljane in se vlada iz njih ne bi delala norca sploh ne bi nikoli odločati morali pa bi odločati o stvareh po katerih bi se približali ureditvi ki so jo že uvedle praktično vse sosednje države ki so bistveno zaostrile pravico do azila postopke pač pri pridobivanju azila in to iz preprostega dejstva ki ga je lepo opisala že prejšnja ministrica za notranje zadeve gospa gy rk seva ki je povedala naslednje da prihaja do masovne zlorabe pravice do azila tukaj ne gre za nobene človekove pravice pa lažni humanizem pa ne vem kaj še vse tukaj gre samo v resnici za zlorabo in ta zloraba je masovna ta zloraba strahovito veliko stane koliko stane izračun preprost po uradni ugotovitvi računskega sodišča republike slovenije vsak mesec ko je en ilegalni migrant na ozemlju republike slovenije stane slovenske davkoplačevalce tisoč evrov to je isti mesec ki ga mora en povprečen slovenski upokojenec preživeti z nekaj sto evri to ne samo da je svinjarija ampak je tudi nečloveško je neetično in trdim celo da je protiustavno me samo zanima če bi ustavno sodišče zmoglo poguma in o tem tudi javno odločilo kako lahko nekdo ki pride preko meje pri tem krši zakon očitno zlorablja nek institut kajti pride iz varne države to se pravi gre avtomatično za zlorabo potem lahko uveljavlja da ima večje pravice kot slovenski državljani in to ne samo ko gre za stroške tukaj je še veliko stroškov ki jih računsko sodišče niti upoštevalo ni ali veste kako zgleda ko pride nekdo iz azilnega doma v zdravstveni dom ali mislite da on čaka skupaj s slovenkami in slovenci ah kje pa lepo gre preko vrste pa pri zobarju tudi to se dnevno dogaja kar pozanimajte se boste videli ni treba čakati posebej če ga policisti pripeljejo takrat ima absolutno prednost je lahko eden v šoku tam pa bo šel naprej razen če bo res v smrtni nevarnosti takrat bodo verjetno dohtarji odreagirali pa še vprašanje če imajo taka navodila to je nedopustno gospe in gospodje to vse nas strahovito veliko stane to nas stane razvojnega potenciala zaradi tega so davki previsoki zaradi tega slovensko podjetništvo ne more živeti ne more zadihati s polnimi pljuči ne more biti tisto kar bi slovensko podjetništvo moralo biti to je da se danes seveda suverenosti ne brani samo z vojsko ampak brani se tudi z dobrim podjetništvom in seveda gre za tisto neodtujljivo pravico o kateri danes govorimo že cel dan pravico do varnosti ljudi nad to pravico ne more biti nobena pravica nobenega tujca gospe in gospodje še enkrat najprej slovenija,2020,01,negative
hvala lepa naslednja bo stališče predstavila gospa nataša sukič stališče poslanske skupine levica izvolite,2020,01,neutral
hvala eno stvar bi želel razglasiti se strijam z vami ljudje so sami gradili v sloveniji in še vedno sami gradijo in mi smo absolutno proti da se obdavči te ljudi zavzemamo se za tak davek kot smo ga konec koncev zapisali pred dobrim letom in pol v koalicijsko pogodbo torej pravičen davek na nepremičnine po katerem bi bili bolj obremenjeni tisti z več in večjimi nepremičninami poudarek je na tistih z več ker tisti ki imajo več nepremičnin jih po navadi tudi oddajo se pravi jih ne uporabljajo kot stanovanje ampak jih uporabljajo za plemenitenje svojega premoženja v tem smislu bi bil davek uperjen predvsem proti koncentraciji bogastva ni pravično da nekdo ki si lasti majhno stanovanje ali pa hišo na podeželju je obdavčen po enaki stopnji kot nekdo v tisti zgornji desetinski odstotka najbogatejših ki ima kot sem prej povedal v povprečju dva milijona in pol kar šest stanovanj od katerih jih verjetno večino oddaja in od tega dodatno služi ni pravično da so obdavčeni po enakih gabaritih davek mora biti takšen da bodo prispevali tisti ki imajo več bistveno več da bo premoženje pravičnejše razdeljeno po drugi strani bi s takim davkom če samo na leto zberemo pa poudarjam tukaj se uvrščamo na rep evrope bi dobili milijardo milijonov evrov vsako leto s čimer bi lahko financirali vse te dejavnosti ki zdaj vsako leto izpadejo iz proračuna od pokojnin železnic stanovanj dolgotrajne oskrbe in tako naprej hvala,2020,01,neutral
več denarja ne pomeni da imamo zdravstveni sistem boljši sem povedal primer da imamo v zadnjih desetih letih v zzzs milijardo evrov več denarja pa imamo zdravstveni sistem slabši potrebujemo boljšo organizacijo v zdravstvenem sistemu ta zzzs kateremu namenjate in ga častite da bo uredil zdravstveni sistem če ga do sedaj ni ga tudi naprej ne bo kljub milijonom evrov denarja več glede več javnega tudi sam podpiram javno zdravstvo ne pa državno zdravstvo zdravstvo kakšnega želite imeti je državno organizirano s strani države in je razlika med javnim in državnim zdravstvom in tudi zasebniki hvala bogu da imamo določene zasebnike ki rešujejo dolge čakalne vrste in dobe hvala bogu da jih imamo kajti brez tega bi umirali ljudje res na cesti kot govorite da nekje drugje ki pa sploh ne,2020,01,neutral
hvala lepa gospod poslanec naslednji ima besedo mag marko pogačnik da predstavi stališče poslanske skupine sds izvolite,2020,01,neutral
spoštovane poslanke spoštovani poslanci gospe in gospodje poiskali smo manjkajočo kartico in jo našli v reži za prezračevanje in to nam omogoča da nadaljujemo prekinjeno sejo zbora obveščam vas da bo državni zbor glasovanje opravil po naslednjem vrstnem redu in točka dnevnega reda s spoštovane gospe spoštovani gospodje prehajamo na glasovanje zbora o predlogih odločitev prosim vas da preverite delovanje glasovalnih naprav hvala prehajamo na točko dnevnega reda to je na mandatno volilne zadeve prehajamo na obravnavo obvestila marjana šarca o odstopu s funkcije predsednika vlade republike slovenije predsednik vlade gospod marjan šarec me je z dopisom dne januarja obvestil da na podlagi člena zakona o vladi republike slovenije in člena poslovnika državnega zbora odstopa s funkcije predsednika vlade na podlagi člena ustave republike slovenije ter in člena poslovnika državnega zbora se državni zbor seznani z naslednjim sklepom državni zbor ugotavlja da je gospod marjan šarec obvestil predsednika državnega zbora o svojem odstopu s funkcije predsednika vlade zato mu preneha funkcija predsednika vlade s čimer prenehajo tudi funkcije ministrov na podlagi člena ustave republike slovenije gospod marjan šarec in ministrice in ministri opravljajo tekoče posle do izvolitve novega predsednika vlade in imenovanja novih ministrov v skladu z drugim odstavkom člena poslovnika državnega zbora bom o tem obvestil predsednika republike gospodu marjanu šarcu pa se zahvaljujem za opravljeno delo ter mu želim vse najboljše pri nadaljnjem delu prehajamo na obravnavo predloga za imenovanje komisije za presojo ustreznosti kandidatov po zakonu o pravnem varstvu v postopkih javnega naročanja predlog je v obravnavo zboru predložil sodni svet predlog je kot matično delovno telo obravnavala mandatno volilna komisija ki je zboru pisno poročala prijavljenih k razpravi ni prehajamo na odločanje o predlogu sklepa s katerim se v komisijo za presojo ustreznosti kandidatov po zakonu o pravnem varstvu v postopkih javnega naročanja za dobo petih let imenujejo za predsednika dr saša prelič in za članici dr barbara nerat in gospa albina hrnec pečnik glasujemo prekinjam glasovanje ali glasovalne naprave delujejo hvala ponavljamo glasovanje glasujemo navzočih je poslank in poslancev za je glasovalo proti za je glasovalo proti ugotavljam da je sklep sprejet prehajamo na obravnavo predloga sklepa o imenovanju predsednika in devetih članov nadzornega odbora sklada za financiranje razgradnje nuklearne elektrarne krško in za odlaganje radioaktivnih odpadkov iz nuklearne elektrarne krško predlog sklepa je v obravnavo zboru predložila mandatno volilna komisija prijavljenih k razpravi ni prehajamo na odločanje o predlogu sklepa s katerim se v nadzorni odbor sklada za financiranje razgradnje nuklearne elektrarne krško in za odlaganje radioaktivnih odpadkov iz nuklearne elektrarne krško za predsednika imenuje mag damjan konovšek za člane pa gospod franc florjančič mag dušan hočevar gospod bojan horvat gospod matevž kocjan gospod aljoša rovan mag nataša šerbec gospod luka špoljar mag andrej vizjak in mag matjaž vodušek glasujemo navzočih je poslank in poslancev za je glasovalo nihče proti za je glasovalo proti nihče ugotavljam da je ta sklep sprejet prehajamo na obravnavo predloga sklepa o spremembah sklepa o sestavi in imenovanju predsednika podpredsednika članov in namestnikov članov preiskovalne komisije o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter na področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom predlog sklepa je v obravnavo zboru predložila mandatno volilna komisija prijavljenih k razpravi ni zato prehajamo na odločanje o predlogu sklepa o spremembah sklepa o sestavi in imenovanju predsednika podpredsednika članov in namestnikov članov navedene preiskovalne komisije glasujemo navzočih je poslank in poslancev za je glasovalo proti za je glasovalo proti ugotavljam da je sklep sprejet prehajamo na obravnavo predloga sklepa o spremembah sklepa o sestavi in imenovanju predsednika podpredsednice članov in namestnikov članov preiskovalne komisije o ugotavljanju zlorab v zadevi franc kangler in drugi predlog sklepa je v obravnavo zboru predložila mandatno volilna komisija prijavljenih k razpravi ni prehajamo na odločanje o predlogu sklepa o spremembah sklepa o sestavi in imenovanju predsednika podpredsednice članov in namestnikov članov navedene preiskovalne komisije glasujemo navzočih je poslank in poslancev za je glasovalo proti za je glasovalo proti ugotavljam da je ta sklep sprejet s tem zaključujem to točko dnevnega reda nadaljujemo s prekinjeno točko dnevnega reda ponovno odločanje o zakonu o spremembah in dopolnitvah zakona o davku na tonažo prehajamo na ponovno odločanje o navedenem zakonu ob tem vas spoštovane in spoštovani želim opozoriti da morajo pri ponovnem odločanju skladno z drugim odstavkom člena ustave republike slovenije za sprejetje navedenega zakona glasovati večina poslancev zbora to je ali več gospod luka mesec v imenu poslanske skupine izvolite,2020,01,neutral
hvala lepa gospod minister izvolite,2020,01,neutral
hvala gospod m derndorfer pogovor je sestavljen iz dveh dejanj iz govora in poslušanja ampak vi pač toliko govorite da ničesar več ne slišite sicer se vam ne bi pripetilo da mi na začetku svoje razprave citirate isti stavek iz koalicijske pogodbe ki sem ga jaz vam povedal češ vam bom povedal nekaj novega česar še niste slišali začnite poslušati potem se bomo lahko pogovarjali drugič rekli ste ker se zatika pri ukinitvi dopolnilnega zdravstvenega zavarovanja je problem da smo mi iz tega poglavja ki ga beremo v koalicijski pogodbi udejanjili samo prvo točko v zakonu ki govori o ukinitvi dopolnilnega zdravstvenega zavarovanja po janiju m derndorferju bi pa morali če bi hoteli to zares narediti v zakon zraven vnesti še vse ostale stvari kot so da bo zzzs postal aktivni kupec da se bo financiranje zdravstva povečalo na bdp da se bodo očistile odhodkovne postavke zdravstvenega zavarovanja da se bo uvedel zdravstveni cent da se bo okrepil nadzor nad plačniki da se bo vse prebivalce republike slovenije vključilo v zdravstveno zavarovanje in tako naprej skratka ker se ne moremo strinjati v enem ukrepu je treba napisati zakon v katerem bo ukrepov dvajset in potem se bomo strinjali bravo jani m derndorfer vi ste dobesedno politični genij nadalje ko jani m derndorfer sprašuje kdo je lastnik vzajemne in seveda ponudi že odgovor da so lastniki vzajemne zavarovanci pozablja naslednje leta je bil dušan kidrič predsednik senata agencije za zavarovalni nadzor za kaj se je zavzemal gospod za enakopravno zastopstvo vseh članov v skupščini vzajemne zavzemal se je ponavljam za enakopravno zastopstvo vseh članov v skupščini vzajemne veste kaj se je z njim zgodilo napadli so ga s solzivcem torej čigava je vzajemna ali so vsi člani v skupščini ali je vzajemna ukradena s strani tistih ki tiste ki bi želeli da so vsi člani skupščine napadejo s solzivcem in čigav je jani m derndorfer ki pravi da ga zavarovalnice ne morejo kupiti jaz mislim da sta odgovora na to lahko samo dva ali so ga že ali jim pa ga ni treba ker vse skupaj kar je zdajle počel je bil pač en poceni napad pa ne na tiste ki bi jih morali odrezati to so komercialne zdravstvene zavarovalnice jani m derndorfer bi rad uničil zavod za zdravstveno zavarovanje tega vidi kot glavni problem v slovenskem zdravstvu in on je še hujši privatizator kot so nekateri poslanci na desni,2020,01,neutral
hvala predsedujoči saj mogoče je to zadnjič ne vemo kakšna bo situacija ampak poglejte na kpk je zaposlenih oseb povprečna izplačana mesečna bruto plača zaposlenih na kpk je tisoč evrov v letu za plače zaposlenih se tako porabi kar vseh sredstev v letnem poročilu za leto pa piše da si je kpk privoščil nakup novega službenega avtomobila v višini tisoč evrov a je to investicija ki je nujno potrebna za kpk jaz osebno mislim da ne v malo bolj naprednih državah imajo evidence o dohodkih in premoženju posameznikov povezane med seboj in združene na enem mestu pri nas ima primerljivo aplikacijo center za socialno delo za kar jih želim pohvaliti tudi nadzor nad povečanjem dohodkov oziroma premoženja poteka elektronsko avtomatsko vsako bistveno odstopanje v dohodkih in premoženju se preveri popolnoma enostavno pri nas pa vsako leto poročamo s čimer imamo samo delo učinka pa nobenega pri vseh naštetih kar sem danes povedal in kar ste mi odgovorili se sploh sprašujem ali kpk potrebujemo v skladu z drugim odstavkom člena poslovnika državnega zbora predlagam da državni zbor na naslednji seji opravi razpravo o odgovoru predsednika vlade upam da se bomo še kaj videli tukaj notri hvala,2020,01,neutral
