text,leto,mesec,sent
besedo ima predsednik vlade republike slovenije dr miro cerar,2018,01,neutral
poslanec luka mesec imate besedo za postopkovni predlog da državni zbor na naslednji seji opravi razpravo o odgovoru,2018,01,neutral
hvala lepa gospod minister anton peršak izvolite,2018,01,neutral
postopkovno gospa anja bah žibert,2018,01,neutral
spoštovani podpredsednik kolegice in kolegi kar se tiče naravnih nesreč bi jaz naravne nesreče opredelil v kategoriji ene so naravne nesreče na katere ima človek vpliv druga vrsta naravnih nesreč so pa tiste naravne nesreče na katere kot človek ne moremo vplivati lahko vplivamo na naravne nesreče kot so poplave glavnina poplav v republiki sloveniji je posledica slabega gospodarjenja z vodami jaz to zelo dobro poznam stanujem ob reki savinji reka savinja je imela brežine pred leti vzorno urejene obložene s kamenjem s kamnitimi zložbami vzorno zasajenimi drevesi ki so s koreninami držala zgornji del brežine poglejmo si te brežine danes let brez kakršnegakoli vzdrževanja oziroma na določenih odsekih in tako naprej in zelo dobro vem še iz tistih časov kaj je bil rečni nadzornik z usnjeno torbo je hodil dvakrat na leto se je sprehodil po obeh brežinah gor in dol skratka to je naravna nesreča na katero ima človek zelo velik vpliv druga naravna nesreča kjer ima človek zelo velik vpliv je pozeba pozeba se zadnje čase dogaja vsako leto ali je ministrstvo za kmetijstvo naredilo vse je sprejelo določene ukrepe s subvencijami in tako naprej kajti pred pozebo se da zaščititi ali smo naredili na tem segmentu dovolj nismo to se pravi zopet naravna nesreča kjer je možnost da človek to naravno nesrečno omili ali jo reši imamo pa potem drugo kategorijo naravnih nesreč na katere pa res človek nima vpliva ne moremo vplivati na potres ne moremo vplivati na žledolom ki se je zgodil leti nazaj in tudi ne moremo vplivati na vetrolom ki se je zgodil in decembra preteklega leta res je da imamo sprejet zakon o odpravi posledic naravnih nesreč ki je krovni zakon ki naj bi urejal in reševal vso to problematiko ampak v tem krovnem zakonu ni notri navedene dikcije ali gre za vetrolom oziroma posledice izjemnega orkanskega močnega vetra tega v tem krovnem zakonu seveda ni predlog ki smo ga podali v poslanski skupini sds za interventno odpravo posledic vetroloma ki je bil v kar precejšnjem delu slovenije predvsem v zahodnem delu slovenije sam zelo dobro poznam v savinjskem delu zgornja savinjska dolina ljubno solčavsko logarska dolina kjer je bil vetrolom katastrofalne posledice je pustil v tem predelu in tam je količina polomljenega in podrtega drevja enormno velika mislim da je v tem momentu tudi zelo težko realno oceniti za kakšno širino in za kakšen obseg tega polomljenega in prevrnjenega drevja dejansko gre in kdo so tisti ki so najbolj na udaru ki morajo to reševati to so lokalne skupnosti te so prve ki so na udaru ki morajo poskrbeti za svoje prebivalce ki v določenih predelih območjih niti v tistem času in še tudi kar nekaj dni po tem dejansko niso mogli niti priti do svojega doma tudi več dni več tednov je trajalo da se je vzpostavila prevoznost tako lokalnih kategoriziranih cest kot tudi cest državnega regionalnega pomena občine to seveda stane občine to stane najprej ker so občine tiste ki poskrbijo za tisto prvo interventno reševanje posledic vetroloma ki se je zgodil decembra seveda s službami predvsem so tu v prvi meri prostovoljna gasilska društva pri katerih ne gre samo za prostovoljno delo ki ga opravijo tako rekoč brezplačno ampak gre tudi za vse ostale stroške ki so povezani z odpravo te posledice s tem našim predlogom s tem interventnim zakonom želimo opozoriti na ta segment ki je dejansko izključno namenski za odpravo posledic tega vetroloma vemo da so tudi občine deležne ampak tisto je zelo mali delež v skladu z zakonom o financiranju občin kjer skupaj z zavodom za gozdove vsako leto določijo nek prioritetni plan za ureditev infrastrukture v gozdnatih področjih tudi to je možno na tak način občinam pomagati da skupaj z zavodom za gozdove ocenijo škodo na infrastrukturi in da se s tem interventnim zakonom občinam povrnejo stroški ki jih je občina imela pri odpravi posledic tega vetroloma tako da tu je dejansko možnosti več ta interventni zakon opozarja na pomanjkljivosti ki jih ima krovni zakon o odpravi posledic naravnih nesreč in je strogo namenski v tem delu ali se te pomanjkljivosti ki so sedaj predlagane v tem interventnem zakonu vnesejo v krovni zakon seveda tudi to je dobrodošlo da res ne sprejemamo za vsako vrsto naravne nesreče svojega interventnega zakona na to v tem delu opozarjamo da se osnovni interventni zakon dopolni s temi pomanjkljivosti in da se pomaga lokalnim skupnostim in vsem organizacijam ki so imele pri odpravi posledic tega lesoloma velike velike stroške predlagam da se ta interventni zakon sprejme in se na ta način vsaj deloma omili in pomaga tistim ki so imeli s to naravno nesrečo v decembru veliko veliko škodo,2018,01,neutral
hvala za besedo spoštovani vsem prav lep pozdrav v poslanski skupini desus bomo predlog zakona soglasno podprli ta v slovensko zakonodajo prenaša evropsko direktivo o plačilnih storitvah na notranjem trgu za katero velja načelo popolne harmonizacije kar pomeni da države članice ne smejo spreminjati vsebine ki jih direktiva ureja z njim pa bomo nadomestili tudi dosedanji zakon o plačilnih storitvah in sistemih razširjajo se dejavnosti ki štejejo za plačilne storitve med katere sta dodatno vključeni dve novi obliki ki se izvajata preko interneta in sicer storitev odreditve plačilnih storitev in storitev zagotavljanja informacij o računih storitve odreditve plačil omogočajo plačevanje v okviru e trgovine z vzpostavitvijo programske povezave med spletnim mestom trgovca in spletno bančno platformo plačnikovega ponudnika plačilnih storitev ki vodi plačnikov plačni račun poleg tega določa nekatere dodatne informacije ki jih mora zajemati okvirna pogodba o opravljanju plačilnih storitev poleg tega ponudnik plačilnih storitev ne bo smel zaračunavati uporabniku posebnih nadomestil zaradi odpovedi pogodbe če bo uporabnik odpovedal okvirno pogodbo po izteku šestih mesecev od sklenitve pogodbe in ne v dvanajstih mesecih kot do sedaj v primeru uporabnikove odgovornosti za neodobrene plačilne transakcije bo uporabnik kril izgubo zneskov do največ evrov če je bila plačilna transakcija izvedena kot posledica uporabe ukradenega ali izgubljenega plačilnega instrumenta ali zlorabe plačilnega instrumenta do sedaj je veljalo da se krije znesek do evrov odprtje fiduciarnih računov bo dopuščeno le tistim v zvezi s katerimi obstoji nek širši interes ki opravičuje v njihovem imenu odprt fiduciarni račun v poslanski skupini desus to podpiramo saj fiduciarni računi vse prevečkrat popačijo realno sliko o premoženju oseb naj na koncu še poudarim da v poslanski skupini desus podpiramo predlagano prepoved zaračunavanja provizije pri plačilu s kartico pri skorajda vseh transakcijah zaradi vsega naštetega bomo v poslanski skupini desus predlog podprli hvala,2018,01,neutral
hvala lepa za besedo spoštovani predsednik spoštovane kolegice spoštovani kolegi v poslanski skupini desus bomo podprli predlog tega zakona ocenjujemo da ni idealen ni najboljši v tem trenutku ampak računamo da ga bomo v naslednjih fazah nekoliko izboljšali popravili vse pa v interesu upokojenk in upokojencev pričakujemo pa to moram v isti sapi povedati da boste vsi tisti ki boste danes bodisi za bodisi proti temu zakonu podprli tudi predlog našega zakona ki govori o popravi krivic upokojencev in upokojenk ki so se jim zgodile v minulem obdobju zakaj nedopustno je da upokojenci so in še plačujejo najvišjo ceno tranzicije najvišjo ceno finančne in ekonomske krize odrekajo se in pri tem prihajajo na rob svojega eksistenčnega minimuma po in več letih odrekanja prizadevanj za izgradnjo našega sistema se ne sme zgoditi to da se pod vprašaj postavlja njihovo dostojno življenje mi prav tako podpiramo tudi prizadevanja vseh zaposlenih da za pošteno delo dobijo pošteno plačilo le na tak način omogočamo vsem ljudem dostojno življenje dobrih neusklajevanj ki jih želimo v naslednjem triletnem obdobju nekako povrniti upokojencem kar predstavlja nekaj več kot milijonov pač ne sme biti za državo ki zlahka zviša plače direktorjem zlahka zviša plačo za nekaj deset odstotkov predsednici sdh za to državo ne sme biti prevelik zalogaj in da zaključim ker v dvorani vlada precej nemira in predsednik tega ne zna ustrezno sankcionirati četudi pomanjkljiv korak pri tem zakonu pa ga vendarle ocenjujemo kot verjetno korak v pravo smer zato bo v tej fazi deležen podpore desusa verjamem in prepričan sem kot sem že povedal da bo ko pride na dnevni red naš zakon ki smo ga pripravili v poslanski skupini desus in pomeni popravo krivice upokojencev iz preteklosti prav tako deležen široke podpore hvala lepa,2018,01,neutral
gospod podpredsednik hvala lepa za dano besedo spoštovani gospod predsednik ministrski zbor spoštovani kolegice in kolegi vse prav lepo pozdravljam ne bom začel tako kot včasih začnemo kaj nam ta dan prinaša koliko bo izrečenih besed in kakšne koristi bodo imele te besede v prihodnosti zelo zanimiv nastop poslanskega kolega gorenaka res je da je na nek način bilo obračunavanje izza tega pulta verjetno bi to bolj moralo biti z one strani kjer imamo mikrofone oziroma z naših stolov ampak to ni stvar ki se mene posebej tiče poslušal sem pozorno slišal sem precej besed ki so tako ali drugače zvenele takoj na začetku bom napovedal da poslanke in poslanci naše poslanske skupine predloga opozicijske sds da bi predsednika vlade mira cerarja na ustavnem sodišču obtožili kršenja ustave ne bomo podprli sloni namreč na precej trhlih argumentih ki so bolj prepričanja vrha stranke kot pa pravna dejstva tako da o tej ustavni obtožbi ni mogoče povedati kaj veliko pametnega še zlasti zdaj ne ko je upravno sodišče na glavni obravnavi že tako ne ravno prepričljivo trditev poslancev sds da je predsednik vlade zlorabil položaj ko se je zavzel da se zadrži izgon sirskega begunca ahmada shamieha po tem debaklu stranke bi pričakovali da ustavno obtožbo umakne a je kaj takega za poslance sds ki so napovedovali celo vložitev kazenske ovadbe zoper mira cerarja očitno preveč tokrat ni prvič da sds zoper politične nasprotnike vlaga ustavne obtožbe v zgodovini slovenskega državnega zbora je to peta obtožba prav vseh pet so vložili poslanci sds tako so leta tedanjega premierja janeza drnovška obtožili kršitve ustave ker naj bi tri leta prej z izraelom sklenil tajni varnostni sporazum nato so v začetku leta poslanci sds in slovenske ljudske stranke vložili ustavno obtožbo zoper tedanjega predsednika republike danila t rka ker da je kršil ustavo s podelitvijo državnega odlikovanja nekdanjemu šefu službe državne varnosti tomažu ertlu naj spomnim v razpravi se je celo izkazalo da so del dokumentov na katerih je obtožba temeljila ponaredili pred dobrimi štirimi leti pa so poslanci sds napovedali ustavno obtožbo takratne predsednice vlade alenke bratušek da bi izsilili njen odstop zaradi zamude z uvedbo zlatega fiskalnega pravila a do te zadeve ni prišlo ker je pred tem dejansko razpadla koalicija in seveda normalno tudi vlada alenke bratušek naj se vrnem na današnjo temo te izredne seje premier cerar je takoj po objavi takratne ustavne obtožbe zatrdil da ni kršil ustave ali zakona in da je ustavna obtožba povsem neutemeljena ocenil je da gre pri tem za nov politikantski manever stranke sds da bi po desetih neuspešnih interpelacijah zdaj še z ustavno obtožbo diskreditirali in ovirali delo vlade s čimer se ni težko strinjati ustavno obtožbo zoper predsednika vlade predlagatelji utemeljujejo s trditvijo da je kršil kar štiri člene ustave tako naj bi kršil člen ki pravi da je slovenija pravna in socialna država ugledni pravniki so v nasprotju s predlagatelji trdili da se cerar ni v ničemer pregrešil zoper ta člen ustave nekdanji ustavni pravnik matevž krivic je denimo zapisal da ima slovenija v dublinski uredbi pravno podlago za to da lahko sama kadarkoli odloči o ahmadovi prošnji za azil in ga ne vrača nazaj na hrvaško podobnega mnenja je tudi profesor ustavnega prava saša zagorc in kar je bistveno mnenje pravnikov je kasneje potrdilo tudi upravno sodišče ki je ugodilo sirskemu beguncu ahmadu shamiehu in njegov primer vrnilo ministrstvu za notranje zadeve v ponovno odločanje sodišče je med drugim ugotovilo da shamiehova prošnja za azil sploh ni bila zavržena saj notranje ministrstvo ni izdalo takšnega sklepa zato shamieh do pravnomočnega zaključka postopka ostaja v sloveniji ključna pa se zdi presoja sodišča da je notranje ministrstvo zmotno trdilo da uporaba diskrecijske klavzule ni več mogoča ker da so shamiehovi postopki v sloveniji končani sodišče še dodaja da je na podlagi evropske sodne prakse uporaba diskrecijske klavzule torej prevzem prošnje za azil mogoča še vse do trenutka ko je prosilec predan drugi državi sodišče je notranjemu ministrstvu še naložilo da mora upoštevati shamiehove navedbe o povezanosti s slovenijo o udejstvovanju v slovenskem socialnem kulturnem življenju in pri delu sodba upravnega sodišča sicer še ni pravnomočna kajti notranje ministrstvo se še vedno lahko pritoži na višje sodišče kar je tudi praksa ko gre za sodne odločbe ki so zanj neugodne odločitev torej prepustimo sodni veji oblasti ostali trije členi ustave ki naj bi jih kršil predsednik vlade dr miro cerar so povezani s trditvijo predlagateljev da je predsednik kršil omenjeni drugi člen sedaj je jasno da ga ni zato je sklicevanje na in člen brezpredmetno prvi govori o tem da morajo biti naši predpisi usklajeni s splošno veljavnimi načeli mednarodnega prava in mednarodnimi pogodbami drugi govori o organizaciji in delu uprave pa da morajo biti predpisi usklajeni z ustavo pri celi zadevi se je res težko otresti vtisa da gre za uvodno dejanje predvolilne kampanje omenjene stranke ki bo očitno temeljila na spodbujanju strahu in mržnje zoper begunce ki bežijo z območja kjer že leta divja vojna in nasilje kampanje torej v kateri bodo dovoljena vsa sredstva tako tudi ustavna obtožba ki čeprav je v ustavi zamišljena kot demokratično sredstvo zoper morebitne kršitve ustave in zakonov ali celo kriminal najvišjih državnih funkcionarjev žal postaja del predvolilne kampanje naj omenim da je ta poskus naletel na negativne odmeve tudi v javnosti tako je na primer v delovi raziskavi kar več kot vprašanih menilo da je ta ustavna obtožba že del predvolilnega boja in strategije največje opozicijske stranke glede na povedano v naši poslanski skupini desus takšnega predloga ne bomo podprli,2018,01,neutral
predsednik vlade republike slovenije dr miro cerar imate besedo za odgovor,2018,01,neutral
spoštovani vsi ki spremljate to sejo pred nami je predlog ureditve kobilarne lipica zakaj je pomembno gre za blagovno znamko prepoznavnost slovenije in pa promocijo slovenije v svetu kaj so problemi ki jih moramo rešiti gre za medresorsko sodelovanje ministrstvo za kulturo ministrstvo za gospodarstvo ministrstvo za kmetijstvo in prav tukaj je šibka točka šibka točka te vlade je nesodelovanje ministrstev in zato številni problemi vidimo v preteklih dneh na primer kaj se dogaja z kitajsko drug problem da je lipica to prizna tudi vlada bila bolje upravljana v prejšnjem sistemu in da v letih ko smo se pogovarjali o tem problemu nismo prišli do prave rešitve seveda so se od osamosvojitve slovenije zgodile številne spremembe predvsem turizem je tista dejavnost ki pomeni prihodnost slovenije prihodnost strateških poti strateška lega in pa turizem vezan na vse druge dejavnosti lipica ima prednosti golf bližino morja in vse ostalo to je treba izkoristi kje so rešitve v enovitem upravljanju in v tem da se uredi konjerejo in da uredimo odnose tako z avstrijo hrvaško kjer imajo podobne probleme kaj je s predlogom nekateri ocenjujejo da je predlog dober iz tega vidika da slabše ne more biti to ni odgovor ne moremo imeti sistem poskusov in zmot in se na tem učiti potreben je strateški pristop sam naziv holding ima negativno konotacijo izkušnje te vlade pri upravljanju državnega premoženja sdh dutb in še nekateri holdingi kakšno je kadrovanje kakšen je nadzor finančnih tokov in tukaj imamo slabe izkušnje kaj bo z odvisnimi družbami nejasno je kaj se bo dogajalo tudi z odvisnimi družbami kdo bodo ljudje ki bodo upravljali kakšno bo kadrovanje ali gre le za kadrovanje ljudi pred iztekom mandata jaz mislim da predlog ni dodelan v tej meri da bi bil primeren za odločanje kdo bo vodil določene ljudi katere ljudi se bo imenovalo kako se jih bo imenovalo in kdo bo imenovan ter kako bo nadzorovan tok denarja vidimo da je treba vložiti deset milijonov ne vemo pa točno v kaj se bo to vložilo glede na slabe izkušnje z upravljanjem državnega premoženja menim da je predlog preuranjen in nedodelan in zato ga v poslanski skupini nepovezanih poslancev ne bomo podprli hvala,2018,01,neutral
