text,leto,mesec,sent
lepa hvala bom uporabil ta instrument ampak v resnici zato da nadaljujem s polemiko ker smo šele na čisto koncu prišli do srčike problema in sicer da so zapleti v zvezi s prehodom iz predbolonjskih študijskih programov v bolonjske v zadnji instanci oziroma najbolj operativni instanci stvar visokošolskih zavodov in domena visokošolskih zavodov in da se pač tudi tam lahko rešujejo tudi sami gospa ministrica ste navedli par takih možnosti kar bi preprosto rad je da te visokošolske zavode vzamete malo v roke zaradi tega ker še enkrat vemo kako se fakultetna birokracija obrača vemo da so posredi tudi kakšni profitni motivi pa kakšno mandarinsko kupčkanje študenti levo desno to je pač fakultetni in univerzitetni business as usual če hočete ni pa prav da nastradajo v tem procesu študenti ki so pa res najmanj krivi za to da se jim zdaj dogodi takšna krivica sploh tisti ki so svoj študij vendarle pripeljali do konca ali pa skoraj do konca pa jih je zdaj faks štrofnil s tem da bojo morali najprej zmazek od diplomske naloge narediti preden sploh lahko pridejo na drugo bolonjsko stopnjo in da potem lahko tam sploh magistrirajo in vmes še en kup nekih diferencialnih izpitov to ni prav oprostite to ni prav hvala,2017,01,neutral
to je svoboda govora podpredsednik to je svoboda govora,2017,01,neutral
zato ker vključujete v razpravo tisto kar ni predmet današnje razprave,2017,01,neutral
hvala lepa besedo ima gospod jožef horvat pripravi naj se gospa irena grošelj košnik izvolite gospod horvat,2017,01,neutral
nisem videl,2017,01,negative
hvala lepa imamo en popravek besedo ima gospod franc laj izvolite,2017,01,neutral
opozarjam vse in tudi vas da se ne žalimo ampak zdaj pa tudi resno mislim zdaj pa je res dosti ali lahko končamo zdaj s to točko in gremo na naslednjo zaključujem splošno razpravo o predlogu priporočila o predlogu sklepa da predlog priporočila ni primeren za nadaljnjo obravnavo bomo v skladu s časovnim potekom seje državnega zbora odločali danes v okviru glasovanj pol ure po prekinjeni točki dnevnega reda s tem prekinjam to točko dnevnega reda prehajamo na točko dnevnega reda to je na obravnavo vmesnega poročila o kakovosti kurilni vrednosti zalogah in odkupni ceni premoga pri investiciji v blok teš vmesno poročilo je v obravnavo državnemu zboru predložila preiskovalna komisija za ugotavljanje politične odgovornosti nosilcev javnih funkcij pri investiciji v blok termoelektrarne šoštanj sestavni del vmesnega poročila je tudi dodatno vmesno poročilo o kakovosti kurilni vrednosti zalogah in odkupni ceni premoga pri investiciji v blok teš ki je označeno s stopnjo poslovna skrivnost varstvo osebnih podatkov in je zato širši javnosti nedostopno ker dodatno vmesno poročilo vsebuje le povzetek dela zaslišanja ene od prič je bilo na seji kolegija predsednika državnega zbora dogovorjeno da državni zbor vmesno poročilo obravnava v celoti na seji odprti za javnost če bi kdo želel razpravljati o dodatnem vmesnem poročilu prosim da me o tem predhodno obvesti v tem primeru bomo skladno z določbo drugega odstavka člena poslovnika državnega zbora točko in sejo prekinili vendar po tem ko bodo dobili besedo vsi naprej prijavljeni razpravljavci sejo bomo nato nadaljevali na zaprtem delu na katerem bo razprava mogoča v okviru preostanka časa vseh udeležencev seje ob zaprtju seje bodo izvedeni vsi ukrepi primerljivi ukrepom ob obravnavi gradiv označenih s stopnjo tajnosti interno vse razpravljavce prosim da na javnem delu razprave ne navajate podatkov iz dodatnega vmesnega poročila ki je javnosti nedostopno prehajamo na razpravo o vmesnem poročilu ter o bistvenih ugotovitvah preiskovalne komisije za dopolnilno obrazložitev dajem besedo predstavniku predlagatelja predsedniku preiskovalne komisije gospodu matjažu hanžku,2017,01,neutral
besedo ima gospod saša tabaković pripravita naj se mag branislav rajić in gospod jani m derndorfer,2017,01,neutral
besedo ima predstavnica predlagatelja gospa jelka godec,2017,01,neutral
res je kolega iz stranke modernega centra me je namreč izzval nekoliko cinično ali se pogovarjamo o beguncih ali se pogovarjamo o migrantih bolj kot vse ostalo se pogovarjamo o ljudeh v stiski ki potrebujejo našo pomoč po to pomoč so se odpravili po več tisoč kilometrov dolgi poti mnogo od teh ljudi je vmes izgubilo življenje na pot so jih pognale bombe zahodnih držav naših zaveznic tudi z našim privoljenjem in sodelovanjem oziroma jih je na pot pognalo izčrpavanje njihovih domovin ki ga izvajajo zahodne multinacionalke in omogoča politika zahodnih vlad ti ljudje lahko bežijo pred vojnim uničenjem svojih domovin lahko bežijo pred gospodarskim uničenjem svojih domovin predvsem pa bežijo pred uničenjem hvala,2017,01,negative
obrazložitev glasu v lastnem imenu ima miha kordiš,2017,01,neutral
hvala lepa gospod franc laj bo predstavil stališče poslanske skupine nepovezanih poslancev izvolite,2017,01,neutral
hvala lepa dr vinko gorenak bo predstavil stališče poslanske skupine slovenske demokratske stranke izvolite,2017,01,neutral
