text,leto,mesec,rojstvo,stranka,spol,sent
"spoštovane kolegice poslanke, spoštovani kolegi poslanci, gospe in gospodje! začenjam . sejo državnega zbora, ki je bila sklicana na podlagi prvega odstavka . člena poslovnika državnega zbora. obveščen sem, da se današnje seje ne morejo udeležiti naslednje poslanke in poslanci jurij lep, gregor perič do . ure, predrag baković do . ure, mag. andrej šircelj, suzana lep šimenko, tadeja šuštar in tudi sam bom odsoten med . in . . na sejo sem vabil predsednika vlade, ministrice in ministre ter generalnega sekretarja vlade k . točki dnevnega reda, gospo majdo marolt in gospoda sebastjana zupanca, predstavnika tisoč volivk in volivcev k . točki dnevnega reda, predstavnika državnega sveta k . točki dnevnega reda, predstavnika sodnega sveta k . točki dnevnega reda ter predstavnike vlade k vsem točkam dnevnega reda. vse prisotne še enkrat lepo pozdravljam! spoštovane in spoštovani! dovolite mi, da ob mednarodnem dnevu spomina na žrtve holokavsta pred nadaljevanjem seje spregovorim nekaj besed. spoštovane državljanke, spoštovani državljani, drage poslanke, dragi poslanci, predstavniki vlade, gospe in gospodje! na današnji dan, . januarja, je svet združen v obeleževanju spomina na žrtve holokavsta. ta dan nosi letos posebno težo, saj obeležujemo . obletnico osvoboditve koncentracijskega taborišča auschwitz birkenau. malo je krajev na svetu, ki tako globoko pretresajo posameznikovo vest in te prisilijo razumeti, kakšnih nesmiselnih grozot je zmožno človeštvo. več kot milijon ljudi je tam umrlo, preden je v taborišče vkorakala sovjetska zavezniška vojska. skupaj je v holokavstu izginilo kar nepojmljivih milijonov življenjskih usod. sin ali hči nekomu, sestra, žena, drugemu oče ali mož, pravzaprav ne bomo nikoli niti vedeli, na koga vse je padla temna senca grozot holokavsta. koliko ljudi je bilo prizadetih zaradi smrti svojih staršev, starih staršev, celotne družine ali skupnosti. temni madeži so razprostranjeni po celotnem zemljevidu evrope. ne smemo jih brisati stran zaradi lastnega sramu ali, še huje, zaradi rehabilitacije, spreminjanja preteklosti ali pisanja alternativne zgodovine. ostati morajo vidni, kakor so vidne temne številke na koži preživelih, ki so se vrnili iz koncentracijskih taborišč, vtisnjeni v našo identiteto in kolektivni spomin, da opominjajo, da učijo o krhkosti in spremenljivosti miru. besedi nikoli več izrekamo vsako leto na današnji dan. izrečemo ju z upanjem, da se dogodki najbolj temačnega obdobja evropske zgodovine ne ponovijo. a z zaskrbljenostjo opažam, kako ponovno narašča surovost tega sveta. kot mednarodna skupnost, žal, še vedno nismo zmožni preprečiti številnih grozot in množičnih zločinov, ki se prav danes dogajajo po vsem svetu. v našem vsakdanu se ponovno krepijo ideje, srhljivo podobne tistim, ki so se nekoč že razpasle po evropi in prežijo na nove žrtve. netenje strahu pred drugačnostjo, spodkopavanje človekovih pravic in temeljnih svoboščin, sovražni govor, netoleranca, rasizem in največji porast antisemitizma po drugi svetovni vojni. zgodilo se je, torej se lahko zgodi spet, so bile besede enega od preživelih taboriščnikov. minevanje časa ima svoj davek in kmalu med nami ne bo več teh živih pričevalcev spomina na skoraj let oddaljeni čas. zato moramo mi, katerih besede sežejo v javni prostor, stopiti iz svoje prepogoste ravnodušnosti in nemega opazovanja ter spomine preteklosti povezati z dogodki današnjih dni. spoštovane in spoštovani, prosim vas, da izrazimo naše spoštovanje in hvaležnost ter se spominu žrtvam holokavsta ter posameznicam in posameznikom, ki so prispevali k osvoboditvi, poklonimo z minuto molka. molk hvala. spoštovane poslanke, spoštovani poslanci, prehajamo na določitev dnevnega reda . redne seje državnega zbora. predlog dnevnega reda ste prejeli v petek, . januarja , s sklicem seje. o predlogu dnevnega reda bomo odločali v skladu s prvim odstavkom . člena poslovnika državnega zbora. predlogov za umik posamezne točke z dnevnega reda oziroma predlogov za širitev dnevnega reda seje nisem prejel. zboru predlagam, da za današnjo sejo določi dnevni red, kot ste ga prejeli s sklicem. ker prehajamo na odločanje, vas prosim, da preverite delovanje glasovalnih naprav. hvala. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti nihče. za je glasovalo . proti nihče. ugotavljam, da je dnevni red . redne seje določen. s tem prehajamo na . točko dnevnega reda vprašanja poslank in poslancev. v zvezi s to točko dnevnega reda, sem v poslovniškem roku prejel pisne prijave poslanskih vprašanj. vrstni red postavljanja poslanskih vprašanj je določen v skladu z . členom, drugim odstavkom . člena in . členom poslovnika državnega zbora. na prva tri vprašanja poslanke in poslancev opozicije ter na vprašanja poslancev vladajoče koalicije bo odgovoril predsednik vlade. vsak poslanec oziroma poslanka ima za postavitev vprašanja na voljo minute. predsednik vlade, ministrice in ministri odgovorijo na vprašanje v največ minutah. če je vprašanje postavljeno več ministrom, imajo vsi skupaj na voljo minut za odgovor. poslanec, ki ne bo zadovoljen z odgovorom, lahko zahteva dopolnitev odgovora, ne more pa postaviti dodatnega vprašanja. poslanke in poslance prosim, da ste na to pozorni. obrazložitev zahteve za dopolnitev odgovora poslanec predstavi v dveh minutah, dopolnitev odgovora pa sme trajati največ minute. poslanec, ki je postavil vprašanje, lahko zahteva, da se na naslednji seji opravi razprava o odgovoru predsednika vlade, ministrice ali ministra. o tem odloči državni zbor brez razprave in obrazložitve glasu. ob tem vas še posebej poudarjam, da je treba takšen predlog izrecno podati in se pri tem osredotočiti le na njegovo obrazložitev, ne pa postopkovnega predloga uporabiti za vsebinsko razpravo v zvezi s postavljenim vprašanjem. v primeru, da poslanec na postavljeno vprašanje danes ne bo dobil odgovora, mu morajo predsednik vlade, ministrica ali minister v dneh predložiti pisni odgovor. poslanec, ki je postavil vprašanje, na katerega ni bilo odgovorjeno, lahko izjavi, da vztraja pri ustnem odgovoru. v tem primeru bom vprašanje uvrstil na naslednjo redno sejo državnega zbora. v zvezi s to točko sta se za danes opravičila minister za obrambo karl erjavec in od . ure dalje ministrica za delo, družino, socialne zadeve in enake možnosti ter minister za finance dr. andrej bertoncelj. na e klopi je objavljen pregled poslanskih vprašanj, na katera v poslovniškem roku ni bilo odgovorjeno. prehajamo na predstavitev poslanskih vprašanj. na prva štiri vprašanja bo odgovarjal predsednik vlade gospod marjan šarec. poslansko vprašanje mu bo prvi postavil gospod luka mesec. izvolite, gospod poslanec.",2020,01,1967,SD,M,neutral
"hvala za besedo in lep pozdrav. gospod premier, v demokracijah naj bi vlade bile izvoljene od ljudi, delovale v imenu ljudi in za ljudi. prebivalke in prebivalci slovenije upravičeno pričakujejo, da bo vsakokratna vlada razreševala ključne probleme, s katerimi se ta država sooča, od poprave pokojnin, ureditve dolgotrajne oskrbe, izgradnje deset tisoč javnih najemnih stanovanj, modernizacije železnic, priprave na razvojni in zeleni preboj. vse te politike je ta vlada obljubila v svoji koalicijski pogodbi. kot se je že pokazalo pri izvajanju sporazuma z levico lani, se je zataknilo že pri najbolj enostavnih. zato, gospod premier, dovolite mi, da najprej izrazim razumevanje za vaš današnji odstop, razumemo, da ste spoznali, da z obstoječo konstelacijo teh politik ne morete izvesti, in ocenjujemo, da je prav, da ste dali možnost, da se na predčasnih oblikuje vlada, ki bo te stvari sposobna izpeljati. stvar, o kateri sem vas hotel danes vprašati, je nepremičninski davek, ki bi ga prav tako uvrstil v enega od ključnih razvojnih izzivov slovenije. vlade ga obljubljajo že več kot desetletje, tudi ta ga je, a vi ste sami v jeseni dejali že v naprej, da ga ta vlada ni sposobna izpeljati. zato sem vas danes želel vprašati, zakaj ne, če imamo pred seboj še več kot dve leti mandata, a glede na vaš odstop, je to vprašanje brezpredmetno. bi vas pa vprašal nekaj drugega ali ste pripravljeni tak davek izpeljati v naslednjem mandatu po volitvah? v levici smo namreč prepričani, da ga potrebujemo, in to iz dveh razlogov. prvi razlog je koncentracija premoženja. v slovenji je nepremičnega premoženja za milijard evrov, obdavčeno je praktično nično, dve desetinki odstotka se vsako leto zbere od tega v proračun, premoženje pa se koncentrira. najbogatejših si lasti skoraj polovico tega premoženja, zgornja desetinka najbogatejšega odstotka pa si lasti milijard evrov, v povprečju ima vsak od njih skoraj stanovanj v skupni vrednosti dveh milijonov in pol in so obdavčeni praktično po ničelni stopnji. drugi razlog, zakaj ta davek potrebujemo, pa je, da so vse zadeve, ki sem jih prej našteval, od pokojnin, zdravstva, železnic, razvoja povezane s tem, da ni denarja. če bi zbrali samo eno odstotek davka od davkov na premoženje, bi v proračun vsako leto dobili , milijarde evrov oziroma vsako leto za en drugi tir. zato me zanima, gospod premier, kako gledate na to vprašanje.",2020,01,1987,Levica,M,neutral
"hvala, gospod poslanec. gospod predsednik vlade, izvolite.",2020,01,1967,SD,M,neutral
"hvala za vprašanje. strinjam se z vami, da je govora o tem davku že precej dolgo, tako kot še o kakšni drugi stvari. davek na nepremičnine je zagotovo pereča točka. ko se bo pripravljal ta zakon, bomo zagotovo deležni, katera koli vlada že bo, pritiskov lobistov takšnih in drugačnih. tak davek lahko izpelje samo močna vlada, to je res, ob predpostavki, da so evidence takšne, kot morajo biti, da so vsi predpogoji izpolnjeni. je pa še nekaj v sloveniji značilno, da so ljudje v času socializma veliko sami gradili, zato v časih težko razumejo, da bodo zdaj morali plačati. ampak se strinjam z vami, da ta davek na nepremičnine v prihodnosti, če se bomo želeli posloviti od sedanjega nadomestila za uporabo stavbnih zemljišč, bo treba izvesti. ampak, kot se rekel, to lahko naredi samo močna večinska vlada. hvala.",2020,01,1977,,M,neutral
"hvala, gospod predsednik. gospod poslanec, izvolite.",2020,01,1967,SD,M,neutral
"hvala. eno stvar bi želel razglasiti. se strijam z vami, ljudje so sami gradili v sloveniji in še vedno sami gradijo in mi smo absolutno proti, da se obdavči te ljudi. zavzemamo se za tak davek, kot smo ga konec koncev zapisali pred dobrim letom in pol v koalicijsko pogodbo, torej pravičen davek na nepremičnine, po katerem bi bili bolj obremenjeni tisti z več in večjimi nepremičninami. poudarek je na tistih z več, ker tisti, ki imajo več nepremičnin, jih po navadi tudi oddajo, se pravi, jih ne uporabljajo kot stanovanje, ampak jih uporabljajo za plemenitenje svojega premoženja. v tem smislu bi bil davek uperjen predvsem proti koncentraciji bogastva. ni pravično, da nekdo, ki si lasti majhno stanovanje ali pa hišo na podeželju, je obdavčen po enaki stopnji kot nekdo v tisti zgornji desetinski odstotka najbogatejših, ki ima, kot sem prej povedal, v povprečju dva milijona in pol kar šest stanovanj, od katerih jih verjetno večino oddaja in od tega dodatno služi. ni pravično, da so obdavčeni po enakih gabaritih. davek mora biti takšen, da bodo prispevali tisti, ki imajo več, bistveno več, da bo premoženje pravičnejše razdeljeno. po drugi strani bi s takim davkom, če samo na leto zberemo, pa poudarjam, tukaj se uvrščamo na rep evrope, bi dobili milijardo milijonov evrov vsako leto, s čimer bi lahko financirali vse te dejavnosti, ki zdaj vsako leto izpadejo iz proračuna, od pokojnin, železnic stanovanj, dolgotrajne oskrbe in tako naprej. hvala.",2020,01,1987,Levica,M,neutral
"hvala. želite, predsednik vlade, odgovoriti? izvolite.",2020,01,1967,SD,M,neutral
"ja, ko se bo to pripravljalo, bo treba razmisliti o pravičnosti. to ste prav ugotovili. zato pa pravim, da je to vprašanje, ki bo terjalo usmerjenost v eno smer in enotnost, da se bo to lahko izvedlo. ker potem se bo pojavilo vprašanje izjem in drugih stvari, tako da bo to kar velik zalogaj.",2020,01,1977,,M,neutral
"hvala. gospod poslanec, imate možnost za postopkovni predlog. izvolite.",2020,01,1967,SD,M,neutral
"hvala. ne glede na to, da sem premierju postavljal vprašanje, ki je na nek način že uperjeno v prihodnji mandat, mislim, da je dobro, da se še znotraj tega mandata o vprašanju davka na nepremičnine in na sploh davkov na premoženje pogovorimo. kot sem rekel, vlade že več kot deset let te davke pripravljajo, podlage zanje so urejene, od zakona o množičnem vrednotenju nepremičnin, opravljeni so bili strokovni posveti, stroka se načeloma z njimi strinja. k njemu nas pozivajo tudi mednarodne inštitucije, kot sta amf in oecd. po vseh mednarodnih kazalcih se po davkih na premoženje uvrščamo na rep evrope, kar ima dve posledici. prvo je, da se premoženje v sloveniji koncentrira, kljub temu da je neenakost, če jo merimo po neenakosti po dohodkih, majhna, je neenakost po premoženju velika. kot sem prej povedal, zgornjih si lasti skoraj premoženja, zgornja desetinka najbogatejšega odstotka kar milijard evrov premoženja. ker so ti ljudje nezadostno obdavčeni, nam zmanjkuje denarja za ključne razvojne projekte, od poprave pokojnin, modernizacije železnic, dolgotrajne oskrbe, priprave na razvojni in zeleni preboj. da bi lahko vse te projekte uresničili, se moramo pogovoriti o uvedbi pravičnih davkov na nepremičnine, pravičnih davkov na premoženje, ki bodo bolj obremenili tiste, ki imajo več, tako kot je bilo to zapisano tudi v obstoječi koalicijski pogodbi in lahko bi državni zbor postavil jasne smernice naslednji vladi, da to razvojno prioriteto tudi izvede. zato vas prosim, da uvrstite to vprašanje na dnevni red državnega zbora.",2020,01,1987,Levica,M,neutral
