text,leto,mesec,rojstvo,stranka,spol,sent
"spoštovane kolegice poslanke, spoštovani kolegi poslanci, gospe in gospodje! začenjam . sejo državnega zbora, ki je bila sklicana na podlagi prvega odstavka . člena poslovnika državnega zbora. obveščen sem, da se današnje seje ne moreta udeležiti poslanca gospod vojko starović in poslanka gospa monika gregorčič od . ure dalje. na sejo sem vabil predsednika vlade, ministrice in ministre, ki opravljajo tekoče posle ter generalnega sekretarja vlade k . točki dnevnega reda, predsednika vlade gospoda marjana šarca, ki opravlja tekoče posle, k . točki dnevnega reda. kandidata za predsednika vlade gospoda janeza ivana janšo k .a točki dnevnega reda, varuha človekovih pravic gospoda petra svetino, kandidatko za namestnico varuha gospo marjetko cotman ter kandidata za namestnika varuha dr. jožeta ruparčiča k . točki dnevnega reda, predstavnika delovnega in socialnega sodišča v ljubljani in predstavnika sodnega sveta k . točki dnevnega reda ter predstavnike vlade k vsem točkam dnevnega reda. še enkrat vse prisotne prijazno pozdravljam! s tem, spoštovane poslanke in poslanci, prehajamo na določitev dnevnega reda . redne seje državnega zbora. predlog dnevnega reda ste prejeli v petek, . februarja , s sklicem seje. o predlogu dnevnega reda bomo odločali v skladu z drugim odstavkom . člena poslovnika državnega zbora. predlogov za umik točke z dnevnega reda seje nisem prejel. prehajamo na obravnavo in odločanje o predlogu za širitev dnevnega reda seje. državnemu zboru predlagam, da dnevni red . seje razširi z .a točko, to je s predlogom za izvolitev predsednika vlade republike slovenije. predlog za širitev ste prejeli v četrtek, . februarja . ali želi besedo kdo od predstavnikov poslanskih skupin? ugotavljam, da ne. prehajamo na odločanje. spoštovane poslanke in poslanci, prosim, preverite delovanje glasovalnih naprav. odločamo o predlogu za širitev dnevnega reda. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da je predlog za širitev sprejet. v skladu s časovnim potekom seje bo zbor to točko obravnaval jutri, . marca . sedaj prehajamo na glasovanje o določitvi dnevnega reda v celi. zboru predlagam, da za današnjo sejo določi dnevni red, kot ste ga sprejeli s sklicem in s sprejeto dopolnitvijo. glasujemo. navzočih je poslank in poslancev, za je glasovalo , proti . za je glasovalo . proti . ugotavljam, da je dnevni red . seje zbora določen. prehajamo, spoštovane poslanke in poslanci, na . točko dnevnega reda, to je na vprašanja poslank in poslancev. v zvezi s to točko dnevnega reda sem v poslovniškem roku prejel v pisni prijavi poslanskih vprašanj. vrstni red postavljanja poslanskih vprašanj je določen v skladu z . členom, drugim odstavkom . člena in . členom poslovnika državnega zbora. na prvi dve vprašanji poslank in poslancev opozicije bo odgovoril predsednik vlade, ki opravlja tekoče posle. vsak poslanec oziroma poslanka ima za postavitev vprašanja minut. predsednik vlade, ministrica in ministri, ki opravljajo tekoče posle, odgovorijo na vprašanje v največ minutah. če je vprašanje postavljeno več ministrom, ki opravljajo tekoče posle, imajo vsi skupaj minut za odgovor. poslanec, ki ne bo zadovoljen z odgovorom, lahko zahteva dopolnitev odgovora, ne more pa postaviti dodatnega vprašanja. poslanke in poslance prosim, da ste na to pozorni. obrazložitev zahteve za dopolnitev odgovora poslanec predstavi v minutah, dopolnitev odgovora pa sme trajati največ minute. v zvezi s to točko sta se za danes opravičila gospod karl erjavec, minister za obrambo, ki opravlja tekoče posle, in mag. ksenija klampfer, ministrica za delo, družino, socialne zadeve in enake možnosti, ki opravlja tekoče posle. na elektronski klopi je objavljen pregled poslanskih vprašanj, na katera v poslovniškem roku ni bilo odgovorjeno. s tem prehajamo na predstavitev poslanskih vprašanj. na prvi dve vprašanji bo odgovarjal gospod marjan šarec, predsednik vlade, ki opravlja tekoče posle. poslanski vprašanji mu bo kot prva postavila gospa iva dimic. gospa poslanka, izvolite.",2020,03,1967,SD,M,neutral
"hvala lepa. spoštovani predsednik vlade, ki opravljate tekoče posle. resnosti epidemije koronavirusa smo se v sloveniji zares zavedali šele, ko je ta bil že neposredno blizu nas, ko je zahtevala in terjala prve žrtve v sosednji republiki italiji. slovenija, lahko rečem, je bila s strahu. v sloveniji so nastajali dvomi, ki pa jih kot predsednik vlade niste pravočasno zajezili. kot predsednik vlade ste in imate možnost, da lahko takoj urgirate in zadeve postavite na pravo mesto, da naročite ali naložite vseh službam v republiki sloveniji, da korektno, če ne drugega, vsaj poročajo o nastalih razmerah. glede na napisano v preteklih dneh, smo v sloveniji res imeli že več kot oseb, ki so bile testirane. pa vendarle se pri ljudeh postavlja dvom, če je tako neposredno v sami gorici prišlo do primera okužbe, ljudje sprašujejo, kaj se dogaja v sloveniji, da teh okužb še ni nemir v dvorani oziroma, hvala bogu, da jih ni. spoštovani predsednik vlade, ki opravljate tekoče posle, zanima me kdo odloča, kateri ljudje se bodo v republiki sloveniji testirali? katere ukrepe je vlada že in katere namerava nemir v dvorani",2020,03,1972,NSi,F,neutral
"spoštovane poslanke, spoštovani poslanci, spoštovani predstavniki vlade, prosim, da ne motite gospe poslanke, ko postavlja vprašanje. izvolite, gospa poslanka.",2020,03,1967,SD,M,neutral
"katere ukrepe je vlada že in katere namerava sprejeti za boj proti morebitni epidemiji novega koronavirusa? kakšni so bili sklepi iz sveta za nacionalno varnost, na katero minister za zdravje gospod šabeder ni bil povabljen? kakšni bodo kratkoročni ukrepi za zajezitev primera okužbe? še enkrat poudarjam, zdravniška zbornica je opozorila, da niso bili sprejeti pravi ukrepi, kar se tiče opremljanja, seznanjanja vseh javnih zavodov.",2020,03,1972,NSi,F,neutral
"hvala, gospa poslanka. gospod predsednik vlade, izvolite.",2020,03,1967,SD,M,neutral
"hvala za vaše vprašanje. pravzaprav ste se tako izrazili v vprašanju, kot da vam je žal, da še ni nobenega okuženega. tako na nek način, kaj se dogaja pri nas, da še nikogar ni. ampak dobro, ne bom se sedaj ukvarjal s tem. tudi pravzaprav s tem vašim vprašanjem, ki je zelo tako obarvano, nekako skorajda, lahko rečem, brcate v truplo, ker mi bomo kmalu odšli. pa vendarle vam bom odgovoril, da to, kar navajate, da vlada ni nič reagirala, seveda ne drži. ugotovili ste sami, da je bil sklican sekretariat sveta za nacionalno varnost, ki je to zadevo obravnaval. tam so vsi pristojni v tem svetu, ki karkoli pomenijo v sistemu zaščite in reševanja in pa varovanja zdravja. moram poudariti, da je ministrstvo za zdravje tisto, ki ima vsa pooblastila in je tudi po zakonu dolžno koordinirati celotno zadevo. ve se, da če se razmere poslabšajo, kot ste ugotovili, zaenkrat okužbe še ni, ko bo prišlo do prve okužbe, sledi potem karantena za tiste, ki bodo okuženi, če bodo to zdravniki odredili. potem naprej, če pride do širših razsežnosti, se pa vključi tudi civilna zaščita, vključi se tudi lahko vojaška saniteta in tako naprej. skratka, obstaja načrt, kako ravnati ob takšnih pojavih. potem minister šabeder je bil, to smo tudi že povedali, na sestanku z ministri sosednjih držav, in sicer sklepi tega sestanka so bili sprejeti naslednji, da naj meje ostanejo odprte, dokler se države skupaj ne odločijo drugače. države bodo delile in poenotile informacije za potnike, ki potujejo na okužena območja in se z njih vračajo, medsebojno si bodo izmenjevale klinične in epidemiološke podatke, poenotile bodo informacije za strokovno in širšo javnost, vključno z informacijami na mejah. potekale bodo redne videokonference na strokovni in ministrski ravni. glede odpovedi množičnih dogodkov naj se odloča od primera do primera in naj bodo sprejeti ustrezni ukrepi. to so sklepi sestanka sosednjih ministrov. to je bilo prejšnji teden. zaenkrat ti sklepi še veljajo. koordinacijska skupina za obvladovanje nalezljivih bolezni v zdravstvu, ki je bila aktivirana . . , se redno sestaja. za obravnavo pacientov s sumom na okužbo je določila tudi vstopne točke, kjer bodo državljani z utemeljenim sumom tudi ustrezno obravnavani. potem je bil . . na ministrstvu za zdravje sestanek z bolnišnicami, kjer je bilo ugotovljeno, da so bolnišnice na sprejem prvih okuženih bolnikov s koronavirusom relativno dobro pripravljene. to je bila ugotovitev na tem sestanku. in seveda celotna komunikacija bo potekala tudi preko krizne skupine na ministrstvu za zdravje, ki pa je bila dvignjena na raven državnih sekretarjev in se bo komunikacija izvajala preko dogovorjenih komunikacijskih poti. kar se tiče obveščanja javnosti, vemo, da se vsak dan večkrat na dan obvešča, ali je že v sloveniji prisotna okužba ali je še ni. in to nameravamo seveda delati tudi v prihodnje oziroma dokler pač bo ta vlada v funkciji. zaradi dobave zaščitne opreme so se tudi sprostile blagovne rezerve. iz državnih blagovnih rezerv se je sprostilo tisoč zaščitnih mask, tisoč kombinezonov, tisoč rokavic in praški za razkuževanje, v skupni vrednosti tisoč evrov. tako da nikakor ne morete reči, da se nič ne dogaja na tem področju.",2020,03,1977,,M,neutral
"hvala, gospod predsednik. gospa poslanka, želite dopolnitev odgovora? izvolite.",2020,03,1967,SD,M,neutral
"prosim, ja. spoštovani predsednik, jaz sem tudi želela odgovor, kdo odloča, katere ljudi se bo testiralo. navedli ste sicer vse inštitute, kako so vpeti v to, pa vendarle. bom povedala na čisto navadnem primeru. družina iz logatca je bila na dopustu v italiji, kjer je prišlo do množične okužbe s koronavirusom in smrtnih žrtev. ko je ta družina poklicala, da ima šoloobvezne otroke, da bi se želeli testirati, preden grejo otroci v šolo, ker je v tej šoli otrok, so jim odgovorili, da naj ne hodijo zato, ker dokler ne kašljajo, naj ne hodijo na teste. mislim, da je to skrajno neodgovorno. vsak posameznik želi vedeti in se družbeno odgovorno obnašat tudi v primeru take epidemije, ki dejansko je epidemija. in mislim, da bi bilo potrebno razmisliti, kdo bo odločal, da bodo ljudje, ki so bili na teh področjih, prišli ustrezno do zdravniške oskrbe oziroma do možnosti, da se bodo lahko testirali. dr. miroslav petrovec, ki je na inštitutu za mikrobiologijo in imunologijo, je ta vikend opravil testov za koronavirus, testov za gripo. in je dejal, da dve tretjini, ki bi lahko imeli tudi koronavirus, za to nista bili testirani. sprašujem ali testiramo prave ljudi?",2020,03,1972,NSi,F,neutral
"hvala, gospa poslanka. gospod predsednik vlade, izvolite.",2020,03,1967,SD,M,neutral
"za testiranja in te zadeve je po mojem mnenju vendarle odgovorna tudi stroka. poteka pa seveda komunikacija oziroma koordinacija, kot sem povedal, preko ministrstva za zdravje. če se ljudje želijo testirati, mora biti to tudi zagotovljeno. v prvi vrsti so pa odgovorne tudi zdravstvene ustanove za to, kolikor si predstavljam zadeve. zdravstvene ustanove so bile tudi seznanjene z navodili in so tudi odgovorne za te zadeve. tega primera, ki ste ga navedli, ne poznam v detajle in seveda težko sodim, kaj se je zgodilo in kaj se ni.",2020,03,1977,,M,neutral
