ime,spol,stranka,starost
"Židan, Dejan",M,SD,50-65
"Jelinčič, Zmago",M,SNS,nad 65
"Šarec, Marjan",M,,30-49
"Mahnič, Žan",M,SDS,30-49
"Vrtovec, Jernej",M,NSi,30-49
"Mesec, Luka",M,Levica,30-49
"Zorčič, Igor",M,SMC,30-49
"Počivalšek, Zdravko",M,,nad 65
"Krajčič, Darij",M,LMŠ,50-65
"Brglez, Milan",M,SD,50-65
"Heferle, Tina",F,LMŠ,30-49
"Furman, Karmen",M,SDS,30-49
"Klampfer, Ksenija",F,,Ni oznake
"Pavlin, Blaž",M,NSi,30-49
"Bratušek, Alenka",F,,50-65
"Trček, Franc",M,Levica,50-65
"Leben, Jure",M,,Ni oznake
"Golubović, Brane",M,LMŠ,50-65
"Bertoncelj, Andrej",M,,Ni oznake
"Lep Šimenko, Suzana",F,SDS,30-49
"Ivanuša, Jani",M,SNS,Ni oznake
"Poklukar, Boštjan",M,,Ni oznake
"Knežak, Soniboj",M,SD,50-65
"Jeraj, Alenka",F,SDS,30-49
"Medved, Rudi",M,LMŠ,50-65
"Logar, Anže",M,SDS,30-49
"Žnidarič, Mojca",F,SMC,30-49
"Kaloh, Dejan",M,SDS,30-49
"Katič, Andreja",F,,50-65
"Reberšek, Aleksander",M,NSi,30-49
"Fakin, Samo",M,,Ni oznake
"Tomić, Violeta",F,Levica,50-65
"Starović, Vojko",M,SAB,nad 65
"Pojbič, Marijan",M,SDS,50-65
"Tanko, Jože",M,SDS,nad 65
"Šiško, Dušan",M,SNS,50-65
"Jurša, Franc",M,DeSUS,nad 65
"Godec, Jelka",F,SDS,50-65
"Sukič, Nataša",F,Levica,50-65
"Horvat, Jožef",M,NSi,nad 65
"Lisec, Tomaž",M,SDS,30-49
"Breznik, Franc",M,SDS,50-65
"Hot, Meira",F,SD,30-49
"Koražija, Boštjan",M,Levica,30-49
"Pikalo, Jernej",M,,Ni oznake
"Perič, Gregor",M,SMC,30-49
"Černač, Zvonko",M,SDS,50-65
"Kociper, Maša",F,SAB,50-65
"Doblekar, Boris",M,SDS,50-65
"Siter, Primož",M,Levica,30-49
"Pogačnik, Marko",M,SDS,50-65
"Cigler, Željko",M,Levica,50-65
"Bah Žibert, Anja",F,SDS,30-49
