ime,spol,stranka,starost
"Židan, Dejan",M,SD,50-65
"Mesec, Luka",M,Levica,30-49
"Šarec, Marjan",M,,30-49
"Dimic, Iva",F,NSi,50-65
"Šiško, Dušan",M,SNS,50-65
"Rajh, Andrej",M,SAB,30-49
"Pivec, Aleksandra",F,,Ni oznake
"Ivanuša, Lidija",F,SDS,30-49
"Hot, Meira",F,SD,30-49
"Breznik, Franc",M,SDS,50-65
"Počivalšek, Zdravko",M,,nad 65
"Tomić, Violeta",F,Levica,50-65
"Starović, Vojko",M,SAB,nad 65
"Heferle, Tina",F,LMŠ,30-49
"Lenart, Jože",M,LMŠ,50-65
"Bratušek, Alenka",F,,50-65
"Lisec, Tomaž",M,SDS,30-49
"Godec, Jelka",F,SDS,50-65
"Trček, Franc",M,Levica,50-65
"Mlinar, Angelika",F,,Ni oznake
"Divjak Mirnik, Lidija",F,LMŠ,30-49
"Jeraj, Alenka",F,SDS,30-49
"Katič, Andreja",F,,50-65
"Pavlin, Blaž",M,NSi,30-49
"Pikalo, Jernej",M,,Ni oznake
"Bevk, Samo",M,SD,nad 65
"Poznič, Zoran",M,,Ni oznake
"Pogačnik, Marko",M,SDS,50-65
"Lenart, Jožef",M,SDS,50-65
"Sukič, Nataša",F,Levica,50-65
"Zajc, Simon",M,,30-49
"Kramar, Franc",M,SAB,50-65
"Kaloh, Dejan",M,SDS,30-49
"Horvat, Jožef",M,NSi,nad 65
"Šabeder, Aleš",M,,Ni oznake
"Hršak, Ivan",M,DeSUS,nad 65
"Tanko, Jože",M,SDS,nad 65
"Kepa, Franci",M,SDS,50-65
"Ivanuša, Jani",M,SNS,Ni oznake
"Bah Žibert, Anja",F,SDS,30-49
"Poklukar, Boštjan",M,,Ni oznake
"Furman, Karmen",M,SDS,30-49
"Reberšek, Aleksander",M,NSi,30-49
"Klampfer, Ksenija",F,,Ni oznake
"Koprivc, Marko",M,SD,30-49
"Podkrajšek, Bojan",M,SDS,50-65
"Medved, Rudi",M,LMŠ,50-65
"Simonovič, Branko",M,DeSUS,nad 65
"Pojbič, Marijan",M,SDS,50-65
"Doblekar, Boris",M,SDS,50-65
"Koražija, Boštjan",M,Levica,30-49
"Muršič, Bojana",F,SD,50-65
"Žnidarič, Mojca",F,SMC,30-49
"Cigler, Željko",M,Levica,50-65
"Mahnič, Žan",M,SDS,30-49
"Židan, Gregor",M,SMC,50-65
"Sluga, Janja",F,SMC,30-49
"Marolt, Majda",F,,Ni oznake
"Krajcar, Urban",M,,Ni oznake
"Lep, Jurij",M,DeSUS,50-65
"Lep Šimenko, Suzana",F,SDS,30-49
"Kovačič, Aljaž",M,LMŠ,30-49
"Knežak, Soniboj",M,SD,50-65
"Kordiš, Miha",M,Levica,30-49
"Polnar, Robert",M,DeSUS,50-65
"Jelinčič, Zmago",M,SNS,nad 65
"Grims, Branko",M,SDS,50-65
"Peček, Igor",M,LMŠ,50-65
"Baković, Predrag",M,SD,50-65
"Vrtovec, Jernej",M,NSi,30-49
"Černač, Zvonko",M,SDS,50-65
"Perič, Gregor",M,SMC,30-49
"Udovč, Mateja",F,SMC,30-49
"Prebil, Nik",M,LMŠ,30-49
"Bandelli, Marko",M,SAB,50-65
"Tašner Vatovec, Matej",M,Levica,30-49
"Kociper, Maša",F,SAB,50-65
"Eršte, Igor",M,,Ni oznake
"Irgl, Eva",F,SDS,30-49
"Möderndorfer, Jani",M,SMC,50-65
"Urh, Karla",F,LMŠ,50-65
"Prednik, Jani",M,SD,30-49
"Horváth, Ferenc",M,,50-65
"Zidanšek, Marko",M,,Ni oznake
"Kovač Jereb, Natalija",F,,Ni oznake
"Gregorčič, Monika",F,SMC,50-65
"Siter, Primož",M,Levica,30-49
"Zabret, Andreja",F,LMŠ,50-65
"Ramšak Pešec, Mojca",F,,Ni oznake
"Pavšič, Robert",M,LMŠ,50-65
"Korče, Jerca",F,LMŠ,30-49
"Pliberšek, Tomaž",M,,Ni oznake
"Bertoncelj, Andrej",M,,Ni oznake
"Cerar, Miro",M,,50-65
"Verbič, Dušan",M,SMC,nad 65
"Nemec, Matjaž",M,SD,30-49
"Česnik, Peter Jožef",M,,nad 65
"Janša, Ivan Janez",M,SDS,50-65
"Jurša, Franc",M,DeSUS,nad 65
"Žiža, Felice",M,,50-65
"Krivec, Danijel",M,SDS,50-65
"Golubović, Brane",M,LMŠ,50-65
"Han, Matjaž",M,SD,50-65
"Zorčič, Igor",M,SMC,30-49
"Logar, Anže",M,SDS,30-49
"Rajić, Branislav",M,SMC,50-65
"Štravs Podlogar, Eva",F,,Ni oznake
