ime,spol,stranka,starost
"Brglez, Milan",M,SMC,50-65
"Grims, Branko",M,SDS,50-65
"Cerar, Miro",M,SMC,50-65
"Bratušek, Alenka",F,,50-65
"Kustec Lipicer, Simona",F,SMC,30-49
"Gorenak, Vinko",M,SDS,nad 65
"Hainz, Primož",M,DeSUS,nad 65
"Jurša, Franc",M,DeSUS,nad 65
"Lah, Zvonko",M,NSi,50-65
"Škoberne, Jan",M,SD,30-49
"Kordiš, Miha",M,Levica,30-49
"Novak, Ljudmila",F,NSi,50-65
"Irgl, Eva",F,SDS,30-49
"Levičar, Marinka",F,DeSUS,nad 65
"Verbič, Dušan",M,SMC,nad 65
"Murgel, Jasna",F,SMC,50-65
"Vrtovec, Jernej",M,NSi,30-49
"Bah Žibert, Anja",F,SDS,30-49
"Tanko, Jože",M,SDS,nad 65
"Horvat, Mitja",M,SMC,50-65
"Sluga, Janja",F,SMC,30-49
"Nemec, Matjaž",M,SD,30-49
"Zorčič, Igor",M,SMC,30-49
"Breznik, Franc",M,SDS,50-65
"Lisec, Tomaž",M,SDS,30-49
"Möderndorfer, Jani",M,SMC,50-65
"Dekleva, Erika",F,SMC,50-65
"Prikl, Uroš",M,DeSUS,50-65
"Janša, Ivan Janez",M,SDS,50-65
"Matić, Dragan",M,SMC,50-65
"Radič, Dušan",M,SMC,50-65
"Ranc, Danilo Anton",M,SMC,nad 65
"Tabaković, Saša",M,SMC,30-49
"Rajić, Branislav",M,SMC,50-65
"Počivalšek, Zdravko",M,,nad 65
"Godec, Jelka",F,SDS,50-65
"Tašner Vatovec, Matej",M,Levica,30-49
"Han, Matjaž",M,SD,50-65
"Židan, Dejan",M,SD,50-65
"Trček, Franc",M,Levica,50-65
"Škodnik, Ivan",M,SMC,nad 65
"Mesec, Luka",M,Levica,30-49
"Pojbič, Marijan",M,SDS,50-65
"Majcen, Irena",F,,Ni oznake
"Tomić, Violeta",F,Levica,50-65
"Peršak, Anton Tone",M,,nad 65
"Horvat, Jožef",M,NSi,nad 65
"Kolar Celarc, Marija Milojka",F,,Ni oznake
"Bizjak Mlakar, Julijana",F,DeSUS,nad 65
"Kopač Mrak, Anja",F,,Ni oznake
"Gašperšič, Peter",M,,Ni oznake
"Krivec, Danijel",M,SDS,50-65
"Vervega, Vesna",F,SMC,50-65
"Žnidar, Ljubo",M,SDS,50-65
"Škopac, Maruša",F,SMC,50-65
"Pogačnik, Marko",M,SDS,50-65
"Mahnič, Žan",M,SDS,30-49
"Prelog, Ivan",M,SMC,nad 65
"Podkrajšek, Bojan",M,SDS,50-65
"Koprivnikar, Boris",M,,Ni oznake
"Hanžek, Matjaž",M,,nad 65
"Kozlovič, Lilijana",F,SMC,50-65
"Čuš, Andrej",M,,30-49
"Ferluga, Marko",M,SMC,50-65
"Dimic, Iva",F,NSi,50-65
"Barle Lakota, Andreja",F,,Ni oznake
"Bon Klanjšček, Mirjam",F,,nad 65
"Göncz, László",M,,50-65
"Muršič, Bojana",F,SD,50-65
"Štravs Podlogar, Eva",F,,Ni oznake
"Potočnik, Andreja",F,SMC,30-49
"Dobovšek, Bojan",M,,50-65
"Gantar, Tomaž",M,DeSUS,50-65
"Tonin, Matej",M,NSi,30-49
"Bačič, Marija",F,SD,nad 65
"Koleša, Anita",F,SMC,50-65
"Laj, Franc",M,,50-65
"Veber, Janko",M,SD,50-65
"Lep Šimenko, Suzana",F,SDS,30-49
"Potisek, Klemen",M,,Ni oznake
"Jakopič, Špela",F,,Ni oznake
"Klampfer, Ksenija",F,,Ni oznake
