ime,spol,stranka,starost
"Brglez, Milan",M,SMC,50-65
"Špenga, Andrej",M,,Ni oznake
"Verbič, Dušan",M,SMC,nad 65
"Ferluga, Marko",M,SMC,50-65
"Gorenak, Vinko",M,SDS,nad 65
"Kopmajer, Benedikt",M,DeSUS,nad 65
"Muršič, Bojana",F,SD,50-65
"Trček, Franc",M,Levica,50-65
"Vrtovec, Jernej",M,NSi,30-49
"Dobovšek, Bojan",M,,50-65
"Čuš, Andrej",M,,30-49
"Matić, Dragan",M,SMC,50-65
"Veber, Janko",M,SD,50-65
"Horvat, Jožef",M,NSi,nad 65
"Novak, Ljudmila",F,NSi,50-65
"Hainz, Primož",M,DeSUS,nad 65
"Sluga, Janja",F,SMC,30-49
"Irgl, Eva",F,SDS,30-49
"Pečnik, Damjana",F,,Ni oznake
"Godec, Jelka",F,SDS,50-65
"Bizjak Mlakar, Julijana",F,DeSUS,nad 65
"Bačič, Marija",F,SD,nad 65
"Tašner Vatovec, Matej",M,Levica,30-49
"Logar, Anže",M,SDS,30-49
"Radič, Dušan",M,SMC,50-65
"Zorčič, Igor",M,SMC,30-49
"Breznik, Franc",M,SDS,50-65
"Tabaković, Saša",M,SMC,30-49
"Rajić, Branislav",M,SMC,50-65
"Möderndorfer, Jani",M,SMC,50-65
"Hanžek, Matjaž",M,Levica,nad 65
"Nemec, Matjaž",M,SD,30-49
"Hršak, Ivan",M,DeSUS,nad 65
"Škoberne, Jan",M,SD,30-49
"Mesec, Luka",M,Levica,30-49
"Bratušek, Alenka",F,,50-65
"Škopac, Maruša",F,SMC,50-65
"Krivec, Danijel",M,SDS,50-65
"Tonin, Matej",M,NSi,30-49
"Laj, Franc",M,,50-65
"Žnidar, Ljubo",M,SDS,50-65
"Lisec, Tomaž",M,SDS,30-49
"Sodin, Irena",F,,Ni oznake
"Ban, Urška",F,SMC,30-49
"Lep Šimenko, Suzana",F,SDS,30-49
"Prikl, Uroš",M,DeSUS,50-65
"Pogačnik, Marko",M,SDS,50-65
"Groff Ferjančič, Miranda",F,,Ni oznake
"Potočnik, Andreja",F,SMC,30-49
"Kovačič, Marija Antonija",F,DeSUS,nad 65
"Brinovšek, Nada",F,SDS,50-65
"Korenjak Kramar, Ksenija",F,SMC,30-49
"Brecelj, Tina",F,,Ni oznake
"Dimic, Iva",F,NSi,50-65
"Jurša, Franc",M,DeSUS,nad 65
"Murgel, Jasna",F,SMC,50-65
"Škodnik, Ivan",M,SMC,nad 65
"Ozimič, Milan",M,,Ni oznake
"Brezovar, Nejc",M,,Ni oznake
"Gantar, Tomaž",M,DeSUS,50-65
"Pirnat, Nina",F,,Ni oznake
"Zorman, Branko",M,SMC,50-65
"Pojbič, Marijan",M,SDS,50-65
"Dekleva, Erika",F,SMC,50-65
"Vervega, Vesna",F,SMC,50-65
"Grošelj Košnik, Irena",F,SMC,nad 65
"Lah, Zvonko",M,,50-65
"Han, Matjaž",M,SD,50-65
"Podgoršek, Marjan",M,,Ni oznake
"Horvat, Mitja",M,SMC,50-65
"Marflak Trontelj, Jonika",F,,Ni oznake
"Zevnik, Metka",F,,Ni oznake
"Kordiš, Miha",M,Levica,30-49
"Bon Klanjšček, Mirjam",F,,nad 65
"Cink, Tanja",F,SMC,30-49
"Stare, Darko",M,,Ni oznake
"Levičar, Marinka",F,DeSUS,nad 65
"Štravs Podlogar, Eva",F,,Ni oznake
"Ranc, Danilo Anton",M,SMC,nad 65
"Györkös Žnidar, Vesna",F,,Ni oznake
"Dolinšek, Marjan",M,SMC,50-65
"Battelli, Roberto",M,,nad 65
"Göncz, László",M,,50-65
"Mahnič, Žan",M,SDS,30-49
"Kustec Lipicer, Simona",F,SMC,30-49
"Zajc, Simon",M,SMC,30-49
"Tanko, Jože",M,SDS,nad 65
"Grims, Branko",M,SDS,50-65
"Cerar, Miro",M,SMC,50-65
"Erjavec, Karl Viktor",M,DeSUS,50-65
"Počivalšek, Zdravko",M,,nad 65
"Gašperšič, Peter",M,,Ni oznake
"Žmavc, Gorazd",M,,Ni oznake
"Kolar Celarc, Marija Milojka",F,,Ni oznake
"Kopač Mrak, Anja",F,,Ni oznake
"Majcen, Irena",F,,Ni oznake
"Makovec Brenčič, Maja",F,,Ni oznake
"Pogačar, Peter",M,,Ni oznake
"Tomić, Violeta",F,Levica,50-65
"Cantarutti, Aleš",M,,Ni oznake
"Bavdaž Kuret, Darja",F,,Ni oznake
"Lah, Zvonko",M,NSi,50-65
"Kotnik Poropat, Marjana",F,DeSUS,nad 65
"Bah Žibert, Anja",F,SDS,30-49
"Klemenčič, Goran",M,,Ni oznake
"Vraničar Erman, Mateja",F,,Ni oznake
"Židan, Dejan",M,SD,50-65
"Koleša, Anita",F,SMC,50-65
"Smerkolj, Alenka",F,,Ni oznake
"Šircelj, Andrej",M,SDS,50-65
"Šergan, Vojka",F,SMC,nad 65
"Peršak, Anton Tone",M,,nad 65
"Kozlovič, Lilijana",F,SMC,50-65
"Katič, Andreja",F,SD,50-65
"Vuk, Martina",F,,Ni oznake
"Janša, Ivan Janez",M,SDS,50-65
"Božič, Tilen",M,SMC,Ni oznake
"Krajnc, Bojan",M,SMC,50-65
"Kavčič, Aleksander",M,SMC,50-65
"Ljubič, Teja",F,SMC,30-49
"Vilfan, Peter",M,DeSUS,nad 65
"Barle Lakota, Andreja",F,,Ni oznake
"Kotnik, Irena",F,SMC,nad 65
"Shaker, Kamal Izidor",M,SMC,30-49
"Boh, Tomaž",M,,Ni oznake
"Koprivnikar, Boris",M,,Ni oznake
"Podkrajšek, Bojan",M,SDS,50-65
"Kovač, Nataša",F,,Ni oznake
"Accetto, Matej",M,,Ni oznake
"Knez, Rajko",M,,Ni oznake
"Jaklič, Klemen",M,,Ni oznake
"Pavčnik, Marijan",M,,Ni oznake
"Šefic, Boštjan",M,,Ni oznake
"Leben, Jure",M,,Ni oznake
"Bogataj, Tanja",F,,Ni oznake
"Jazbec, Saša",F,,Ni oznake
"Potisek, Klemen",M,,Ni oznake
"Prelog, Ivan",M,SMC,nad 65
"Medved, Ana",F,,Ni oznake
"Počkaj, Vlasta",F,SMC,nad 65
"Verbič, Jernej",M,,Ni oznake
"Kovšca, Alojz",M,,Ni oznake
"Strniša, Tanja",F,,Ni oznake
"Stebernak, Lidija",F,,Ni oznake
"Maučec Zakotnik, Jožica",F,,Ni oznake
"Bizjak, Miloš",M,,Ni oznake
"Godina, Duška",F,,Ni oznake
"Novak, Marko",M,,Ni oznake
"Hanžek, Matjaž",M,,nad 65
"Renčelj, Gorazd",M,,Ni oznake
"Muženič, Darko",M,,Ni oznake
"Logar, Andrej",M,,Ni oznake
"Potočan, Bojana",F,,Ni oznake
"Nussdorfer, Vlasta",F,,Ni oznake
"Klampfer, Ksenija",F,,Ni oznake
"Strnad, Dušan",M,,Ni oznake
