ime,spol,stranka,starost
"Brglez, Milan",M,SMC,50-65
"Grims, Branko",M,SDS,50-65
"Kozlovič, Lilijana",F,SMC,50-65
"Györkös Žnidar, Vesna",F,,Ni oznake
"Muršič, Bojana",F,SD,50-65
"Dobovšek, Bojan",M,,50-65
"Gorenak, Vinko",M,SDS,nad 65
"Kopmajer, Benedikt",M,DeSUS,nad 65
"Škoberne, Jan",M,SD,30-49
"Tomić, Violeta",F,Levica,50-65
"Tonin, Matej",M,NSi,30-49
"Sluga, Janja",F,SMC,30-49
"Vrtovec, Jernej",M,NSi,30-49
"Prikl, Uroš",M,DeSUS,50-65
"Hanžek, Matjaž",M,Levica,nad 65
"Nemec, Matjaž",M,SD,30-49
"Horvat, Jožef",M,NSi,nad 65
"Göncz, László",M,,50-65
"Vervega, Vesna",F,SMC,50-65
"Šircelj, Andrej",M,SDS,50-65
"Radič, Dušan",M,SMC,50-65
"Hainz, Primož",M,DeSUS,nad 65
"Koleša, Anita",F,SMC,50-65
"Bačič, Marija",F,SD,nad 65
"Lisec, Tomaž",M,SDS,30-49
"Matić, Dragan",M,SMC,50-65
"Ferluga, Marko",M,SMC,50-65
"Novak, Ljudmila",F,NSi,50-65
"Tanko, Jože",M,SDS,nad 65
"Erjavec, Karl Viktor",M,DeSUS,50-65
"Brinovšek, Nada",F,SDS,50-65
"Jenko, Jana",F,DeSUS,50-65
"Ranc, Danilo Anton",M,SMC,nad 65
"Korenjak Kramar, Ksenija",F,SMC,30-49
"Podkrajšek, Bojan",M,SDS,50-65
"Božič, Tilen",M,SMC,Ni oznake
"Kotnik Poropat, Marjana",F,DeSUS,nad 65
"Škodnik, Ivan",M,SMC,nad 65
"Bah Žibert, Anja",F,SDS,30-49
"Veber, Janko",M,SD,50-65
"Lep Šimenko, Suzana",F,SDS,30-49
"Kavčič, Aleksander",M,SMC,50-65
"Zorman, Branko",M,SMC,50-65
"Mahnič, Žan",M,SDS,30-49
"Pogačnik, Marko",M,SDS,50-65
"Zorčič, Igor",M,SMC,30-49
"Kordiš, Miha",M,Levica,30-49
"Cerar, Miro",M,SMC,50-65
"Trček, Franc",M,Levica,50-65
"Gantar, Tomaž",M,DeSUS,50-65
"Židan, Dejan",M,SD,50-65
"Katič, Andreja",F,SD,50-65
"Kolar Celarc, Marija Milojka",F,,Ni oznake
"Počivalšek, Zdravko",M,,nad 65
"Godec, Jelka",F,SDS,50-65
"Makovec Brenčič, Maja",F,,Ni oznake
"Dimic, Iva",F,NSi,50-65
"Jurša, Franc",M,DeSUS,nad 65
"Žnidar, Ljubo",M,SDS,50-65
"Majcen, Irena",F,,Ni oznake
"Pojbič, Marijan",M,SDS,50-65
"Verbič, Dušan",M,SMC,nad 65
"Gašperšič, Peter",M,,Ni oznake
"Irgl, Eva",F,SDS,30-49
"Breznik, Franc",M,SDS,50-65
"Koprivnikar, Boris",M,,Ni oznake
"Vuk, Martina",F,,Ni oznake
"Cink, Tanja",F,SMC,30-49
"Bon Klanjšček, Mirjam",F,,nad 65
"Mesec, Luka",M,Levica,30-49
"Grošelj Košnik, Irena",F,SMC,nad 65
"Bizjak Mlakar, Julijana",F,DeSUS,nad 65
"Kovačič, Marija Antonija",F,DeSUS,nad 65
"Tabaković, Saša",M,SMC,30-49
"Möderndorfer, Jani",M,,50-65
"Cantarutti, Aleš",M,,Ni oznake
"Grebenšek, Klemen",M,,Ni oznake
"Tašner Vatovec, Matej",M,Levica,30-49
"Marflak Trontelj, Jonika",F,,Ni oznake
"Kovač, Nataša",F,,Ni oznake
