Tweet,Sentiment
 rule  never be,Neutral
puff puff pass ya hoe,Negative
0808 mon lit,Neutral
when was this,Neutral
when was this,Neutral
i cant believe mickey mouse had sex with shadow the hedgehog,Neutral
tgim thank god its monday baby ,Negative
peace love shea,Neutral
same,Neutral
otaku loving someone who doesnt exist kpop fans loving someone who doesnt know you exist,Negative
otaku loving someone who doesnt exist kpop fans loving someone who doesnt know you exist,Negative
are most of my tweets categorized as white people tweets ,Negative
are most of my tweets categorized as white people tweets ,Negative
lol shutup but hmj,Negative
lmao im not this conversation is too great to go to bed ,Positive
 i met michael ,Positive
 i met michael ,Neutral
 today kylma sota fin  hate fuck  feroxity in cowley club,Negative
 i like this photo of us ,Positive
cant find shit on tv,Negative
 i dont want to go in today i want to sleeppp,Negative
thats human nature,Neutral
 psalms 705 but i am poor and needy make haste unto me o god thou art my help and my deliverer o lord make no ,Negative
and with that being said goodnight,Neutral
and with that being said goodnight,Neutral
i posted a new photo to facebook,Neutral
but youve slipped under my skin invaded my blood and seized my heart  i love you mind following me  x295,Neutral
what djs are actually doing vid ,Neutral
what djs are actually doing vid ,Neutral
heres my 1st official vimeo for       you guys definitely gonna like it ,Positive
hajjpilgrimagea spiritual unforgettable journey to makkah harken to it before its too late,Neutral
hajjpilgrimagea spiritual unforgettable journey to makkah harken to it before its too late,Positive
 relationship status,Neutral
 crazy rumors hahaha thats just crazy ,Positive
youre able heavy tweets ruined by typos ,Negative
i love you will you marry me dare again,Neutral
yesbreaking badyes breaking stuff is bad im not in fucking kindergarden thanks,Negative
read this   spoiling modern plays,Neutral
 i met michael ,Positive
heyy heyyy heyyyy,Positive
so come with me well go and see the big rock candy mountain,Positive
so come with me well go and see the big rock candy mountain,Positive
   monday humans tuesday fairies,Neutral
 ass c r,Positive
  well done lads ,Positive
four turnovers spoil levis stadium debut via san francisco 49ers  news,Neutral
 type shit,Negative
i hate when people make assumptions about things,Negative
  seeking ways to steal more  wants billions of euros to revive economy,Neutral
hihi its good i met new friend  take note chanyeol biased too,Positive
hihi its good i met new friend  take note chanyeol biased too,Positive
former igp urges northern leaders to save nigeria from insurgency a former inspectorgeneral of poli,Positive
study blowing engine mailorder selling task toward specialty esteem maturing uhkefe,Neutral
i posted a new photo to facebook,Neutral
i have pe first thing and last thing fml someone shoot me,Negative
boa and her father charged with illegal development on green belt land,Neutral
boa and her father charged with illegal development on green belt land,Neutral
 crazy rumors hahaha thats just crazy ,Positive
big difference between having belongings checked at a voluntary event and indiscriminate spying,Neutral
 sometimes i shoot pictures of things out of the water     website 70 up http,Neutral
ive collected 16 487 gold coins,Positive
yep actually should have next time girl im glad yous had an amazing day though ,Positive
bitch you got an android gtf out my face ,Negative
according to  my twitter account is worth 24552 whats yours worth  ,Neutral
 dont wait and procrastinate,Negative
i cant wait to fucming move and never have to think about you bitch ass ever again,Negative
 hey im just trying to make some coffee,Neutral
honestly dont know what to say never been a kanye fan really dont know if i should be shocked or surprised,Negative
apple empandas cinnabon delights  my fav cinnamon twist  i can hook it up w a freeze from there too ,Neutral
   hello nialler  how are you hope youre doing well  will you please follow me you mean the  to me x37,Neutral
   hello nialler  how are you hope youre doing well  will you please follow me you mean the  to me x37,Positive
do u want me to dm u ,Neutral
ive harvested 1 250 of food,Positive
 its time to stop treating mental health as a secondary issue amp start giving it the focus it needs  if you agree http,Neutral
im earning  rewards in cut da deck android,Neutral
thats that shit huh lol,Negative
omfg took the fucking words right outta my mouth right now  i get jealous over the littlest things,Negative
 cleared roadwork on i676 westbound at i76 eastschuylkill expy,Neutral
 cleared roadwork on i676 westbound at i76 eastschuylkill expy,Neutral
why pay more quality amp dependable   fast delivery buy now star wars decals,Neutral
sometimes you figure out that just starting over is what you needed,Neutral
 congratulations to the sweetest and hottest  athlete and the top fundraiser for  iyou h,Positive
 australia draught is proudly pouring on the north shore today so get down there and try a refreshing beer ,Positive
 australia draught is proudly pouring on the north shore today so get down there and try a refreshing beer ,Positive
 doughnuts sound good,Positive
no amount of coffee has helped this morning,Negative
i feel so bad for missing the meeting today lol,Negative
i feel so bad for missing the meeting today lol,Negative
blablablabla,Neutral
blablablabla,Neutral
 miracle of love  via,Neutral
tossin amp turnin ,Negative
so kiss me and smile for me ,Positive
news video does driving make you worse at work,Neutral
morning  me,Neutral
challenge accepted  sycamore den,Neutral
 video games have been proven to be a more effective method of overcoming depression in teens than counseling,Neutral
  kathy who,Neutral
haha you weirdo go to sleep,Positive
7 twisted short stories in  a great deal at,Neutral
7 twisted short stories in  a great deal at,Positive
 happy bday rachet have a good one,Positive
im so done with my family,Negative
he is life,Neutral
he is life,Neutral
youre welcome ,Positive
wyg on my mobile i just found the wyg app its a great and awesome appyou can download it from stores,Positive
i just entered to  amp you can too oneplus one 64gb black enter the  here,Neutral
 do what you feel in your heart to be right  for youll be criticized anywayeleanor roosevelt,Neutral
 i never  these things but i found these spiders in my room in the past few days so,Neutral
that would be so cool one day well meet amp it will be fabulous ,Positive
 exam freestyle,Neutral
bc youre super awesome,Positive
there must be a way to trace it out all this technology amp advancement difference apart this is very bad,Negative
unts,Negative
phones 4u collapses into administration as ee is final operator to hang up  via,Neutral
god so do i,Positive
life was not made to be simple it was made to make you stronger with the challenges you face,Positive
happy birthday to you happy birthday to youd happy birthday butsy love you buddy love youuuu ,Positive
hahaha  thats hilarious but so true good one,Positive
hahaha  thats hilarious but so true good one,Positive
all the sex on the beach,Positive
right mfs aint crazy,Neutral
dominic lawson high street gangs pose far more of a threat than the,Neutral
 wonder if these guys are scheming to change the world ht,Neutral
 wonder if these guys are scheming to change the world ht,Neutral
night yall city and colour radio ,Neutral
 i long for that feeling to not feel at all,Negative
a desperate sign just inside burger king at charing cross reads please queue here please,Negative
last business sac completed,Positive
 im not ok but its ok,Negative
you might talk up a storm today but your chattiness could jus more for gemini,Neutral
you might talk up a storm today but your chattiness could jus more for gemini,Neutral
   chinese city gives smartphone users their own sidewalk lane,Neutral
 140915 mato castle theyre picking a fan each from the audience each to play the gesture game with,Neutral
small businesses  dont let clients avoid payments insist you receive payment for past orders before letting them have further services,Neutral
 preview 140915 bap mato castle fan event 1st gala party    crpinkung9023,Neutral
 silver amp red dragonscale bracelet by arosejewellery  via,Neutral
  i understand the concerns over the idol cast of my lovely girl,Neutral
it hurts,Negative
this time last year i was in the vatican ,Neutral
thanks amy,Positive
haha true that,Positive
 sobrang dikit dapat  joshane bracelet one of a kind stronger joshane dearest joshuaandjane,Positive
 we wish all the fellas out there a happy engineers day if you rest the world will rust,Positive
 we wish all the fellas out there a happy engineers day if you rest the world will rust,Neutral
im quick to read a inbox dm or txt amp dont respond,Negative
with the wild wolves around you in the morning ill call you,Neutral
would totally go back into that dream though that shit was thrilling i shot the sniper in the face with my last bullet lol,Neutral
would totally go back into that dream though that shit was thrilling i shot the sniper in the face with my last bullet lol,Positive
 sad weekdays sad weekends try to be optimistic but realistic know we should win lose yet again ,Positive
cant see pardew lasting now steve bruce doing well at hull but might fancy dream job wba fans want irvine out already too,Neutral
ive collected 13 625 gold coins,Neutral
beauty is but skin deep,Neutral
landaid  the property industry charity making a real and lasting impact on disadvantaged young lives,Positive
 i say bye bye to tablo dara bommie and daesung all of them respond back t__t especially dara waved back gd was running,Neutral
thanks xxxx,Positive
thanks xxxx,Positive
man im ready to go im sleepy asf,Neutral
live cam porn california exotics nipple clamps silver beaded,Neutral
live cam porn california exotics nipple clamps silver beaded,Neutral
 i hate when people take my phone not because i have something to hide but because its not your damn phone its mine,Negative
 i hate when people take my phone not because i have something to hide but because its not your damn phone its mine,Negative
 so its fine for greenwald to use nsa secret files to call the pm a liar but not for the pm to use our secret files to,Negative
 so its fine for greenwald to use nsa secret files to call the pm a liar but not for the pm to use our secret files to,Neutral
slobbing       ,Neutral
 thankyous everyone let the celebrations continue,Positive
 tell your friends that you choose clean water let thunderclap send a message,Neutral
um look whos talking,Neutral
 debate continues nduka ugbade kelechi iheanacho is still too young for eagles  he should be a regular now c,Neutral
closed sell 17 lots eurusd 129456 for 32 pips total for today 1147 pips,Neutral
i lost 1 follower recently and i know who that is thanks to  app,Neutral
3 people followed me and 2 people unfollowed me in the last day thank you  app,Neutral
3 people followed me and 2 people unfollowed me in the last day thank you  app,Neutral
context joan burton was talking about her party colleague willie penrose who was criticial of thinkins,Neutral
context joan burton was talking about her party colleague willie penrose who was criticial of thinkins,Neutral
 g8 report maps impact investings first trillion,Neutral
check la,Neutral
check la,Neutral
fuuuck it ,Negative
amy winehouse will you still love me tomorrow lyrics  via,Neutral
amy winehouse will you still love me tomorrow lyrics  via,Neutral
one person followed me in the last day thanks to  app,Positive
 baby elephants should be with their mothers not tied up amp beaten by trainers  if u agree  ,Negative
fire sundayys lit  the buzz nightclub,Positive
 totally wouldve worn that    but i was gonna bring a sicky vicky outfit for yo ,Negative
excited to be part of the meridian realty group     ,Neutral
  according to rivals a win against qpr counts as just 1 point its good to know its their same number of iq,Neutral
cute rooms ,Positive
and i dont wanna miss a thing,Negative
2006w proof silver american eagle wall ogp,Neutral
2006w proof silver american eagle wall ogp,Neutral
small businesses seek alternative lenders some of whom use facebook as criteria,Neutral
just about to post up a video ,Positive
save 813  stealing christmas 186,Neutral
as for how you treat your customers its already clear you need to work on the skill of empathy,Neutral
as for how you treat your customers its already clear you need to work on the skill of empathy,Negative
 im not good enough for anyone,Neutral
 david cameron is pm for less than 5yrs yet he faced a spectrum of challenges every day weach challenge he proved hes sol,Neutral
saab parts failure attempted 3 times the operation has timed out,Negative
appreciate what you have before it turns into what you had,Positive
if everybody is thinking alike then somebody isnt thinking  gen george s patton ,Positive
if everybody is thinking alike then somebody isnt thinking  gen george s patton ,Negative
   cos you boutta cry omg i miss those shoes das why no lie dont cry cat,Positive
 crash burn roast the marshmallows  honest reflection of the life cycle of projects in my ,Neutral
 hi i miss you i know you dont miss me too but no problem im strong ,Negative
is it  already ,Neutral
santino marellas battlearts academy celebrates anniversary the next wwe nxt tv tapings,Neutral
if michaels red hair fades it will turn orange,Negative
untitled,Neutral
the 5th drytoilet conference will be held in tampere finland on 17th to 22nd of august 2015 join the event,Neutral
daily morning encouragement to start our days of right after prayer ,Positive
daily morning encouragement to start our days of right after prayer ,Positive
