,Tweet,Sentiment
3, za uniona olimpijo vedno cilj le en  naslov prvaka pokala spar več,Positive
5, znp preganja se novinarje ne pa tudi tistih ki bi jih bilo treba  reportersi  via ,Negative
6,ste zamudili spletno razpravo z  oglejte si posnetek na  ,Neutral
7,  1909 je zapadel v radovljici visok sneg domačini pa so ga kratko malo požgali ilus slovenec 1926 htt,Neutral
8,ima samo ni čist to kar hočem,Neutral
9,ima samo ni čist to kar hočem,Negative
10,lol evo skrbimo da ti tudi v mrkih trenutkih olepšamo dan ,Positive
11,ubistvu mi je bil synology na prvem mestu sam zdej sem še tale zyxel najdu  pa kokr berem ni švoh zadeva,Positive
12,  1909 je zapadel v radovljici visok sneg domačini pa so ga kratko malo požgali ilus slovenec 1926 htt,Neutral
15,čez dve uri  od 15 do 17 ure 1712014 in prihrani 30 redne cene električne energije več na,Neutral
16,bi pasalo po kosilu na križarjenju prav vsak dan ,Neutral
17,bi pasalo po kosilu na križarjenju prav vsak dan ,Positive
22,kraj z največjim številom zimskih olimpijcev a še brez olimpijske krone ,Neutral
23,kraj z največjim številom zimskih olimpijcev a še brez olimpijske krone ,Negative
25,definitivno kako svezo faco npr  je pa imo res da raja satire pri nas se ne zna cist zagrabit,Neutral
27,kako izkoristiti linkedin kot poslovno platformo,Neutral
29,si razumela žal jih veliko ni zlasti pisci spletnih komentarjev še naprej blodijo po svojih malih svetovih ,Neutral
30,koliko globoko torej,Neutral
31,koliko globoko torej,Neutral
33,ne vem kaj še čakate,Neutral
34,skoraj popolno torej ,Positive
35,skoraj popolno torej ,Neutral
36,kako je veliki propagandist prve janševe oblasti jože možina postal nagrajeni režimski umetnik tokratna ,Neutral
37,hlapec svetuje hlapcem da je fajn bit hlapec jao sem mislil da tale dejan ima kaj v glavi ampak očitno je možgane že prodal,Negative
40,mar ni kaloh zaposlen v poslanski skupini,Neutral
41,pussy riot na prostosti in znova v boju,Positive
42,dostava podatkov za odmero dohodnine za leto 2013 navodila za pravilno poročanje in posebna opozorila d,Positive
43,dostava podatkov za odmero dohodnine za leto 2013 navodila za pravilno poročanje in posebna opozorila d,Neutral
44,alive pearl jam prva danes popoldne  ajprou,Neutral
45,alive pearl jam prva danes popoldne  ajprou,Positive
51,še en super band ki ne podlega britanski dolgočasnosti  on  download it here,Positive
52,mojca kleva kekuš sampdsd kolegica v ep je povila ano čestitke mamici očetu vse dobro mali ani to je 1 slovenski prirastek v ep ,Positive
53,mojca kleva kekuš sampdsd kolegica v ep je povila ano čestitke mamici očetu vse dobro mali ani to je 1 slovenski prirastek v ep ,Positive
55,dej mi mal snega kle nekam da grem ponos sprobat,Neutral
56,zdi se mi da je beseda najhot dobila številne nove pomene,Neutral
57,impro atelje  šeherezada jutri ob 1800 vljuno vabljeni ,Positive
60,na spletni strani mzz smo danes objavili javni razpis za projekte s področja mednarodnega razvojnega sodelovanja,Neutral
63, pravila  za boj proti  veljajo v vseh 28 držčl okrepiti je treba izvajanje v praksi,Neutral
64,kislo zelje je pravo naravno zdravilo skoraj nobena vrsta zelenjave se v jedilnikih različnih narodov ne poja,Positive
66,ntoko o slabem tolmačenju tuje realnosti,Negative
67,ntoko o slabem tolmačenju tuje realnosti,Negative
69,part 1 nasa legendarna stena pred trgovino dobiva novo podobo,Neutral
70,narobe nikakor ,Negative
72,a se po novem imenuje pesem tedna ,Neutral
73,a veš tisto ko nekomu rečeš gospod iz vljudnosti ne iz spoštovanja,Neutral
74,saj je bolj primeren naziv kot popevka tedna ampak se moramo držati pravil a veš ,Neutral
75,da ne da ne  do zadnjega ni bilo jasno ali letos slovenija gre na eurovision song contest ali ne nam pa je,Neutral
76,ponovnim brojanjem došlo se do 10 čisto da se zna ,Positive
77, fišer dokument ni pristen nato pa preiskava pri kalohu nepristen vendar vseeno tajen dokument  bu,Negative
78,inline tečajniki obvladajo urban roof šola ni šala ,Neutral
79, umru   če poči guma slovenskim divam ,Negative
80,zdravo nam prosim napišeš povezavo na ronaldov video da si ga ogledamo ,Neutral
81,maska v naslednjem tednu  sokol in kinoklub na ključ ,Neutral
82,maska v naslednjem tednu  sokol in kinoklub na ključ ,Neutral
83,pasivnost in ignoriranje je rešitev zanimivo prav to so mislili židje o nacistih 1935,Negative
84,evo ogier postavil stvari na svoje mesto po 9 brzincu vodi na monteju 11 sekund pred bouffierjem,Positive
86,its time 4 deejaytimev živo iz belooranžnega studia kdo se javi za prvo trombeto toketo naj pritisne like,Neutral
87,30 nižja cena električne energije v soboto 1812014 od 14 do 16 ure   na,Positive
88,ah škoda meni so prav glave taglavni fetiš d,Negative
93,o tem kako in s čim posiljuje lenoba piše  v,Neutral
97,kdo so pa vaši favoriti za  naše ste lahko oz jih boste še lahko videli pri nas,Neutral
100,petkova uganka kaj je na sliki,Neutral
101, pred začetkom šprinta bialoncev še o tem koliko smole je že imel v karieri jakov fak držimo pesti zanj ,Neutral
103,policija želi 5 5 milijona tožilstvo pa 3 15 milijona dodatnih sredstev,Neutral
105, policija želi 5 5 milijona tožilstvo pa 3 15 milijona dodatnih sredstev,Neutral
106,adelino življenje izreden film v cankarju kolšek zadene žebljico na glavico,Neutral
109, glej svoboda na ,Positive
110,veterani osamosvojitvene vojne obsojajo izjave mussomelija,Neutral
111,hočeš povedati da imaš majhne joškehehe,Neutral
112,s pomočjo  in homeopatije je tako v enem dnevu pozdravila vnetje srednjega ušesa,Positive
113,s pomočjo  in homeopatije je tako v enem dnevu pozdravila vnetje srednjega ušesa,Neutral
116,se kar strinjam videl sam nekaj takih primerov ki so ponavadi neizogibno samo podaljšali   get a room,Negative
117, prav lepa hvala     za slastne drobtinice iz preteklosti,Positive
118, prav lepa hvala     za slastne drobtinice iz preteklosti,Positive
119, ali razumete kaj vam sporoča vaše telo,Positive
120, ali razumete kaj vam sporoča vaše telo,Neutral
122,diplomatic reply of coursesicer pa glede velikosti posameznih udov nisem glih kompetenten sogovornik ker tudi sam odstopam,Negative
123,diplomatic reply of coursesicer pa glede velikosti posameznih udov nisem glih kompetenten sogovornik ker tudi sam odstopam,Neutral
124, fišer dokument ni pristen nato pa preiskava pri kalohu nepristen vendar vseeno tajen dokument  bu,Negative
125,ja imam eno staro nokio,Neutral
126,prvi zapis z  z malo vaje bo papir preteklost mogoče je z manjšo konico malo lažje,Neutral
128,po moje gre sam za to da se ukvarjajo s takim problemom da jim nič drugega v tistem trenutku ni pomebno,Negative
133,probaj še penultimate imajo tudi nočno črtovje pa fajn povečavo in avtomatsko premikanje strani med pisanjem,Neutral
134,vprašam ker res ne vem glede na to da kaloha prodajajo kot novinarja je vprašanje na mestu ne d,Neutral
135,za vse ki čakate na festival bobri prevzem brezplačnih vstopnic za vsa prizorišča je jutri 18 1 od 11 in 18,Neutral
138,za vse ki čakate na festival bobri prevzem brezplačnih vstopnic za vsa prizorišča je jutri 18 1 od 11 in 18,Positive
139,glosa zorana senkovića otrok v razvoju  dnevnik,Positive
140,uf pa res ni kar tako pred tem je bil še malo na mnz če kaj vem anyhoo še vedno nimam odgovora na vprašanje samo to me zanima,Negative
141,ji bom rekla da pharmaman priporoča cela se bo potresla z njim,Positive
142,kdo zdaj špeca državo v tujini no kdo,Negative
144, je pa dobro ker je inštruktor s tabo lol,Positive
145,lej linki ki so gor so nenadjebljivi vsa čast zelo koristno branje,Positive
147,ekskluzivno posnetek s trga republike lj odziv ob napovedanih dodatnih varčevalnih ukrepih ,Negative
148,koliko egoistov je potrebno da privijejo žarnico samo eden ki jo drži in se svet se vrti okoli njega poskrbi zase poskrbi za smeh,Positive
149,njegovo vprašanje bo verjetno  premalo koliko mrd dam še zraven ni panike lol,Neutral
151,zdaj razumem tiste reklame v stilu izpit za avto za ceno ene kavice na dan,Neutral
153, ekskluzivno posnetek s trga republike lj odziv ob napovedanih dodatnih varčevalnih ukrepih    httpt,Neutral
154,pospravljamo podstrešje leto bedakov in konjev  reportersi  via,Neutral
155,tisti iz toplih krajev so se vrnili zdaj postajo slike tisti iz smučišč še dobro da imam twt da se počutim skoz na dopustu,Positive
156,jaz sem si jo tam že sposodil in bil zadovoljen s supportom,Positive
157,jaz sem si jo tam že sposodil in bil zadovoljen s supportom,Positive
159,ampak samo če so pogoji enaki kot za odpravo na mars  torej enosmerna vozovnica,Neutral
160,všeč mi je videoposnetek   san di ego  zadnji cent official video,Positive
161,po govoricah zadnjič  dejansko se je našel nekdo ki bo dal 100 jurjev za novo blamažo polom,Negative
